JC,GSM,Title,CellType,Group
JC13,GSM8279857,AMSC_Ctrl1,AMSC,Ctrl
JC16,GSM8279858,AMSC_Ctrl2,AMSC,Ctrl
JC17,GSM8279859,AMSC_Ctrl3,AMSC,Ctrl
JC19,GSM8279860,AMSC_Ctrl4,AMSC,Ctrl
JC21,GSM8279861,AMSC_Ctrl5,AMSC,Ctrl
JC23,GSM8279862,AMSC_Ctrl6,AMSC,Ctrl
JC1,GSM8279863,AMSC_POP7,AMSC,POP
JC3,GSM8279864,AMSC_POP8,AMSC,POP
JC4,GSM8279865,AMSC_POP9,AMSC,POP
JC7,GSM8279866,AMSC_POP10,AMSC,POP
JC9,GSM8279867,AMSC_POP11,AMSC,POP
JC11,GSM8279868,AMSC_POP12,AMSC,POP
JC14,GSM8279869,VFB_Ctrl1,VFB,Ctrl
JC15,GSM8279870,VFB_Ctrl2,VFB,Ctrl
JC18,GSM8279871,VFB_Ctrl3,VFB,Ctrl
JC20,GSM8279872,VFB_Ctrl4,VFB,Ctrl
JC22,GSM8279873,VFB_Ctrl5,VFB,Ctrl
JC24,GSM8279874,VFB_Ctrl6,VFB,Ctrl
JC2,GSM8279875,VFB_POP7,VFB,POP
JC5,GSM8279876,VFB_POP8,VFB,POP
JC6,GSM8279877,VFB_POP9,VFB,POP
JC8,GSM8279878,VFB_POP10,VFB,POP
JC10,GSM8279879,VFB_POP11,VFB,POP
JC12,GSM8279880,VFB_POP12,VFB,POP
