#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0043588	Skin development	11	266	0.81	0.4	0.0250	9606.ENSP00000222271,9606.ENSP00000252244,9606.ENSP00000269576,9606.ENSP00000295694,9606.ENSP00000300456,9606.ENSP00000306261,9606.ENSP00000314879,9606.ENSP00000357746,9606.ENSP00000362103,9606.ENSP00000370867,9606.ENSP00000497784	COMP,KRT1,KRT10,TMEM79,SLC27A4,KRT78,ALOXE3,SPRR2D,POU3F1,TGM3,ALOX12B
GO Component	GO:0001533	Cornified envelope	6	59	1.2	0.57	0.0073	9606.ENSP00000252244,9606.ENSP00000269576,9606.ENSP00000357746,9606.ENSP00000376423,9606.ENSP00000401645,9606.ENSP00000470538	KRT1,KRT10,SPRR2D,SPRR2A,SERPINB2,KLK7
GO Component	GO:0005615	Extracellular space	40	3247	0.28	0.32	0.0200	9606.ENSP00000161559,9606.ENSP00000201647,9606.ENSP00000222271,9606.ENSP00000252244,9606.ENSP00000255409,9606.ENSP00000261292,9606.ENSP00000269576,9606.ENSP00000272164,9606.ENSP00000273371,9606.ENSP00000282588,9606.ENSP00000286955,9606.ENSP00000290354,9606.ENSP00000291568,9606.ENSP00000306261,9606.ENSP00000313437,9606.ENSP00000317445,9606.ENSP00000319846,9606.ENSP00000320295,9606.ENSP00000320935,9606.ENSP00000339251,9606.ENSP00000342012,9606.ENSP00000342082,9606.ENSP00000343577,9606.ENSP00000355110,9606.ENSP00000356308,9606.ENSP00000362814,9606.ENSP00000363641,9606.ENSP00000370867,9606.ENSP00000371347,9606.ENSP00000371798,9606.ENSP00000376423,9606.ENSP00000382595,9606.ENSP00000386453,9606.ENSP00000397679,9606.ENSP00000401645,9606.ENSP00000470538,9606.ENSP00000478255,9606.ENSP00000478942,9606.ENSP00000482743,9606.ENSP00000496129	CEACAM1,EPS8L1,COMP,KRT1,CHI3L1,LIPG,KRT10,WNT9A,PLA1A,ITGA1,FUT6,CBR3,CSTB,KRT78,MMP19,PSAPL1,SLURP2,TUBB3,SLC2A4,KRTDAP,DMKN,SLPI,TPSAB1,SMOC1,ULBP3,SERINC2,TXN,TGM3,ANGPT4,FSCN1,SPRR2A,PAICS,CYSRT1,ENDOU,SERPINB2,KLK7,ABCB1,UPK1A,TPSB2,PRKCB
GO Component	GO:0005576	Extracellular region	46	4175	0.24	0.27	0.0424	9606.ENSP00000161559,9606.ENSP00000201647,9606.ENSP00000222271,9606.ENSP00000252244,9606.ENSP00000255409,9606.ENSP00000261292,9606.ENSP00000269576,9606.ENSP00000270642,9606.ENSP00000272164,9606.ENSP00000273371,9606.ENSP00000282588,9606.ENSP00000286955,9606.ENSP00000290354,9606.ENSP00000291568,9606.ENSP00000306261,9606.ENSP00000306991,9606.ENSP00000313437,9606.ENSP00000317445,9606.ENSP00000319846,9606.ENSP00000320295,9606.ENSP00000320935,9606.ENSP00000338607,9606.ENSP00000339251,9606.ENSP00000342012,9606.ENSP00000342082,9606.ENSP00000343577,9606.ENSP00000355110,9606.ENSP00000356308,9606.ENSP00000359940,9606.ENSP00000362814,9606.ENSP00000363641,9606.ENSP00000364212,9606.ENSP00000367185,9606.ENSP00000370867,9606.ENSP00000371347,9606.ENSP00000371798,9606.ENSP00000376423,9606.ENSP00000382595,9606.ENSP00000386453,9606.ENSP00000397679,9606.ENSP00000401645,9606.ENSP00000470538,9606.ENSP00000478255,9606.ENSP00000478942,9606.ENSP00000482743,9606.ENSP00000496129	CEACAM1,EPS8L1,COMP,KRT1,CHI3L1,LIPG,KRT10,IGLON5,WNT9A,PLA1A,ITGA1,FUT6,CBR3,CSTB,KRT78,HAS2,MMP19,PSAPL1,SLURP2,TUBB3,SLC2A4,THEM6,KRTDAP,DMKN,SLPI,TPSAB1,SMOC1,ULBP3,IGSF1,SERINC2,TXN,CDA,LYPD5,TGM3,ANGPT4,FSCN1,SPRR2A,PAICS,CYSRT1,ENDOU,SERPINB2,KLK7,ABCB1,UPK1A,TPSB2,PRKCB
GO Component	GO:0071944	Cell periphery	59	6015	0.19	0.25	0.0487	9606.ENSP00000161559,9606.ENSP00000201647,9606.ENSP00000220420,9606.ENSP00000222271,9606.ENSP00000252244,9606.ENSP00000255409,9606.ENSP00000263268,9606.ENSP00000263798,9606.ENSP00000266581,9606.ENSP00000268459,9606.ENSP00000269576,9606.ENSP00000270800,9606.ENSP00000276185,9606.ENSP00000279022,9606.ENSP00000282588,9606.ENSP00000289248,9606.ENSP00000291568,9606.ENSP00000295101,9606.ENSP00000297477,9606.ENSP00000300456,9606.ENSP00000305675,9606.ENSP00000305877,9606.ENSP00000306991,9606.ENSP00000310880,9606.ENSP00000313437,9606.ENSP00000313699,9606.ENSP00000318803,9606.ENSP00000319846,9606.ENSP00000320295,9606.ENSP00000320935,9606.ENSP00000334851,9606.ENSP00000342082,9606.ENSP00000347852,9606.ENSP00000354652,9606.ENSP00000355110,9606.ENSP00000356308,9606.ENSP00000357702,9606.ENSP00000357746,9606.ENSP00000366628,9606.ENSP00000367185,9606.ENSP00000368766,9606.ENSP00000370867,9606.ENSP00000371347,9606.ENSP00000371798,9606.ENSP00000376423,9606.ENSP00000379891,9606.ENSP00000397679,9606.ENSP00000401645,9606.ENSP00000420269,9606.ENSP00000433001,9606.ENSP00000464577,9606.ENSP00000470538,9606.ENSP00000477999,9606.ENSP00000478255,9606.ENSP00000478942,9606.ENSP00000480279,9606.ENSP00000482743,9606.ENSP00000491467,9606.ENSP00000496129	CEACAM1,EPS8L1,TGM5,COMP,KRT1,CHI3L1,MREG,TYRO3,AMIGO2,NKD1,KRT10,IL22RA1,FRMPD3,MYL9,ITGA1,RHBDL2,CSTB,KCNJ3,TMEM184A,SLC27A4,CAVIN2,NMUR1,HAS2,MAL,MMP19,HEPHL1,SYTL2,SLURP2,TUBB3,SLC2A4,RGS7BP,SLPI,SORBS2,NPY1R,SMOC1,ULBP3,S100A3,SPRR2D,GPR157,LYPD5,ADRA1D,TGM3,ANGPT4,FSCN1,SPRR2A,AP1S3,ENDOU,SERPINB2,ADH7,RGS5,OTOP3,KLK7,NOS1,ABCB1,UPK1A,USH1G,TPSB2,VSIG10L2,PRKCB
STRING clusters	CL:34114	Mixed, incl. Formation of the cornified envelope, and Establishment of skin barrier	12	151	1.09	1.28	2.52e-06	9606.ENSP00000252244,9606.ENSP00000269576,9606.ENSP00000293502,9606.ENSP00000295694,9606.ENSP00000306261,9606.ENSP00000314879,9606.ENSP00000339251,9606.ENSP00000342012,9606.ENSP00000357746,9606.ENSP00000376423,9606.ENSP00000386453,9606.ENSP00000470538	KRT1,KRT10,SDR9C7,TMEM79,KRT78,ALOXE3,KRTDAP,DMKN,SPRR2D,SPRR2A,CYSRT1,KLK7
STRING clusters	CL:34116	Formation of the cornified envelope, and Autosomal recessive congenital ichthyosis	11	119	1.16	1.32	2.52e-06	9606.ENSP00000252244,9606.ENSP00000269576,9606.ENSP00000293502,9606.ENSP00000306261,9606.ENSP00000314879,9606.ENSP00000339251,9606.ENSP00000342012,9606.ENSP00000357746,9606.ENSP00000376423,9606.ENSP00000386453,9606.ENSP00000470538	KRT1,KRT10,SDR9C7,KRT78,ALOXE3,KRTDAP,DMKN,SPRR2D,SPRR2A,CYSRT1,KLK7
STRING clusters	CL:34117	Formation of the cornified envelope, and Serpin, conserved site	9	105	1.13	1.04	5.36e-05	9606.ENSP00000252244,9606.ENSP00000269576,9606.ENSP00000306261,9606.ENSP00000339251,9606.ENSP00000342012,9606.ENSP00000357746,9606.ENSP00000376423,9606.ENSP00000386453,9606.ENSP00000470538	KRT1,KRT10,KRT78,KRTDAP,DMKN,SPRR2D,SPRR2A,CYSRT1,KLK7
STRING clusters	CL:34301	Mixed, incl. PLAC8 family, and Cornified envelope assembly	4	7	1.95	0.94	0.00045	9606.ENSP00000306261,9606.ENSP00000339251,9606.ENSP00000342012,9606.ENSP00000386453	KRT78,KRTDAP,DMKN,CYSRT1
STRING clusters	CL:34245	Mixed, incl. Pachyonychia congenita, and Netherton syndrome	5	41	1.28	0.58	0.0070	9606.ENSP00000306261,9606.ENSP00000339251,9606.ENSP00000342012,9606.ENSP00000386453,9606.ENSP00000470538	KRT78,KRTDAP,DMKN,CYSRT1,KLK7
