#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
DOID:162	Cancer	34	978	0.56	0.93	5.14e-07	9606.ENSP00000241453,9606.ENSP00000254066,9606.ENSP00000257430,9606.ENSP00000262320,9606.ENSP00000262367,9606.ENSP00000263464,9606.ENSP00000264033,9606.ENSP00000264972,9606.ENSP00000266970,9606.ENSP00000287842,9606.ENSP00000290277,9606.ENSP00000300574,9606.ENSP00000303507,9606.ENSP00000317272,9606.ENSP00000329140,9606.ENSP00000338157,9606.ENSP00000339527,9606.ENSP00000348461,9606.ENSP00000351497,9606.ENSP00000354826,9606.ENSP00000354952,9606.ENSP00000359073,9606.ENSP00000364699,9606.ENSP00000365012,9606.ENSP00000376544,9606.ENSP00000379616,9606.ENSP00000384273,9606.ENSP00000391803,9606.ENSP00000400175,9606.ENSP00000402257,9606.ENSP00000410294,9606.ENSP00000428924,9606.ENSP00000472929,9606.ENSP00000489597	FLT3,RARA,APC,AXIN1,CREBBP,BIRC3,CBL,ZAP70,CDK2,NRG1,ARAF,CRK,BCR,MET,CREB3L2,ZBTB16,FOXO3,RAC1,FCGR2B,CALD1,GAB2,VAV3,SDHD,HCK,CD79B,MYH11,RELA,MITF,RHOA,RUNX1T1,FGFR2,LYN,VAV1,PTPN11
DOID:4	Disease	97	6291	0.21	0.51	4.73e-05	9606.ENSP00000016171,9606.ENSP00000184266,9606.ENSP00000200181,9606.ENSP00000216181,9606.ENSP00000222390,9606.ENSP00000225655,9606.ENSP00000229379,9606.ENSP00000241453,9606.ENSP00000252102,9606.ENSP00000253413,9606.ENSP00000254066,9606.ENSP00000257430,9606.ENSP00000262320,9606.ENSP00000262367,9606.ENSP00000263464,9606.ENSP00000264033,9606.ENSP00000264380,9606.ENSP00000264634,9606.ENSP00000264972,9606.ENSP00000266544,9606.ENSP00000266970,9606.ENSP00000267843,9606.ENSP00000270139,9606.ENSP00000282397,9606.ENSP00000287842,9606.ENSP00000290277,9606.ENSP00000296585,9606.ENSP00000297029,9606.ENSP00000298159,9606.ENSP00000300574,9606.ENSP00000302194,9606.ENSP00000303507,9606.ENSP00000306397,9606.ENSP00000309591,9606.ENSP00000317272,9606.ENSP00000317780,9606.ENSP00000321348,9606.ENSP00000324532,9606.ENSP00000325136,9606.ENSP00000326031,9606.ENSP00000329140,9606.ENSP00000338157,9606.ENSP00000339527,9606.ENSP00000345774,9606.ENSP00000346437,9606.ENSP00000346839,9606.ENSP00000348416,9606.ENSP00000348461,9606.ENSP00000351497,9606.ENSP00000351605,9606.ENSP00000351905,9606.ENSP00000352414,9606.ENSP00000352798,9606.ENSP00000354826,9606.ENSP00000354952,9606.ENSP00000355751,9606.ENSP00000356946,9606.ENSP00000358866,9606.ENSP00000359073,9606.ENSP00000363081,9606.ENSP00000364163,9606.ENSP00000364699,9606.ENSP00000365012,9606.ENSP00000365042,9606.ENSP00000367939,9606.ENSP00000371425,9606.ENSP00000376544,9606.ENSP00000378517,9606.ENSP00000379616,9606.ENSP00000379873,9606.ENSP00000382004,9606.ENSP00000384273,9606.ENSP00000389160,9606.ENSP00000391803,9606.ENSP00000400175,9606.ENSP00000402257,9606.ENSP00000405574,9606.ENSP00000407336,9606.ENSP00000410294,9606.ENSP00000411355,9606.ENSP00000428056,9606.ENSP00000428924,9606.ENSP00000438689,9606.ENSP00000452786,9606.ENSP00000458162,9606.ENSP00000466363,9606.ENSP00000466818,9606.ENSP00000472929,9606.ENSP00000479719,9606.ENSP00000483825,9606.ENSP00000489597,9606.ENSP00000492363,9606.ENSP00000493594,9606.ENSP00000495556,9606.ENSP00000495750,9606.ENSP00000497587,9606.ENSP00000497733	COX15,NDUFB4,ITGB4,MYH9,HGF,PFN1,COX6A1,FLT3,NDUFA2,ATP6V1E1,RARA,APC,AXIN1,CREBBP,BIRC3,CBL,PIKFYVE,WNT5A,ZAP70,NDUFA9,CDK2,FGF7,IFNAR1,FLT1,NRG1,ARAF,ITGA2,SCIN,CFL2,CRK,ATP6V1G2,BCR,UQCRFS1,PRKACA,MET,COX5A,DIAPH2,LAMA3,HADHB,PPP1CA,CREB3L2,ZBTB16,FOXO3,ALDH3A2,ATG7,FN1,TJP1,RAC1,FCGR2B,FZD6,TGFBR2,FGF17,COL18A1,CALD1,GAB2,THBS2,FCGR3A,FLNA,VAV3,DKK1,NOTCH4,SDHD,HCK,CSNK2B,UQCRQ,IFNGR2,CD79B,SPP1,MYH11,HLA-A,CTNND1,RELA,NDUFA11,MITF,RHOA,RUNX1T1,TBL1XR1,NDUFB3,FGFR2,PTPRC,PIK3R1,LYN,ACADVL,ITGB3,ACTG1,PIP5K1C,COX6B1,VAV1,CYFIP2,IKBKG,PTPN11,PRICKLE2,MYH14,TBL1X,GSS,NDUFV1,CDC42
DOID:0050686	Organ system cancer	25	757	0.54	0.69	0.00013	9606.ENSP00000241453,9606.ENSP00000254066,9606.ENSP00000257430,9606.ENSP00000262367,9606.ENSP00000263464,9606.ENSP00000264972,9606.ENSP00000266970,9606.ENSP00000287842,9606.ENSP00000290277,9606.ENSP00000303507,9606.ENSP00000317272,9606.ENSP00000338157,9606.ENSP00000348461,9606.ENSP00000354826,9606.ENSP00000354952,9606.ENSP00000359073,9606.ENSP00000364699,9606.ENSP00000365012,9606.ENSP00000376544,9606.ENSP00000379616,9606.ENSP00000384273,9606.ENSP00000391803,9606.ENSP00000402257,9606.ENSP00000410294,9606.ENSP00000489597	FLT3,RARA,APC,CREBBP,BIRC3,ZAP70,CDK2,NRG1,ARAF,BCR,MET,ZBTB16,RAC1,CALD1,GAB2,VAV3,SDHD,HCK,CD79B,MYH11,RELA,MITF,RUNX1T1,FGFR2,PTPN11
DOID:700	Mitochondrial metabolism disease	11	192	0.78	0.57	0.0037	9606.ENSP00000016171,9606.ENSP00000252102,9606.ENSP00000266544,9606.ENSP00000306397,9606.ENSP00000317780,9606.ENSP00000367939,9606.ENSP00000389160,9606.ENSP00000407336,9606.ENSP00000438689,9606.ENSP00000466818,9606.ENSP00000497587	COX15,NDUFA2,NDUFA9,UQCRFS1,COX5A,UQCRQ,NDUFA11,NDUFB3,ACADVL,COX6B1,NDUFV1
DOID:8692	Myeloid leukemia	6	41	1.18	0.63	0.0040	9606.ENSP00000241453,9606.ENSP00000254066,9606.ENSP00000303507,9606.ENSP00000338157,9606.ENSP00000379616,9606.ENSP00000402257	FLT3,RARA,BCR,ZBTB16,MYH11,RUNX1T1
DOID:0060536	Mitochondrial complex I deficiency	6	44	1.15	0.6	0.0050	9606.ENSP00000252102,9606.ENSP00000266544,9606.ENSP00000389160,9606.ENSP00000407336,9606.ENSP00000438689,9606.ENSP00000497587	NDUFA2,NDUFA9,NDUFA11,NDUFB3,ACADVL,NDUFV1
DOID:2531	Hematologic cancer	10	190	0.74	0.45	0.0128	9606.ENSP00000241453,9606.ENSP00000254066,9606.ENSP00000263464,9606.ENSP00000264972,9606.ENSP00000303507,9606.ENSP00000338157,9606.ENSP00000376544,9606.ENSP00000379616,9606.ENSP00000402257,9606.ENSP00000489597	FLT3,RARA,BIRC3,ZAP70,BCR,ZBTB16,CD79B,MYH11,RUNX1T1,PTPN11
DOID:9119	Acute myeloid leukemia	5	33	1.2	0.49	0.0146	9606.ENSP00000241453,9606.ENSP00000254066,9606.ENSP00000338157,9606.ENSP00000379616,9606.ENSP00000402257	FLT3,RARA,ZBTB16,MYH11,RUNX1T1
DOID:7	Disease of anatomical entity	71	4798	0.19	0.31	0.0186	9606.ENSP00000016171,9606.ENSP00000184266,9606.ENSP00000200181,9606.ENSP00000216181,9606.ENSP00000222390,9606.ENSP00000225655,9606.ENSP00000229379,9606.ENSP00000241453,9606.ENSP00000253413,9606.ENSP00000254066,9606.ENSP00000257430,9606.ENSP00000262367,9606.ENSP00000263464,9606.ENSP00000264380,9606.ENSP00000264972,9606.ENSP00000266970,9606.ENSP00000267843,9606.ENSP00000282397,9606.ENSP00000287842,9606.ENSP00000290277,9606.ENSP00000296585,9606.ENSP00000297029,9606.ENSP00000298159,9606.ENSP00000303507,9606.ENSP00000309591,9606.ENSP00000317272,9606.ENSP00000321348,9606.ENSP00000324532,9606.ENSP00000338157,9606.ENSP00000345774,9606.ENSP00000346437,9606.ENSP00000346839,9606.ENSP00000348416,9606.ENSP00000348461,9606.ENSP00000351497,9606.ENSP00000351605,9606.ENSP00000351905,9606.ENSP00000352414,9606.ENSP00000352798,9606.ENSP00000354826,9606.ENSP00000354952,9606.ENSP00000355751,9606.ENSP00000356946,9606.ENSP00000358866,9606.ENSP00000359073,9606.ENSP00000363081,9606.ENSP00000364163,9606.ENSP00000364699,9606.ENSP00000365012,9606.ENSP00000365042,9606.ENSP00000371425,9606.ENSP00000376544,9606.ENSP00000378517,9606.ENSP00000379616,9606.ENSP00000379873,9606.ENSP00000384273,9606.ENSP00000391803,9606.ENSP00000402257,9606.ENSP00000410294,9606.ENSP00000411355,9606.ENSP00000428056,9606.ENSP00000438689,9606.ENSP00000452786,9606.ENSP00000458162,9606.ENSP00000479719,9606.ENSP00000483825,9606.ENSP00000489597,9606.ENSP00000492363,9606.ENSP00000493594,9606.ENSP00000495556,9606.ENSP00000495750	COX15,NDUFB4,ITGB4,MYH9,HGF,PFN1,COX6A1,FLT3,ATP6V1E1,RARA,APC,CREBBP,BIRC3,PIKFYVE,ZAP70,CDK2,FGF7,FLT1,NRG1,ARAF,ITGA2,SCIN,CFL2,BCR,PRKACA,MET,DIAPH2,LAMA3,ZBTB16,ALDH3A2,ATG7,FN1,TJP1,RAC1,FCGR2B,FZD6,TGFBR2,FGF17,COL18A1,CALD1,GAB2,THBS2,FCGR3A,FLNA,VAV3,DKK1,NOTCH4,SDHD,HCK,CSNK2B,IFNGR2,CD79B,SPP1,MYH11,HLA-A,RELA,MITF,RUNX1T1,FGFR2,PTPRC,PIK3R1,ACADVL,ITGB3,ACTG1,CYFIP2,IKBKG,PTPN11,PRICKLE2,MYH14,TBL1X,GSS
DOID:74	Hematopoietic system disease	15	473	0.52	0.35	0.0290	9606.ENSP00000216181,9606.ENSP00000241453,9606.ENSP00000254066,9606.ENSP00000263464,9606.ENSP00000264972,9606.ENSP00000296585,9606.ENSP00000303507,9606.ENSP00000338157,9606.ENSP00000358866,9606.ENSP00000376544,9606.ENSP00000379616,9606.ENSP00000402257,9606.ENSP00000452786,9606.ENSP00000489597,9606.ENSP00000495750	MYH9,FLT3,RARA,BIRC3,ZAP70,ITGA2,BCR,ZBTB16,FLNA,CD79B,MYH11,RUNX1T1,ITGB3,PTPN11,GSS
