#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005515	Protein binding	130	7242	0.27	0.81	3.26e-15	9606.ENSP00000200181,9606.ENSP00000216181,9606.ENSP00000222390,9606.ENSP00000225655,9606.ENSP00000228825,9606.ENSP00000229795,9606.ENSP00000231487,9606.ENSP00000241453,9606.ENSP00000253413,9606.ENSP00000254066,9606.ENSP00000257430,9606.ENSP00000261461,9606.ENSP00000262320,9606.ENSP00000262367,9606.ENSP00000263025,9606.ENSP00000264033,9606.ENSP00000264634,9606.ENSP00000264972,9606.ENSP00000265441,9606.ENSP00000266970,9606.ENSP00000267843,9606.ENSP00000268182,9606.ENSP00000270139,9606.ENSP00000282397,9606.ENSP00000286201,9606.ENSP00000286574,9606.ENSP00000287842,9606.ENSP00000289104,9606.ENSP00000290921,9606.ENSP00000293829,9606.ENSP00000294742,9606.ENSP00000295006,9606.ENSP00000296585,9606.ENSP00000297029,9606.ENSP00000298159,9606.ENSP00000298316,9606.ENSP00000300574,9606.ENSP00000300738,9606.ENSP00000306124,9606.ENSP00000309591,9606.ENSP00000314067,9606.ENSP00000317272,9606.ENSP00000321348,9606.ENSP00000324532,9606.ENSP00000326031,9606.ENSP00000327290,9606.ENSP00000329127,9606.ENSP00000329757,9606.ENSP00000335055,9606.ENSP00000336790,9606.ENSP00000337261,9606.ENSP00000338157,9606.ENSP00000339527,9606.ENSP00000342136,9606.ENSP00000345774,9606.ENSP00000346437,9606.ENSP00000346508,9606.ENSP00000346839,9606.ENSP00000348416,9606.ENSP00000348461,9606.ENSP00000349324,9606.ENSP00000351605,9606.ENSP00000351905,9606.ENSP00000352414,9606.ENSP00000352798,9606.ENSP00000354357,9606.ENSP00000354826,9606.ENSP00000354952,9606.ENSP00000356864,9606.ENSP00000357177,9606.ENSP00000357883,9606.ENSP00000358723,9606.ENSP00000358866,9606.ENSP00000359073,9606.ENSP00000359258,9606.ENSP00000360002,9606.ENSP00000360293,9606.ENSP00000362649,9606.ENSP00000363081,9606.ENSP00000363826,9606.ENSP00000364163,9606.ENSP00000364995,9606.ENSP00000365012,9606.ENSP00000365042,9606.ENSP00000365757,9606.ENSP00000366156,9606.ENSP00000366182,9606.ENSP00000371897,9606.ENSP00000375821,9606.ENSP00000376544,9606.ENSP00000378367,9606.ENSP00000378517,9606.ENSP00000379092,9606.ENSP00000379350,9606.ENSP00000379616,9606.ENSP00000379873,9606.ENSP00000382004,9606.ENSP00000382697,9606.ENSP00000384273,9606.ENSP00000385886,9606.ENSP00000387699,9606.ENSP00000388910,9606.ENSP00000389168,9606.ENSP00000391803,9606.ENSP00000400175,9606.ENSP00000402257,9606.ENSP00000405574,9606.ENSP00000410294,9606.ENSP00000411355,9606.ENSP00000417273,9606.ENSP00000418447,9606.ENSP00000420269,9606.ENSP00000428056,9606.ENSP00000428924,9606.ENSP00000429900,9606.ENSP00000432660,9606.ENSP00000438689,9606.ENSP00000452786,9606.ENSP00000458162,9606.ENSP00000463559,9606.ENSP00000472929,9606.ENSP00000478061,9606.ENSP00000479719,9606.ENSP00000482639,9606.ENSP00000483825,9606.ENSP00000489597,9606.ENSP00000493594,9606.ENSP00000495556,9606.ENSP00000495750,9606.ENSP00000497733	ITGB4,MYH9,HGF,PFN1,ARPC3,MAPK14,SKP1,FLT3,ATP6V1E1,RARA,APC,PPP2R5A,AXIN1,CREBBP,MAPK3,CBL,WNT5A,ZAP70,WNT2,CDK2,FGF7,IQGAP1,IFNAR1,FLT1,FZD7,WIF1,NRG1,MRAS,CTBP1,FGF11,ARPC5,CAPN2,ITGA2,SCIN,CFL2,ARF6,CRK,RRM1,PRKCE,PRKACA,PAK2,MET,DIAPH2,LAMA3,PPP1CA,ITGA11,PRKCH,ATP6V0C,WASF3,ATF4,ARHGEF1,ZBTB16,FOXO3,CREB3,ALDH3A2,ATG7,PDGFA,FN1,TJP1,RAC1,TNFRSF10C,FZD6,TGFBR2,FGF17,COL18A1,GSTM3,CALD1,GAB2,MGST3,ARHGEF11,PIP5K1A,RAP1A,FLNA,VAV3,GCLM,GSTA4,SORBS1,HDAC1,DKK1,FZD8,NOTCH4,SHC3,HCK,CSNK2B,PIP4K2A,SRM,ELK1,ARHGAP5,PPP1R12B,CD79B,NRG4,SPP1,BTC,ITGB1,MYH11,HLA-A,CTNND1,ROCK1,RELA,RASGRP3,CREB1,NFATC4,PPP1R12A,MITF,RHOA,RUNX1T1,TBL1XR1,FGFR2,PTPRC,NCK1,PPP2CA,ADH7,PIK3R1,LYN,ASAP1,CFL1,ACADVL,ITGB3,ACTG1,MYL12B,VAV1,MARCKS,CYFIP2,MGST2,IKBKG,PTPN11,MYH14,TBL1X,GSS,CDC42
GO:0005102	Signaling receptor binding	52	1499	0.56	1.25	8.75e-13	9606.ENSP00000200181,9606.ENSP00000216181,9606.ENSP00000222390,9606.ENSP00000254066,9606.ENSP00000264033,9606.ENSP00000264634,9606.ENSP00000264972,9606.ENSP00000265441,9606.ENSP00000267843,9606.ENSP00000286201,9606.ENSP00000286574,9606.ENSP00000287842,9606.ENSP00000293829,9606.ENSP00000296585,9606.ENSP00000300574,9606.ENSP00000321348,9606.ENSP00000324532,9606.ENSP00000327290,9606.ENSP00000337261,9606.ENSP00000342136,9606.ENSP00000346508,9606.ENSP00000346839,9606.ENSP00000351905,9606.ENSP00000352414,9606.ENSP00000354952,9606.ENSP00000357177,9606.ENSP00000358866,9606.ENSP00000359073,9606.ENSP00000360293,9606.ENSP00000363081,9606.ENSP00000363826,9606.ENSP00000364163,9606.ENSP00000364995,9606.ENSP00000365012,9606.ENSP00000365042,9606.ENSP00000378367,9606.ENSP00000378517,9606.ENSP00000379092,9606.ENSP00000379350,9606.ENSP00000379873,9606.ENSP00000382004,9606.ENSP00000388910,9606.ENSP00000411355,9606.ENSP00000417273,9606.ENSP00000418447,9606.ENSP00000420269,9606.ENSP00000428056,9606.ENSP00000428924,9606.ENSP00000452786,9606.ENSP00000483825,9606.ENSP00000489597,9606.ENSP00000497733	ITGB4,MYH9,HGF,RARA,CBL,WNT5A,ZAP70,WNT2,FGF7,FZD7,WIF1,NRG1,FGF11,ITGA2,CRK,DIAPH2,LAMA3,ITGA11,ARHGEF1,CREB3,PDGFA,FN1,TGFBR2,FGF17,GAB2,ARHGEF11,FLNA,VAV3,SORBS1,DKK1,FZD8,NOTCH4,SHC3,HCK,CSNK2B,NRG4,SPP1,BTC,ITGB1,HLA-A,CTNND1,NFATC4,PTPRC,NCK1,PPP2CA,ADH7,PIK3R1,LYN,ITGB3,IKBKG,PTPN11,CDC42
GO:0015399	Primary active transmembrane transporter activity	20	170	1.09	2.19	2.90e-12	9606.ENSP00000016171,9606.ENSP00000184266,9606.ENSP00000229379,9606.ENSP00000252102,9606.ENSP00000253413,9606.ENSP00000258424,9606.ENSP00000259037,9606.ENSP00000266544,9606.ENSP00000290949,9606.ENSP00000302194,9606.ENSP00000306397,9606.ENSP00000317780,9606.ENSP00000329757,9606.ENSP00000407336,9606.ENSP00000411672,9606.ENSP00000434729,9606.ENSP00000441126,9606.ENSP00000466818,9606.ENSP00000483888,9606.ENSP00000497587	COX15,NDUFB4,COX6A1,NDUFA2,ATP6V1E1,COX5B,NDUFB5,NDUFA9,ATP6V0D1,ATP6V1G2,UQCRFS1,COX5A,ATP6V0C,NDUFB3,ATP6V0E2,ATP6V0B,NDUFC1,COX6B1,NDUFB1,NDUFV1
GO:0009055	Electron transfer activity	17	121	1.17	2.18	2.21e-11	9606.ENSP00000016171,9606.ENSP00000184266,9606.ENSP00000229379,9606.ENSP00000252102,9606.ENSP00000258424,9606.ENSP00000259037,9606.ENSP00000266544,9606.ENSP00000299335,9606.ENSP00000306397,9606.ENSP00000317780,9606.ENSP00000364699,9606.ENSP00000407336,9606.ENSP00000441126,9606.ENSP00000466818,9606.ENSP00000467262,9606.ENSP00000483888,9606.ENSP00000497587	COX15,NDUFB4,COX6A1,NDUFA2,COX5B,NDUFB5,NDUFA9,COX11,UQCRFS1,COX5A,SDHD,NDUFB3,NDUFC1,COX6B1,UQCR11,NDUFB1,NDUFV1
GO:0015453	Oxidoreduction-driven active transmembrane transporter activity	14	71	1.31	2.29	6.27e-11	9606.ENSP00000016171,9606.ENSP00000184266,9606.ENSP00000229379,9606.ENSP00000252102,9606.ENSP00000258424,9606.ENSP00000259037,9606.ENSP00000266544,9606.ENSP00000306397,9606.ENSP00000317780,9606.ENSP00000407336,9606.ENSP00000441126,9606.ENSP00000466818,9606.ENSP00000483888,9606.ENSP00000497587	COX15,NDUFB4,COX6A1,NDUFA2,COX5B,NDUFB5,NDUFA9,UQCRFS1,COX5A,NDUFB3,NDUFC1,COX6B1,NDUFB1,NDUFV1
GO:0019899	Enzyme binding	57	2084	0.45	0.99	1.77e-10	9606.ENSP00000225655,9606.ENSP00000229795,9606.ENSP00000253413,9606.ENSP00000254066,9606.ENSP00000257430,9606.ENSP00000261461,9606.ENSP00000262320,9606.ENSP00000263025,9606.ENSP00000264033,9606.ENSP00000268182,9606.ENSP00000287842,9606.ENSP00000295006,9606.ENSP00000298316,9606.ENSP00000300574,9606.ENSP00000306124,9606.ENSP00000309591,9606.ENSP00000314067,9606.ENSP00000317272,9606.ENSP00000321348,9606.ENSP00000326031,9606.ENSP00000329127,9606.ENSP00000329757,9606.ENSP00000336790,9606.ENSP00000339527,9606.ENSP00000346839,9606.ENSP00000348461,9606.ENSP00000351605,9606.ENSP00000351905,9606.ENSP00000354357,9606.ENSP00000354952,9606.ENSP00000357883,9606.ENSP00000358723,9606.ENSP00000358866,9606.ENSP00000359258,9606.ENSP00000362649,9606.ENSP00000363826,9606.ENSP00000364995,9606.ENSP00000375821,9606.ENSP00000379350,9606.ENSP00000382004,9606.ENSP00000382697,9606.ENSP00000384273,9606.ENSP00000385886,9606.ENSP00000387699,9606.ENSP00000389168,9606.ENSP00000400175,9606.ENSP00000411355,9606.ENSP00000417273,9606.ENSP00000428056,9606.ENSP00000428924,9606.ENSP00000452786,9606.ENSP00000458162,9606.ENSP00000478061,9606.ENSP00000479719,9606.ENSP00000483825,9606.ENSP00000489597,9606.ENSP00000497733	PFN1,MAPK14,ATP6V1E1,RARA,APC,PPP2R5A,AXIN1,MAPK3,CBL,IQGAP1,NRG1,CAPN2,ARF6,CRK,PRKCE,PRKACA,PAK2,MET,DIAPH2,PPP1CA,PRKCH,ATP6V0C,ATF4,FOXO3,FN1,RAC1,FZD6,TGFBR2,GSTM3,GAB2,PIP5K1A,RAP1A,FLNA,GCLM,HDAC1,FZD8,SHC3,PPP1R12B,ITGB1,CTNND1,ROCK1,RELA,RASGRP3,CREB1,PPP1R12A,RHOA,PTPRC,NCK1,PIK3R1,LYN,ITGB3,ACTG1,MARCKS,CYFIP2,IKBKG,PTPN11,CDC42
GO:0019900	Kinase binding	33	785	0.64	1.22	1.22e-09	9606.ENSP00000229795,9606.ENSP00000254066,9606.ENSP00000257430,9606.ENSP00000261461,9606.ENSP00000262320,9606.ENSP00000264033,9606.ENSP00000268182,9606.ENSP00000287842,9606.ENSP00000300574,9606.ENSP00000309591,9606.ENSP00000314067,9606.ENSP00000336790,9606.ENSP00000339527,9606.ENSP00000348461,9606.ENSP00000351905,9606.ENSP00000354952,9606.ENSP00000357883,9606.ENSP00000358866,9606.ENSP00000364995,9606.ENSP00000375821,9606.ENSP00000379350,9606.ENSP00000382004,9606.ENSP00000384273,9606.ENSP00000385886,9606.ENSP00000389168,9606.ENSP00000400175,9606.ENSP00000411355,9606.ENSP00000417273,9606.ENSP00000428056,9606.ENSP00000452786,9606.ENSP00000478061,9606.ENSP00000489597,9606.ENSP00000497733	MAPK14,RARA,APC,PPP2R5A,AXIN1,CBL,IQGAP1,NRG1,CRK,PRKACA,PAK2,ATF4,FOXO3,RAC1,TGFBR2,GAB2,PIP5K1A,FLNA,SHC3,PPP1R12B,ITGB1,CTNND1,RELA,RASGRP3,PPP1R12A,RHOA,PTPRC,NCK1,PIK3R1,ITGB3,MARCKS,PTPN11,CDC42
GO:0019901	Protein kinase binding	30	702	0.65	1.17	8.40e-09	9606.ENSP00000229795,9606.ENSP00000254066,9606.ENSP00000257430,9606.ENSP00000262320,9606.ENSP00000264033,9606.ENSP00000268182,9606.ENSP00000287842,9606.ENSP00000300574,9606.ENSP00000309591,9606.ENSP00000314067,9606.ENSP00000336790,9606.ENSP00000339527,9606.ENSP00000348461,9606.ENSP00000351905,9606.ENSP00000354952,9606.ENSP00000358866,9606.ENSP00000364995,9606.ENSP00000375821,9606.ENSP00000379350,9606.ENSP00000382004,9606.ENSP00000384273,9606.ENSP00000389168,9606.ENSP00000400175,9606.ENSP00000411355,9606.ENSP00000417273,9606.ENSP00000428056,9606.ENSP00000452786,9606.ENSP00000478061,9606.ENSP00000489597,9606.ENSP00000497733	MAPK14,RARA,APC,AXIN1,CBL,IQGAP1,NRG1,CRK,PRKACA,PAK2,ATF4,FOXO3,RAC1,TGFBR2,GAB2,FLNA,SHC3,PPP1R12B,ITGB1,CTNND1,RELA,PPP1R12A,RHOA,PTPRC,NCK1,PIK3R1,ITGB3,MARCKS,PTPN11,CDC42
GO:0044877	Protein-containing complex binding	40	1261	0.52	0.99	1.56e-08	9606.ENSP00000200181,9606.ENSP00000216181,9606.ENSP00000222390,9606.ENSP00000241453,9606.ENSP00000257430,9606.ENSP00000263464,9606.ENSP00000266544,9606.ENSP00000268182,9606.ENSP00000287842,9606.ENSP00000290949,9606.ENSP00000295006,9606.ENSP00000296585,9606.ENSP00000297029,9606.ENSP00000298159,9606.ENSP00000324532,9606.ENSP00000326031,9606.ENSP00000327290,9606.ENSP00000335055,9606.ENSP00000346508,9606.ENSP00000346839,9606.ENSP00000348461,9606.ENSP00000351497,9606.ENSP00000351905,9606.ENSP00000356946,9606.ENSP00000358723,9606.ENSP00000358866,9606.ENSP00000359258,9606.ENSP00000360293,9606.ENSP00000378517,9606.ENSP00000379350,9606.ENSP00000379616,9606.ENSP00000379873,9606.ENSP00000411355,9606.ENSP00000428056,9606.ENSP00000428924,9606.ENSP00000432660,9606.ENSP00000452786,9606.ENSP00000478061,9606.ENSP00000489597,9606.ENSP00000493594	ITGB4,MYH9,HGF,FLT3,APC,BIRC3,NDUFA9,IQGAP1,NRG1,ATP6V0D1,CAPN2,ITGA2,SCIN,CFL2,LAMA3,PPP1CA,ITGA11,WASF3,PDGFA,FN1,RAC1,FCGR2B,TGFBR2,FCGR3A,RAP1A,FLNA,GCLM,SORBS1,SPP1,ITGB1,MYH11,HLA-A,PTPRC,PIK3R1,LYN,CFL1,ITGB3,MARCKS,PTPN11,MYH14
GO:0005488	Binding	163	12838	0.12	0.54	3.17e-08	9606.ENSP00000016171,9606.ENSP00000200181,9606.ENSP00000216181,9606.ENSP00000216629,9606.ENSP00000222390,9606.ENSP00000225655,9606.ENSP00000228825,9606.ENSP00000229795,9606.ENSP00000231487,9606.ENSP00000241453,9606.ENSP00000243501,9606.ENSP00000253413,9606.ENSP00000254066,9606.ENSP00000257430,9606.ENSP00000258424,9606.ENSP00000261461,9606.ENSP00000262320,9606.ENSP00000262367,9606.ENSP00000263025,9606.ENSP00000263088,9606.ENSP00000263464,9606.ENSP00000264033,9606.ENSP00000264380,9606.ENSP00000264634,9606.ENSP00000264972,9606.ENSP00000265441,9606.ENSP00000266544,9606.ENSP00000266970,9606.ENSP00000267843,9606.ENSP00000268182,9606.ENSP00000270139,9606.ENSP00000282397,9606.ENSP00000286201,9606.ENSP00000286574,9606.ENSP00000287842,9606.ENSP00000289104,9606.ENSP00000290277,9606.ENSP00000290921,9606.ENSP00000290949,9606.ENSP00000293829,9606.ENSP00000294742,9606.ENSP00000295006,9606.ENSP00000296585,9606.ENSP00000297029,9606.ENSP00000298159,9606.ENSP00000298316,9606.ENSP00000299335,9606.ENSP00000300574,9606.ENSP00000300738,9606.ENSP00000303507,9606.ENSP00000306124,9606.ENSP00000306397,9606.ENSP00000308413,9606.ENSP00000309591,9606.ENSP00000314067,9606.ENSP00000317272,9606.ENSP00000317780,9606.ENSP00000321348,9606.ENSP00000324532,9606.ENSP00000325136,9606.ENSP00000326031,9606.ENSP00000327290,9606.ENSP00000329127,9606.ENSP00000329140,9606.ENSP00000329757,9606.ENSP00000335055,9606.ENSP00000336790,9606.ENSP00000337261,9606.ENSP00000338157,9606.ENSP00000338806,9606.ENSP00000339527,9606.ENSP00000339916,9606.ENSP00000341208,9606.ENSP00000342136,9606.ENSP00000345774,9606.ENSP00000346437,9606.ENSP00000346508,9606.ENSP00000346839,9606.ENSP00000348416,9606.ENSP00000348461,9606.ENSP00000349324,9606.ENSP00000351497,9606.ENSP00000351605,9606.ENSP00000351905,9606.ENSP00000352414,9606.ENSP00000352798,9606.ENSP00000354357,9606.ENSP00000354826,9606.ENSP00000354952,9606.ENSP00000355751,9606.ENSP00000356864,9606.ENSP00000356946,9606.ENSP00000357177,9606.ENSP00000357883,9606.ENSP00000358723,9606.ENSP00000358866,9606.ENSP00000359073,9606.ENSP00000359258,9606.ENSP00000360002,9606.ENSP00000360293,9606.ENSP00000362649,9606.ENSP00000363081,9606.ENSP00000363817,9606.ENSP00000363826,9606.ENSP00000364163,9606.ENSP00000364699,9606.ENSP00000364995,9606.ENSP00000365012,9606.ENSP00000365042,9606.ENSP00000365757,9606.ENSP00000366156,9606.ENSP00000366182,9606.ENSP00000371897,9606.ENSP00000375821,9606.ENSP00000376544,9606.ENSP00000378367,9606.ENSP00000378517,9606.ENSP00000379092,9606.ENSP00000379350,9606.ENSP00000379616,9606.ENSP00000379873,9606.ENSP00000382004,9606.ENSP00000382697,9606.ENSP00000384273,9606.ENSP00000385519,9606.ENSP00000385886,9606.ENSP00000387699,9606.ENSP00000388910,9606.ENSP00000389168,9606.ENSP00000391803,9606.ENSP00000393847,9606.ENSP00000396045,9606.ENSP00000400175,9606.ENSP00000402257,9606.ENSP00000405574,9606.ENSP00000410294,9606.ENSP00000411355,9606.ENSP00000417273,9606.ENSP00000418447,9606.ENSP00000420269,9606.ENSP00000428056,9606.ENSP00000428924,9606.ENSP00000429900,9606.ENSP00000432660,9606.ENSP00000438689,9606.ENSP00000452786,9606.ENSP00000458162,9606.ENSP00000458770,9606.ENSP00000463559,9606.ENSP00000466363,9606.ENSP00000472929,9606.ENSP00000478061,9606.ENSP00000479719,9606.ENSP00000482639,9606.ENSP00000483825,9606.ENSP00000489597,9606.ENSP00000492363,9606.ENSP00000493594,9606.ENSP00000495556,9606.ENSP00000495750,9606.ENSP00000497587,9606.ENSP00000497733,9606.ENSP00000500582	COX15,ITGB4,MYH9,BDKRB1,HGF,PFN1,ARPC3,MAPK14,SKP1,FLT3,PLA2G12A,ATP6V1E1,RARA,APC,COX5B,PPP2R5A,AXIN1,CREBBP,MAPK3,PLD2,BIRC3,CBL,PIKFYVE,WNT5A,ZAP70,WNT2,NDUFA9,CDK2,FGF7,IQGAP1,IFNAR1,FLT1,FZD7,WIF1,NRG1,MRAS,ARAF,CTBP1,ATP6V0D1,FGF11,ARPC5,CAPN2,ITGA2,SCIN,CFL2,ARF6,COX11,CRK,RRM1,BCR,PRKCE,UQCRFS1,RPS6KB2,PRKACA,PAK2,MET,COX5A,DIAPH2,LAMA3,HADHB,PPP1CA,ITGA11,PRKCH,CREB3L2,ATP6V0C,WASF3,ATF4,ARHGEF1,ZBTB16,NFAT5,FOXO3,LIMK2,STAT5A,CREB3,ALDH3A2,ATG7,PDGFA,FN1,TJP1,RAC1,TNFRSF10C,FCGR2B,FZD6,TGFBR2,FGF17,COL18A1,GSTM3,CALD1,GAB2,THBS2,MGST3,FCGR3A,ARHGEF11,PIP5K1A,RAP1A,FLNA,VAV3,GCLM,GSTA4,SORBS1,HDAC1,DKK1,RXRB,FZD8,NOTCH4,SDHD,SHC3,HCK,CSNK2B,PIP4K2A,SRM,ELK1,ARHGAP5,PPP1R12B,CD79B,NRG4,SPP1,BTC,ITGB1,MYH11,HLA-A,CTNND1,ROCK1,RELA,CD14,RASGRP3,CREB1,NFATC4,PPP1R12A,MITF,PLA2G10,PLA2G4B,RHOA,RUNX1T1,TBL1XR1,FGFR2,PTPRC,NCK1,PPP2CA,ADH7,PIK3R1,LYN,ASAP1,CFL1,ACADVL,ITGB3,ACTG1,NDUFAB1,MYL12B,PIP5K1C,VAV1,MARCKS,CYFIP2,MGST2,IKBKG,PTPN11,PRICKLE2,MYH14,TBL1X,GSS,NDUFV1,CDC42,AKT3
