#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04810	Regulation of actin cytoskeleton	45	209	1.35	5.95	5.79e-42	9606.ENSP00000200181,9606.ENSP00000216181,9606.ENSP00000216629,9606.ENSP00000225655,9606.ENSP00000228825,9606.ENSP00000257430,9606.ENSP00000263025,9606.ENSP00000264380,9606.ENSP00000267843,9606.ENSP00000268182,9606.ENSP00000289104,9606.ENSP00000290277,9606.ENSP00000294742,9606.ENSP00000296585,9606.ENSP00000297029,9606.ENSP00000298159,9606.ENSP00000300574,9606.ENSP00000314067,9606.ENSP00000321348,9606.ENSP00000326031,9606.ENSP00000327290,9606.ENSP00000337261,9606.ENSP00000339916,9606.ENSP00000346508,9606.ENSP00000346839,9606.ENSP00000352414,9606.ENSP00000357883,9606.ENSP00000359073,9606.ENSP00000365757,9606.ENSP00000379350,9606.ENSP00000379616,9606.ENSP00000382697,9606.ENSP00000389168,9606.ENSP00000400175,9606.ENSP00000410294,9606.ENSP00000428056,9606.ENSP00000432660,9606.ENSP00000452786,9606.ENSP00000458162,9606.ENSP00000463559,9606.ENSP00000466363,9606.ENSP00000472929,9606.ENSP00000479719,9606.ENSP00000493594,9606.ENSP00000497733	ITGB4,MYH9,BDKRB1,PFN1,ARPC3,APC,MAPK3,PIKFYVE,FGF7,IQGAP1,MRAS,ARAF,ARPC5,ITGA2,SCIN,CFL2,CRK,PAK2,DIAPH2,PPP1CA,ITGA11,ARHGEF1,LIMK2,PDGFA,FN1,FGF17,PIP5K1A,VAV3,PIP4K2A,ITGB1,MYH11,ROCK1,PPP1R12A,RHOA,FGFR2,PIK3R1,CFL1,ITGB3,ACTG1,MYL12B,PIP5K1C,VAV1,CYFIP2,MYH14,CDC42
hsa05200	Pathways in cancer	58	515	1.07	4.09	3.56e-41	9606.ENSP00000216629,9606.ENSP00000222390,9606.ENSP00000231487,9606.ENSP00000241453,9606.ENSP00000254066,9606.ENSP00000257430,9606.ENSP00000262320,9606.ENSP00000262367,9606.ENSP00000263025,9606.ENSP00000263088,9606.ENSP00000263464,9606.ENSP00000264033,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000266970,9606.ENSP00000267843,9606.ENSP00000270139,9606.ENSP00000286201,9606.ENSP00000290277,9606.ENSP00000290921,9606.ENSP00000296585,9606.ENSP00000300574,9606.ENSP00000303507,9606.ENSP00000308413,9606.ENSP00000309591,9606.ENSP00000317272,9606.ENSP00000324532,9606.ENSP00000337261,9606.ENSP00000338157,9606.ENSP00000341208,9606.ENSP00000346508,9606.ENSP00000346839,9606.ENSP00000351605,9606.ENSP00000351905,9606.ENSP00000352414,9606.ENSP00000354357,9606.ENSP00000356864,9606.ENSP00000357177,9606.ENSP00000360002,9606.ENSP00000360058,9606.ENSP00000362649,9606.ENSP00000363817,9606.ENSP00000363826,9606.ENSP00000364163,9606.ENSP00000366182,9606.ENSP00000379350,9606.ENSP00000382697,9606.ENSP00000384273,9606.ENSP00000385886,9606.ENSP00000391803,9606.ENSP00000400175,9606.ENSP00000402257,9606.ENSP00000410294,9606.ENSP00000428056,9606.ENSP00000482639,9606.ENSP00000483825,9606.ENSP00000497733,9606.ENSP00000500582	BDKRB1,HGF,SKP1,FLT3,RARA,APC,AXIN1,CREBBP,MAPK3,PLD2,BIRC3,CBL,WNT5A,WNT2,CDK2,FGF7,IFNAR1,FZD7,ARAF,CTBP1,ITGA2,CRK,BCR,RPS6KB2,PRKACA,MET,LAMA3,ARHGEF1,ZBTB16,STAT5A,PDGFA,FN1,FZD6,TGFBR2,FGF17,GSTM3,MGST3,ARHGEF11,GSTA4,FRAT2,HDAC1,RXRB,FZD8,NOTCH4,ELK1,ITGB1,ROCK1,RELA,RASGRP3,MITF,RHOA,RUNX1T1,FGFR2,PIK3R1,MGST2,IKBKG,CDC42,AKT3
hsa04666	Fc gamma R-mediated phagocytosis	30	90	1.54	6.07	1.84e-32	9606.ENSP00000228825,9606.ENSP00000263025,9606.ENSP00000263088,9606.ENSP00000294742,9606.ENSP00000297029,9606.ENSP00000298159,9606.ENSP00000298316,9606.ENSP00000300574,9606.ENSP00000306124,9606.ENSP00000308413,9606.ENSP00000335055,9606.ENSP00000339916,9606.ENSP00000351497,9606.ENSP00000354952,9606.ENSP00000356946,9606.ENSP00000357883,9606.ENSP00000359073,9606.ENSP00000365012,9606.ENSP00000371886,9606.ENSP00000396045,9606.ENSP00000411355,9606.ENSP00000428056,9606.ENSP00000428924,9606.ENSP00000429900,9606.ENSP00000432660,9606.ENSP00000466363,9606.ENSP00000472929,9606.ENSP00000478061,9606.ENSP00000497733,9606.ENSP00000500582	ARPC3,MAPK3,PLD2,ARPC5,SCIN,CFL2,ARF6,CRK,PRKCE,RPS6KB2,WASF3,LIMK2,FCGR2B,GAB2,FCGR3A,PIP5K1A,VAV3,HCK,JMJD7-PLA2G4B,PLA2G4B,PTPRC,PIK3R1,LYN,ASAP1,CFL1,PIP5K1C,VAV1,MARCKS,CDC42,AKT3
hsa04510	Focal adhesion	36	195	1.28	4.74	1.67e-31	9606.ENSP00000200181,9606.ENSP00000222390,9606.ENSP00000263025,9606.ENSP00000263464,9606.ENSP00000282397,9606.ENSP00000295006,9606.ENSP00000296585,9606.ENSP00000300574,9606.ENSP00000314067,9606.ENSP00000317272,9606.ENSP00000324532,9606.ENSP00000326031,9606.ENSP00000327290,9606.ENSP00000346508,9606.ENSP00000346839,9606.ENSP00000355751,9606.ENSP00000357883,9606.ENSP00000358723,9606.ENSP00000358866,9606.ENSP00000359073,9606.ENSP00000364995,9606.ENSP00000366182,9606.ENSP00000371897,9606.ENSP00000378517,9606.ENSP00000379350,9606.ENSP00000382697,9606.ENSP00000389168,9606.ENSP00000400175,9606.ENSP00000428056,9606.ENSP00000452786,9606.ENSP00000458162,9606.ENSP00000463559,9606.ENSP00000466363,9606.ENSP00000472929,9606.ENSP00000497733,9606.ENSP00000500582	ITGB4,HGF,MAPK3,BIRC3,FLT1,CAPN2,ITGA2,CRK,PAK2,MET,LAMA3,PPP1CA,ITGA11,PDGFA,FN1,THBS2,PIP5K1A,RAP1A,FLNA,VAV3,SHC3,ELK1,ARHGAP5,SPP1,ITGB1,ROCK1,PPP1R12A,RHOA,PIK3R1,ITGB3,ACTG1,MYL12B,PIP5K1C,VAV1,CDC42,AKT3
hsa05165	Human papillomavirus infection	40	324	1.11	3.74	3.56e-29	9606.ENSP00000200181,9606.ENSP00000253413,9606.ENSP00000257430,9606.ENSP00000261461,9606.ENSP00000262320,9606.ENSP00000262367,9606.ENSP00000263025,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000266970,9606.ENSP00000270139,9606.ENSP00000286201,9606.ENSP00000290949,9606.ENSP00000296585,9606.ENSP00000302194,9606.ENSP00000308413,9606.ENSP00000309591,9606.ENSP00000324532,9606.ENSP00000327290,9606.ENSP00000329140,9606.ENSP00000329757,9606.ENSP00000342136,9606.ENSP00000346839,9606.ENSP00000351605,9606.ENSP00000355751,9606.ENSP00000362649,9606.ENSP00000363826,9606.ENSP00000364163,9606.ENSP00000378517,9606.ENSP00000379350,9606.ENSP00000379873,9606.ENSP00000384273,9606.ENSP00000387699,9606.ENSP00000418447,9606.ENSP00000428056,9606.ENSP00000434729,9606.ENSP00000452786,9606.ENSP00000483825,9606.ENSP00000497733,9606.ENSP00000500582	ITGB4,ATP6V1E1,APC,PPP2R5A,AXIN1,CREBBP,MAPK3,WNT5A,WNT2,CDK2,IFNAR1,FZD7,ATP6V0D1,ITGA2,ATP6V1G2,RPS6KB2,PRKACA,LAMA3,ITGA11,CREB3L2,ATP6V0C,CREB3,FN1,FZD6,THBS2,HDAC1,FZD8,NOTCH4,SPP1,ITGB1,HLA-A,RELA,CREB1,PPP2CA,PIK3R1,ATP6V0B,ITGB3,IKBKG,CDC42,AKT3
hsa05205	Proteoglycans in cancer	33	194	1.25	4.27	6.92e-28	9606.ENSP00000222390,9606.ENSP00000229795,9606.ENSP00000263025,9606.ENSP00000264033,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000268182,9606.ENSP00000286201,9606.ENSP00000289104,9606.ENSP00000290277,9606.ENSP00000296585,9606.ENSP00000308413,9606.ENSP00000309591,9606.ENSP00000317272,9606.ENSP00000326031,9606.ENSP00000337261,9606.ENSP00000346839,9606.ENSP00000351605,9606.ENSP00000358866,9606.ENSP00000359073,9606.ENSP00000363826,9606.ENSP00000366182,9606.ENSP00000379350,9606.ENSP00000382697,9606.ENSP00000389168,9606.ENSP00000400175,9606.ENSP00000428056,9606.ENSP00000452786,9606.ENSP00000458162,9606.ENSP00000472929,9606.ENSP00000489597,9606.ENSP00000497733,9606.ENSP00000500582	HGF,MAPK14,MAPK3,CBL,WNT5A,WNT2,IQGAP1,FZD7,MRAS,ARAF,ITGA2,RPS6KB2,PRKACA,MET,PPP1CA,ARHGEF1,FN1,FZD6,FLNA,VAV3,FZD8,ELK1,ITGB1,ROCK1,PPP1R12A,RHOA,PIK3R1,ITGB3,ACTG1,VAV1,PTPN11,CDC42,AKT3
hsa00190	Oxidative phosphorylation	27	128	1.34	4.34	7.27e-25	9606.ENSP00000016171,9606.ENSP00000184266,9606.ENSP00000229379,9606.ENSP00000252102,9606.ENSP00000253413,9606.ENSP00000258424,9606.ENSP00000259037,9606.ENSP00000266544,9606.ENSP00000290949,9606.ENSP00000299335,9606.ENSP00000302194,9606.ENSP00000306397,9606.ENSP00000317780,9606.ENSP00000329757,9606.ENSP00000359098,9606.ENSP00000364699,9606.ENSP00000367939,9606.ENSP00000389160,9606.ENSP00000407336,9606.ENSP00000429707,9606.ENSP00000434729,9606.ENSP00000441126,9606.ENSP00000458770,9606.ENSP00000466818,9606.ENSP00000467262,9606.ENSP00000483888,9606.ENSP00000497587	COX15,NDUFB4,COX6A1,NDUFA2,ATP6V1E1,COX5B,NDUFB5,NDUFA9,ATP6V0D1,COX11,ATP6V1G2,UQCRFS1,COX5A,ATP6V0C,COX7A2,SDHD,UQCRQ,NDUFA11,NDUFB3,COX6C,ATP6V0B,NDUFC1,NDUFAB1,COX6B1,UQCR11,NDUFB1,NDUFV1
hsa05010	Alzheimer disease	37	354	1.04	3.16	1.07e-24	9606.ENSP00000184266,9606.ENSP00000229379,9606.ENSP00000252102,9606.ENSP00000257430,9606.ENSP00000258424,9606.ENSP00000259037,9606.ENSP00000262320,9606.ENSP00000263025,9606.ENSP00000264634,9606.ENSP00000265441,9606.ENSP00000266544,9606.ENSP00000286201,9606.ENSP00000290277,9606.ENSP00000295006,9606.ENSP00000306397,9606.ENSP00000317780,9606.ENSP00000336790,9606.ENSP00000351605,9606.ENSP00000359098,9606.ENSP00000360058,9606.ENSP00000363081,9606.ENSP00000363826,9606.ENSP00000364699,9606.ENSP00000365042,9606.ENSP00000367939,9606.ENSP00000384273,9606.ENSP00000389160,9606.ENSP00000407336,9606.ENSP00000428056,9606.ENSP00000429707,9606.ENSP00000441126,9606.ENSP00000458770,9606.ENSP00000466818,9606.ENSP00000467262,9606.ENSP00000483888,9606.ENSP00000497587,9606.ENSP00000500582	NDUFB4,COX6A1,NDUFA2,APC,COX5B,NDUFB5,AXIN1,MAPK3,WNT5A,WNT2,NDUFA9,FZD7,ARAF,CAPN2,UQCRFS1,COX5A,ATF4,FZD6,COX7A2,FRAT2,DKK1,FZD8,SDHD,CSNK2B,UQCRQ,RELA,NDUFA11,NDUFB3,PIK3R1,COX6C,NDUFC1,NDUFAB1,COX6B1,UQCR11,NDUFB1,NDUFV1,AKT3
hsa04014	Ras signaling pathway	31	225	1.16	3.55	8.39e-24	9606.ENSP00000222390,9606.ENSP00000241453,9606.ENSP00000243501,9606.ENSP00000263025,9606.ENSP00000263088,9606.ENSP00000264972,9606.ENSP00000267843,9606.ENSP00000282397,9606.ENSP00000289104,9606.ENSP00000298316,9606.ENSP00000309591,9606.ENSP00000314067,9606.ENSP00000317272,9606.ENSP00000346508,9606.ENSP00000352414,9606.ENSP00000354952,9606.ENSP00000358723,9606.ENSP00000364995,9606.ENSP00000366182,9606.ENSP00000371886,9606.ENSP00000384273,9606.ENSP00000385886,9606.ENSP00000393847,9606.ENSP00000396045,9606.ENSP00000400175,9606.ENSP00000410294,9606.ENSP00000428056,9606.ENSP00000483825,9606.ENSP00000489597,9606.ENSP00000497733,9606.ENSP00000500582	HGF,FLT3,PLA2G12A,MAPK3,PLD2,ZAP70,FGF7,FLT1,MRAS,ARF6,PRKACA,PAK2,MET,PDGFA,FGF17,GAB2,RAP1A,SHC3,ELK1,JMJD7-PLA2G4B,RELA,RASGRP3,PLA2G10,PLA2G4B,RHOA,FGFR2,PIK3R1,IKBKG,PTPN11,CDC42,AKT3
hsa04714	Thermogenesis	29	226	1.13	3.24	1.83e-21	9606.ENSP00000016171,9606.ENSP00000184266,9606.ENSP00000229379,9606.ENSP00000229795,9606.ENSP00000252102,9606.ENSP00000258424,9606.ENSP00000259037,9606.ENSP00000266544,9606.ENSP00000299335,9606.ENSP00000306397,9606.ENSP00000308413,9606.ENSP00000309591,9606.ENSP00000317780,9606.ENSP00000329140,9606.ENSP00000342136,9606.ENSP00000359098,9606.ENSP00000364699,9606.ENSP00000367939,9606.ENSP00000387699,9606.ENSP00000389160,9606.ENSP00000407336,9606.ENSP00000429707,9606.ENSP00000441126,9606.ENSP00000458162,9606.ENSP00000458770,9606.ENSP00000466818,9606.ENSP00000467262,9606.ENSP00000483888,9606.ENSP00000497587	COX15,NDUFB4,COX6A1,MAPK14,NDUFA2,COX5B,NDUFB5,NDUFA9,COX11,UQCRFS1,RPS6KB2,PRKACA,COX5A,CREB3L2,CREB3,COX7A2,SDHD,UQCRQ,CREB1,NDUFA11,NDUFB3,COX6C,NDUFC1,ACTG1,NDUFAB1,COX6B1,UQCR11,NDUFB1,NDUFV1
