"Gene","logFC","baseMean","stat","P.Value","adj.P.Val"
"LOC105375520",2.45493712329304,54.180909236938,4.81265497684481,1.48938293257104e-06,0.0354473137951907
"COMP",3.94592879061952,684.350469754201,4.64255214664918,3.44131746533239e-06,0.0409516778374555
"SNORA120",-1.80266517547263,13.8031750807234,-4.4323657877222,9.32047198188082e-06,0.0739424110562545
"TGM3",5.6738043416011,583.911006040234,4.25613434283122,2.07991758630273e-05,0.123755096385012
"KRT76",4.74274398412209,70.7853145481569,4.19846156175509,2.68734456885357e-05,0.12791760147743
"ZCCHC12",-3.59013764390681,263.602795523795,-4.09005458160674,4.31271686369623e-05,0.151045643800376
"LOC105378485",4.06310186558035,52.1094979735596,4.08317162032273,4.44251893530518e-05,0.151045643800376
"GGT8P",3.62627548915381,18.5541900627581,3.96433750591343,7.36000606847607e-05,0.20343815247778
"SLC7A11",2.30707483582067,54.6872394274764,3.95376679503656,7.69303937941184e-05,0.20343815247778
"PLA1A",-1.57128771068037,38.2236375778615,-3.88290636860426,0.000103215320393405,0.236011657486864
"AFG2B",0.915225798532719,240.364815520079,3.83497383799337,0.00012557766039302,0.236011657486864
"RNU4-1",2.19500663556196,64.978201822057,3.83187534687667,0.000127170172336488,0.236011657486864
"PGR",-2.15275429602829,2421.40727950625,-3.81490770028048,0.000136233844013958,0.236011657486864
"NTF3",-1.18544835865903,67.2550073817093,-3.81024278516931,0.000138830386756979,0.236011657486864
"LOC107984591",-1.86689756724927,177.967459185563,-3.7675746299894,0.000164841269697103,0.249043699981461
"TYRO3",0.943568568420455,706.813263068373,3.75263211323468,0.00017498755940232,0.249043699981461
"RNF222",2.45389344827193,70.264408743983,3.74850984344647,0.000177888357129615,0.249043699981461
"ZNF608",-0.74689729172336,398.8894777579,-3.73047782763369,0.000191116962838274,0.252699095308384
"LEF1",-1.19447202612777,150.652919985586,-3.71158673763096,0.000205964064789691,0.257997091683929
"SMOC1",-2.46013284791289,112.973066030314,-3.63158126326714,0.00028168992601456,0.328303715409477
"PDE8B",-1.91333497248224,347.544416989634,-3.62435833349415,0.000289679748890715,0.328303715409477
"SLC2A4",-1.85296523992301,236.350175743492,-3.59570850212561,0.000323509895137438,0.330887472993978
"LOC221946",2.0506432687129,389.877877710612,3.59540698139935,0.000323884842253421,0.330887472993978
"GREB1",-1.35047029845069,1278.79934896306,-3.58757007760062,0.000333774042520156,0.330887472993978
"SLC25A2",1.61180700209001,18.4459656959993,3.5769919485834,0.000347570874993675,0.330887472993978
"LINC02600",-2.31005452219414,149.60950767555,-3.56298031326116,0.000366668186957768,0.335642417292111
"LRR1",0.9894893903606,62.7507272605874,3.53615944173764,0.000405989582153971,0.338710954940099
"COCH",-1.72195857390686,183.177952240729,-3.52944908213495,0.000416425829115509,0.338710954940099
"SNORD31",1.38990565258246,31.278728145855,3.52448729975508,0.000424303154105602,0.338710954940099
"MGAT4A",-0.541073083572542,365.115025369782,-3.52284151606061,0.000426946581857268,0.338710954940099
"RPSAP9",1.27387841117377,38.7265687730052,3.47430185232845,0.00051218449673993,0.375277589376246
"METTL2A",0.609531633726517,164.870712999483,3.47275103541997,0.000515152988167357,0.375277589376246
"SORBS2",-1.29596633156188,1331.78707031118,-3.47005960642061,0.000520342876025887,0.375277589376246
"VSIG10L2",1.89576464390118,109.027389677821,3.45220660655231,0.000556021798037993,0.378813729393482
"NKD1",-1.5936436612501,792.255344543369,-3.45169405023418,0.000557079013813944,0.378813729393482
"YBX2",-1.26008090627186,37.6526807965726,-3.42142007616599,0.000622950315243321,0.405868885666388
"SLC47A1",-1.49308139944707,274.379246630334,-3.41577549271327,0.00063600659352043,0.405868885666388
"CDA",2.18886747310764,152.413978460159,3.41067368910383,0.000648025951904317,0.405868885666388
"PRKCB",-1.3743089876588,376.660656627304,-3.39860110754998,0.000677314225943247,0.413335348139725
"DGAT2",2.12532048113511,159.852478196403,3.37891926940857,0.000727713743952097,0.432989677651498
"KCNJ3",-2.55500072487329,33.1760105519263,-3.3639431370313,0.00076837372656773,0.434449335496206
"ABCC6",1.33111762803736,120.103337517875,3.35882594105361,0.000782743526564655,0.434449335496206
"LOC101928317",1.36818054835341,34.3122599975941,3.35805516269678,0.000784929471694827,0.434449335496206
"IGLON5",2.42550420517505,48.9133190449997,3.35151293151305,0.000803712852504973,0.434735588400417
"FBN2",-1.33698067601873,205.077761354789,-3.33621458646253,0.000849275827977121,0.439603300734009
"OTOP2",3.40419275468814,60.1634332520584,3.32650480162907,0.00087942504674016,0.439603300734009
"ADRA2C",-2.11565436603755,247.042707437169,-3.31888101326341,0.000903789313203549,0.439603300734009
"PCDH20",-1.58026947768259,87.196676262229,-3.31866753764462,0.000904480462063962,0.439603300734009
"WNT16",-1.96892783338028,83.4330350219433,-3.30236953169917,0.000958716762449052,0.439603300734009
"LIPG",2.75501286004681,241.176189429789,3.29820893953905,0.000973037002891014,0.439603300734009
"STARD13",-1.16273613488497,1004.61483981581,-3.2931221257629,0.000990814270922129,0.439603300734009
"LINC01605",1.95673415362144,73.758032673758,3.29223543514088,0.000993943661631938,0.439603300734009
"KPRP",3.23080672918173,11.4164569544441,3.29103304012834,0.00099820188470018,0.439603300734009
"C1orf198",-0.919144697689269,1502.09810145453,-3.2897752337245,0.00100267441421868,0.439603300734009
"RGS5",-1.1659077029413,1666.6778524684,-3.28608874545935,0.00101588998068784,0.439603300734009
"ALOX12B",3.0376813643164,393.234373666556,3.2731414032365,0.00106359254150764,0.452026830140749
"GSDMA",2.3721568343756,22.6293220962723,3.26656801044758,0.00108859656068608,0.454356661560495
"DST",-0.743018278722431,11860.3580176974,-3.25808980859897,0.00112164902842641,0.454356661560495
"VSIG10L",2.22535917047659,470.519411320437,3.25690370971804,0.00112634634588526,0.454356661560495
"PXK",-1.00343306833101,845.402203616948,-3.24545043293233,0.00117264977077097,0.458546640314198
"MACROD2",-1.53501341828534,122.376435311379,-3.24279237224544,0.00118364434264075,0.458546640314198
"DHRSX",-0.520207884173769,194.705339560105,-3.23638122001319,0.00121055595535356,0.458546640314198
"NHS",-0.72670177578918,546.369596991262,-3.22812732849604,0.00124603498065427,0.458546640314198
"MIR5008",2.29829132540049,42.1217778309155,3.22141413718404,0.00127559677746501,0.458546640314198
"CPLX1",-1.03127732463987,102.287408376838,-3.21742248636875,0.00129347973012678,0.458546640314198
"LOC107985075",2.89135091759802,103.266325040438,3.21262849175907,0.00131526300419617,0.458546640314198
"LOC100506071",-1.49047906676048,59.0045497844181,-3.20940533963642,0.00133009835559948,0.458546640314198
"UPK1A",2.40925697175332,51.9129219840233,3.20739814873936,0.00133941479755461,0.458546640314198
"MIR6724-3",-1.93319825216572,14.6204134152685,-3.20379907672994,0.00135627091656339,0.458546640314198
"PCSK2",-1.51170479050711,88.8324399693062,-3.20196425811321,0.00136493932642887,0.458546640314198
"C17orf67",-0.722746638701746,91.690760725667,-3.1953616297862,0.0013965573138643,0.458546640314198
"AMIGO2",-1.3460789749177,313.942670731468,-3.19509264875388,0.00139785958700159,0.458546640314198
"SLC15A1",2.73700449223475,48.637946099068,3.19107373535986,0.00141745100367233,0.458546640314198
"LOC112267909",1.72925230253526,13.6405285237603,3.18835502171214,0.00143084741270327,0.458546640314198
"CAV1",-0.71899729312026,2525.12327564122,-3.18550823419994,0.0014449999169565,0.458546640314198
"PGR-AS1",-1.50600931386794,83.9235170215665,-3.16654830971319,0.00154259720942547,0.462877682198169
"VSTM2B",-2.37006850353248,37.7871877207706,-3.16589215230028,0.00154608104635547,0.462877682198169
"SLC28A3",2.0503066934268,67.8633630989084,3.16229574524093,0.00156530503355395,0.462877682198169
"RNF216-IT1",-1.26041401570877,41.6334010003137,-3.16173503625024,0.00156832196469823,0.462877682198169
"POU3F1",1.9905937672661,60.9425157936611,3.16063492109118,0.00157425676873649,0.462877682198169
"TMEM14EP",-0.607693936764222,226.699438281836,-3.16043453625121,0.00157534001084251,0.462877682198169
"MIR6724-1",-1.90183415791828,27.4854034505609,-3.14469240058453,0.00166261543623977,0.48256399246959
"LINC02487",2.90726202875389,83.571285903641,3.1372530191417,0.00170538887390373,0.489015122878418
"KRT78",4.45672639933631,328.316512634431,3.1208905455784,0.00180305037190546,0.498400672867522
"NOSTRIN",-1.26505038216064,233.793502007417,-3.12048532531138,0.00180553293839623,0.498400672867522
"ACER1",2.47769100108252,34.7770534129372,3.11943001448442,0.00181201301120941,0.498400672867522
"CPAMD8",-1.87822671989638,258.236632260765,-3.11782899200026,0.00182188481258296,0.498400672867522
"RGL3",-1.17878118690031,147.175687535049,-3.11135009465913,0.0018623400237293,0.503678324599515
"CCNYL6",1.06202229077566,41.8577967535348,3.10367712412897,0.00191131789444229,0.511116470648611
"GAS6-DT",-1.26344463980104,34.6209237403455,-3.0970595212025,0.00195450625302233,0.516858320243683
"IGKV2-30",2.1083116528953,19.2421188439163,3.08549203784646,0.00203215664968716,0.526202583517063
"FABP3",-1.24659354103124,147.564089330377,-3.07798193636175,0.00208407547489034,0.526202583517063
"CST6",2.96106895233489,36.614147518547,3.07430780273914,0.00210991621739006,0.526202583517063
"RGS7BP",-1.7651066199559,64.1056084207003,-3.07203409970731,0.00212605436185952,0.526202583517063
"CHRND",1.72576921352142,17.138653622825,3.07045814793403,0.00213730638348661,0.526202583517063
"USH1G",2.59874876479882,98.5443915697147,3.06959104349474,0.00214352061975511,0.526202583517063
"AFAP1L2",-0.744773275703507,1001.72740502484,-3.06653877959494,0.00216552715836811,0.526202583517063
"LEP",3.11611190453581,40.8241081623391,3.06269823647907,0.00219351134470313,0.526202583517063
"TACR1",-0.97111727689682,279.284833775495,-3.06192400066585,0.00219919281843307,0.526202583517063
"SNHG11",0.670708884516339,94.2436478263679,3.05864871148828,0.00222337697033535,0.526202583517063
"LGR5",2.11327665684757,38.0710596824244,3.05734854272196,0.00223304457711023,0.526202583517063
"AKR1C2",1.32832310161038,281.862417996481,3.04627432116253,0.00231696339893328,0.535268440551802
"MUSTN1",-1.03355479551284,70.1880091837222,-3.04219026246315,0.00234863390443415,0.535268440551802
"ANTXR1",-0.964378121669137,3452.45760881958,-3.04199583692349,0.00235015144785824,0.535268440551802
"MIR6724-2",-1.74068170005227,36.5692846559509,-3.04054826230663,0.00236147841419912,0.535268440551802
"LOC102723568",2.49705143275519,19.0803264235398,3.03448306965963,0.00240948278814913,0.540997078848578
"MED18",1.14854939597506,165.414785120414,3.02824373320597,0.00245979606587421,0.547132209044918
"MAP6D1",0.815139796895577,51.0639419864409,3.01926221105892,0.00253391119254488,0.556515594788474
"ABCB1",-0.934125286666031,192.975315365114,-3.01749316445432,0.00254874789209847,0.556515594788474
"LOC105373422",0.934112643405056,32.5304674914393,3.01125448979502,0.0026017069975684,0.560972498793142
"NOG",-2.38969538771207,30.0110581576241,-3.00556553625216,0.00265087463832289,0.560972498793142
"CISD1",0.617852913903433,66.7055104059219,3.00525314352092,0.00265359898100125,0.560972498793142
"PLIN1",2.72827206480703,147.184813744747,3.00412704037856,0.0026634408556145,0.560972498793142
"MIR6516",1.63228996068641,53.0350099196697,2.99525550746263,0.00274215035776098,0.567386589492206
"ADM-DT",1.68975911069464,23.2169630422951,2.99208500895458,0.0027707909576373,0.567386589492206
"WDR12",0.830041181342998,336.334265220642,2.9862579140913,0.00282414345073693,0.567386589492206
"SFT2D3",0.652940231500101,80.6267767111214,2.98486532793007,0.00283703198417716,0.567386589492206
"ANKRD44",-0.792995701003882,707.857865821872,-2.98279948408939,0.00285625053883141,0.567386589492206
"MYL9",-1.30584996951638,5934.6412340432,-2.98139078426162,0.00286942375981161,0.567386589492206
"LOC107985980",1.69351692302829,32.1962970608849,2.98099145171854,0.00287316812828139,0.567386589492206
"SNORA104",-1.04994406236909,54.8627746992822,-2.97814060937613,0.00290002909652451,0.567386589492206
"TCIM",-1.19369811140196,103.10454992768,-2.97725159425274,0.00290845226546425,0.567386589492206
"SHISA6",-1.45890035806826,217.993375400923,-2.9703598605658,0.00297451084211438,0.569540319720916
