"ProbeSet","GeneDescription","GeneSymbol","Direction","RMA_pvalue","RMA_FoldChange","MAS5_pvalue","MAS5_FoldChange","logFC","logFC_POP","Direction_POP","Concordant"
41469,"Protease inhibitor 3, skin-derived (SKALP)","PI3","up",1e-04,6.6,1e-04,11.3,2.72246602447109,0.96095530951785,"up",TRUE
201577,"Non-metastatic cells 1, protein (NM23A) expressed in","NME1","up",0.0023,2,1e-04,1.8,1,0.971035205479057,"up",TRUE
202489,"FXYD domain containing ion transport regulator 3","FXYD3","up",0.0217,2.8,0.0168,8.7,1.48542682717024,1.07018573200706,"up",TRUE
202712,"Creatine kinase, mitochondrial 1 (ubiquitous)","CKMT1A","up",0.0098,2.4,0.0111,3,1.26303440583379,2.61521655016902,"up",TRUE
203362,"MAD2 mitotic arrest deficient-like 1 (yeast)","MAD2L1","up",0.0033,1.2,1e-04,2.6,0.263034405833794,0.606154893438171,"up",TRUE
203699,"Deiodinase, iodothyronine, type II","DIO2","up",0.0041,1.6,0.0019,3.5,0.678071905112638,-1.35305752286621,"down",FALSE
204170,"CDC28 protein kinase regulatory subunit 2","CKS2","up",0.0036,1.7,0.0091,3.2,0.765534746362977,0.651705977003886,"up",TRUE
204240,"SMC2 structural maintenance of chromosomes 2-like 1 (yeast)","SMC2","up",0.0028,1.4,1e-04,2.2,0.485426827170242,0.0751173790916355,"up",TRUE
204268,"S100 calcium binding protein A2","S100A2","up",7e-04,5.9,0.0015,6.2,2.56071495447448,2.19067439332567,"up",TRUE
204602,"Dickkopf homolog 1 (Xenopus laevis)","DKK1","up",0,2.9,6e-04,2.8,1.53605290024021,0.207418582999846,"up",TRUE
204636,"Collagen, type XVII, alpha 1","COL17A1","up",0.0089,2.5,0.0108,5.9,1.32192809488736,1.36356104066328,"up",TRUE
204661,"CDW52 antigen (CAMPATH-1 antigen)","CD52","up",0.0133,1.6,0.0066,4.1,0.678071905112638,0.863310467363017,"up",TRUE
205157,"Keratin 17","KRT17","up",0.0134,5.5,0.002,10.3,2.4594316186373,1.07584615339939,"up",TRUE
205403,"Interleukin 1 receptor, type II","IL1R2","up",0.0095,2.7,0.0163,5.4,1.43295940727611,-0.0647675828090491,"down",FALSE
205569,"Lysosomal-associated membrane protein 3","LAMP3","up",2e-04,1.5,0,7.1,0.584962500721156,1.12405112798554,"up",TRUE
205724,"Plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)","PKP1","up",0.0044,1.9,0,2.8,0.925999418556223,1.79547238566478,"up",TRUE
205891,"Adenosine A2b receptor","ADORA2B","up",0.0181,1.5,5e-04,2.1,0.584962500721156,0.998185173089102,"up",TRUE
205916,"S100 calcium binding protein A7 (psoriasin 1)","S100A7","up",0.0101,9.9,0.0051,10.7,3.30742852519225,1.38777873108215,"up",TRUE
206034,"Serpin peptidase inhibitor, clade B (ovalbumin), member 8","SERPINB8","up",0.0084,1.4,3e-04,2.4,0.485426827170242,0.884157640725814,"up",TRUE
206561,"Aldo-keto reductase family 1, member B10 (aldose reductase)","AKR1B10","up",0.0066,5.1,0.0082,8.1,2.35049724708413,2.71260520810058,"up",TRUE
208936,"Lectin, galactoside-binding, soluble, 8 (galectin 8)","LGALS8","up",0.0215,1.3,0.0086,1.5,0.37851162325373,0.130114385048513,"up",TRUE
209008,"Keratin 8","KRT8","up",0.0054,1.2,3e-04,2.1,0.263034405833794,0.971267185003661,"up",TRUE
209351,"Keratin 14 (epidermolysis bullosa simplex, Dowling-Meara, Koebner)","KRT14","up",0.006,5.5,0.0137,5,2.4594316186373,1.33263714120938,"up",TRUE
209800,"Keratin 16 (focal non-epidermolytic palmoplantar keratoderma)","KRT16","up",0.0048,5.9,0.0043,6.4,2.56071495447448,1.3972518463517,"up",TRUE
211195,"Tumor protein p73-like","TP63","up",0.0182,1.5,0.0016,1.9,0.584962500721156,1.31585428081676,"up",TRUE
211368,"Caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)","CASP1","up",0.0221,1.6,2e-04,2.5,0.678071905112638,0.106610120230164,"up",TRUE
212141,"MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)","MCM4","up",0.0102,1.4,0.0029,2.9,0.485426827170242,1.07872155624407,"up",TRUE
212978,"T-cell activation leucine repeat-rich protein","LRRC32","up",0.0116,1.3,0,2,0.37851162325373,-0.330379435224259,"down",FALSE
218182,"Claudin 1","CLDN1","up",0.0095,1.4,0.0021,2.9,0.485426827170242,1.46403429060515,"up",TRUE
218567,"Dipeptidylpeptidase 3","DPP3","up",7e-04,1.4,0,3,0.485426827170242,0.630958321570869,"up",TRUE
219148,"T-LAK cell-originated protein kinase","PBK","up",0.0018,1.4,0.0077,5.5,0.485426827170242,1.7247878287312,"up",TRUE
219423,"Tumor necrosis factor receptor superfamily, member 25","TNFRSF25","up",0.0018,1.5,0,2.2,0.584962500721156,0.317844568488544,"up",TRUE
32625,"Natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)","NPR1","down",0.0062,0.8,4e-04,0.3,-0.321928094887362,-0.302895271422817,"down",TRUE
200810,"Cold inducible RNA binding protein","CIRBP","down",0.0043,0.7,5e-04,0.7,-0.514573172829758,-0.176272507560571,"down",TRUE
201535,"Ubiquitin-like 3","UBL3","down",0.0106,0.6,0,0.5,-0.736965594166206,-0.163178806452969,"down",TRUE
201591,"Nischarin","NISCH","down",0.0134,0.7,0.0022,0.6,-0.514573172829758,-0.310226489343681,"down",TRUE
202191,"Growth arrest-specific 7","GAS7","down",0.004,0.6,3e-04,0.5,-0.736965594166206,-0.130348971058723,"down",TRUE
