"Gene","logFC","AveExpr","t","P.Value","adj.P.Val"
"NLGN4X",-3.45696039349606,-1.91668750075968,-5.20339687098622,0.000159050540670347,0.999833750721236
"ABHD11-AS1",-2.41869932027158,-0.623452966517761,-5.04208930706931,0.000211769428570676,0.999833750721236
"RASSF2",1.62655725739909,5.06813327177103,4.6250589497316,0.000450936890604163,0.999833750721236
"PLAT",1.39809773595255,8.78001951843223,4.61970610580209,0.000455397421438346,0.999833750721236
"CAMK1D",0.900741667739654,4.49506614054435,4.6146375315361,0.000459663196844769,0.999833750721236
"STK33",-0.959540200549041,1.20363626723286,-4.1027924043474,0.00119627734717631,0.999833750721236
"SSFA2",0.637174951771778,7.29610945027183,4.00388133230329,0.00144359086627956,0.999833750721236
"MBOAT1",0.949011734695518,1.59752666095353,3.99001673713497,0.00148222512007583,0.999833750721236
"FAM86B3P",1.03706426564923,1.26817259550316,3.93950167356604,0.00163216810100987,0.999833750721236
"PPP2R2B",-2.58833462106182,-1.54917674132732,-3.91714463151655,0.00170339967667803,0.999833750721236
"COL25A1",-1.96004012656294,0.451117599031798,-3.88265168750378,0.00181958590024931,0.999833750721236
"ASAP2",0.490246527740805,5.18950298873406,3.8798065030662,0.00182952390809011,0.999833750721236
"MT1F",-1.60855492810478,0.207766033313824,-3.80077671060908,0.00212887445048542,0.999833750721236
"AKAP6",3.1787791800262,1.23429631422282,3.77089349410986,0.00225468566475415,0.999833750721236
"PDE3A",-1.95801582188911,2.61882006067182,-3.76710463027889,0.00227116927289554,0.999833750721236
"RP11-497E19.1",-2.55487026216379,-1.60445118143354,-3.75860283149934,0.0023086047100337,0.999833750721236
"ENPEP",-1.19062756076173,0.647798181407442,-3.60041060689728,0.003131934031559,0.999833750721236
"PLCXD3",2.21362654898155,0.895625212529471,3.59160561580101,0.00318568827748636,0.999833750721236
"PLAC1",-2.31665829294708,-0.936264079663397,-3.58392853899142,0.00323331910704849,0.999833750721236
"COL13A1",1.07109822550771,4.07187096249874,3.53509485038558,0.00355365390034368,0.999833750721236
"PTPN3",-2.30515899912335,-0.691693763526878,-3.53278506989592,0.00356957730762327,0.999833750721236
"ZNF560",0.853222434900336,0.792953890137145,3.51798913346806,0.00367330495253465,0.999833750721236
"MAP3K3",0.373738532956566,5.23845403238122,3.50055579936159,0.00379944068653386,0.999833750721236
"MEOX2",-2.82644241175789,1.29616163656481,-3.42926039425158,0.0043624955466393,0.999833750721236
"LINC00578",0.778631879419135,3.78727728385858,3.40746164679971,0.00455091939342638,0.999833750721236
"MLPH",1.63538640030575,4.35213261706466,3.39379987933407,0.00467316717368743,0.999833750721236
"CTC-575D19.1",-0.502277051388681,5.37185400646394,-3.38058791568022,0.00479453465659391,0.999833750721236
"AC091133.1",1.27279822506395,-1.1777613910504,3.35006395275327,0.0050872033112707,0.999833750721236
"SCG2",-2.3569161811474,0.173896292908658,-3.34059738944494,0.00518157075480761,0.999833750721236
"EFNA5",-1.34350705142619,0.721797839207997,-3.33131551863147,0.00527580519364896,0.999833750721236
"AGTR1",-2.08249217197107,0.159233374574582,-3.30519834842953,0.00555030078355238,0.999833750721236
"ABCC4",0.734474730542809,5.55600983937116,3.28706470460081,0.00574927831121469,0.999833750721236
"C1orf115",1.24736995552365,2.77043580430539,3.27930149554516,0.00583663573238762,0.999833750721236
"PITX1",1.65684789834234,2.95611562503764,3.2432060732713,0.00626061244361896,0.999833750721236
"PIM3",0.609336514518605,3.11132462457908,3.23945063308807,0.00630645879033793,0.999833750721236
"TNFRSF19",0.688061762260076,5.84802414577802,3.21254486263272,0.0066449022474115,0.999833750721236
"USP44",1.4533747447181,2.66870169140413,3.20881576880706,0.00669322225453589,0.999833750721236
"PDE9A",1.53792995120252,1.53276655431301,3.2044011068878,0.00675087999223471,0.999833750721236
"ARMC9",0.821314388707929,6.41627294338985,3.19295264989957,0.00690272694936267,0.999833750721236
"DLL1",1.61875685341468,2.47452386044102,3.19131031183126,0.00692478837559408,0.999833750721236
"IL32",1.51811251484475,3.02005102219665,3.1741064881202,0.0071601634634836,0.999833750721236
"NKD2",1.95052352989179,-1.36162681704983,3.15217920979936,0.00747177871081308,0.999833750721236
"AARD",-1.66812407191495,-1.1063175048001,-3.14536111496868,0.00757140402045289,0.999833750721236
"ARHGAP23",0.549255008908906,6.04638135079428,3.14263370042522,0.00761162679585661,0.999833750721236
"CSF1",0.538365121310368,5.98697630760223,3.13662496308521,0.00770099467730791,0.999833750721236
"DIXDC1",0.549296477774315,4.77665194431109,3.13309717992805,0.00775395003257513,0.999833750721236
"PCLO",-1.01044973502459,-0.207713524362712,-3.13309119032297,0.00775404025023175,0.999833750721236
"MARCKS",-0.523833554733611,7.10518418531542,-3.10832589732832,0.00813615313087162,0.999833750721236
"VLDLR-AS1",-2.41604704649078,0.161325665521742,-3.09346776936836,0.00837434751628272,0.999833750721236
"CYTL1",-2.1776788091188,0.207777066361816,-3.08723851802192,0.0084762636426501,0.999833750721236
"MXRA5",0.857170957553974,8.367706282126,3.08596037904506,0.00849732725244091,0.999833750721236
"CRISPLD1",-2.0187679358844,1.3763264725871,-3.08131001468718,0.00857440520677883,0.999833750721236
"TOR4A",0.62876502204982,3.85832682166576,3.07986541739897,0.00859849013169557,0.999833750721236
"AGTPBP1",-0.566370713807777,2.79908329513397,-3.07331165179668,0.00870860511891514,0.999833750721236
"RNF180",-1.27402097249151,-0.173355970787098,-3.05595639927476,0.00900702374565659,0.999833750721236
"IKBKB",0.565688720669052,5.75047825082624,3.04999327442226,0.0091118862039288,0.999833750721236
"RP11-47I22.4",-1.52329446835637,-0.446305916607543,-3.04947032960573,0.00912113990958304,0.999833750721236
"POT1-AS1",-2.22602629293598,-1.36432298650089,-3.0104966253608,0.00983770900343592,0.999833750721236
"P2RX7",1.26656853108755,1.20067186539971,3.00986526989746,0.00984976533215615,0.999833750721236
"BCHE",-3.01020414804335,-1.14698895167787,-3.00712178100261,0.0099023252202721,0.999833750721236
"MALL",2.73599792835084,-1.73398200109611,3.00551303461178,0.00993327489858326,0.999833750721236
"SMYD3",-0.639812393070533,5.09348428511644,-3.00267359200429,0.00998813536134474,0.999833750721236
"B3GALNT1",-0.431113258061378,3.5149998920471,-3.00241829714442,0.00999308256813027,0.999833750721236
"AFAP1L2",1.44213737254127,2.34327189931221,2.99761622472874,0.0100865928790874,0.999833750721236
"CYGB",0.699300218312944,4.20003723746171,2.99161012179558,0.0102047705391423,0.999833750721236
"FLRT2",-1.55245691101799,4.05923393154435,-2.98708041736122,0.0102948046877326,0.999833750721236
"PIP5KL1",-1.09435536981181,0.980342323798655,-2.98457465573046,0.0103449477386077,0.999833750721236
"ZFP91-CNTF",0.4180492280749,5.12798574809961,2.97825350077176,0.0104725182766718,0.999833750721236
"HERC2P3",1.28779505299173,2.4427747497733,2.97639987150097,0.0105102218369816,0.999833750721236
"PDK3",-0.636621635068578,1.06652613514867,-2.96806011142936,0.0106815249996408,0.999833750721236
"AC016708.2",-1.9916069380065,2.08377475093117,-2.95961875396326,0.0108577285080902,0.999833750721236
"OLFM1",1.17736849216847,2.12665892749209,2.95745534880358,0.0109033480890158,0.999833750721236
"LIMA1",-0.350930833290492,8.92826640504847,-2.94464987844927,0.0111772839542192,0.999833750721236
"RP1-261D10.2",-0.994701890940964,-0.130795473374556,-2.94390533733845,0.0111934189179775,0.999833750721236
"TSHZ1",0.567313556561704,4.6605647637313,2.93945238264767,0.0112904006877032,0.999833750721236
"ACOT1",-0.922360168809734,1.49472222759733,-2.93504374197682,0.0113872352768205,0.999833750721236
"SAMD9L",0.541566107318911,4.83503602527631,2.92544325099721,0.0116009554220046,0.999833750721236
"IL15",-0.695703805412507,1.80337795605983,-2.92465681239294,0.0116186371795977,0.999833750721236
"ERBB3",-0.956237463228684,-0.546753161162398,-2.92313160630665,0.0116530047800979,0.999833750721236
"OLFML2A",1.45443400669602,6.10963893958477,2.92177630716878,0.0116836280734575,0.999833750721236
"NDUFA4L2",-1.61486518974852,1.86390405938262,-2.91665776774081,0.0118000010174465,0.999833750721236
"CCDC17",0.936492652351956,-1.16570722736434,2.90880208072336,0.0119808336603863,0.999833750721236
"HIF1A",-0.753496870526036,8.84541758152175,-2.90352248159202,0.012103900216863,0.999833750721236
"PRKCH",-1.28531920803066,0.794466563884797,-2.87376425937655,0.012821232892992,0.999833750721236
"RASSF3",0.503725056354931,4.89577244031418,2.86186006522512,0.0131197754851999,0.999833750721236
"TMEM158",1.06544679698523,4.6473392350783,2.85805529378718,0.0132166299353141,0.999833750721236
"AK5",-1.14915076403477,2.93529778331036,-2.85045801974689,0.0134121365493765,0.999833750721236
"KCTD21-AS1",-1.05681005215385,-0.11822300853758,-2.8434623153303,0.0135946770900666,0.999833750721236
"RPL23AP1",0.969712897121181,0.104472416764858,2.83854387371401,0.013724475656576,0.999833750721236
"GPX7",-0.893798005403393,5.13914630904351,-2.83664638993025,0.0137748756453532,0.999833750721236
"STOX2",-1.09348287318759,-1.07538829417522,-2.83362439932037,0.0138555200758629,0.999833750721236
"RNF182",-2.0328537082581,-0.796780849588044,-2.82047116075709,0.0142119638124839,0.999833750721236
"DACH1",2.49765758096586,0.372021055028461,2.81922891662043,0.0142460896963206,0.999833750721236
"ZFPM2",0.606491231360643,3.32369725750593,2.8167929148797,0.0143132432863297,0.999833750721236
"RP11-40C6.2",-0.403219996234266,5.33138608275639,-2.81137198564028,0.0144638002583988,0.999833750721236
"LINC01436",-1.48584743696386,0.409703556103356,-2.80428923198691,0.0146628560957754,0.999833750721236
"EGLN3",1.20331528344077,1.10712046923414,2.80039382954175,0.0147734770162262,0.999833750721236
"RP11-6N17.4",-0.937498414879057,1.98482444401562,-2.79454698325219,0.0149410530805277,0.999833750721236
"DNMBP",0.347136345089958,5.94341615347755,2.78605602714604,0.0151877359544195,0.999833750721236
"SCRN1",0.351757188615078,7.60858546122799,2.7837251744281,0.015256148534935,0.999833750721236
"LRRC37A3",0.752118102371411,1.29546045569171,2.77814652019967,0.0154211158616883,0.999833750721236
"PHGDH",-0.787279697704336,8.21346364709482,-2.7733623797831,0.015563979786977,0.999833750721236
"FAM65B",1.37858689408219,4.16204890337994,2.76857574632698,0.0157082154853902,0.999833750721236
"RP11-65L3.2",0.890671443434543,-0.699831819640287,2.76404935631068,0.0158458131079691,0.999833750721236
"HPSE2",1.36230895488474,4.17747557018352,2.76057257272114,0.0159523044895153,0.999833750721236
"SLC27A5",-0.857063098955645,1.75858761818401,-2.7479316483596,0.0163454226111059,0.999833750721236
