"Pathway","KEGG_ID","Gene","logFC_POP","logFC_SUI","Direction_POP","Direction_SUI","Concordant"
"KEGG 00010","00010","ALDH1A3",0.142167466717554,1.21700973426329,"up","up",TRUE
"KEGG 00010","00010","ADH1A",NA,3.48218016574633,"not tested","up",FALSE
"KEGG 00010","00010","ADH1B",0.292927734887713,NA,"up","not tested",FALSE
"KEGG 00010","00010","ADH1C",-1.94510659046391,3.34880830566278,"down","up",FALSE
"KEGG 00010","00010","ADH5",0.224310571719593,NA,"up","not tested",FALSE
"KEGG 00010","00010","ADH7",NA,4.49006516941542,"not tested","up",FALSE
"KEGG 00010","00010","ALDH2",-0.216009767652506,NA,"down","not tested",FALSE
"KEGG 00010","00010","ALDH1B1",-0.0169927301248998,NA,"down","not tested",FALSE
"KEGG 00010","00010","ALDH3B1",0.276983458687608,-1.62445641137915,"up","down",FALSE
"KEGG 00010","00010","ALDH3B2",NA,2.67497135745949,"not tested","up",FALSE
"KEGG 00010","00010","ALDH9A1",-0.0688166465144466,2.07095585229633,"down","up",FALSE
"KEGG 00010","00010","ALDH3A2",-0.127264361882704,3.06121533807184,"down","up",FALSE
"KEGG 00010","00010","ALDOA",-0.0594449646416049,NA,"down","not tested",FALSE
"KEGG 00010","00010","ALDOB",NA,3.48791956873441,"not tested","up",FALSE
"KEGG 00010","00010","ALDOC",-0.370834267376085,NA,"down","not tested",FALSE
"KEGG 00010","00010","ALDH7A1",-0.13036376473778,NA,"down","not tested",FALSE
"KEGG 00010","00010","BPGM",0.106180959767428,NA,"up","not tested",FALSE
"KEGG 00010","00010","DLAT",-0.0647462835487101,NA,"down","not tested",FALSE
"KEGG 00010","00010","DLD",-0.0645229482370576,NA,"down","not tested",FALSE
"KEGG 00010","00010","ENO1",-0.152861569706276,NA,"down","not tested",FALSE
"KEGG 00010","00010","ENO2",0.251403420591694,NA,"up","not tested",FALSE
"KEGG 00010","00010","ENO3",-0.195657542685422,NA,"down","not tested",FALSE
"KEGG 00010","00010","FBP1",NA,-1.61384858669002,"not tested","down",FALSE
"KEGG 00010","00010","GAPDH",-0.178495361516705,2.18131599656706,"down","up",FALSE
"KEGG 00010","00010","GCK",0.177903327829553,NA,"up","not tested",FALSE
