"Gene","logFC","baseMean","stat","P.Value","adj.P.Val"
"TGM3",5.89667290919034,442.560615212956,5.7894005377777,7.06380702538175e-09,0.000138902701347107
"RNU4-1",2.40360300703781,52.4537857655653,5.33447209330131,9.58229227963933e-08,0.000942130976934139
"VSIG10L",2.6770023559472,370.495541455025,5.11817945938318,3.08498994646376e-07,0.00187558774590682
"LINC01605",2.36737430757457,58.8478075737294,5.07795092441483,3.81527206246302e-07,0.00187558774590682
"ALOX12B",3.69247161289605,300.446788952642,4.97164618807849,6.63867775548072e-07,0.00221238130421074
"UPK1A",2.90220703632076,40.5191439751294,4.94924309544774,7.45026459101251e-07,0.00221238130421074
"MGAT4A",-0.560702601548408,394.349343169455,-4.92933377100751,8.25105059409062e-07,0.00221238130421074
"AFG2B",0.84218683362826,222.979370716704,4.9039259248244,9.39399271085698e-07,0.00221238130421074
"KRTDAP",5.41382273483695,414.979173945218,4.88917723715477,1.01258298097522e-06,0.00221238130421074
"SMOC1",-2.92120978116105,194.916903242924,-4.83574905466499,1.32645177450567e-06,0.00260833476938796
"CDA",2.26893869106852,125.019930011041,4.79751357361668,1.60647326168544e-06,0.0028717900197984
"POU3F1",2.28332526727761,49.1709098706652,4.75497787191113,1.98468154312056e-06,0.00325223148866023
"IGLON5",2.58935703944672,39.3605036707406,4.70692678435915,2.51479176748893e-06,0.00380391271660788
"RGS5",-1.92660118944059,2842.54418080894,-4.66209917629313,3.13000281263845e-06,0.00439631252198018
"MIR5008",2.60262662049778,33.5427979823636,4.62831257391866,3.68657298449241e-06,0.00483285141113725
"KRT10",3.14026982263,827.609745196289,4.5897873464425,4.43697808237066e-06,0.00540819661880263
"LOC107985075",3.39289500669817,79.7145584222562,4.57125766946556,4.84805708793669e-06,0.00540819661880263
"LIPG",2.9788782517356,191.128639786424,4.56546376602845,4.98391280342912e-06,0.00540819661880263
"WDR12",0.903985806037749,303.575842337908,4.55552152158531,5.22557647260222e-06,0.00540819661880263
"RGS7BP",-2.06933805475978,93.1456604846442,-4.49333405045666,7.01166651765504e-06,0.00689387052015844
"ZCCHC12",-3.36764340767719,320.163949958287,-4.4707733180245,7.79372714879083e-06,0.00729789765018204
"KRT78",4.87492496254185,250.26185487886,4.45115800138746,8.54084698608018e-06,0.00763396432428548
