"Gene","logFC","AveExpr","t","P.Value","adj.P.Val"
"LOC102724624",-1.88496884062322,-0.535622644773696,-4.67413117880063,8.27542161638869e-05,0.291136578326638
"INPP4B",-1.05164277256211,4.74722839627317,-4.62798541379529,9.33824009812174e-05,0.291136578326638
"ADRA1D",-1.63721039048156,2.26825251252939,-4.6000325565229,0.000100472767339601,0.291136578326638
"PCED1B",-1.21401546062454,3.43976335479117,-4.55725598023289,0.000112377401196997,0.291136578326638
"IGSF1",-1.73291382952432,1.25618224230946,-4.50050892870399,0.000130368197487187,0.291136578326638
"TYRO3",1.10555194220325,4.98564688773665,4.4667079799412,0.000142420291941839,0.291136578326638
"RPSAP9",1.32391938997733,0.796981056888977,4.4589730324808,0.000145330756301302,0.291136578326638
"CSGALNACT1",-1.10085183790779,5.01064845142825,-4.36770961748033,0.000184483702512633,0.291136578326638
"AFG2B",0.745294626281018,3.592706704224,4.32783453745713,0.000204730349328996,0.291136578326638
"AMIGO2",-1.40574802865764,4.09455509322548,-4.32239904718721,0.000207656071267412,0.291136578326638
"RGS7BP",-2.189533992197,1.65585338417707,-4.30494514293051,0.000217334598926521,0.291136578326638
"SNTB1",-0.911982252102028,3.95766918159742,-4.28563356091981,0.000228566018524304,0.291136578326638
"TMEM14EP",-0.595761109343124,3.7641575858526,-4.26849295246588,0.000239016470843398,0.291136578326638
"C17orf67",-0.712577320442888,2.44366188557509,-4.18816791462772,0.000294662800066148,0.291136578326638
"ABCB1",-1.07229293328245,3.52089840389241,-4.1786382812387,0.000302063582750364,0.291136578326638
"CAVIN2",-1.21369661618963,5.86239848818645,-4.17277450263662,0.00030670864828225,0.291136578326638
"WDR12",0.81739017792476,4.00818783106209,4.15608161203462,0.000320323088449098,0.291136578326638
"MACROD2",-1.68630894778307,2.64527074321904,-4.15049449593714,0.00032501220047484,0.291136578326638
"TOX",-1.45238622729199,1.59955626273528,-4.1439723933834,0.00033057205334115,0.291136578326638
"PBLD",-0.723743677978681,2.93455757366476,-4.09139015564344,0.000378973363583785,0.291136578326638
"GPM6A",-1.70674659331049,2.54306004151379,-4.07548373088784,0.000394950616804586,0.291136578326638
"PLEKHG4",1.11872696032144,4.80762700604156,4.07163309702732,0.000398917441842917,0.291136578326638
"LOC105377663",-1.3235898964638,0.429779308979721,-4.04607473824359,0.000426263517344001,0.291136578326638
"LOC105372249",-1.43445127551222,1.154853799502,-4.03806890899217,0.000435204286825403,0.291136578326638
"LRR1",0.899252944455878,1.64587521995734,4.03624061344007,0.000437271933986758,0.291136578326638
"CBR3",1.13633377929688,3.30551147916333,4.03511717879801,0.000438547252587019,0.291136578326638
"LOC388436",-1.48180626777199,0.21934056312508,-4.02887193352757,0.000445704087584208,0.291136578326638
"ANGPT4",-1.91586707377397,2.03977596188323,-4.00829992018358,0.000470104290766464,0.291136578326638
"RNU4-1",2.10647665955506,0.774206873357224,3.98073384683024,0.000504877866510958,0.291136578326638
"LOC107984113",-2.04063376287293,1.37001053915993,-3.96738491141363,0.000522617093422034,0.291136578326638
"SH2D3C",-0.930026642888594,4.64768544808177,-3.9513438582223,0.00054474829909648,0.291136578326638
"MYLK-AS2",-1.78479064515252,0.114287601482286,-3.94890753646784,0.000548189441948624,0.291136578326638
"ABCG2",-1.15787650779402,3.94936240149722,-3.91536349921696,0.00059780352424388,0.291136578326638
"METTL2A",0.525345508288046,3.15214495967001,3.88074379573272,0.000653643715609041,0.291136578326638
"SLC5A7",-2.16937920268022,0.352819100240316,-3.8776331941552,0.000658905393091985,0.291136578326638
"SEL1L2",-2.94785795803312,0.0827725840987053,-3.87596295410925,0.000661747828457883,0.291136578326638
"CISD1",0.673297418815494,1.77918290026177,3.86954156400375,0.000672788613272344,0.291136578326638
"CARD8",-0.858416266284383,5.29096835853205,-3.86672828224774,0.00067768260243347,0.291136578326638
"PGAM1P5",-1.1173155925735,0.593599873114247,-3.86663055283144,0.000677853240547589,0.291136578326638
"RASSF9",-1.14233766828028,3.18614808094441,-3.85921081227242,0.000690932454091056,0.291136578326638
"RPSA2",0.904289400255835,4.45710819483983,3.85334949717964,0.000701439726903715,0.291136578326638
"LOC105373504",-1.77667595203397,0.736941981265397,-3.84813845968724,0.000710913116711581,0.291136578326638
"KLHL14",-1.47536441283981,1.63411198747104,-3.84745662976505,0.000712161916875709,0.291136578326638
"HCG23",-1.62582193369747,-1.13935267242421,-3.84321234967118,0.000719984132169696,0.291136578326638
"STC2",-1.17934911593905,1.83407741047239,-3.82675433424018,0.000751122964336224,0.291136578326638
"NALF1",-1.33037897003932,2.13080323195595,-3.82524190086478,0.000754050043326876,0.291136578326638
"GIMAP4",-1.18445932218768,3.49349425626186,-3.82229726412085,0.000759781117669118,0.291136578326638
"RGS5",-1.3785810459041,6.69948890638998,-3.79699738108226,0.000810817640433419,0.291136578326638
"LOC101929963",-1.48676073415107,0.800576502426714,-3.79410616920327,0.000816860107137436,0.291136578326638
"PRKACB",-0.846354474684426,4.74211760481503,-3.78661329917785,0.000832726275520237,0.291136578326638
"GRK5-IT1",-0.946549435846342,1.92686722859137,-3.78628078317554,0.000833437345408692,0.291136578326638
"ENTPD1-AS1",-0.752309196766125,2.7706454252818,-3.78584738490998,0.000834365042007651,0.291136578326638
"CPAMD8",-1.68993201130577,3.23223804911547,-3.78005739871938,0.00084685625326216,0.291136578326638
"NEXN",-0.999905724143026,4.30079301425801,-3.7765121250629,0.000854595164170986,0.291136578326638
"SIRT4",1.22962306429474,3.83484176425352,3.77472210262786,0.000858528894229802,0.291136578326638
"ISCU",-0.624236803709426,4.88144292272652,-3.7678383173055,0.00087382283531987,0.291136578326638
"NKD1",-1.51674043032966,5.3209607555597,-3.76491031832161,0.000880408808410303,0.291136578326638
"NOSTRIN",-1.23756934606041,3.56851193224789,-3.76438005875561,0.000881606722771606,0.291136578326638
"KL",-0.985580330377768,2.14142834970692,-3.76324973303112,0.000884165591607294,0.291136578326638
"TMEM273",-0.992492242134896,4.15837761462466,-3.74696767343745,0.000921843823615633,0.291136578326638
"LINC01088",-1.76928661863645,0.343425456762399,-3.74438788166431,0.000927956465696454,0.291136578326638
"SLC2A4",-1.64864430027935,3.33454974241024,-3.74253665052723,0.000932367305223374,0.291136578326638
"SOX5-AS1",-1.34664587460823,0.325414899216023,-3.74190748230403,0.000933871069177901,0.291136578326638
"LINC02600",-2.21540624477648,2.34669488357427,-3.738319292558,0.000942492695290056,0.291136578326638
"MIR143",-2.13826572088205,1.59088159782905,-3.73697375188711,0.000945745807375683,0.291136578326638
"TAL1",-1.04773636322017,4.04979187739224,-3.72322067602725,0.000979634164827832,0.291136578326638
"EME1",0.971908900368195,1.76346092386478,3.71794093071144,0.000992957427452286,0.291136578326638
"RXRG",-1.37638914456666,0.693132008060557,-3.71606270781532,0.000997739741123543,0.291136578326638
"RUNDC3B",-1.00762147759452,1.81828721855602,-3.7090496023923,0.00101579668292651,0.291136578326638
"BTN2A1",-0.575816963231316,4.66211636012527,-3.7023593263871,0.0010333205586869,0.291136578326638
"IPW",-1.12029677471649,2.79221473560058,-3.69881083720838,0.00104273494231974,0.291136578326638
"PPM1B",-0.625964175511861,4.46916774535273,-3.67680916166447,0.00110300959013632,0.291136578326638
"SRR",0.528176802680236,3.52009195541699,3.67446227799127,0.00110963680045336,0.291136578326638
"GNPNAT1",0.636716634088113,4.05011740663644,3.67353445682815,0.00111226754654261,0.291136578326638
"FRMPD3",-1.69236296670044,1.5559282005285,-3.6726881631086,0.00111467245095039,0.291136578326638
"PDZD4",-1.08924338150562,4.85889150242506,-3.64739404317982,0.00118894574853634,0.291136578326638
"MIR6843",-1.45835673352773,-0.376094652554675,-3.64176717855213,0.00120611498131292,0.291136578326638
"LRRTM1",-1.74911545778567,-0.131842594070853,-3.63901368686961,0.00121460479185673,0.291136578326638
"PRKAG2",-0.539154804107821,4.98757695516114,-3.63682549914363,0.00122139323807232,0.291136578326638
"MEF2C",-0.881955482254422,5.02519814609491,-3.63146995820507,0.00123816464044876,0.291136578326638
"PI15",-1.74815544747078,3.82140477941013,-3.62682215132282,0.00125290195735242,0.291136578326638
"PLCXD1",1.02886101925923,4.48586122497807,3.62608105347427,0.00125526762871587,0.291136578326638
"RXFP1",-1.84454086254516,1.047855417671,-3.62392639410545,0.00126217037269152,0.291136578326638
"IL5",-1.1876247216969,1.30804671916545,-3.62308317217056,0.00126488183390826,0.291136578326638
"GRAPL",-1.1910742360034,2.35873960260161,-3.61625757017795,0.00128704069355783,0.291136578326638
"SHC4",-1.59554557877945,0.805948203595706,-3.6068236430904,0.00131829260018808,0.291136578326638
"GIMAP8",-1.04840031077513,4.5825653421757,-3.59912271463885,0.00134435187111683,0.291136578326638
"SLFN5",-0.741466946362823,5.86209088039276,-3.59530164154834,0.00135746806606456,0.291136578326638
"HOXD3",-1.19121433351355,3.02768460380801,-3.58349678117795,0.00139878336596952,0.291136578326638
"PRH1-TAS2R14",-0.655937136391999,2.04986347563923,-3.58323344972033,0.00139971884097003,0.291136578326638
"CADM2",-1.51509731435882,1.54259414520419,-3.57329065130255,0.00143549041681657,0.291136578326638
"RNF216-IT1",-1.06151888215793,1.07070359310921,-3.57323325793938,0.00143569946996479,0.291136578326638
"NEK3",-0.859896412352764,2.72717626469563,-3.5709699356073,0.00144396725667021,0.291136578326638
"RANBP17",-1.30877633170241,2.28897167223368,-3.5689877968763,0.00145124602932244,0.291136578326638
"MRGPRF-AS1",-1.45668168135208,1.8785248947224,-3.56788930868453,0.00145529527716312,0.291136578326638
"LOC401021",-1.41048294498815,2.45225425140763,-3.56283769004106,0.00147405885738965,0.291136578326638
"MGAT4A",-0.772236545797843,4.58564617619434,-3.55973872141603,0.00148568611616363,0.291136578326638
"LOC100288069",-0.576366779019808,3.21206703293895,-3.55932519376107,0.00148724440993954,0.291136578326638
"TAS2R19",-1.1194202695355,1.04562302140683,-3.55908514084543,0.00148814973090792,0.291136578326638
"GRAPL-AS1",-1.32010871486613,-0.726578278401047,-3.55591024112017,0.00150017402454664,0.291136578326638
"RYR2",-1.38525640307846,4.42906872955289,-3.55574504412383,0.00150080226091606,0.291136578326638
"CCDC68",-1.20507280749499,1.52660432651279,-3.55331705813514,0.00151006542043215,0.291136578326638
"HTR1F",-1.22845653559492,0.759627047227572,-3.55092853003169,0.00151923242034052,0.291136578326638
"LINC03006",-0.782160059791896,2.21694836470351,-3.54879716158844,0.00152745824671196,0.291136578326638
"MVK",1.08885711144094,3.81081527750767,3.54774233804298,0.00153154528839465,0.291136578326638
"ENTPD1",-0.771414905480375,6.49208284286578,-3.54344566476237,0.00154830369015881,0.291136578326638
"SNORD26",1.37820514187635,-0.536571504870119,3.54119218203819,0.00155716430603497,0.291136578326638
"CIMIP2A",1.53476113375516,2.87442732600383,3.53639696335031,0.00157618370546564,0.291136578326638
"RNF224",2.00033292744885,1.3938339048161,3.53477507891049,0.00158266771140346,0.291136578326638
"SGSM1",-0.860112873543828,3.64305270360891,-3.53070699290108,0.00159904575369026,0.291136578326638
"YBX2",-1.11600568188914,0.953356255269108,-3.52212413271665,0.00163414366689047,0.291136578326638
"TRIAP1",0.742299053150999,1.8767573756067,3.51402294309093,0.00166795956008883,0.291136578326638
"PAK6-AS1",2.33635537311313,-0.879108197623153,3.50946367468248,0.00168728944232445,0.291136578326638
"DGKG",-1.46828169180658,3.46817685877067,-3.50791055083312,0.00169392387223412,0.291136578326638
"SULT1C2",-1.20935210064127,1.30488792448909,-3.50557705690132,0.0017039395498289,0.291136578326638
"LINC02589",-1.29484566598611,0.876300436166449,-3.50055393430363,0.00172569547409622,0.291136578326638
"LOC104054148",-1.57632086099501,0.582149471266695,-3.50036526820485,0.00172651786238475,0.291136578326638
"ABCB5",-2.02246322780791,1.30521644090157,-3.49886472180649,0.00173307228159782,0.291136578326638
"BTBD16",0.717400161320381,1.7221842284331,3.49579392891229,0.00174656114426248,0.291136578326638
"EXOC6",-0.761564844369362,3.34295861656525,-3.4953293563536,0.00174861071768702,0.291136578326638
"ITPR1-DT",-1.54690886072483,-1.03708080340102,-3.49338384039601,0.00175721928079822,0.291136578326638
"PSAPL1",0.958966268776769,1.77145744722451,3.49109383853497,0.00176740497779798,0.291136578326638
