"PATH","Nh","ES","NES","pvalue","leadingEdge","p.adjust","PathwayName"
"00514",30,-0.267284345769946,-1.28533254729964,0.00199600798403194,"POMT2/UGT1A5/UGT1A3/B4GALT2/UGT1A6/POFUT1/B4GALT1/B4GALT3/COLGALT1/RFNG/COLGALT2/POGLUT1/POMGNT1/GXYLT2/FUT7/POFUT2/B3GLCT/LFNG/POMT1/PLOD3/ST6GAL2/FUT4/MGAT5B/CHST10/MFNG/ST3GAL3/FUT9/OGT/GXYLT1/ST6GAL1",0.00588013162863462,"KEGG 00514 - Other types of O-glycan biosynthesis"
"00562",57,-0.354358263211673,NA,0.00199600798403194,"PLCD1/IPPK/PIP5KL1/TPI1/PIP4K2C/SYNJ2/PLCB3/PI4K2B/PI4K2A/INPP1/MIOX/IMPA2/INPP5J/PI4KB/IPMK/PIK3C2B/PLCD4/INPP5E/PLCD3/OCRL/PIP5K1A/PIK3C2G/PIK3CB/ITPKA/CDIPT/PIP4K2B/ISYNA1/PLCE1/IMPA1/PIP5K1C/INPPL1/INPP5B/MINPP1/INPP5K/PIK3CG/PLCB2/ALDH6A1/PTEN/PI4KA/ITPKB/ITPK1/PLCZ1/PLCB1/PIK3CD/SYNJ1/PIK3C2A/PIK3CA/INPP5A/INPP4A/PIKFYVE/PLCG1/PIK3C3/PLCG2/PIP5K1B/PLCB4/PIP4K2A/INPP4B",0.00588013162863462,"KEGG 00562 - Inositol phosphate metabolism"
"00603",14,-0.308430230632717,-1.31511546519901,0.00199600798403194,"FUT2/GLA/NAGA/FUT1/GBGT1/A4GALT/ST3GAL1/ST3GAL2/HEXB/B3GALT5/B3GALNT1/HEXA/FUT9/ST8SIA1",0.00588013162863462,"KEGG 00603 - Glycosphingolipid biosynthesis - globo and isoglobo series"
"00910",21,-0.228299144414954,-1.12606619640274,0.00199600798403194,"CA13/CA14/GLUD1/GLS2/CA2/CA12/GLUL/GLUD2/HAL/CPS1/CA5B/CA4/CTH/CA1/ASNS/CA9/CA8/CA7/CA3/AMT/GLS",0.00588013162863462,"KEGG 00910 - Nitrogen metabolism"
"02010",43,-0.311524825519436,-1.20164183344883,0.00199600798403194,"ABCB6/ABCC6/ABCA12/ABCC1/ABCB8/ABCB4/ABCC5/TAP2/ABCA7/ABCA13/TAP1/ABCG8/ABCD3/ABCA4/ABCA5/ABCC10/ABCB10/ABCB9/ABCB7/ABCC3/ABCC2/ABCB11/ABCG4/ABCC11/ABCA3/ABCA1/CFTR/ABCD4/ABCG1/ABCC9/ABCD1/ABCA2/ABCA10/ABCG5/ABCC4/ABCA8/ABCA9/ABCA6/ABCD2/ABCC8/ABCB5/ABCG2/ABCB1",0.00588013162863462,"KEGG 02010 - ABC transporters"
"04012",87,-0.309767212265138,NA,0.00199600798403194,"EIF4EBP1/CAMK2A/RPS6KB2/SRC/PIK3R2/TGFA/PAK6/HRAS/EREG/PAK4/ELK1/NRAS/CDKN1A/CBLC/MYC/AKT2/ERBB2/ERBB3/MAP2K2/EGFR/AREG/CRKL/PAK1/MAPK3/ABL2/MAP2K1/KRAS/BAD/NRG1/MAP2K4/JUN/SHC1/CRK/GRB2/RAF1/ARAF/MAP2K7/MTOR/NCK2/PRKCG/RPS6KB1/MAPK10/NCK1/AKT1/ABL1/PIK3R5/PIK3CB/HBEGF/NRG4/GSK3B/PAK2/MAPK1/EGF/SHC3/PAK5/STAT5A/PRKCA/PIK3CG/NRG2/CAMK2D/PAK3/BRAF/PTK2/CAMK2B/ERBB4/PIK3CD/MAPK8/CBL/MAPK9/NRG3/GAB1/PIK3R1/PIK3R3/CBLB/SHC2/PIK3CA/CAMK2G/STAT5B/SOS2/PLCG1/CDKN1B/PLCG2/BTC/AKT3/SOS1/PRKCB/SHC4",0.00588013162863462,"KEGG 04012 - ErbB signaling pathway"
"04020",157,-0.293891911895059,NA,0.00199600798403194,"NOS1/BDKRB1/GNA15/ADORA2B/CAMK2A/PLCD1/LTB4R2/PHKG2/SLC25A5/P2RX2/ATP2A1/PLCB3/CALML3/CHP1/PHKA1/VDAC1/VDAC2/BDKRB2/ERBB2/HRH1/CALML6/PRKX/ITPR3/CHP2/ERBB3/SPHK1/GNA11/ADRB2/EGFR/ATP2A2/ADCY2/PTAFR/PHKG1/CACNA1G/ADCY7/HTR2B/HTR7/SLC25A6/PHKB/GRIN2A/GRIN1/ADRB1/PLCD4/PHKA2/CHRM2/ADCY3/PTGER1/HTR2C/GRIN2C/CACNA1E/PLCD3/VDAC3/PTGFR/PRKCG/PPID/HTR6/GRIN2D/PPP3CA/NOS3/CYSLTR2/RYR1/PTGER3/ATP2B3/CD38/SPHK2/PPP3R1/ITPKA/PDGFRB/P2RX7/CHRM5/F2R/ADORA2A/ITPR2/SLC8A3/PLCE1/CALM1/SLC8A2/CACNA1D/CHRNA7/PDGFRA/OXTR/ADRB3/HTR2A/DRD1/PRKCA/PRKACA/PLCB2/SLC25A4/LHCGR/CAMK2D/AVPR1A/ATP2B1/PDE1B/ITPKB/GNAS/ADCY9/GNA14/PLCZ1/CALM3/TNNC2/ATP2B4/CACNA1B/P2RX6/MYLK3/CACNA1H/CAMK2B/P2RX5/TACR2/HTR4/EDNRA/ERBB4/CACNA1C/PLCB1/GNAQ/ADCY4/CACNA1F/CACNA1I/CALM2/TRPC1/HRH2/PDE1A/ADRA1B/GNAL/AGTR1/PTK2B/SLC8A1/CAMK4/CYSLTR1/MYLK/P2RX1/P2RX4/NOS2/PPP3CC/CACNA1S/RYR3/CAMK2G/ITPR1/PPP3CB/PDE1C/ATP2A3/EDNRB/PLCG1/CACNA1A/ADCY1/BST1/PLCG2/TBXA2R/CHRM3/ADRA1A/PLCB4/PLN/TACR1/ATP2B2/PRKCB/RYR2/PRKACB/ADRA1D",0.00588013162863462,"KEGG 04020 - Calcium signaling pathway"
"04060",198,-0.126961562860784,NA,0.00199600798403194,"IL22RA1/TNFRSF21/VEGFA/IFNLR1/IL20RB/CLCF1/CXCL14/TNFRSF18/IL23A/IL18/IL20RA/IL12RB2/CCL22/TNFSF9/RELT/CXCL16/LIF/IL11/ACVR1B/CCL2/BMP2/TNFRSF19/TNFRSF9/BMP7/CNTF/IL1RAP/IFNGR2/IL19/CXCR2/EDAR/TNFRSF10B/CRLF2/XCR1/AMH/TNFSF15/OSMR/ACKR3/TNFRSF10A/LTBR/EGFR/TNFRSF12A/TNFSF10/CCL27/TNFRSF1A/CCR5/IL9R/IL13RA1/TNFRSF13C/IL10/CXCR3/TNFRSF25/KIT/TNFRSF10D/TGFB3/IL1R2/EDA2R/IL21R/IL6R/IL1A/TNFRSF11A/CSF2RA/IL10RB/IFNK/CCL26/IL7/CSF1/CCR4/TNFRSF6B/NGFR/TNF/MET/CCL3L3/TGFB2/CCR10/CXCL8/IL4R/CCL4L2/FASLG/IL6/CCR6/CD40/CCR1/IL5RA/IL17RA/CXCL3/CXCR1/CCL3/CXCL6/KITLG/OSM/LEP/CCL4/TNFSF14/CCL5/IL1B/CSF3/PRLR/TNFRSF8/IL1R1/PDGFA/PLEKHO2/IFNAR1/CCL21/CXCL9/CXCR5/TGFB1/PDGFRB/IL2RB/CXCL10/CXCL2/CCL8/BMPR2/CXCR4/IL2RG/CSF1R/CSF3R/CCR9/TNFRSF4/LTB/CSF2RB/IL11RA/CXCL1/IFNAR2/IFNGR1/IL12RB1/PDGFRA/EGF/IL15/IL15RA/TNFSF13/IL18R1/INHBA/TNFSF8/FLT3/IL10RA/EDA/CCR2/CD40LG/TNFRSF10C/MPL/IL6ST/CCL19/KDR/VEGFD/CCL28/IL7R/CXCL5/IL18RAP/IL2RA/IL17B/CX3CL1/FAS/CXCL12/FLT1/CCR7/BMPR1A/IL24/IL3RA/TSLP/ACVR1/CTF1/TNFRSF14/HGF/CXCR6/ACVR2A/CNTFR/TGFBR1/FLT3LG/CX3CR1/TNFRSF11B/FLT4/INHBB/TNFSF13B/TNFRSF1B/PPBP/VEGFB/PF4/LEPR/CCL23/TNFRSF17/TNFSF12/PDGFC/GHR/TPO/IL17RB/ACVR2B/TNFSF4/VEGFC/EPOR/LIFR/CCL14/LTA/CCL16/PDGFB/TGFBR2/BMPR1B/CD27/IL5",0.00588013162863462,"KEGG 04060 - Cytokine-cytokine receptor interaction"
"04062",166,-0.295518330839437,NA,0.00199600798403194,"CXCL14/PIK3R2/CCL22/CXCL16/PRKCZ/NFKBIB/CCL2/HRAS/PLCB3/NRAS/GNB2/VAV3/TIAM1/AKT2/GNAI3/PRKX/CXCR2/XCR1/GNB4/GSK3A/PARD3/GNG3/IKBKG/CCL27/CRKL/ADCY2/PAK1/MAPK3/ADCY7/MAP2K1/KRAS/CCR5/RAC1/NFKBIA/BCAR1/CXCR3/GNG12/CHUK/ADCY3/RHOA/SHC1/CCL26/CCR4/CRK/GRK1/CCL3L3/GRB2/CCR10/GRK6/RAF1/GNG5/STAT3/CXCL8/VAV2/CSK/GRK2/CCL4L2/RELA/PRKCD/STAT1/CCR6/CCR1/GRK4/AKT1/WASL/CXCL3/CXCR1/CCL3/CXCL6/NFKB1/RAP1B/HCK/PIK3R5/CCL4/CDC42/CCL5/ITK/GNB1/PIK3CB/NCF1/CCL21/ADCY6/CXCL9/GSK3B/CXCR5/RAC2/CXCL10/CXCL2/CCL8/CXCR4/VAV1/MAPK1/CCR9/WAS/CXCL1/GRK7/DOCK2/SHC3/PIK3CG/PRKACA/GNAI2/STAT2/PLCB2/CCR2/CCL19/CCL28/GNG10/CXCL5/ADCY9/JAK3/CX3CL1/ARRB2/CXCL12/PREX1/LYN/GNB5/BRAF/CCR7/GNB3/GNG4/ARRB1/PTK2/FOXO3/IKBKB/PLCB1/CXCR6/PIK3CD/ADCY4/PXN/CX3CR1/TIAM2/GNG8/GNAI1/FGR/PPBP/GNGT2/PF4/GNG2/CCL23/PTK2B/GNG11/ADCY5/PIK3R1/PIK3R3/SHC2/PIK3CA/STAT5B/SOS2/JAK2/ROCK2/GNG7/ADCY1/GRK5/ELMO1/CCL14/ROCK1/AKT3/PLCB4/RASGRP2/RAP1A/CCL16/SOS1/GRK3/PRKCB/SHC4/PRKACB",0.00588013162863462,"KEGG 04062 - Chemokine signaling pathway"
"04070",77,-0.423048423091418,NA,0.00199600798403194,"CDS1/PLCD1/IPPK/PIK3R2/PIP4K2C/SYNJ2/PLCB3/CALML3/PI4K2B/PI4K2A/CALML6/ITPR3/INPP1/DGKQ/IMPA2/DGKA/INPP5J/PI4KB/PIK3C2B/PLCD4/INPP5E/DGKH/PLCD3/OCRL/PIP5K1A/PRKCG/PIK3R5/PIK3C2G/PIK3CB/ITPKA/CDIPT/PIP4K2B/ITPR2/DGKZ/PLCE1/IMPA1/CALM1/PIP5K1C/INPPL1/INPP5B/PRKCA/INPP5K/PIK3CG/PLCB2/PTEN/PI4KA/ITPKB/ITPK1/PLCZ1/CALM3/PLCB1/DGKI/PIK3CD/CALM2/SYNJ1/DGKD/DGKB/INPP5D/PIK3R1/PIK3R3/PIK3C2A/PIK3CA/ITPR1/DGKE/INPP5A/INPP4A/PIKFYVE/PLCG1/PIK3C3/PLCG2/CDS2/PIP5K1B/PLCB4/PIP4K2A/PRKCB/DGKG/INPP4B",0.00588013162863462,"KEGG 04070 - Phosphatidylinositol signaling system"
"04080",193,-0.311079694096237,NA,0.00199600798403194,"CHRNG/TSPO/CHRND/BDKRB1/ADORA2B/LTB4R2/CRHR2/P2RY1/CTSG/F2RL1/P2RY2/LTB4R/NPFFR1/LPAR3/GALR2/P2RX2/ADORA1/PRSS3/BDKRB2/LPAR2/HRH1/GABRE/FPR3/GIPR/GRIN3B/MC1R/F2RL2/PARD3/HCRTR1/CHRNA5/ADRB2/CHRNB4/VIPR1/PTAFR/HTR2B/CHRNE/LHB/P2RY6/HTR7/P2RY11/CHRNB2/GRIN2A/GRIN1/S1PR5/CHRNA3/ADRB1/CHRNA10/CHRM2/PTGER1/HTR2C/GLRA1/GRIN2C/GABRQ/P2RY10/GABRR2/S1PR2/NPY4R/PTGFR/GRM2/C5AR1/CHRNB1/PLG/HTR6/GRIN2D/FPR1/ADCYAP1R1/CYSLTR2/GRM4/PTGER3/LEP/S1PR3/P2RY4/C3AR1/PRLR/APLNR/GPR156/GRIK1/S1PR4/GABRA3/LPAR6/P2RX7/CHRM5/SSTR2/LPAR1/F2R/ADORA2A/FPR2/PTGER4/CHRNA2/GABRP/GNRHR/GRIA3/CHRNA7/ADRA2A/OXTR/ADRB3/CHRM4/HRH4/PTGER2/HTR2A/GABRG3/DRD1/TSHR/ADRA2B/THRB/SSTR3/GLP2R/LHCGR/GABRA4/P2RY13/THRA/GABRD/GABRB1/AVPR1A/CRHR1/GZMA/GRM8/GRM6/LPAR4/F2RL3/AVPR2/ADORA3/PTGIR/DRD4/GALR1/P2RX6/P2RY8/P2RX5/CNR2/TACR2/VIPR2/HTR4/EDNRA/DRD2/PTH2R/TRPV1/GRIK4/GRIA2/GRM3/HTR1B/GLRB/GPR35/FSHR/NR3C1/CALCRL/SCTR/GRIN3A/GRID2/HRH2/PTH1R/ADRA1B/OPRM1/LEPR/AGTR1/GABRA2/PRLHR/GHR/P2RY14/GABBR1/CYSLTR1/OPRL1/P2RX1/P2RX4/GRIA1/GRIK2/HTR1E/GRIA4/GRID1/TSHB/EDNRB/GRIN2B/PTGDR/GABRB2/GRIK5/GABRB3/SSTR1/TBXA2R/NPY5R/CHRM3/ADRA1A/NMUR1/GRIK3/CNR1/S1PR1/NPY1R/TACR1/AGTR2/ADRA2C/GRM7/MAS1/HTR1F/RXFP1/ADRA1D",0.00588013162863462,"KEGG 04080 - Neuroactive ligand-receptor interaction"
"04150",50,-0.224313910359743,-1.4968668862746,0.00199600798403194,"EIF4E/VEGFA/MLST8/EIF4EBP1/ULK3/RPS6KB2/PIK3R2/AKT2/EIF4E2/RPS6KA1/HIF1A/MAPK3/PDPK1/CAB39/MTOR/RPS6KB1/AKT1/STK11/IGF1/TSC2/RPS6/CAB39L/PIK3R5/RPS6KA3/PIK3CB/RHEB/MAPK1/STRADA/PIK3CG/DDIT4/RPS6KA6/VEGFD/ULK1/RPTOR/ULK2/BRAF/RPS6KA2/EIF4B/PIK3CD/VEGFB/TSC1/PRKAA1/PRKAA2/PGF/VEGFC/PIK3R1/PIK3R3/RICTOR/PIK3CA/AKT3",0.00588013162863462,"KEGG 04150 - mTOR signaling pathway"
