"Gene","logFC","baseMean","stat","P.Value","adj.P.Val"
"LOC105375508",2.39045112187591,25.3984376751146,6.212284684894,5.22197080523096e-10,1.13196661144991e-05
"S100A8",-4.53207804906045,1663.55697231425,-5.44827953138146,5.08593828543618e-08,0.000551239421067
"SFN",-7.40954153079019,2672.3759920516,-5.23310769109198,1.66683559962203e-07,0.00102043089202882
"RHCG",-7.50510474162173,5258.33813914358,-5.21053442308406,1.88297438211712e-07,0.00102043089202882
"FRRS1L",2.90169510394131,122.898914018238,5.10943854676984,3.23117564288599e-07,0.00118026501554605
"KRT14",-7.34921109015369,4491.59227363339,-5.10736240811201,3.26686815208576e-07,0.00118026501554605
"SLC25A2",2.11503729628894,20.0185811630312,5.06915026475704,3.99595666813965e-07,0.00123743360993233
"ANO1",-1.56953610793349,760.769878331045,-5.02136858419443,5.13046003161628e-07,0.00124344629267038
"GJB2",-6.14158993042901,634.684964510444,-4.98883500903819,6.07444981302992e-07,0.00124344629267038
"KRT5",-7.4271519914897,17609.5559022896,-4.98420325987529,6.22176489055415e-07,0.00124344629267038
"KRT13",-7.13766476923632,34188.1504091155,-4.98148333679096,6.30987185467279e-07,0.00124344629267038
"TRIM29",-6.32790374544865,3254.41934553274,-4.93521931381321,8.0060744111546e-07,0.00137207261501286
"DSP",-5.88052994582662,9337.4637543603,-4.92986819675272,8.22851132313841e-07,0.00137207261501286
"LOC112268153",-7.46986674243917,1976.47391160079,-4.89180789316253,9.99139419427314e-07,0.00143138954932445
"LOC105370964",-7.40705288877751,1137.35891856443,-4.88545300424963,1.03191318379978e-06,0.00143138954932445
"KRT6A",-6.81750793759784,14486.0424397285,-4.88080770332323,1.05652224889012e-06,0.00143138954932445
"HSPA2",-2.08822302714301,356.721296310939,-4.83784972633079,1.31251311435243e-06,0.00167360863410692
"PKP1",-6.81783263097919,4433.36951277288,-4.81246196514733,1.49082251809001e-06,0.00179536442914651
"PITX1",-5.87181720651957,889.363705085397,-4.76523228913445,1.88636203424485e-06,0.00206093052275044
"S100A9",-3.92847330386257,2241.71818236265,-4.76362147290924,1.90149054089629e-06,0.00206093052275044
"CELSR2",-3.01375974337871,1683.72670615683,-4.72913486528118,2.25478573295915e-06,0.00232747573015979
"KRT16",-7.03169339002772,2351.82738179537,-4.7187680132545,2.37277214491054e-06,0.00233793553569208
"KRT15",-7.40158535894274,3166.13476036737,-4.68955178833382,2.73804132374439e-06,0.00258054442499162
"MYH14",-4.103428141784,789.425441906551,-4.6793165035791,2.87832828257904e-06,0.00258851362834055
"SERPINB3",-6.39433323442483,673.207045328454,-4.67182705875208,2.9853227249395e-06,0.00258851362834055
"KLK11",-6.02313335328452,388.660834752914,-4.62426423691286,3.75930394158299e-06,0.00303830224511347
"CALML3",-6.54831947643673,539.888731001698,-4.62092544019331,3.82032064320637e-06,0.00303830224511347
"PLIN1",3.66342073099033,205.629624761043,4.61067149722001,4.01370365155389e-06,0.00303830224511347
"THSD4",-2.62883227451072,2993.08668696939,-4.60211742080545,4.18217300177177e-06,0.00303830224511347
"NPTX1",2.42888151825256,44.0624258194356,4.60071701026461,4.2103911717275e-06,0.00303830224511347
"DSG3",-6.38190464864797,1999.94003647608,-4.59415625850003,4.34503711761395e-06,0.00303830224511347
"SPINT1",-3.93033545998318,293.812404189926,-4.5768470509771,4.720363151383e-06,0.00319760350101654
"IRF6",-5.21383640182135,975.825510081404,-4.56789483643775,4.92647079829536e-06,0.0032360941665045
"LINGO2",2.68846261563533,198.951780456129,4.55530229577323,5.2310295354486e-06,0.00333508903646822
"KRT6C",-6.35903319045585,2169.59182737042,-4.54433649258314,5.51085645876295e-06,0.00341310958447442
"PERP",-3.97638742334327,2353.07981761775,-4.51454754426252,6.34520865890451e-06,0.00366250359237382
"LY6D",-7.18215733616987,940.51460021978,-4.51371236481221,6.37025997784852e-06,0.00366250359237382
"S100A14",-6.00115166916723,691.104895132536,-4.51204996544818,6.42040579924367e-06,0.00366250359237382
"KRT4",-6.65704218030359,3212.47662510083,-4.49608957416628,6.92145873899032e-06,0.00384708874577162
"AQP3",-5.33710753836886,2675.16425271433,-4.46436044733112,8.03082709908505e-06,0.0041701629644795
"ITGA6",-1.47891211141252,1913.02665195013,-4.46353238633752,8.0619406198605e-06,0.0041701629644795
"FXYD3",-3.89711253350091,296.77516579795,-4.46114554023692,8.15226993544974e-06,0.0041701629644795
"HR",-4.03320253907023,689.006611089511,-4.45801466588451,8.27222436096408e-06,0.0041701629644795
"SPRR3",-5.95634111813989,735.160870263242,-4.43250516779502,9.31444692844907e-06,0.00458884695609069
"ANXA8L1",-5.8403069721001,375.346113263403,-4.42079520396861,9.83383409982483e-06,0.00473706715070895
"FAM225B",1.41538307581343,93.6597339046831,4.38632213099058,1.15283353225878e-05,0.00533280964379061
"COL17A1",-5.50605196274156,3253.32118238486,-4.38567660142341,1.15625803043852e-05,0.00533280964379061
"TNS4",-6.30219394840563,5186.21276168767,-4.37798514833679,1.19781510571729e-05,0.00540938292638201
"GSG1",1.61098539641577,32.8373755658254,4.37195787175384,1.23137289406196e-05,0.00544744290297574
"TGM1",-4.91520289064276,622.075781717052,-4.34545503691948,1.38987240591644e-05,0.00602565282861013
"LYPD3",-5.94089510434895,2642.1002284637,-4.32652965813783,1.51476932422005e-05,0.00634770464065368
"ATP8B4",2.17264504342099,596.241254674316,4.32537544567711,1.5227228920699e-05,0.00634770464065368
"VSIG10L2",2.24782885629824,108.915097245724,4.30697311250931,1.65503718580697e-05,0.0067691020899505
"SDC1",-5.99685479571828,2584.86375620351,-4.28450141567951,1.83149442648793e-05,0.00723973945508823
"LOC101927999",-1.49948307402228,188.85704676086,-4.28129223984314,1.85811150585824e-05,0.00723973945508823
"FAM225A",1.36535637874313,93.5385407360913,4.27983702342667,1.8703022073393e-05,0.00723973945508823
"LOC107983976",-1.26087208488365,181.42558915753,-4.25838724874088,2.0590702978309e-05,0.0077801287246701
"PKP3",-5.96021281039448,662.641955671484,-4.25594403166887,2.0816878074958e-05,0.0077801287246701
"MPZL2",-2.86620356637179,459.197604271821,-4.24372970557008,2.19835122243953e-05,0.00807689143200368
"LOC105376004",2.55158045813876,68.5112799831191,4.19872246180964,2.68425067996069e-05,0.00962980549609004
"LOC107986990",3.2611688944429,81.2236073733621,4.19657076076892,2.70986822559161e-05,0.00962980549609004
"RAPGEFL1",-3.51651533808378,1559.6135214676,-4.18820729292563,2.81166645398855e-05,0.00969530654425241
"ARHGEF16",-3.0882298422788,192.136625185051,-4.18771640796266,2.81775297452554e-05,0.00969530654425241
"ERBB3",-1.66078023336091,454.812104238889,-4.16438340420476,3.12195115965474e-05,0.0105710551273724
"LOC105369293",2.6386559958023,44.2316592285208,4.1609110923072,3.16980478516034e-05,0.0105710551273724
"SHOX2",1.64380984438655,68.2100913396799,4.15573842858991,3.24238610962563e-05,0.0106360579217872
"SNORD17",3.46639383309807,6131.45220407745,4.15084691310359,3.31247276978517e-05,0.0106360579217872
"A2ML1",-4.89859734092552,1033.87679717432,-4.14807637479127,3.35280556721218e-05,0.0106360579217872
"LAMA3",-1.31880857101384,2395.16321996372,-4.14584955680789,3.38556071690416e-05,0.0106360579217872
"FGFBP1",-6.35852227511822,656.556990445547,-4.13868582987693,3.49300884570084e-05,0.0108168503926081
"KLF5",-3.37433299462502,805.918705510851,-4.13362525905522,3.57085536942064e-05,0.0109021734990044
"DSC3",-6.04028959848223,1638.39974627104,-4.1245636847155,3.71438210324261e-05,0.0111828695627764
"SERPINB5",-6.38780203119118,1003.375385346,-4.11691810378356,3.83972436637332e-05,0.0114018774095719
"FGFR3",-4.42263536697077,1076.53722394657,-4.10618891000749,4.0224055914785e-05,0.0117829305414161
"IGKV2-30",2.8013180403142,23.2236401680888,4.09198796982909,4.27690844433548e-05,0.012361405913048
"ANXA8",-5.26661412769984,485.690117772355,-4.05769190504058,4.95600890082238e-05,0.0141357111767272
"CRNN",-4.94262735525873,122.874802359662,-4.04485228482247,5.23561250642665e-05,0.0145946061493226
"SNORA120",-2.13242900561647,15.7562558811536,-4.04413998616594,5.25155362664188e-05,0.0145946061493226
"CLDN7",-4.71170626925665,394.364357006664,-4.0310990004609,5.55166513552168e-05,0.0151137583582327
"S100A2",-5.45042059720294,629.731348264256,-4.02999497858108,5.57780444092179e-05,0.0151137583582327
"PNMA8A",1.53499382843115,88.1548729175035,4.02518154010315,5.69313782223674e-05,0.0152358208114353
"NSG1",-2.42248117727059,149.443454401179,-4.01829583703302,5.86205698831295e-05,0.0154965621141049
"GPC5",2.35958881112258,61.6746865086745,4.01355938150809,5.98099471462645e-05,0.0156204846299949
"TBX15",2.42606116582861,36.4202400293111,4.00308709911855,6.25212713930667e-05,0.0160519662993598
"MAL",-2.5464425820081,137.427269850041,-4.00149667614906,6.29430795518561e-05,0.0160519662993598
"LINC02595",-3.39159992167379,44.2443438167352,-3.99331884658962,6.51548604807478e-05,0.0162691309609282
"OVOL1",-5.45041452683108,356.529461359392,-3.99280713009105,6.52956771509319e-05,0.0162691309609282
"CHP1P2",-0.752504275093314,154.908265653515,-3.97639522595592,6.99678046823958e-05,0.0172049134552592
"LAD1",-5.83245628612655,512.052387750589,-3.97412384948095,7.06388013801756e-05,0.0172049134552592
"VSNL1",-3.29092207832827,122.898176444125,-3.94604477403706,7.94527626166188e-05,0.0191366392804494
"GPD1",2.98044935790155,73.2006544037187,3.93959205147793,8.16202807326303e-05,0.0194426684114421
"DIPK1C",2.16437659903064,26.0830739950042,3.93642989320538,8.27027659814064e-05,0.0194863897628146
"IRX3",-2.36476529112376,117.358043136462,-3.91151777525229,9.171790444727e-05,0.0213781614484244
"LOC105375520",2.42834413267704,42.4177066234371,3.90425186444166,9.451731001063e-05,0.0217962949904301
"DSP-AS1",-4.74767749511709,287.242961880156,-3.89865770199295,9.67273959282054e-05,0.0220711553845864
"LOC105373372",-2.67706660577923,47.8298282517075,-3.89399830772645,9.86053374612345e-05,0.0222202487955296
"LOC105376003",2.87111122653295,48.6692009305435,3.89197638811631,9.94309237056038e-05,0.0222202487955296
"GNAI1",-1.16834340905108,324.765736401187,-3.88127762336929,0.000103909139693309,0.0226949139311862
"DMRT2",2.64113393966544,31.3330389883674,3.88023242094538,0.000104356695236141,0.0226949139311862
"COL7A1",-2.88318675110119,4059.46504951552,-3.87944324554915,0.000104695824750594,0.0226949139311862
"CDC42BPG",-3.37200337761417,364.228009378239,-3.87316595052501,0.000107430622393117,0.0230571643724317
"FAT2",-4.47494818891934,2061.1116427288,-3.86173788761032,0.000112583316430174,0.0239261622574204
"LOC107985720",2.21372465233585,29.3908059376819,3.85334282194936,0.000116516070668812,0.0240441846259032
"ABCC6",1.49386934771806,110.605426996174,3.85323425113095,0.000116567770283287,0.0240441846259032
"GABRE",-1.28988680859892,1692.26400658113,-3.85146718486679,0.000117412265162376,0.0240441846259032
"MFSD2A",-4.19833766680566,343.859342789082,-3.85112705852585,0.000117575474943292,0.0240441846259032
"CDH1",-4.74825620392017,758.25563887262,-3.83182750144885,0.000127194911729207,0.025768262631346
"KRT6B",-5.34917133139123,1035.02565539254,-3.82506467963487,0.000130737758047038,0.0262407627887559
"TACSTD2",-4.50569394542023,1019.52359922383,-3.82124818005631,0.00013277794879731,0.0264057577621953
"JUP",-2.95731145301428,3952.05661645594,-3.81810560535113,0.000134480360968997,0.0265011889520449
"CDK18",-0.998619017663998,308.757419429938,-3.80218921880618,0.000143423119740791,0.0280088555551454
"CNFN",-4.86754581031368,149.095041948326,-3.79739422960553,0.000146225137210716,0.0282660191460556
"B4GALNT3",-3.27992059634904,284.675088657225,-3.79472660159079,0.00014780623634009,0.0282660191460556
"LOC107984591",-2.24462054902094,205.979202416964,-3.79331088895772,0.000148651851393197,0.0282660191460556
"DSC2",-4.44705397361634,1266.33800877441,-3.78988178779247,0.000150718993976795,0.0284098750646521
"SUSD4",-3.47197872756616,105.103287846179,-3.78356275204484,0.000154599323077107,0.0286502870248873
"AKAP5",1.14207727187297,106.101055493432,3.78284885054473,0.000155043572487288,0.0286502870248873
"EVPL",-4.35821648669325,988.44465782374,-3.78138304252314,0.000155959490194063,0.0286502870248873
"RHOV",-5.29656710566075,287.906340954673,-3.77473727819866,0.000160176383922318,0.0291776762544881
"WNT16",-2.76768628335604,92.5664645742077,-3.75969075046051,0.000170123522193871,0.0304916868830126
"CLCA2",-5.18456355444442,433.000125461233,-3.75957364606438,0.00017020316985028,0.0304916868830126
"SLC27A6",-3.34566150631628,91.1503512524138,-3.7567263167998,0.000172150587422355,0.0305877728160195
"LINC00941",1.85162044784424,18.0397093106861,3.74575657543998,0.000179850923467504,0.0316961664065455
"MYH4",2.16095763635645,70.0252248248973,3.74139883495047,0.000182998840243616,0.0319908537093618
"GRM1",2.59955303092885,27.5801563379433,3.7220763401433,0.000197591260555528,0.0342654860404975
"FAM83F",-4.57956026528346,462.554153243755,-3.7156742460473,0.00020266254563921,0.0346561644286302
"KLK10",-4.9985608853038,384.768025930129,-3.71329985618194,0.000204574260002247,0.0346561644286302
"SPTBN2",-2.90172756071136,855.777440757208,-3.71321813401851,0.000204640358299795,0.0346561644286302
"ZNF185",-2.33565265742382,1287.42219575141,-3.70921447536361,0.000207903263075099,0.0349358064626272
"ST14",-4.14470297966285,697.850362482771,-3.70450919439804,0.000211800426009584,0.035316906420075
"GJB3",-4.21921428175553,155.241561986312,-3.70077611562352,0.000214941055620451,0.0355670020052254
"SH3RF2",-3.01278910280574,441.798756034398,-3.69674421577686,0.000218382175018059,0.0358626546050489
"CSTA",-4.76661958010191,92.2740618715534,-3.68996860708686,0.000224281727643629,0.0360541189802813
"TMPRSS11D",-3.49760618970652,191.295943850669,-3.68989953556301,0.000224342631698117,0.0360541189802813
"TP63",-4.98641313269231,1101.6601006775,-3.68900608205458,0.000225131837899375,0.0360541189802813
"LAMB3",-4.5069476150111,1101.47485144244,-3.68657121261066,0.000227295857944049,0.0360541189802813
"EMBP1",2.18001886107293,22.5079960648118,3.68462195273879,0.000229042341868993,0.0360541189802813
"MST1R",-2.90739326872238,289.036800227339,-3.68260103787459,0.000230866319363405,0.0360541189802813
"FAM83H",-4.34520167748613,645.451547302938,-3.6822431153919,0.000231190780009185,0.0360541189802813
"FAM83E",-2.99387488607228,84.4571973965927,-3.67795533642422,0.000235111115577711,0.0362682599611544
"MIR711",-3.04176202564562,42.2020598694681,-3.67573271592739,0.000237167732599706,0.0362682599611544
"SEZ6L2",-2.71631979764343,97.6951121396508,-3.67528581634214,0.000237583287100795,0.0362682599611544
"LOC100129617",-1.67442743307286,131.185703643988,-3.66787958130838,0.000244570312472975,0.0370025847855903
"P2RY2",-3.26797571651524,504.902392573171,-3.66658874265659,0.000245807639854454,0.0370025847855903
"LOC105373954",1.74631058362372,17.8174522984253,3.65990367406867,0.000252310077513654,0.0375834335476366
"KRT17",-5.53929753876043,464.98953444627,-3.65906838016027,0.000253133796095167,0.0375834335476366
"LOC101928230",1.13128906605503,42.736616897558,3.65547324531006,0.00025670798114915,0.0378548224991165
"TRIM55",2.41615749218023,19.6909462574705,3.650506093863,0.000261724099410245,0.0383337385332154
"KLC3",-2.99498248394602,94.2425431882036,-3.64685560547515,0.000265469002559332,0.0386212856944875
"EPPK1",-4.13212878890849,5878.96070958457,-3.64421340552531,0.000268210813064121,0.0387600386319397
"BMP7",-3.2908264964785,192.317559901763,-3.63060822604194,0.000282754108564134,0.0405911312009585
"SPRR2A",-4.4642007249365,93.9893166076995,-3.6271025615787,0.000286619467326993,0.0408753302187318
"CLDN4",-4.72105720088104,998.362386633576,-3.62425068542973,0.000289800416482147,0.0410588472423758
"EHF",-4.9556698151491,705.780931220625,-3.6177961896932,0.000297122218568143,0.0417262708334779
"SLC9A5",0.806265899617211,112.14685028708,3.61671888593739,0.000298361026857456,0.0417262708334779
"MYH1",1.91200494364817,71.3617958081308,3.61129066697233,0.000304676953949405,0.0421398102834232
"MAOA",-1.24179036311709,405.171115939281,-3.61084078390119,0.00030520598858225,0.0421398102834232
"THSD4-AS2",-2.52476823300418,93.5687228336152,-3.59293925462168,0.000326968832037744,0.0446783908999274
"SIX4",1.31556508461971,67.6514679747743,3.58902290728744,0.000331919677602844,0.0446783908999274
"PROM2",-2.55440512358518,473.100285437862,-3.58828657264198,0.00033285831333295,0.0446783908999274
"DBP",1.23814844788935,439.234152845139,3.58796734915146,0.000333266011815441,0.0446783908999274
"LOC105374343",1.99040796010435,19.3082534825605,3.58747350539076,0.000333897648465573,0.0446783908999274
"SERPINB13",-5.62104426656979,852.895449528059,-3.58405011158813,0.000338307134962249,0.0447482576919031
"NPFFR1",2.36555638926665,37.1184913362669,3.57979212605668,0.000343867643573897,0.0447482576919031
"CAMSAP3",-2.88734921904756,114.972916052238,-3.57940754447153,0.000344374056532572,0.0447482576919031
"FOXE1",-3.47580253897375,107.752523572464,-3.57905978800108,0.000344832579142971,0.0447482576919031
"TOB1",-1.52951628178184,588.701965904248,-3.57864557903362,0.000345379465675202,0.0447482576919031
"ABCC2",1.32230274559782,70.8977336100375,3.57756823157819,0.000346805706151207,0.0447482576919031
"PLAAT5",2.07400576616703,31.5213727383457,3.57406183279503,0.000351485869042847,0.0447531239538785
"TEX15",3.17729025589987,78.3951646536885,3.57394365871559,0.000351644626070691,0.0447531239538785
"CLVS2",3.2906014338811,108.162540884259,3.57279814350281,0.000353187010075749,0.0447531239538785
"TRARG1",3.53256939065471,43.4900193911683,3.57138268713671,0.000355101597087563,0.0447531239538785
