"Gene","logFC","baseMean","stat","P.Value","adj.P.Val"
"TPM1-AS",-3.45843032497303,1547.66106467704,-6.94998724941088,3.65319229193151e-12,7.43454597276777e-08
"TGM3",6.63954277087714,959.127132930084,6.86208132227173,6.78644086971042e-12,7.43454597276777e-08
"COMP",4.80565906539282,1051.09444185183,6.5159189143447,7.22459963485013e-11,5.27636593331888e-07
"CARMN",-3.3342074944873,1778.83522752799,-6.3513054012608,2.13495371024357e-10,1.16942089478592e-06
"UPK1A",3.27841581545766,80.1661693883077,6.04850670122688,1.46194542326398e-09,6.17508807111835e-06
"CPLX1",-1.67070665391992,114.418018139839,-6.0250060683504,1.69103278990005e-09,6.17508807111835e-06
"MIR145",-3.42583650629393,234.726554323609,-5.93833938979074,2.87923525314254e-09,9.01200634233614e-06
"MIR143",-3.43954659652328,79.4943336393769,-5.86324494625485,4.53907855223982e-09,1.24314013849468e-05
"ENOX1",-2.25421065112241,407.477735738819,-5.841676054007,5.1678224907212e-09,1.25807767524113e-05
"MEGF10",-2.38083715785743,37.6337413090384,-5.77916120750843,7.50739665569672e-09,1.50329416378461e-05
"MRGPRF-AS1",-2.44987255638276,69.6507507015747,-5.77826813143241,7.54734632662289e-09,1.50329416378461e-05
"CITED4",1.78749488808317,420.024567200837,5.70787595982508,1.14394735714628e-08,2.08865721625624e-05
"TCEAL1",-1.43876975925141,271.57332818391,-5.69059989733864,1.26593823166361e-08,2.13359281967306e-05
"ASXL3",-2.11299050997825,182.375811614309,-5.64976713079569,1.6066533490515e-08,2.5144124912656e-05
"LINC01605",2.62943433587525,101.903348473382,5.61266444625776,1.99234717827234e-08,2.74223608534988e-05
"HOXD3",-2.00037799928845,152.917945331144,-5.60776811570589,2.04952365287292e-08,2.74223608534988e-05
"LOC107984113",-3.04733645347597,60.0501449661533,-5.60128344384833,2.12770485855536e-08,2.74223608534988e-05
"VSIG10L",3.05602347423419,711.933065536489,5.56260644511279,2.65774814664815e-08,3.23507010517006e-05
"SPNS2-AS1",-2.56838999202371,19.9063873560412,-5.52754715339841,3.24738962275853e-08,3.74475298077049e-05
"LOC101929667",-3.40610077460614,23.192995849503,-5.51787028789397,3.43132541130063e-08,3.74741783741012e-05
"GRM7",-2.5156233052582,58.4453887435447,-5.50532847144801,3.68480579578342e-08,3.74741783741012e-05
"CDA",2.95870668969318,223.125442184374,5.46304233756419,4.68042915716368e-08,4.27332103486535e-05
"RNF222",3.17641859110252,99.2552185597502,5.45728539800318,4.83468930610134e-08,4.27332103486535e-05
"MYLK-AS2",-2.79350148196296,18.4514087366997,-5.45577414419824,4.8759938782124e-08,4.27332103486535e-05
"LOC102724019",-2.84721014503888,30.2700036983424,-5.41610912121028,6.09099362056015e-08,4.94272852690641e-05
"NANP",1.03892759854221,81.9222227196119,5.40310650797492,6.54965421361985e-08,5.12510442215753e-05
"KLHL14",-2.1776448191787,59.1880247154573,-5.35089793576233,8.7518874792199e-08,6.61220188516235e-05
"LOC105378072",-1.52531090027469,28.0243927850749,-5.34214474321731,9.18532633257994e-08,6.70834999822755e-05
"LOC102724646",-1.64675852132402,134.829048438512,-5.2990366908181,1.16415241063017e-07,7.8820502015665e-05
"MYRIP",-1.53524369145517,331.795506704166,-5.29232502981831,1.20770998588536e-07,7.8820502015665e-05
"LOC105375434",-1.73099500921598,45.0654111696509,-5.29000371119686,1.22313878070863e-07,7.8820502015665e-05
"LOC105373504",-2.65178849538164,31.9300391693467,-5.26544296107248,1.39851736905002e-07,8.75471873025313e-05
"CDK5R1",1.87632408147304,195.448612856414,5.24814198599729,1.53640867707101e-07,9.35075392072937e-05
"LOC102723568",3.19278204785967,26.3651560200842,5.22364188959998,1.7543791689524e-07,0.000103887696193911
"SYN2",-1.76241820455292,62.5673259871717,-5.19411570050808,2.05695194065288e-07,0.000117738514597689
"TIGAR",1.02235170747342,155.225964669815,5.19063719764112,2.09575630730711e-07,0.000117738514597689
