"PATH","Nh","ES","NES","pvalue","leadingEdge","p.adjust","PathwayName"
"00010",57,-0.336776915707451,-2.43748647516338,0.00199600798403194,"ADH1C/ADH1A/FBP1/ADH1B/HK3/ALDOB/GAPDHS/PKLR/ENO2/GALM/ENO3/ADH4/AKR1A1/ALDH2/PFKM/PCK2/HK2/ACSS2/LDHAL6A/ADH6/PFKP/LDHC/PGAM4/PGAM2/ALDOC/ADPGK/PGM1/ALDH1B1/LDHB/ADH5/PFKL/HKDC1/LDHAL6B/LDHA/ALDH3A1/ACSS1/GCK/PKM/GAPDH/ALDH1A3/PGK1/BPGM/ALDH7A1/ALDH3B1/ALDH9A1/TPI1/DLD/PDHB/ENO1/PGAM1/DLAT/PGM2/ALDOA/GPI/ALDH3A2/HK1/PDHA1",0.00311607001823691,"KEGG 00010 - Glycolysis / Gluconeogenesis"
"00020",28,-0.606380386623869,-2.25797719833811,0.00199600798403194,"ACO1/SDHC/SDHD/PCK2/OGDHL/PC/SDHA/SUCLA2/SUCLG1/MDH1/IDH3G/FH/SUCLG2/SDHB/OGDH/ACLY/DLST/IDH3B/DLD/PDHB/IDH1/DLAT/MDH2/IDH2/IDH3A/ACO2/PDHA1/CS",0.00311607001823691,"KEGG 00020 - Citrate cycle (TCA cycle)"
"00030",22,-0.376361799461332,-1.78010941235061,0.00199600798403194,"FBP1/RPIA/RBKS/ALDOB/PRPS1/H6PD/PFKM/RPE/PFKP/ALDOC/PGM1/TALDO1/PFKL/PGLS/G6PD/PRPS2/PGD/PGM2/TKT/DERA/ALDOA/GPI",0.00311607001823691,"KEGG 00030 - Pentose phosphate pathway"
"00053",7,-0.593567570878661,-1.57127705853788,0.00199600798403194,"MIOX/ALDH2/UGDH/ALDH1B1/ALDH7A1/ALDH9A1/ALDH3A2",0.00311607001823691,"KEGG 00053 - Ascorbate and aldarate metabolism"
"00071",42,-0.290284772325561,-1.73644321615882,0.00199600798403194,"ADH1C/ADH1A/ADH1B/ACADS/ACADL/ACSBG2/ACSL6/ACAA2/ADH4/ECI2/ALDH2/ACAT1/ACOX1/ADH6/ACADM/ECHS1/CYP4A11/GCDH/CPT1A/ACADSB/ECI1/CYP4A22/ALDH1B1/ADH5/CPT1B/EHHADH/CPT1C/HADHB/ACOX3/ACSL1/ACAA1/ACSL4/CPT2/ALDH7A1/ALDH9A1/ACSL5/ACADVL/ACSL3/HADHA/ACAT2/HADH/ALDH3A2",0.00311607001823691,"KEGG 00071 - Fatty acid degradation"
"00072",8,-0.672234798256077,-1.76005960678513,0.00199600798403194,"BDH2/ACAT1/OXCT2/HMGCL/BDH1/ACAT2/HMGCS1/OXCT1",0.00311607001823691,"KEGG 00072 - Synthesis and degradation of ketone bodies"
"00100",19,-0.497763100079268,-2.34347896868383,0.00199600798403194,"CYP27B1/SOAT1/CYP2R1/SOAT2/EBP/HSD17B7/CEL/LSS/FAXDC2/DHCR7/LIPA/DHCR24/TM7SF2/CYP51A1/MSMO1/SQLE/SC5D/FDFT1/NSDHL",0.00311607001823691,"KEGG 00100 - Steroid biosynthesis"
"00190",111,-0.502958112437171,-3.23778690639962,0.00199600798403194,"ATP6V1E2/ATP6V0E2/COX17/ATP4A/ATP6V0A2/ATP6V1B2/ATP6V1B1/NDUFV2/NDUFV3/ATP6V0A1/TCIRG1/NDUFS3/SDHC/NDUFC2/ATP6V1C2/SDHD/NDUFS4/COX4I2/COX7A2/COX11/NDUFB3/UQCR11/COX15/NDUFC1/ATP6V1G2/UQCRHL/NDUFS5/NDUFS8/ATP5MC1/NDUFA11/ATP6V0B/COX6B2/COX5B/COX8A/ATP5PO/SDHA/ATP5F1D/NDUFA5/NDUFS6/NDUFB7/NDUFA1/NDUFA4/ATP5F1A/ATP6V1A/COX7B/CYC1/ATP6V0E1/NDUFA6/PPA1/NDUFB1/PPA2/NDUFA9/ATP5F1E/NDUFS7/NDUFA3/NDUFAB1/COX7A2L/ATP5PF/ATP6V0D1/ATP6V1C1/NDUFA7/ATP6V0C/ATP6V1E1/COX7A1/NDUFA12/NDUFB5/NDUFS1/NDUFB6/ATP5MC2/UQCR10/ATP5PB/NDUFA2/SDHB/ATP5MG/UQCRFS1/NDUFV1/NDUFA13/ATP5F1C/NDUFB2/NDUFB11/ATP6V1F/NDUFA8/ATP5PD/UQCRC1/ATP5ME/COX10/NDUFS2/NDUFB8/ATP6V1G1/ATP6V1D/UQCRB/NDUFB9/NDUFA4L2/COX6B1/COX4I1/NDUFA10/UQCRC2/COX7C/ATP5MF/LHPP/ATP6AP1/COX6C/ATP5MC3/UQCRH/COX6A1/ATP5F1B/COX5A/ATP6V1H/NDUFB4/UQCRQ/NDUFB10",0.00311607001823691,"KEGG 00190 - Oxidative phosphorylation"
"00230",155,-0.279161451865155,NA,0.00199600798403194,"PDE3B/PDE1B/ENPP3/PDE11A/PDE6C/POLR3GL/PDE6A/ADCY10/NME7/ADPRM/NT5M/POLA2/FHIT/NME5/PDE1C/PDE1A/PKLR/PFAS/ADSL/NPR1/AK1/POLR2G/NME3/POLR3G/ADA/PDE7A/RRM2B/ENTPD5/ENTPD8/POLR2J/PRPS1/ADCY5/AMPD2/GMPR/POLR1H/POLR2H/ADCY7/NT5E/POLR2C/PDE3A/ADCY2/PAICS/DGUOK/PDE7B/POLR2D/ATIC/PNP/NME1/NPR2/ENTPD3/POLE4/IMPDH1/PNPT1/NUDT2/ADCY6/PRIM2/GDA/ADCY8/GUCY1B1/POLR3F/POLR1A/PDE4C/POLD4/ADSS1/ENTPD6/APRT/NME6/POLR2I/AK5/ENPP1/AK2/PDE4B/NME4/POLR2L/ADCY3/NT5C3A/AK4/POLD2/NUDT9/ADCY1/HPRT1/PRIM1/ITPA/POLR2K/PDE6D/POLE2/PAPSS2/PPAT/POLR1C/POLD3/NT5C/NUDT5/POLR3H/POLR3D/PDE10A/GUCY1A1/POLD1/PGM1/RRM2/NME1-NME2/AMPD3/POLR3B/GUCY2F/PRUNE1/NME2/POLR1B/DCK/POLE3/NT5C1B/POLA1/GUCY2D/XDH/POLR3A/POLR3C/POLR1E/POLR2F/NTPCR/ADCY9/ADK/AK7/PKM/ADCY4/CANT1/GUK1/POLR2J2/IMPDH2/GART/POLR2E/PDE9A/PDE8B/PRPS2/RRM1/GMPS/GUCY2C/ENTPD4/NT5C2/POLR2B/PDE4A/PDE2A/POLR2J3/GUCY1A2/POLE/PDE4D/PDE5A/PGM2/PDE6B/POLR3K/GMPR2/ADSS2/ENTPD1/ENTPD2/POLR2A/PAPSS1/POLR1D/PDE8A",0.00311607001823691,"KEGG 00230 - Purine metabolism"
"00240",98,-0.234069711376291,NA,0.00199600798403194,"TXNRD3/CMPK2/TXNRD2/TK2/DPYS/POLR3GL/NME7/NT5M/POLA2/NME5/TXNRD1/UCK1/UPP2/POLR2G/NME3/POLR3G/UPB1/CDA/RRM2B/ENTPD5/ENTPD8/POLR2J/DTYMK/POLR1H/POLR2H/NT5E/POLR2C/POLR2D/DHODH/PNP/NME1/DPYD/ENTPD3/POLE4/PNPT1/NUDT2/PRIM2/TYMP/POLR3F/POLR1A/POLD4/ENTPD6/DCTD/NME6/POLR2I/NME4/POLR2L/NT5C3A/POLD2/PRIM1/ITPA/POLR2K/UMPS/POLE2/UPRT/POLR1C/POLD3/CAD/NT5C/POLR3H/POLR3D/POLD1/RRM2/DUT/TYMS/AK3/NME1-NME2/POLR3B/UCKL1/NME2/POLR1B/CTPS2/DCK/POLE3/NT5C1B/POLA1/POLR3A/POLR3C/POLR1E/POLR2F/UCK2/CANT1/CTPS1/POLR2J2/POLR2E/UPP1/TK1/RRM1/ENTPD4/NT5C2/POLR2B/CMPK1/POLR2J3/POLE/POLR3K/ENTPD1/POLR2A/POLR1D",0.00311607001823691,"KEGG 00240 - Pyrimidine metabolism"
