"PATH","Nh","ES","NES","pvalue","leadingEdge","p.adjust","PathwayName"
"00120",12,-0.392780634552873,-1.42088440639375,0.00199600798403194,"HSD3B7/AMACR/HSD17B4/CH25H/SCP2/CYP7B1/CYP8B1/SLC27A5/CYP46A1/CYP39A1/CYP27A1/ACOX2",0.0103602319171181,"KEGG 00120"
"00532",21,-0.519942583373216,-2.17608742248437,0.00199600798403194,"DSE/CHPF2/B3GALT6/B3GAT3/B4GALT7/B3GAT2/CHSY1/XYLT2/CHST3/CHPF/CHST15/XYLT1/CHST14/CSGALNACT2/UST/CHST11/CHST7/CHSY3/CSGALNACT1/B3GAT1/CHST12",0.0103602319171181,"KEGG 00532"
"00534",25,-0.203677378090567,NA,0.00199600798403194,"NDST1/HS6ST1/EXTL3/B3GALT6/HS3ST1/EXT2/B3GAT3/EXT1/GLCE/B4GALT7/B3GAT2/NDST2/XYLT2/HS2ST1/HS3ST3A1/HS3ST3B1/NDST3/EXTL2/HS6ST2/EXTL1/XYLT1/HS3ST2/HS3ST5/B3GAT1/HS6ST3",0.0103602319171181,"KEGG 00534"
"00562",56,-0.233807159249222,NA,0.00199600798403194,"IPPK/TPI1/PIP4K2C/PLCD1/PLCB3/PI4K2B/IMPA2/PIP5KL1/SYNJ2/INPP5J/PIK3CB/PIK3C2B/PI4KB/INPP1/PI4K2A/MIOX/IPMK/PLCD4/PIP5K1A/INPP5K/OCRL/IMPA1/INPP5E/PIK3C2G/PLCD3/MINPP1/PLCB2/INPP5B/PIK3CG/PI4KA/PIP5K1C/CDIPT/ITPKA/ISYNA1/PTEN/PLCE1/INPPL1/ALDH6A1/PIK3C2A/PIP4K2B/ITPK1/ITPKB/PLCG1/PIKFYVE/SYNJ1/PIK3C3/PIK3CD/PIP5K1B/INPP5A/INPP4A/PIK3CA/PLCG2/PLCB1/PIP4K2A/PLCB4/INPP4B",0.0103602319171181,"KEGG 00562"
"00604",14,-0.532249921514944,-1.71436015103591,0.00199600798403194,"B3GALT4/ST6GALNAC4/SLC33A1/GLB1/ST3GAL1/ST6GALNAC6/HEXB/ST6GALNAC5/ST3GAL2/ST3GAL5/B4GALNT1/HEXA/ST6GALNAC3/ST8SIA1",0.0103602319171181,"KEGG 00604"
"02010",42,-0.294875748265402,-1.76135027095729,0.00199600798403194,"ABCC1/ABCB6/ABCC5/ABCA12/ABCA7/TAP2/ABCB4/ABCD3/ABCA5/ABCC6/ABCB10/ABCC10/ABCB8/TAP1/ABCA13/ABCC3/ABCB7/ABCG8/ABCG4/ABCA4/ABCB9/ABCB11/ABCA2/ABCA3/ABCC2/ABCD4/ABCG5/ABCC4/ABCG1/ABCC9/ABCD1/ABCA1/ABCA10/ABCC11/ABCD2/ABCA9/ABCC8/ABCA8/ABCB5/ABCA6/ABCB1/ABCG2",0.0103602319171181,"KEGG 02010"
"04020",154,-0.271317109972214,NA,0.00199600798403194,"CALML3/CHP1/GNA15/NOS1/LTB4R2/ERBB3/VDAC1/PRKX/SLC25A5/PLCD1/VDAC2/ERBB2/BDKRB1/PLCB3/ADORA2B/PHKA1/CHP2/EGFR/ATP2A2/CALML5/ITPR3/ADCY7/PHKG2/BDKRB2/ADRB2/PHKB/ATP2A1/P2RX2/SPHK1/CALML6/PTAFR/HTR7/HRH1/VDAC3/GNA11/F2R/CALM1/HTR2B/PLCD4/CACNA1E/CACNA1D/PPP3R1/GRIN2A/CHRM5/CYSLTR2/PHKG1/PPID/PHKA2/CAMK2A/ITPR2/PTGER1/SLC25A6/GRIN1/CHRM2/CHRNA7/RYR1/PTGER3/HTR6/OXTR/GRIN2C/CD38/ADCY3/PLCD3/ATP2B3/PTGFR/CAMK2B/PRKACA/GRIN2D/NOS3/HTR2A/CACNA1G/PPP3CA/GNAS/HTR2C/SLC25A4/SPHK2/PRKCG/PLCB2/CALM2/SLC8A2/HRH2/ATP2B1/LHCGR/P2RX6/DRD1/ATP2B4/CYSLTR1/ADORA2A/ERBB4/AVPR1A/PDE1B/TACR2/ITPKA/TNNC2/PLCE1/PTK2B/P2RX7/GNAL/GNAQ/CAMK2D/CAMK2G/CACNA1F/HTR4/SLC8A3/ADCY2/P2RX1/ITPKB/PLCG1/PRKCA/PDE1A/PDE1C/P2RX5/ADRA1B/CACNA1H/PDGFRB/AGTR1/CALM3/CAMK4/P2RX4/ADCY9/ATP2A3/PPP3CB/CACNA1C/CACNA1I/EDNRA/ADRA1A/PPP3CC/GNA14/MYLK3/SLC8A1/MYLK/PLCG2/ADCY1/CACNA1B/PLN/ITPR1/CACNA1A/BST1/EDNRB/CHRM3/RYR3/ADCY4/RYR2/TRPC1/ATP2B2/TBXA2R/PRKACB/PDGFRA/NOS2/PLCB1/PRKCB/ADRA1D/PLCB4/TACR1",0.0103602319171181,"KEGG 04020 - Calcium signaling pathway"
"04060",192,-0.217221894135907,NA,0.00199600798403194,"IFNLR1/BMP7/IL22RA1/IL18/TNFRSF21/IFNE/IL20RB/EDAR/IL20RA/CXCL14/EGFR/TNFRSF25/CXCR2/CXCL16/VEGFA/IL11/TNFSF9/CCL22/CCL26/IL13RA1/ACVR1B/IL1RAP/TNFRSF10A/IL12RB2/LTBR/TNFRSF18/TNFSF10/IFNGR2/TNFRSF13C/RELT/IL9R/CNTF/TNFRSF19/IL1A/BMP2/IL1R2/AMH/CXCR5/CCL2/LIF/TNFRSF10B/CLCF1/TNFRSF1A/MET/IL23A/IFNGR1/IL10RB/IL17RA/ACKR3/TNFRSF12A/NGFR/CCR5/TNFRSF9/OSMR/CXCR1/TNFRSF11A/IL6/IL2RB/CRLF2/CCL27/IL6R/IL4R/CSF2RA/CXCR3/CCR1/FASLG/IFNK/XCR1/CCL5/TNFSF15/IL21R/IL7/CCR6/CCL3L3/TNF/OSM/CXCL8/TNFRSF8/TGFB1/TGFB2/IL1B/TNFRSF10D/MPL/CCL4/IL2RG/CCL4L2/CCR4/TGFB3/IL1R1/TNFSF14/CSF3/TGFBR1/CCL21/CSF3R/CCL3/CXCL9/CXCR6/PLEKHO2/IL18RAP/TNFRSF4/CCR2/CCL28/CSF1R/TNFRSF10C/IL15/IFNAR1/CXCR4/KIT/CCR10/TNFRSF6B/CCL8/TNFSF13/BMPR2/IFNAR2/IL7R/CXCL3/CSF2RB/EDA2R/TNFSF8/IL12RB1/EGF/KITLG/PDGFA/CXCL10/LTB/CXCL2/IL10RA/CXCL5/HGF/CCR7/TSLP/FLT3/IL2RA/CX3CR1/CSF1/PRLR/FAS/IL17RB/TNFRSF11B/FLT1/CX3CL1/CD40/IL18R1/IL6ST/CCL19/IL5RA/IL24/ACVR1/IL3RA/TNFRSF1B/CD40LG/TNFSF13B/INHBA/IL11RA/INHBB/CNTFR/TNFSF4/ACVR2A/TPO/KDR/PDGFRB/PF4/CXCL1/EDA/TNFRSF14/FLT3LG/PDGFC/VEGFD/IL15RA/BMPR1A/EPOR/PPBP/CTF1/LTA/LEPR/GHR/CCL14/FLT4/CD27/VEGFB/CCL23/ACVR2B/BMPR1B/CXCL12/VEGFC/CCL16/TGFBR2/PDGFRA/IL5/TNFSF12/PDGFB/LIFR",0.0103602319171181,"KEGG 04060 - Cytokine-cytokine receptor interaction"
"04062",165,-0.253645746437937,NA,0.00199600798403194,"HRAS/TIAM1/PRKX/GNB2/CSK/PIK3R2/PLCB3/CXCL14/PRKCZ/KRAS/CXCR2/NFKBIB/CXCL16/NRAS/GSK3A/CCL22/CCL26/GRK2/GNAI3/ADCY7/CRKL/RAC1/IKBKG/MAPK1/PRKCD/CHUK/VAV3/RAF1/CRK/MAP2K1/CDC42/GNG3/PIK3CB/GSK3B/CXCR5/CCL2/GRK6/GRB2/AKT2/PARD3/GNG13/STAT3/NFKBIA/RHOA/AKT1/GNG5/RELA/GNG12/GNB4/CCR5/CXCR1/STAT1/MAPK3/RAP1B/NFKB1/CCL27/PAK1/WASL/IKBKB/CXCR3/CCR1/GNB1/PIK3R5/XCR1/CCL5/CCR6/SHC1/CCL3L3/RAC2/CXCL8/BCAR1/CCL4/GRK4/CCL4L2/GRK1/CCR4/ITK/HCK/ADCY3/NCF1/CCL21/STAT2/GNAI1/CCL3/WAS/PRKACA/BRAF/CXCL9/CXCR6/CCR2/CCL28/CXCR4/VAV1/CCR10/CCL8/PLCB2/CXCL3/DOCK2/PIK3CG/PREX1/GNAI2/ARRB2/CXCL10/JAK3/CXCL2/FGR/CXCL5/CCR7/ADCY6/LYN/CX3CR1/PTK2B/CX3CL1/FOXO3/GNG10/GRK7/GNGT2/ADCY2/CCL19/VAV2/ARRB1/PIK3R3/GNB5/SHC3/GNB3/RAP1A/PXN/JAK2/TIAM2/PIK3R1/SOS1/GRK3/ADCY5/PF4/GNG2/ADCY9/GNG8/CXCL1/GNG4/PIK3CD/SHC2/PTK2/ROCK1/SOS2/PPBP/PIK3CA/ADCY1/ROCK2/ELMO1/CCL14/CCL23/ADCY4/GNG11/STAT5B/CXCL12/RASGRP2/CCL16/PRKACB/GNG7/AKT3/GRK5/SHC4/PLCB1/PRKCB/PLCB4",0.0103602319171181,"KEGG 04062 - Chemokine signaling pathway"
"04070",77,-0.254195202270251,NA,0.00199600798403194,"CALML3/CDS1/IPPK/PIP4K2C/PLCD1/DGKA/PIK3R2/PLCB3/PI4K2B/CALML5/ITPR3/DGKH/DGKQ/IMPA2/SYNJ2/INPP5J/PIK3CB/PIK3C2B/CALML6/PI4KB/DGKZ/INPP1/PI4K2A/CALM1/PLCD4/PIP5K1A/ITPR2/INPP5K/OCRL/PIK3R5/IMPA1/INPP5E/PIK3C2G/PLCD3/PRKCG/PLCB2/CALM2/INPP5B/PIK3CG/PI4KA/PIP5K1C/CDIPT/ITPKA/PTEN/PLCE1/INPPL1/PIK3C2A/DGKI/PIP4K2B/DGKD/ITPK1/DGKE/ITPKB/PIK3R3/PLCG1/PIKFYVE/CDS2/PRKCA/PIK3R1/SYNJ1/PIK3C3/CALM3/PIK3CD/PIP5K1B/INPP5A/INPP4A/PIK3CA/PLCG2/INPP5D/ITPR1/DGKB/DGKG/PLCB1/PRKCB/PIP4K2A/PLCB4/INPP4B",0.0103602319171181,"KEGG 04070"
