Gene,Degree
CDC42,68
RHOA,66
MAPK3,61
FN1,55
PIK3R1,52
RAC1,47
PRKACA,45
PTPN11,40
ROCK1,38
ITGB1,37
IQGAP1,37
PTPRC,36
MET,36
LYN,36
CRK,35
CFL1,32
CBL,32
NCK1,31
VAV1,30
ACTG1,30
STAT5A,29
HGF,29
FCGR3A,28
FLT3,27
FLNA,27
CFL2,27
UQCRQ,26
PAK2,26
FGF7,26
CREBBP,26
COX5A,26
AXIN1,26
MAPK14,25
ITGB3,25
CREB1,25
COX6A1,25
UQCRFS1,24
PPP1CA,24
NDUFV1,24
NDUFB5,24
NDUFAB1,24
FGF17,24
CDK2,24
RELA,23
PPP2CA,23
NDUFA9,23
MYH9,23
MYH11,23
FLT1,23
COX5B,23
ZAP70,22
NDUFA2,22
HDAC1,22
HCK,22
COX7A2,22
COX6B1,22
VAV3,21
NDUFC1,21
NDUFB3,21
NDUFA11,21
CTNND1,21
COX6C,21
WNT5A,20
UQCR11,20
SDHD,20
RAP1A,20
NDUFB4,20
ITGA2,20
FOXO3,20
FGFR2,20
TGFBR2,19
SPP1,19
PFN1,19
NDUFB1,19
ARF6,19
TJP1,18
PPP1R12A,18
MYL12B,18
ARAF,18
APC,18
COX15,17
RARA,16
PLD2,16
PDGFA,16
ITGB4,16
IKBKG,16
GAB2,16
BCR,16
AKT3,16
DKK1,15
ARPC3,15
WASF3,14
TBL1X,14
SKP1,14
SCIN,14
WNT2,13
CYFIP2,13
CALD1,13
ARPC5,13
ARHGEF1,13
THBS2,12
ITGA11,12
FZD7,12
TBL1XR1,11
PPP1R12B,11
MYH14,11
FCGR2B,11
CTBP1,11
SHC3,10
PPP2R5A,10
NRG1,10
LAMA3,10
FZD6,10
COL18A1,10
CD79B,10
ATP6V0C,10
ATP6V0B,10
ATF4,10
RPS6KB2,9
PRKCE,9
PIP5K1C,9
PIP5K1A,9
PIKFYVE,9
IFNGR2,9
IFNAR1,9
HADHB,9
CSNK2B,9
CREB3,9
COX11,9
WIF1,8
MRAS,8
MGST3,8
FZD8,8
CREB3L2,8
BTC,8
ATP6V1E1,8
ATG7,8
ARHGEF11,8
SORBS1,7
RUNX1T1,7
PIP4K2A,7
LIMK2,7
HLA-A,7
GSTA4,7
ATP6V0D1,7
ASAP1,7
ZBTB16,6
PRICKLE2,6
MITF,6
MGST2,6
MARCKS,6
GSTM3,6
GSS,6
CD14,6
ATP6V1G2,6
ARHGAP5,6
ADH7,6
ACADVL,6
TXNDC12,5
RXRB,5
NOTCH4,5
BIRC3,5
ATP6V0E2,5
RASGRP3,4
NRG4,4
GCLM,4
FRAT2,4
DIAPH2,4
ALDH9A1,4
RRM1,3
PRKCH,3
PLA2G12A,3
PLA2G10,3
NFATC4,3
NFAT5,3
ALDH3A2,3
PLA2G4B,2
KCNMB4,2
KCNMB3,2
JMJD7-PLA2G4B,2
IFITM1,2
FGF11,2
ELK1,2
CAPN2,2
ATG4D,2
ATG4A,2
BDKRB1,1
