PATH,PathwayName,Nh_POP,NES_POP_fgsea,p.adjust_POP_handrolled,Nh_SUI,NES_SUI_fgsea,p.adjust_SUI_handrolled,Same_direction_fgsea
04012,KEGG 04012 - ErbB signaling pathway,87,-1.41,0.00588013162863462,34,-1.604,0.0822706705059646,True
04270,KEGG 04270 - Vascular smooth muscle contraction,103,-1.984,0.00588013162863462,37,-1.677,0.0822706705059646,True
04310,KEGG 04310 - Wnt signaling pathway,143,-0.847,0.00588013162863462,57,-1.392,0.128442985585843,True
04370,KEGG 04370 - VEGF signaling pathway,68,-0.88,0.00588013162863462,30,-1.332,0.237857380714524,True
04510,KEGG 04510 - Focal adhesion,193,-1.41,0.00588013162863462,71,-1.815,0.0599400599400599,True
04512,KEGG 04512 - ECM-receptor interaction,83,-0.661,0.00588013162863462,22,-1.641,0.125800125800126,True
04520,KEGG 04520 - Adherens junction,73,-1.002,0.00588013162863462,30,-1.517,0.153180153180153,True
04650,KEGG 04650 - Natural killer cell mediated cytotoxicity,103,-1.108,0.00588013162863462,45,-1.472,0.125800125800126,True
04660,KEGG 04660 - T cell receptor signaling pathway,103,-0.961,0.00588013162863462,36,-1.395,0.168581418581419,True
04662,KEGG 04662 - B cell receptor signaling pathway,73,-1.23,0.00588013162863462,27,-1.915,0.0822706705059646,True
04666,KEGG 04666 - Fc gamma R-mediated phagosome formation,94,-1.14,0.00588013162863462,45,-1.519,0.124875124875125,True
04810,KEGG 04810 - Regulation of actin cytoskeleton,190,-1.146,0.00588013162863462,82,-1.796,0.0599400599400599,True
05215,KEGG 05215 - Prostate cancer,86,-1.006,0.00588013162863462,34,-1.696,0.0822706705059646,True
05218,KEGG 05218 - Melanoma,60,-0.756,0.00588013162863462,23,-2.047,0.0599400599400599,True
05220,KEGG 05220 - Chronic myeloid leukemia,73,-1.109,0.00588013162863462,35,-1.735,0.0599400599400599,True
05223,KEGG 05223 - Non-small cell lung cancer,54,-1.171,0.00588013162863462,20,-1.314,0.240668422486604,True
05221,KEGG 05221 - Acute myeloid leukemia,57,-1.105,0.0107439442103447,23,-1.583,0.153180153180153,True
00071,KEGG 00071 - Fatty acid degradation,43,-0.731,0.0150044738109987,13,1.934,0.0599400599400599,False
04320,KEGG 04320 - Dorso-ventral axis formation,22,-0.779,0.0150044738109987,10,-1.34,0.243756243756244,True
04140,KEGG 04140 - Autophagy - animal,19,-0.769,0.0366425044647547,6,1.513,0.220831799779168,False
00480,KEGG 00480 - Glutathione metabolism,43,2.219,0.115181401902078,17,1.868,0.0599400599400599,True
