ID	GeneSymbol
139282	GAP43
131316	GPHN
108888	KIF21A
178946	CD1A
115338	CTNNA1
206927	SLA
139705	CASP14
223159	TSGA10IP
705915	MGC52000
135547	SLMAP
185825	HN1
202838	ZNF32
161158	FLJ23554
157905	RNF40
161075	F9
167465	POLR3A
105421	PIP3-E
168099	GALNT6
144248	CRTAC1
207283	HFE
235132	ZNF319
160223	MGC20460
188632	TIMELESS
232497	NOS3AS
208657	HTRA3
133973	SULT1C1
174485	LOC339745
148963	NR0B1
190555	CTSO
216971	FLJ90709
114607	LOC129285
103475	FLJ10979
198499	PTK2B
201953	GSN
139135	CSPG3
224053	TCEAL8
153552	RTTN
118556	SORCS2
144980	CLK4
195916	LILRA2
106765	OR52J3
178041	TMIE
112612	RBP2
102836	GPR133
128500	SERF1A,SERF1B
160378	ADPRH
100244	MPP6
120271	PTCD1
189490	NR3C2
152479	IDI2
141854	CA11
130884	NCAM1
182021	PAK3
162476	MGC40179
207250	FLJ10326
214951	ELA3B
152588	RPS3A
126665	RBMS2
226129	MRGX3
212011	RUTBC1
175262	XRN2
142147	FLJ39501
127816	EMCN
175877	EPHA7
111857	ZBTB10
118874	IFITM1
134482	LOC51236
183912	DGKE
191050	MAPKBP1
224390	RPS15
170092	KIAA0892
133475	KRTAP3-1
214357	DSCR4
193078	FAM36A
127546	PSME2
203496	ATRNL1
201771	C16orf46
205920	WDR26
206345	ANAPC11
100552	ATP5F1
106723	PCMT1
183516	HERPUD1
117284	FTHL16
159794	ANGPT4
199772	FAM20C
168643	SLC28A3
206102	LOC220070
158756	RNPC2
186923	PAPSS1
125249	HRBL
146543	ROBO4
236580	GPR125
106688	POLE
122985	INPP5F
153167	MID1IP1
149158	RRAD
164224	MGC4606
141183	TCEB1
130288	WDR7
179709	MGC61716
104099	FLJ14640
160263	HIST1H2BH
167690	KIAA0582
150703	EPS8L3
121011	ASNA1
202439	DC-UbP
141960	SSNA1
228111	KIAA2018
162103	RPS18
156250	ADORA3
166166	SARG
188235	MOG
131688	LSM7
206942	MID2
128790	GTF2H2
129934	MGC20255
200001	RAP1GDS1
188270	ITPK1
218997	MGC33887
221892	SIM2
133312	CDKL1
187815	BCAP31
192110	MGC26690
208199	DNAJC5
158554	FLJ23342
165585	NDUFS2
193278	RB1
174460	MORF4L2
190761	SPG3A
141916	RAB37
122155	SLA/LP
106378	P2RX5
104157	PEMT
183871	DKFZP564F0522
130789	CLEC3A
155263	FLJ40873
122550	ANKRA2
171678	OR8J3
179837	DCP2
223990	NEUROG2
206193	WDFY3
10687190	TAS2R49
138411	MRPL16
204019	ASTL
653518	OR2M2
169987	NXF2
120362	SCNN1B
107339	GFER
173362	AKAP8L
109505	CCR4
184788	C16orf9
165425	CENPE
232035	KIAA1729
125335	na,C1D
191854	FUT3
151697	KRTHB5
147148	HT017
222023	USP10
108274	CNTN4
216981	TAS2R7
124129	ZNF230
188291	PLCG2
128985	C6orf93
201484	PARP16
147920	CPEB1
112591	GPR97
189689	FGF17
102521	CR1,CR1L
164714	SELENBP1
106022	GTF3A
115418	LZTS2
162611	CD59
142089	TMOD4
185066	ITGB4BP
123375	GNMT
174392	THBS4
146527	ENDOG
186744	S100G
167436	DDX20
121242	PARN
105900	LOC51315
228198	OR1J2
125397	GSTM5
211410	ZNF573
147521	TPI1
105064	PEX12
141498	GLIS1
122466	CA13
194433	SLC22A11
177496	ZNF559
202801	NDP
119288	ZNFN1A4
139183	FAM49B
202598	CADPS
158269	TP53
155712	SHC3
489842	EIF4B
155137	C1orf36
190980	NR1H2
169639	DCTN6
107117	GLA
110453	IL4I1
197713	TEAD3
109122	SAMHD1
153865	FMO3
214094	RPL23A
124799	PRKCB1
206714	FLJ14442
158699	STAT4
177880	NR5A2
102709	BLMH
226421	ZNF439
184463	ZNF467
112193	MGC45780
145360	KCNJ6
199042	na,GGTL4,GGT2,GGT1
205035	STIM2
103239	PPP2R2B
208538	SCN4A
200193	NDUFA8
224478	ARHGEF7
164685	DDX51
208153	AMY2B
133431	TFE3
101754	TM9SF4
168386	FLJ45273
223149	KIAA0774
170467	SNAPAP
106362	SMAD9
217804	FLJ38377
201125	REPIN1
182329	SSBP2
160791	FER
203566	ANKRD17
118255	AYP1
150817	C16orf34
175499	ACY1L2
125930	CRI2
702228	SAMD7
177655	MGST3
109718	ZNF596
213878	HEL308
180472	LOC128153
142657	GDI1
106202	UXS1
201523	CAST
173482	SALL2
169116	KLK2
150785	PRKACG
153082	LHX1
138121	C1D
187395	MIST
105346	HIST1H2BO
197351	CXorf53
202177	HADHB
117856	TSTA3
192337	AMACR
204743	ID1
194856	FLJ40365
111918	SFTPB
167077	GABPA
166505	PF6
132194	ITGA6
181732	TNFSF4
117048	MRPL11
199502	KIAA1826
195445	DPT
159805	TIAM1
107802	C9orf116
113113	TCF7L2
234273	OR13A1
139386	KIAA0934
130826	CXorf36
184855	EXOC7
121345	FLJ39660
162961	MYO10
213439	WDR11
128620	MTF1
168565	CARF
172568	L3MBTL4
104207	PHF20
190517	GRINL1A
132348	FLJ10385
210498	CGN
138098	FLJ14627
156792	MELK
203360	GBGT1
174376	MAP1LC3A
129851	MGC52498
172734	AKR1CL1
156790	COL2A1
100890	OSBPL10
164929	RTKN
220747	IHPK2
115385	D21S2056E
152936	SLC43A1
210334	PPP1R13L
158321	CSNK2A1
407873	CSPG4
201099	USP14
195542	C14orf21
194177	FLJ21159
182307	FLJ20259
188773	na,RPL17
104707	FLJ33708
180305	KLPH
166592	FGD4
129694	KIAA1040
138703	OXSR1
115847	MS4A1
108230	HPRP8BP
210971	MAGEB4
235488	na,ENPP7
152002	GPR26
122823	TGDS
188609	GTF2E2
120662	TCTA
129829	RND3
125216	TMC7
105743	KIAA1008
107398	DOCK10
160673	VDP
176799	PSMAL,FOLH1
145487	GPAM
155780	ANK2
157342	NPD014
189271	LNX
137521	ITGAE
124107	RAB35
172008	FLJ32112
133511	CEBPE
182125	USP48
212042	RPS19
183982	FLJ20297
235154	GPR155
234266	IBRDC2
689720	KRTAP11-1
203038	GABRR1
215776	PBP
115926	DHCR24
158722	PIPOX
109859	C9orf98
202509	IGFBP1
148396	MGC5306
114299	ADAMTS19
199719	METTL2,FLJ12760
119049	RPL3
150454	ARVCF
203320	HIST1H1D
139011	RDH10
158297	TRAR3
171172	GNAQ
154578	C20orf52
671771	UPF3A
223959	FLJ32742
119323	BAT2
224271	WDR40B
190674	EIF3S8
206072	SELO
216437	HORMAD1
192662	OR52N4
145754	IL27RA
231372	na,ZA20D2
199798	C13orf11
164435	MYD88
145919	MMP7
695307	HPSE
124956	THAP6
207856	TRIM37
203663	STAT2
104760	BSPRY
204868	C11orf11
166400	NSUN5
223987	CILP2
125202	APITD1
175860	C6orf25
142887	KRTAP4-2
172292	CD37
159602	S100A12
120935	QSCN6
174203	ABAT
214753	na,RPS26
218380	HOXB6
178164	FLJ34633
134530	SKP1A
192529	KRTAP4-5
102213	SRD5A2L2
169878	TZFP
179164	TNFSF18
175473	CXorf41
144266	ACTR6
205644	PTE2B
233145	C14orf43
113868	LOC124491
117590	SMAP-1
210314	TBC1D4
208387	ARHGEF17
192539	SRGAP1
227652	PDE8B
204606	ARP3BETA
204141	SENP3
102718	MAPKAP1
151669	SLC13A5
208420	NRXN2
204651	UNG
122996	C11orf33
206251	ZBTB5
220588	FLJ14503
215784	C9orf26
165381	RHBDL2
157083	C6orf32
105582	ATP8B4
202346	KARS
123838	MSX1
190945	PTGES
193899	PPP1R13B
120399	na,PSG8,PSG1
125729	TSAP6
135701	ADAMTS17
221503	GBP3
194821	APAF1
222497	OVCA2,DPH2L1
187161	C10orf45
106160	PIGR
163166	MLF2
183881	PCDH11X
124377	SCIRP10
187430	ARMC2
174889	CEP1
196635	NPHS2
221769	LOC124842
210363	PPP1R3B
214502	KIF3A
134677	KIAA1407
181127	na,CES1
104119	FJX1
191595	AKAP6
235963	HSPA4L
260885	TORC3
217539	CNOT4
185207	CARD15
178658	KIAA1787
218140	PGBD3
168859	HDAC4
108672	HBD
159511	GNG3
115752	PDCD5
214774	UQCRFS1
225769	SLC29A3
196695	IER3
188703	ARHGAP5
154326	S100A6
174192	CRYGC
118592	FOXL2
172716	CLCN4
102491	SLC35E2
131021	ZNF262
228631	CKLFSF6
161914	FLJ36812
149674	TMEM16G
106094	BAZ2B
214331	HDHD2
152777	LENG5
144559	KIAA0082
142526	ADH4
112458	JAK2
206443	GNB1
172361	ZNF167
188400	ST8SIA2
180347	C13orf8
119968	ADAM29
172558	CPSF1
203109	DUSP12
144373	BG1
204179	SLC35A3
152328	GSS
123584	TOMM20
187925	ZNF354B
110402	FLJ13197
184278	PNKP
149817	SLC1A7
146514	PDLIM2
114133	DCBLD2
167559	IRF2
161642	SPATS2
163596	WNT8A
147853	PACRG
197694	CCDC10
193395	LOC55831
306070	ZMYND17
151549	CCT5
152140	FBXO2
210404	TNMD
148010	DNAJC3
216398	KCNK17
153663	FBXO9
204440	ACVR1
176172	FLJ11535
176362	MYST3
204200	SLC25A14
131054	TPT1
117382	FLJ11021
143319	PCSK1N
135966	C21orf124
170362	ZNF598
115708	KIF2
158079	LTB4R2
209180	MUC7
204939	KIAA0195
107651	SDR-O
161443	TFCP2
142210	RIN1
134236	GNL1
157605	CPNE6
141029	EIF4B
106038	REG4
215656	ITSN2
168268	KCTD3
205087	KIAA1622
213205	SNAP91
215679	LOC493856
119508	RBAF600
128960	PTPDC1
143857	FLJ46061
209146	KIAA0523
174051	NR0B2
181728	ALDH1A2
203347	ENAM
114098	RBP4
214930	AKAP13
126427	C21orf99
209820	CD86
178186	LOC113655
128819	TMEM10
177051	YEATS4
108418	HCNGP
157596	UNC13B
171335	FLJ31810
160743	ZFP36L1
207223	LOC286148
218266	KCNIP2
113643	IQCF2
194266	SMUG1
104627	C10orf84
447116	LCE2A
197624	METRNL
132917	MRPL4
124225	FDX1
116349	C19orf12
144600	TFPI2
169478	EXOC8
115764	NELL1
164384	DMRT3
122934	QPCTL
162240	DNASE1
143553	PPP1R15A
206840	SF3B2
137738	UCP1
157162	MGC45562
211052	EFHD2
154892	KCNAB3
121063	C20orf85
198949	FIGF
197783	C20orf51
226479	ANKH
152515	TBRG4
149612	HIST1H1E
114017	HNRPH3
213603	SLC22A15
100572	GPR74
211963	NAPE-PLD
122697	TP53INP2
204811	NRXN1
197030	ZNF659
166527	SMN2,SMN1
101722	GUCY2C
201107	COL15A1
180242	FABP6
136245	DJ328E19.C1.1
205301	FANCC
151778	TAP1
126536	FLJ14936
178063	SUCNR1
708293	KRTAP19-7
101929	EGR2
184006	KLHL3
162393	ZAR1
218595	VN1R5
207120	NCK2
196303	GOLGA1
175815	WBSCR17
148417	ADAM33
195525	PRDM4
182474	CA5A
128695	VPS26
104504	SERPINA1
124733	AMSH-LP
195997	C3AR1
118048	NT5C2L1
207495	KDELR1
121505	LOC150763
155621	CACNG6
115649	HRIHFB2122
150062	WHSC1
160104	HRMT1L4
151768	C18orf45
188493	ATP2B4
200598	USP1
104131	GRP58
200736	PDK1
120503	KIAA0274
226225	SPRR4
149301	C21orf13
174754	PAPOLA
172676	MAGEE1
168543	FLJ25143
163213	STAB1
194621	MAL2
118930	TXNIP
106063	LOC374920
175882	PDE6G
162405	ARGBP2
101042	VPS13A
105409	LAMA1
205382	ALPK3
135487	EPB41L4A
125964	C6orf201
197724	MGC32871
118912	ME3
225918	DLAT
140876	CNNM1
114348	THAP9
178306	FLJ21736
170927	CACNA1I
195577	IFITM3
222129	HAS3
174320	76P
178735	COH1
210482	RBMX
162336	PTPRD
187829	MAP2K5
129086	ARHGAP21
208710	STAC
148114	TRIT1
108400	LOC93349
203798	MRPS34
151060	FAM40A
185195	CYP46A1
160343	RNF128
154446	HCRT
222897	PNMA5
225550	NR4A1
210807	MGC35169
186385	WDR19
145797	C19orf24
124801	RRH
222558	Lin10
224619	C9orf72
122543	C14orf124
147962	LACE1
122847	SLC9A7
251773	OR8B4
219737	MGC21518
113151	PAGE-5
177764	TBPIP
190669	MGC20419
141984	HOXC10
165349	MGC14595
145675	KRT5
181976	COL5A3
194660	NALP12
189081	TUSC2
168077	FXR2
176007	ORC4L
114000	NCBP1
121271	DOK2
134586	CYP3A7
132060	FLJ20507
179748	CXorf38
145940	ASMT
123693	KIAA0804
156829	ACYP2
158446	BRDG1
143619	LOC51337
201989	TMEM39A
162702	PIGH
707818	DCN
176117	ZNF491
214000	TLK2
147091	OR52N2
209786	CTNND2
118632	ZNF35
169970	LOC136263
139587	MGC5987
164326	BRF1
100935	INSL4
197238	GZMB
157702	NDUFV3
158336	WNT9B
120001	NASP
135356	MLLT1
167368	PROL1
155980	SH3RF2
103918	C14orf161
123744	PTX3
180149	NLGN2
120597	YARS
152957	CLDN1
144771	C1orf37
188659	SIRPB1
137978	PLXDC2
131407	UTS2R
115103	PUM2
143517	LOC168850
169601	CHPPR
202656	PPP1R12B
170968	JMJD2C
157883	NAPG
219778	OR10H2
134443	AKAP14
198592	FOXN1
106604	PROS1
138137	HPCL2
124409	SLC35B2
112076	LRRIQ2
181246	PRCP
149494	LOC283849
168208	MAP4K3
116725	DKFZP564J0863
203840	FLJ30473
200828	MGC15416
227041	RAB4A
606095	CDY1B,CDY1
189299	HIST1H2BB
218538	MAPK14
121482	TOP3B
224249	TDRD5
698022	TAS2R50
216841	IL23R
150292	C10orf70
161027	ETS2
121307	HGNT-IV-H
211060	ATP1B3
128722	ZNF433
177538	IDS
190073	HIST1H2BK
687928	RNF13
199263	SELE
116212	NPC2
146250	FABP3
171824	VPS4B
180947	SLC17A6
201200	LOC120379
158198	na,DKFZp434N2030
139519	SEMA6B
147557	APOL4
198956	na,OR2AE1
203532	BTG3
212126	GNGT2
154858	MLL5
199623	ZNF222
173235	IMAA
127042	na,DKFZp434I1117,FAM22A
217082	NUDC
156211	TNFRSF10D
209385	SDCBP2
205153	XPO1
125821	EGFL8
103793	FAHD1
138016	PQLC1
101060	PDK4
208024	IGBP1
190932	COL21A1
209315	MTO1
210968	FLJ20605
120229	CIB1
193099	OR52E2
201090	ALX3
151665	FLJ33674
134706	BNC2
118354	CLC
132528	PDE10A
205607	FABP5
136315	BGLAP
137704	PARD6G
128108	COX6A1
181474	CEBPZ
197513	DNMT1
118307	ZNF11B
155892	DDEF1
191611	UBE2E2
190218	PPT2
127919	UNQ846
151149	ZNF317
134052	CTPS
133487	EMID2
172828	LOC388962
119332	MCOLN3
188735	RUVBL1
221568	PTPRE
120166	OR8B8
147492	NCOA2
105863	HIST1H1B
197613	HIST2H4
120080	STAB2
134154	KIAA1604
181150	SSR2
192265	BIK
206839	SLC4A10
175469	THY28
198384	PLEKHF1
131799	SYNJ2
181605	LOC115098
117532	SDHA
211361	LOC146562
214534	ZNF407
127056	ZBTB17
100645	KM-HN-1
153584	FLJ31952,FLJ34922
225603	HPS4
142815	NDUFS7
702434	OR2W3
131671	DRD5
100543	C9orf89
158904	RPS21
106304	FLJ10213
214878	CYP4F2
143012	MEF2B
183957	WBSCR16
211291	LTBR
211837	UNQ6411
204484	EDG7
135162	MRPL33
200014	IL10RB
178007	ATP5L
136927	NOVA1
100591	C14orf9
221908	FRAS1
141969	JAM2
179656	LOC255743
199931	PANX1
211983	TTC16
130238	RAD51L1
146721	KIAA1160
109221	HRH3
214792	FLJ14681
159507	ZBTB12
169440	SPEN
116577	LHX4
113674	NEUROD1
118673	MLSTD2
146578	CAMTA2
147040	TCF19
223252	KIAA1387
189418	THY28
210353	FLJ21019
215809	TUBAL3
103913	CAMTA1
132046	CISH
129698	MGAM
123461	NDRG4
191430	VCIP135
207708	ELAVL2
173895	SNX16
170031	MGC40157
177749	TOP1MT
153102	NTSR2
179076	PRODH2
119008	HSPB1
197488	ORM1
185914	DTNA
194320	RAPGEF3
224481	CYGB
118177	TAF5L
205623	RPA4
187967	KIAA0592,LOC387680
152354	HPX
127270	CHRNA5
225926	ANKHD1
209398	MAT2B
102988	FANCL
114289	PALMD
159965	USP26
153821	COASY
146841	KBTBD4
211573	NPTX2
157665	RNF12
197824	TEX14
168129	PBX3
209578	DKFZP434K1421
214483	FLJ21148
130259	HCCS
143403	GEMIN5
229642	FBXL22
123176	PFDN4
166769	DKFZp434O0213
173366	HSPC023
198147	POLR2I
227162	YWHAB
223073	ZNF547
227303	FLJ40224
137654	HT007
146111	PACSIN1
184582	R3HDML
220578	GNAO1
117918	ITM2C
129095	CGI-49
152569	RBED1
175864	C2orf18
102334	BANK1
107607	GUCA1B
102623	KLHL6
167460	H63
202754	WBSCR28
154961	ZNF434
212994	TUBA6
220065	FLJ40504
151439	LIMK2
118129	SNAPC3
184815	KREMEN1
200440	KRT6E
132572	PTER
167473	YT521
227513	C7orf6
224906	BTNL9
140486	ITLN2
160573	COQ6
194763	LOC90522
141143	GALE
143205	FKBP4
135233	SUPV3L1
137937	CSTF2
159991	IGF1R
224255	MGC33889
177349	GPR77
168572	DNAI2
226996	MRPL50
125937	DHRS3
208790	LRRTM3
160938	TGM1
141965	FLJ20694
112524	CHST6
111384	OR2A14
159630	EGFL6
218631	MGC16703
130335	KIF13B
181639	ASAH3L
137923	LASS2
151341	COMMD10
113536	PPIF
184102	ARF3
104634	MGC26610
171778	IGLL1
203648	SORD
102753	FAM18B
126337	KIAA1189
115397	RTN4R
213145	C21orf45
162656	DLGAP4
114999	FLJ43980
205480	CSF2RB
159576	STX3A
150161	RCE1
150919	SLC2A10
213652	LETMD1
222840	C10orf47
216566	ITPR3
192798	SUCLG2
150353	IGFBP6
142421	LOC112869
222226	FLJ46156
215946	PIM3
695977	DUX2
102229	TCFL5
167201	VPS13A
160545	CCDC12
108206	MALT1
115497	CSMD1
145203	NT5C3
123145	ABCA7
105150	SSX2,SSX7,SSX4
131198	PDE6A
183616	PTPNS1
171968	PPP1R3F
153788	LPIN1
126449	CAPG
168970	PTPRN
200118	DUSP19
206391	INSRR
125134	DBP
189918	PQLC2
207590	CLEC3B
134009	CDH12
193194	C6orf84
213172	GNE
230370	LOC255189
190878	MNDA
135343	BDKRB2
226080	C21orf90
170327	C20orf3
224989	DNAJA5
103211	ARMC6
215844	OR2J2
173001	BAT3
134780	BLOC1S1
164529	MGC2744
113221	SRP46
214492	USP32
187283	PLUNC
210908	na,LOC65121
102972	LIN7B
173993	BBP
182859	TRUB1
110475	C6orf15
10708944	CUTL2
206073	SCYL1
183780	FBXO3
165653	KCNJ8
178585	VEPH1
146430	TMED5
105119	TK1
216999	C20orf100
190596	ACAS2L
233392	OR1K1
177367	TGFB1I4
142638	SIN3A
224749	WDR36
179468	GTPBP3
142257	IL2RG
148541	RAB3C
143151	NF2
101566	MGC45474
124485	FBXO27
