GeneSymbol,Direction,PValue,FDR,FoldChange,EntrezID
RPS23,up,2.001186e-07,0.003042524,23.29139,6228.0
RPS15A,up,3.239818e-07,0.003042524,27.3195724,6210.0
COMMD9,up,5.208201e-07,0.003042524,28.3426327,29099.0
GDF5,up,7.901646e-07,0.003042524,86.0918979,8200.0
TMEM115,up,9.107129e-07,0.003042524,17.2645381,11070.0
PTCH2,up,1.1285294e-06,0.003042524,15.9924382,8643.0
RPL3,up,1.3046293e-06,0.003042524,22.636819,6122.0
LSM2,up,1.3252281e-06,0.003042524,23.1314634,57819.0
ELK4,up,1.3660426e-06,0.003042524,3.9824166,2005.0
PLA2G10,up,1.5600687e-06,0.003042524,9.5216104,8399.0
FZD7,up,1.7894888e-06,0.003042524,11.9968397,8324.0
RPS27A,up,1.9393065e-06,0.003042524,11.4116961,6233.0
SKP1,up,1.9590317e-06,0.003042524,18.0901024,6500.0
RPL15,up,2.0957116e-06,0.003042524,8.3960495,6138.0
PHYHD1,down,2.6343923e-06,0.003550394,45.3285676,254295.0
CLDN22,up,2.7948982e-06,0.003550394,14.709881,53842.0
ALG8,up,3.2184338e-06,0.003680587,12.5859967,79053.0
STOML1,up,3.4958243e-06,0.003680587,4.4255658,9399.0
NPC2,up,3.5458922e-06,0.003680587,8.4007715,10577.0
NKX2-5,down,3.621734e-06,0.003680587,91.4912689,1482.0
HIST3H2A,up,3.8830613e-06,0.003758249,6.7836099,92815.0
FKBP5,down,4.640838e-06,0.004287501,48.0350761,2289.0
SDHC,down,5.0348177e-06,0.004449247,39.6236717,6391.0
GPC4,up,6.2374485e-06,0.005282339,11.3342278,2239.0
PHF7,down,6.6422755e-06,0.005357961,37.0040618,51533.0
CYP11A1,up,6.8539726e-06,0.005357961,20.2468318,1583.0
ERI3,up,7.7183403e-06,0.005810195,13.2846747,79033.0
EP400,down,8.5906017e-06,0.005889457,2.8532681,57634.0
KRTAP6-3,down,8.644268e-06,0.005889457,126.3566252,337968.0
KDELR1,up,8.6929254e-06,0.005889457,27.2790299,10945.0
FAM117A,down,9.3664609e-06,0.005950633,11.6024435,81558.0
CIB2,up,9.4201981e-06,0.005950633,7.2630395,10518.0
DAD1,up,9.6615445e-06,0.005950633,3.7990596,1603.0
RPL7A,up,1.04478326e-05,0.006245653,17.1511808,6130.0
IGIP,up,1.10334391e-05,0.006373321,2.7892592,492311.0
IL18BP,up,1.14098166e-05,0.006373321,13.5228969,10068.0
TMEM47,up,1.1602109e-05,0.006373321,5.6067085,83604.0
ARPC3,up,1.2922464e-05,0.006646652,17.2123276,10094.0
ERH,up,1.2987654e-05,0.006646652,11.5484794,2079.0
RGPD8,up,1.32212355e-05,0.006646652,4.7627301,727851.0
STEAP2,up,1.37179738e-05,0.006646652,5.7628222,261729.0
UNG,up,1.37347785e-05,0.006646652,8.8564734,7374.0
LEPREL1,up,1.4895484e-05,0.007040714,3.4243153,55214.0
EIF1,up,1.53118164e-05,0.007059881,3.4707345,10209.0
RBM12B,up,1.56307337e-05,0.007059881,10.5555145,389677.0
METTL10,up,1.60435071e-05,0.007088789,3.9956069,399818.0
PABPC4,up,1.72204692e-05,0.007093208,5.1939995,8761.0
TMEM91,up,1.72559585e-05,0.007093208,2.3406326,641649.0
EIF4E3,up,1.74992401e-05,0.007093208,4.1554933,317649.0
MGST3,up,1.75802546e-05,0.007093208,10.019586,4259.0
ZNF391,up,1.84340404e-05,0.007093208,2.4526473,346157.0
C8orf58,up,1.85149135e-05,0.007093208,6.6799075,541565.0
ACTR2,down,1.86899173e-05,0.007093208,6.8854705,10097.0
LY96,up,1.91288386e-05,0.007093208,5.86743,23643.0
GSG1L,down,1.91944134e-05,0.007093208,2.6159816,146395.0
GLI3,up,1.99560058e-05,0.007242961,7.862212,2737.0
GAB3,up,2.07573987e-05,0.007401651,31.9936939,139716.0
RPL39,up,2.22784956e-05,0.007570017,20.9872733,6170.0
NT5DC2,up,2.24986933e-05,0.007570017,3.8508829,64943.0
RPL9,up,2.25768956e-05,0.007570017,6.1984292,6133.0
EXOSC2,up,2.27978962e-05,0.007570017,5.4654552,23404.0
TOR1AIP1,up,2.32467528e-05,0.007570017,3.4927329,26092.0
LIMS3L,up,2.34642597e-05,0.007570017,5.3339219,100288695.0
CUTA,up,2.39664402e-05,0.007611217,5.5495766,51596.0
AXL,up,2.47478949e-05,0.007616007,5.512382,558.0
TMEM176B,up,2.48224978e-05,0.007616007,11.2410134,28959.0
PHF5A,up,2.53408232e-05,0.007616007,6.7465031,84844.0
NIPA1,up,2.5480367e-05,0.007616007,3.7065489,123606.0
COPS4,up,2.64300459e-05,0.007667464,2.1261288,51138.0
ARL13B,down,2.71878549e-05,0.007667464,4.5910998,200894.0
NRIP1,down,2.81826231e-05,0.007667464,4.9244058,8204.0
CACNA1S,up,2.83404148e-05,0.007667464,5.692381,779.0
SRSF7,up,2.88258538e-05,0.007667464,3.2013058,6432.0
ATXN2L,up,2.91845566e-05,0.007667464,6.0362505,11273.0
PTBP1,up,2.93312916e-05,0.007667464,8.1293246,5725.0
RPS8,up,2.93729135e-05,0.007667464,8.2518218,6202.0
TBC1D19,up,2.95111407e-05,0.007667464,3.7607993,55296.0
CD37,up,2.97219198e-05,0.007667464,5.0511585,951.0
FAM21B,up,2.98021973e-05,0.007667464,2.0332609,55747.0
ZNF281,down,3.01797702e-05,0.007667548,5.2624479,23528.0
KRTCAP2,up,3.10914961e-05,0.007688736,18.7793228,200185.0
RNF10,up,3.12094435e-05,0.007688736,6.604024,9921.0
CXCR2,up,3.13980354e-05,0.007688736,2.544679,3579.0
SORCS2,up,3.31561804e-05,0.007731504,4.796624,57537.0
RBP7,up,3.3793465e-05,0.007731504,5.9487897,116362.0
SLA2,up,3.39138121e-05,0.007731504,3.7170203,84174.0
RGS10,up,3.39529167e-05,0.007731504,16.4800034,6001.0
HGD,down,3.40098633e-05,0.007731504,76.0524947,3081.0
FEZ1,up,3.41765513e-05,0.007731504,4.1311088,9638.0
PEX26,down,3.45384712e-05,0.007731504,323.3320552,55670.0
RPLP2,up,3.57037602e-05,0.007731504,26.7129796,6181.0
SAE1,up,3.58033491e-05,0.007731504,2.6910148,10055.0
ZNF385C,up,3.60575643e-05,0.007731504,5.2941069,201181.0
C2orf69,down,3.62582941e-05,0.007731504,2.6052362,205327.0
ZNF673,up,3.65212465e-05,0.007731504,4.8156864,55634.0
PAOX,up,3.73720018e-05,0.007731504,6.642708,196743.0
CNBP,up,3.75045187e-05,0.007731504,4.521509,7555.0
DDX39B,up,3.84619719e-05,0.007731504,29.582964,7919.0
PRDX3,up,3.8570795e-05,0.007731504,19.9418,10935.0
JMJD1C,down,3.88307915e-05,0.007731504,3.9342372,221037.0
MTHFD1L,down,3.94847797e-05,0.007731504,73.8938897,25902.0
GNG3,up,3.95798278e-05,0.007731504,20.7943829,2785.0
GPD1,up,3.9765799e-05,0.007731504,3.6078153,2819.0
HLA-DPA1,up,4.02269997e-05,0.007731504,23.152311,3113.0
FNBP1,down,4.04032081e-05,0.007731504,2.9160117,23048.0
KRTAP10-2,up,4.10825303e-05,0.007731504,3.5781652,386679.0
TM9SF1,up,4.17847228e-05,0.007791509,6.3558184,10548.0
USH1G,up,4.24313106e-05,0.007840149,3.8238186,124590.0
MFSD4,up,4.48201991e-05,0.008206942,4.7571111,148808.0
HTR2A,up,4.58574037e-05,0.008262911,4.6654612,3356.0
LRCH1,down,4.59389402e-05,0.008262911,27.8429532,23143.0
GPR161,up,4.71282362e-05,0.008333909,4.2034493,23432.0
RPL22L1,up,4.7971495e-05,0.008333909,17.9947635,200916.0
ANAPC16,up,4.81570508e-05,0.008333909,4.7773348,119504.0
SLC5A6,up,4.82586362e-05,0.008333909,6.3893659,8884.0
NTRK2,down,4.84223838e-05,0.008333909,3.2648122,4915.0
MAP2K5,up,4.90434017e-05,0.008333909,4.8945024,5607.0
SSR3,up,4.92038907e-05,0.008333909,3.2034903,6747.0
SCIN,up,5.01158486e-05,0.008402509,6.6403194,85477.0
FLJ44635,up,5.08402771e-05,0.008402509,18.4125176,392490.0
ATG2A,up,5.16982389e-05,0.008402509,8.2631775,23130.0
GRAMD1A,up,5.22889726e-05,0.008402509,18.560876,57655.0
UBASH3A,down,5.25553152e-05,0.008402509,167.1840996,53347.0
LIMS1,down,5.25992756e-05,0.008402509,5.097418,3987.0
FJX1,up,5.26534428e-05,0.008402509,7.22211,24147.0
ALOX15B,up,5.31332962e-05,0.008402509,14.1996523,247.0
PKP4,up,5.33295761e-05,0.008402509,3.9342083,8502.0
CASP5,down,5.49591752e-05,0.008457925,5.8100428,838.0
BEAN1,up,5.50461079e-05,0.008457925,3.26243,146227.0
CLEC4A,up,5.5122293e-05,0.008457925,4.064977,50856.0
PCDHB3,up,5.70920103e-05,0.008457925,3.9880896,56132.0
TSPAN17,down,5.74349431e-05,0.008457925,2.652472,26262.0
MKNK2,up,5.75759943e-05,0.008457925,6.9738419,2872.0
SEPW1,up,5.80302231e-05,0.008457925,6.6513983,6415.0
MARCH6,down,5.87975091e-05,0.008457925,4.3678035,10299.0
ZXDA,up,5.98847339e-05,0.008457925,11.5381179,7789.0
FAM208B,down,5.99608286e-05,0.008457925,4.5206884,54906.0
C11orf10,up,6.01932455e-05,0.008457925,2.0215642,746.0
RFC3,up,6.04540447e-05,0.008457925,2.8281803,5983.0
ABCC5,up,6.09785083e-05,0.008457925,19.7078146,10057.0
CELF2,down,6.09961848e-05,0.008457925,8.1807478,10659.0
EMR2,up,6.22354053e-05,0.008457925,2.4793712,30817.0
RPL39L,up,6.24022163e-05,0.008457925,7.522558,116832.0
CD209,down,6.24307702e-05,0.008457925,3.9312185,30835.0
RGR,down,6.25262985e-05,0.008457925,125.4020683,5995.0
