GeneSymbol,Sui1,Sui2,Sui3,Ctrl1,Ctrl2,Ctrl3
TUBD1,7.0484037,7.1819987,6.9993114,5.6553335,5.017489,5.9661016
GBAS,8.726453,9.660912,9.020856,7.5473385,8.036766,8.150306
KRTAP4-12,4.6157737,5.8782706,5.8870378,2.8059177,3.4256542,2.7142286
TPRA1,6.5451794,5.6463265,6.1313696,4.58917,5.2263093,5.1121383
VARS,12.069692,11.949958,12.337396,9.443706,9.160798,9.630125
BACE1,8.854535,8.441298,8.717517,6.8254533,7.0898523,6.6109223
DPH5,8.271553,8.971185,8.545254,7.325487,7.873117,6.8809657
NUP133,9.065964,9.963262,9.545474,7.3079863,7.3511744,7.6856785
ILF3,9.673872,10.475253,10.255574,5.425045,5.5685844,6.045822
WDR36,8.151598,8.764254,8.601902,6.6819816,7.096566,7.3018684
CHD3,4.767711,3.689209,4.4413447,3.206757,2.9778762,2.7142286
ZDHHC13,11.07138,11.07589,11.378737,9.09395,9.992155,8.788928
SCG5,6.3591447,6.441684,6.331674,5.1803403,4.445839,5.2534814
FAM190A,5.115337,4.480908,4.8254194,2.652713,3.4811347,2.7142286
C17orf51,9.680372,9.838713,10.456767,8.008039,8.4608555,7.5135098
FOXD3,8.39218,8.20185,8.6929455,3.887025,4.755658,2.7142286
GPX8,7.9290767,8.275495,8.264435,4.7567625,6.371399,4.6612086
SOWAHA,8.857744,7.37055,8.245556,5.3478823,5.52085,5.217888
GPR98,4.704822,4.5343304,5.485691,3.1808748,2.9648838,2.7142286
NTN5,4.5403194,5.4645443,6.4949026,2.40226,2.3535326,2.7142286
PDLIM4,11.205243,11.096521,11.175453,9.777657,9.355989,10.114608
DNASE2,8.387877,7.6881285,8.270712,6.29532,6.751632,6.355808
NIPSNAP3A,10.682658,11.523114,11.0466175,9.4875145,9.313721,9.874231
UNC119,7.561257,6.473856,7.117674,5.9489994,5.9886713,6.000389
AADAC,6.1374564,7.1541104,6.7209353,2.9256454,3.2650278,2.7142286
GYS2,5.148071,5.955781,5.6791205,3.7208204,3.671577,4.542532
NTF3,6.2455187,6.1770134,6.2344794,4.008875,5.273277,2.7142286
GRK4,6.7031116,6.1569757,6.353409,4.7356176,5.2446074,5.7640824
RPAIN,12.232483,11.96213,11.980884,10.763815,10.725852,11.146365
RANBP9,6.9297547,7.9007816,7.4633403,6.1639757,6.0970235,6.67988
RCBTB1,5.0874877,6.2523413,6.563548,2.627609,3.9836984,2.7142286
WDR19,9.67877,9.754542,9.628398,8.401748,8.394402,8.815525
C17orf79,4.8711944,5.018413,5.3991146,3.192867,3.4779935,4.256687
OASL,6.501955,6.0229254,6.9141827,4.064845,5.369906,4.8379307
PLA2G4B,3.7195742,3.769232,4.5829616,2.40226,3.3652997,2.7142286
NOP10,14.75491,14.844715,14.72119,13.099989,12.79831,13.38871
NAPSA,6.4204316,5.52579,6.8723774,3.0045214,3.1212769,4.6365623
MLC1,5.4585795,5.7754717,6.438908,3.8373387,3.483842,3.6421669
DUSP19,5.3557544,5.556111,6.017802,3.9565277,4.7651715,2.7142286
FBXL15,9.090035,8.445585,8.765973,6.689763,6.022773,7.679272
MAGEF1,13.00314,12.910279,12.464131,11.440353,10.843315,11.653801
RPS16,14.438304,13.947625,13.913835,10.2066145,10.595142,10.794201
PLP2,14.067692,14.10964,13.77816,12.469622,10.995296,12.997808
THAP4,6.572574,6.5333433,6.5703206,3.5646572,2.5219338,4.485509
VPS13A,9.022713,9.305204,9.083608,7.0889535,6.3409243,8.207012
TNFRSF1A,7.435432,6.8831177,7.6738644,5.5385275,6.094506,5.5752006
HTATSF1,8.435146,8.213703,8.278795,6.783531,7.203003,7.0513315
RUNX3,4.131803,4.8511114,5.008469,2.40226,2.6884477,2.7142286
CPNE3,8.327699,8.894142,8.63489,6.38431,5.264517,7.7017207
UBE2A,9.469133,10.372738,9.952302,8.113897,7.199683,8.743738
C5orf44,7.4580226,8.191734,7.6862965,5.5084434,4.837614,6.2905912
CRBN,10.619827,11.079999,10.903169,9.599686,9.692369,9.815215
PSMB5,6.1037836,6.567439,6.846284,3.0118976,3.0832033,2.7142286
FAM53A,6.0607243,5.922149,6.3546762,4.616419,4.7135243,4.9843693
GNAS,15.67893,15.66333,15.620834,14.4243965,14.465102,14.156209
CYP20A1,7.0736146,7.9695835,7.6300817,5.7386274,6.548017,6.322748
SQLE,6.2938795,7.9996567,7.627651,2.756442,3.1011205,4.5922074
COPS4,12.243267,12.202717,12.183837,11.166728,11.02802,11.170386
IL27,4.024262,4.9059944,4.4390564,2.72112,2.5833309,2.7142286
CAAP1,4.9193635,6.49322,6.232353,3.615688,4.3940716,4.6500597
QSOX1,8.6247015,7.994913,8.245376,6.552869,7.365167,6.7038326
PLXNA3,4.072406,3.6079707,4.352593,2.6312659,2.4811132,2.7142286
ENPP4,4.8926682,5.5414667,5.163748,3.4359174,4.1100535,2.7142286
RPS8,15.776951,15.45062,15.760502,12.658558,12.433502,12.761875
SUSD4,5.631474,5.598632,6.3469653,2.981682,2.321939,4.812064
TEX261,6.115974,6.1109285,6.3861923,4.643104,4.983649,4.509507
TBC1D3G,6.2149544,6.136639,6.8838024,4.5959578,4.657886,2.7142286
MCMDC2,5.0997915,5.6160736,4.8296638,3.460151,3.7718349,2.7142286
MLX,5.5255733,5.6570625,5.362117,2.9036095,2.4525146,3.8136082
SH3YL1,11.160372,12.233883,11.808178,9.982233,8.81816,10.800926
TAPBP,12.421049,12.501676,13.072053,10.786209,11.973282,10.307619
DAP3,8.216296,8.825416,8.697816,6.5951858,7.0984387,7.1756287
BET1,9.478786,9.455658,9.481082,6.4618735,7.29065,7.412478
FAM70B,5.479278,5.436214,5.9693155,2.6717825,2.9216626,4.349304
COMMD4,5.2795687,5.0666537,6.147927,3.1272714,3.0485091,2.7142286
FAM188A,6.679505,7.8314643,7.7603354,5.206578,6.037054,5.775572
TM9SF1,8.09529,8.10579,8.083972,5.156818,5.5171223,5.606878
CLYBL,8.804638,9.070561,8.741057,7.5741177,7.266878,7.97887
DERL1,9.676646,9.702099,9.572105,7.6133833,7.055867,8.734624
ATP5H,15.85659,15.760502,15.3099985,13.818707,12.932867,14.232996
TNK2,5.2661304,4.123426,4.750718,2.40226,2.5991397,2.7142286
FARP1,10.339759,10.400434,10.603373,7.659622,7.985675,6.7858796
TMEM47,5.0402446,5.1865544,5.3361826,2.756008,2.6312828,2.7142286
LRRC70,7.8696976,8.931837,8.75821,5.6151624,6.649694,4.2939034
GAGE1,10.119783,9.216386,9.785971,7.7458806,7.944159,7.6568165
JTB,12.90511,12.363244,12.523493,10.751464,11.102227,10.846067
PCGF1,6.8899584,6.645714,7.0127597,3.4713686,2.7644894,4.177662
DHCR7,5.6565504,5.952039,6.1915274,2.40226,2.321939,3.905721
GDPD3,8.070349,7.592916,8.146214,4.091498,2.4874501,6.2789598
TSPAN3,10.455255,10.807748,10.628826,8.950446,9.494722,8.706928
CFC1B,4.5099745,5.089123,5.614969,3.7617543,3.3137426,3.7501328
TBC1D7,8.5016775,8.912462,8.902749,5.853502,6.172951,6.2671127
WDPCP,6.0223827,6.012478,6.385138,4.1630735,5.051791,4.9450226
PLAC8L1,5.6619887,5.3586206,5.7264395,3.8353136,4.2526445,4.1399393
ZFC3H1,8.026726,8.984928,8.962451,6.4143677,6.4005737,5.759631
LILRA3,4.7631216,4.2291064,6.620192,2.548443,2.82122,2.7142286
CENPB,11.885521,11.353838,11.905307,10.611284,10.194184,10.655601
IL12RB2,4.6467915,4.726125,4.9011827,3.312743,2.7032738,2.7142286
ANG,5.958841,5.7043095,6.746972,3.58215,3.034862,3.991816
RORA,6.1149163,5.817884,6.418582,2.8435953,3.98133,3.8722749
ASMTL,4.266774,3.3646128,4.506095,2.6072812,2.483314,2.7142286
CDHR2,5.3899307,5.3679714,6.007665,3.6278753,3.1216545,2.7142286
TEAD2,4.6771207,4.1944323,4.936431,2.9570947,2.4186563,3.7823339
KLF10,5.409033,5.8697963,6.1449447,4.093076,4.1403685,2.7142286
DDA1,6.0967245,6.1167574,6.412441,4.5749593,3.90301,5.3300114
ZNF772,4.422019,5.028594,4.9201336,3.228118,3.2655334,2.7142286
DGCR14,12.972316,13.02419,13.327597,10.978786,10.935223,10.369544
METAP1D,6.5970354,6.7545247,6.587586,4.625684,4.8443456,5.9374084
RGS9,4.7261906,3.8926482,5.733609,2.7983203,2.8488119,2.7142286
FGFR2,5.444479,5.9258018,5.858923,3.749388,3.0406544,4.704932
LIF,11.800457,12.008894,11.895139,9.889372,9.349896,10.019527
MRRF,6.2884464,7.0751276,6.773391,3.1408744,3.706018,3.8050852
CD276,10.124645,10.116143,10.354267,8.570064,9.055149,7.721035
CMTM6,8.890481,10.099834,9.87219,7.058987,7.7261906,7.08576
OTOP2,5.763016,5.2275887,6.1504035,4.4151773,4.7532926,4.4681597
