GeneSymbol,Direction,FoldChange
CSTA,up,189.111825
GDF5,up,86.0918979
KIAA1456,up,74.4839735
CRISP3,up,71.1619612
RPL22,up,63.6053597
VEPH1,up,63.3327199
SOX21,up,52.0067159
CRNN,up,44.3793921
SLC22A1,up,43.4985026
TPTE,up,42.6577589
RPL19,up,42.1089841
ATP8B2,up,40.7120802
BEST1,up,40.4076515
SLC35G2,up,40.3027814
CIB4,up,40.1301942
AQP3,up,39.8809314
CD33,up,38.1263857
MRFAP1,up,37.6879417
TSHZ3,up,35.2958926
HIST4H4,up,35.2031755
CNNM1,down,500.8657323
CDC42EP4,down,379.1452487
ZMAT4,down,365.9546394
CELSR1,down,347.2495144
PEX26,down,323.3320552
HTR5A,down,293.839289
ZNF468,down,280.1376988
OVOL1,down,270.0566006
KIAA0513,down,263.9823079
STOX2,down,256.2057422
KIAA0240,down,246.6267253
IL4R,down,240.433009
FGF17,down,230.4300141
CCND3,down,222.8223338
POM121L12,down,220.9735425
PPP1R9A,down,219.700661
AFAP1,down,217.1602039
NF1,down,201.049727
BANF2,down,186.863938
