"GeneSymbol","Direction","logFC_SUI","logFC_POP","adj.P.Val","Direcao_POP","Concordante"
"A4GALT","up",1.37204798572798,0.387438433583334,0.0132255694020303,"up",TRUE
"AAAS","up",2.0243728394713,-0.146710307416665,0.0937601620807506,"down",FALSE
"AADAC","up",3.70253343525363,0.0754560328333334,0.411494982251023,"up",TRUE
"AADACL2","up",2.51432120577952,-0.0125249444166669,0.964126423372654,"down",FALSE
"AAMP","up",2.02504999167325,-0.0405277849999996,0.673666760068483,"down",FALSE
"AANAT","down",-6.56072106604784,0.0163704940833343,0.894117697145776,"up",FALSE
"AASDHPPT","up",2.27703835621925,-0.189605985,0.0782563456933579,"down",FALSE
"ABCA2","up",1.50608801685736,0.0354997919166671,0.778537117621146,"up",TRUE
"ABCA6","up",1.40818962502633,-0.180933466166667,0.521933367851316,"down",FALSE
"ABCA9","up",1.48260323637817,-0.29847376125,0.189227542364752,"down",FALSE
"ABCB10","up",1.77736353216831,0.0931054818333339,0.339673832493781,"up",TRUE
"ABCB11","up",2.1519022852139,0.00782349725000095,0.949640785877226,"up",TRUE
"ABCB6","up",2.31386996540037,-0.206214138166667,0.0802478515166364,"down",FALSE
"ABCB8","up",2.75010509726465,-0.0559417084999994,0.655517007277206,"down",FALSE
"ABCC11","down",-2.00002553547624,-0.0909730324166664,0.272462218400548,"down",TRUE
"ABCC3","down",-2.87638284213532,-0.17871091425,0.733321216184379,"down",TRUE
"ABCC4","up",1.59506185701758,0.0518264673333338,0.497337894012992,"up",TRUE
"ABCC5","up",4.300695899653,-0.136198402166666,0.193554877528594,"down",FALSE
"ABCC6","up",2.60739873286433,0.097859645916667,0.692141278439725,"up",TRUE
"ABCC9","up",2.07322099633223,0.304882715333334,0.0135620572108562,"up",TRUE
"ABCD1","down",-2.3767677108263,-0.0858862810833332,0.585188764785147,"down",TRUE
"ABCE1","up",2.77962792313028,-0.0411303978333319,0.739569695187275,"down",FALSE
"ABCF1","down",-3.24350600700087,0.0683115775000016,0.37309473328896,"up",FALSE
"ABCF2","up",1.22823909542595,0.0727229980000009,0.361511699652216,"up",TRUE
"ABCG1","up",1.79297080498227,-0.0085250519999999,0.964126423372654,"down",FALSE
"ABHD10","up",1.99491152401912,-0.244824617666666,0.0119727756319591,"down",FALSE
"ABHD11","up",1.79127868509813,-0.0354859723333318,0.722890645452065,"down",FALSE
"ABHD14B","down",-3.03366276413674,-0.126272914083333,0.0930580081691134,"down",TRUE
"ABHD6","up",2.44960867574752,0.0715325031666676,0.610823318860082,"up",TRUE
"ABI1","down",-2.98485212841413,0.0264694555000009,0.824460092156901,"up",FALSE
"ABI3BP","down",-3.57112079810417,0.0442031692500001,0.878965420108122,"up",FALSE
"ABL1","up",1.67694088490357,0.128199932083334,0.123989760987229,"up",TRUE
