"PATH","Nh","NES_normal_fenotipo","pvalue_normal_fenotipo","p.adjust_normal_fenotipo","NES_preranked_genesetperm","pvalue_preranked_genesetperm","p.adjust_preranked_genesetperm","Direcao_normal","Direcao_preranked","Direcao_concorda","Sig_normal_FDR05","Sig_preranked_FDR05","Sig_so_no_preranked"
"00053",18,-1.41462542976654,0.00199600798403194,0.00659287485634791,-1.06956745064246,0.213786213786214,0.312787883257682,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00071",38,NA,0.00199600798403194,0.00659287485634791,-0.960586280019931,0.300699300699301,0.366600066600067,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"00230",144,NA,0.00199600798403194,0.00659287485634791,-1.32744064116291,0.020979020979021,0.0593951503042412,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"00240",86,NA,0.00199600798403194,0.00659287485634791,-1.43038888745429,0.012987012987013,0.0449391877963307,NA,"para baixo no POP",NA,TRUE,TRUE,FALSE
"00250",29,NA,0.00199600798403194,0.00659287485634791,-0.798652675572279,0.440559440559441,0.470793911970383,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"00260",32,NA,0.00199600798403194,0.00659287485634791,-1.14324864693086,0.147852147852148,0.238753838753839,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"00270",32,-1.92564841792501,0.00199600798403194,0.00659287485634791,-1.09393714635975,0.192807192807193,0.289381851025687,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00280",41,NA,0.00199600798403194,0.00659287485634791,-0.976635505683987,0.286713286713287,0.36551752341226,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"00310",35,-2.7572453023731,0.00199600798403194,0.00659287485634791,-1.62916082885785,0.00699300699300699,0.0298916769505005,"para baixo no POP","para baixo no POP",TRUE,TRUE,TRUE,FALSE
"00340",26,-1.61629193511585,0.00199600798403194,0.00659287485634791,-1.35508488587987,0.0699300699300699,0.143818445705238,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00380",35,-1.46755490555073,0.00199600798403194,0.00659287485634791,-1.07498287637774,0.20979020979021,0.309015309015309,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00410",22,NA,0.00199600798403194,0.00659287485634791,-1.0384682438378,0.217782217782218,0.314414062758434,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"00480",47,NA,0.00199600798403194,0.00659287485634791,-0.663796245620617,0.562437562437562,0.567645317645318,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"00510",46,NA,0.00199600798403194,0.00659287485634791,-0.989621009313616,0.285714285714286,0.36551752341226,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"00514",32,NA,0.00199600798403194,0.00659287485634791,-1.00512045427651,0.253746253746254,0.343581883954555,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"00520",46,-1.39780921695411,0.00199600798403194,0.00659287485634791,-0.849388941452284,0.410589410589411,0.447542457542458,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00563",24,-1.93784896711781,0.00199600798403194,0.00659287485634791,-1.25991405180712,0.0919080919080919,0.170199548350809,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00565",26,NA,0.00199600798403194,0.00659287485634791,-0.857632019723149,0.395604395604396,0.433375669556574,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"00591",27,-1.1221175183949,0.00199600798403194,0.00659287485634791,-0.852685558002497,0.363636363636364,0.412878787878788,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00620",39,-1.44357013688353,0.00199600798403194,0.00659287485634791,-0.994661349928468,0.247752247752248,0.337562437562438,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00640",30,-2.69596687258082,0.00199600798403194,0.00659287485634791,-1.24488859332565,0.0929070929070929,0.170199548350809,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00670",18,-2.39415069800817,0.00199600798403194,0.00659287485634791,-1.68445149016051,0.00799200799200799,0.0316774134955953,"para baixo no POP","para baixo no POP",TRUE,TRUE,TRUE,FALSE
"00760",20,-2.35071816225763,0.00199600798403194,0.00659287485634791,-1.42596839464767,0.038961038961039,0.0913280268118978,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00770",16,-1.40231636293835,0.00199600798403194,0.00659287485634791,-0.99150595127928,0.262737262737263,0.351390940347996,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00830",50,NA,0.00199600798403194,0.00659287485634791,-0.798053178343028,0.475524475524476,0.491300169025288,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"00900",15,-1.62332704387224,0.00199600798403194,0.00659287485634791,-1.25485154946076,0.112887112887113,0.198462827495086,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00920",13,-2.21730756022213,0.00199600798403194,0.00659287485634791,-1.59418612701643,0.015984015984016,0.0527956891593255,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00970",13,-1.88165075176452,0.00199600798403194,0.00659287485634791,-1.463884480953,0.030969030969031,0.0767187358096449,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
"00980",61,NA,0.00199600798403194,0.00659287485634791,-0.832995187239492,0.468531468531469,0.487417344560202,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"00982",64,NA,0.00199600798403194,0.00659287485634791,-1.0245442506529,0.224775224775225,0.320267967326791,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"03008",57,NA,0.00199600798403194,0.00659287485634791,-1.31190437289418,0.045954045954046,0.106574276787043,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"03010",85,-2.40382225459045,0.00199600798403194,0.00659287485634791,-2.13222319414463,0.000999000999000999,0.00725940725940726,"para baixo no POP","para baixo no POP",TRUE,TRUE,TRUE,FALSE
"03013",117,NA,0.00199600798403194,0.00659287485634791,-1.36486386349397,0.021978021978022,0.0598901098901099,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"03018",57,NA,0.00199600798403194,0.00659287485634791,-0.855202305712444,0.452547452547453,0.481023830538394,NA,"para baixo no POP",NA,TRUE,FALSE,FALSE
"03020",27,-1.77076598283232,0.00199600798403194,0.00659287485634791,-1.3269223612177,0.0619380619380619,0.131092208762112,"para baixo no POP","para baixo no POP",TRUE,TRUE,FALSE,FALSE
