"GeneSymbol","Direction","logFC","AveExpr","t","P.Value","adj.P.Val","Testado_no_POP","Direcao_POP","Concordante","DEG_POP_FDR05_logFC1"
"PPP1R9A","down",0.427306997250002,8.72300265820833,5.55826714172061,6.50035531877579e-05,0.00905735607466373,TRUE,"up",FALSE,FALSE
"CD33","up",-0.415898362666665,8.61268485475,-3.48996053240361,0.0035009632165095,0.0453873662488462,TRUE,"down",FALSE,FALSE
"NF1","down",-0.0768663291666659,7.955729886,-2.25343709714744,0.0404056771538327,0.178946009196677,TRUE,"down",TRUE,FALSE
"VEPH1","up",-0.21707888,5.98909859125,-2.23746435470842,0.0416480784677831,0.181856252691253,TRUE,"down",FALSE,FALSE
"HIST4H4","up",0.127752136750001,6.30437453379167,2.05726090135839,0.0583598468706262,0.223595211092983,TRUE,"up",TRUE,FALSE
"TPTE","up",-0.144664404166666,6.41034475,-1.9142726384467,0.0757923380057894,0.260539830348035,TRUE,"down",FALSE,FALSE
"SOX21","up",0.0793040005000007,6.386109515,1.86403990692251,0.0829568577660625,0.273750582466769,TRUE,"up",TRUE,FALSE
"TSHZ3","up",-0.127031076999999,10.4494373910833,-1.78506023682913,0.0954525125286509,0.296610941411839,TRUE,"down",FALSE,FALSE
"STOX2","down",0.112031787166669,9.74568119833333,1.48211765748494,0.159988113467425,0.393785698800684,TRUE,"up",FALSE,FALSE
"ZNF468","down",-0.066050551999999,8.65617022616667,-1.28988053158946,0.217543725403996,0.468293270437233,TRUE,"down",TRUE,FALSE
"RPL19","up",-0.0733775691666626,17.1392173645833,-1.26628724268412,0.22563099134021,0.477770625795489,TRUE,"down",FALSE,FALSE
"CIB4","up",-0.0939962625000002,5.67124221075,-1.0668950523423,0.303684510856578,0.563482928540284,TRUE,"down",FALSE,FALSE
"AQP3","up",-0.161258011333333,8.93587367683333,-1.06293240457884,0.305417534310127,0.565065697073819,TRUE,"down",FALSE,FALSE
"CNNM1","down",-0.100794382166667,6.43498315608333,-1.05810195041604,0.307539894626565,0.566912648661403,TRUE,"down",TRUE,FALSE
"IL4R","down",0.0956925666666669,13.492543725,0.952757859010412,0.356526100122153,0.61523819743394,TRUE,"up",FALSE,FALSE
"CRNN","up",-0.476883409166666,9.25916099858333,-0.710665422145151,0.488710458474921,0.723863636463568,TRUE,"down",FALSE,FALSE
"CCND3","down",0.0493204070833341,9.03225530054167,0.65872557753613,0.520528374283553,0.748062422910067,TRUE,"up",FALSE,FALSE
"ZMAT4","down",-0.0748152432499989,5.716258741875,-0.657345520096852,0.521389672156028,0.748935978587697,TRUE,"down",TRUE,FALSE
"CSTA","up",-0.319693054916666,10.723332993875,-0.585394520202958,0.567397821191992,0.78041425408846,TRUE,"down",FALSE,FALSE
"CELSR1","down",0.0636696728333331,8.53286121175,0.56927797709926,0.577992359309253,0.787588413299001,TRUE,"up",FALSE,FALSE
"KIAA0513","down",-0.038762781666666,10.9444779816667,-0.519205720148571,0.611551980056446,0.808567427952592,TRUE,"down",TRUE,FALSE
"RPL22","up",-0.0234203983333316,12.9949936425,-0.45667112005961,0.654760722265717,0.836336642367852,TRUE,"down",FALSE,FALSE
"KIAA0240","down",-0.0206100175,11.1814281779167,-0.40846393175157,0.688978335674881,0.855475514966981,TRUE,"down",TRUE,FALSE
"ATP8B2","up",-0.0294132758333334,11.4602049670833,-0.406054106681789,0.690708293638157,0.856385714432284,TRUE,"down",FALSE,FALSE
"HTR5A","down",-0.0150444283333328,5.35596480033333,-0.404076461207269,0.692129338472014,0.857284652993798,TRUE,"down",TRUE,FALSE
"OVOL1","down",0.0945966099166672,5.92501000579167,0.368420950268003,0.717951214194401,0.871515416941377,TRUE,"up",FALSE,FALSE
"CDC42EP4","down",0.0126189775000013,11.2197791604167,0.229368874532071,0.821827401484907,0.921288755701916,TRUE,"up",FALSE,FALSE
"GDF5","up",-0.0140516021666666,6.25491617441667,-0.206384048911707,0.839397836016733,0.928848781369141,TRUE,"down",FALSE,FALSE
"SLC22A1","up",0.00783288666666713,6.50176270358333,0.126002598574386,0.901482667035172,0.95777922663425,TRUE,"up",TRUE,FALSE
"MRFAP1","up",0.00700533916666688,13.7583945370833,0.114940897175408,0.910088846603266,0.961777075960553,TRUE,"up",TRUE,FALSE
"CRISP3","up",-0.00513758349999965,5.27452702275,-0.0912777783020144,0.928537009942199,0.970134200697025,TRUE,"down",FALSE,FALSE
"KIAA1456","up",-0.00503752449999969,6.21821809708333,-0.0603183346608492,0.952736213443702,0.980375533982075,TRUE,"down",FALSE,FALSE
"FGF17","down",0.00227087616666669,5.53182337941667,0.0452048254756791,0.96456867413932,0.985307312869254,TRUE,"up",FALSE,FALSE
"AFAP1","down",NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
"BANF2","down",NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
"BEST1","up",NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
"PEX26","down",NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
"POM121L12","down",NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
"SLC35G2","up",NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
