"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0006357",189,1125,31072,2215,5.38482680662712e-29,"PDLIM1/ZNF202/ZNF276/JUND/NR4A3/ZNF490/ZNF420/FSTL3/ZNF519/ATF3/KLF10/RELA/HOXB6/PKNOX1/FOXL1/LHX9/CREM/ZBTB11/ETS1/HOXB7/ZNF397/PURB/ZNF493/ELK4/PRRX1/AEBP2/HES1/HIF1A/MAF/ZNF624/FOXD3/SLTM/PBX2/ATF5/MAPK1/RORA/ZNF117/ZNF714/ZNF292/ZNF658/ZNF415/SMAD3/DACH1/ARID4B/CC2D1B/SPEN/HOXD8/ATF4/PHF14/ZNF467/ZNF311/HMX1/IRF2BP2/ZNF665/FOXD4/RFXAP/TAF9/ZKSCAN1/PHIP/SOX21/IRX5/MED6/CREB3/TBL1X/ZNF384/FOXQ1/FOXJ1/ZNF678/FOXJ3/HAND1/HTATIP2/SIX5/NFE2L1/MITF/ZNF621/BATF2/USF2/CAMTA2/TFCP2L1/ZNF347/PCGF6/DLX5/HIC1/DEAF1/NFKB1/SAP18/ZNF584/FOXJ2/ARID2/MBD3L2/MXD4/TBL1XR1/WDR5/FUS/ELF2/ZBED1/ZNF76/ZNF468/THAP10/LIME1/HOXC6/MEOX1/E2F1/ZBTB5/ZNF142/ZNF438/CHD5/ESR1/PSMC5/CKS2/ZNF317/YY1/ZNF649/TIAL1/MYNN/ZNF586/PITX3/NFAT5/TWIST1/NR3C1/STOX1/RHOA/BRCA1/PAX7/STAT6/TFAP4/CRK/HOXD11/ELK1/BRD9/TP73/LMX1B/TSC22D1/RUNX3/ZNF548/RBBP8/ZNF446/ZBTB40/NFE2L2/SMAD5/ZBTB16/ZXDA/E2F3/FOXM1/MAZ/FOXK2/POU2F1/BRWD1/PAX2/SIX4/HOXC12/RUNX2/BRD3/DMRTC2/KLF8/ZNF521/PFN1/SOX13/ELP3/ZNF383/NFIA/OTX2/DEK/TEAD2/NFXL1/ETV5/ZNF707/ELP4/IRF8/TEAD3/SP110/DPF3/ZNF609/HSF4/PAX1/THAP11/ZNF721/TAF6L/PRKAR1A/NFIB/CDK8/CREB1/PHF20/TBL1Y/TTC21B/PRDM2/CDX2/FOXA3/MEOX2",2.80657173161405e-25,"regulation of transcription by RNA polymerase II"
"GO:0045944",172,1005,31072,2215,2.20574474049468e-27,"PTMA/JUND/PIK3R1/NR4A3/WWTR1/CSF3/CTR9/FSTL3/AHI1/ATF3/RIPK1/KLF10/RELA/RHOQ/PKNOX1/IER5/CREM/ETS1/HOXB7/SPAG8/MEIS1/ZNF493/ELK4/RGMA/PRRX1/HES1/HIF1A/MAF/PPP2R5B/BEX1/FOXD3/GATA2/PBX2/GTF2I/ATF5/ABHD14B/BMP2/RORA/NFKB2/ABL1/ZNF292/ZNF658/BRD4/S100A10/APBB2/ACVRL1/SMAD3/AKNA/ARID4B/BMP6/HOXD8/ATF4/CCNC/ZBTB38/UCN/NRIP1/TP53BP1/TTC5/TNFRSF1A/SMYD3/RFXAP/TAF9/PHIP/SOX21/MED6/CREB3/CD40/TBL1X/ZNF384/FOXJ1/FOXJ3/HAND1/FOXN4/HTATIP2/SIX5/MITF/CEBPZ/USF2/CAMTA2/POGZ/TFCP2L1/WWOX/NFKB1/FOXJ2/CDK5RAP3/TBL1XR1/ZBED1/ZNF76/NCOA3/FUBP3/STK16/UHRF1/MEOX1/E2F1/BCL2L12/ESR1/NCOA1/ABLIM3/YY1/IKBKG/MAP2K5/PITX3/NFAT5/ITGB1BP1/TWIST1/NR3C1/ISL1/LIF/TNFSF11/BRCA1/STAT6/TFAP4/HOXB4/TGFB1/ELK1/TP73/LMX1B/MED12L/HIPK2/NFE2L2/ZBTB16/CRTC2/TRAF6/E2F3/FOXM1/FOXK2/POU2F1/PTBP1/PAX2/ECD/SIX4/RUNX2/IL25/DLL1/NODAL/CHD6/PYGO1/ZNF521/NR2C2/BMP5/ANXA2/NR1I3/NFIA/MET/OTX2/NME2/DEK/TEAD2/ETV5/IRF8/TEAD3/RXRB/ZNF609/NR1I2/ZNF750/MED19/THAP11/ZNF721/MAPK3/NFIB/CREB1/AUTS2/PCBP2/PRDM2/CDX2/F2RL1/FOXA3/MCRS1/DHX36/MEOX2/MEF2C/RNF10",5.74817079372915e-24,"positive regulation of transcription by RNA polymerase II"
"GO:0007165",162,996,31072,2215,2.04465245160218e-23,"RHOB/TGFBR1/SLA/BCR/RAC2/RHOQ/FRS3/WIF1/CREM/LRRC8B/RPS6KB2/NTF3/CDK3/ARHGAP24/RHOC/DUSP15/HIF1A/COL15A1/PPP2R5A/PLCXD2/PLAA/PPP2R5B/BEX1/MAGI3/YWHAZ/GNAL/CDK2/TCP11L1/GFRA3/MAPK1/EXT1/NCR1/CASP8AP2/LTBR/DTNA/TFF1/CEACAM1/GPR143/INPP4A/GPR85/ACVR1B/TNFSF9/SECTM1/ITPKB/ACVRL1/TNFSF14/TANK/STK24/SERGEF/CSF1R/MYOC/MAP2K6/S100A6/IL5RA/PKN3/IL32/CACNA1I/CSNK1G3/AXL/BEX2/BMP8A/DUSP22/BCAM/APBB1IP/SMPD1/ADCY9/NOSTRIN/PLCB1/SH3BP5/PSG6/CCL18/FCGR2B/PDE11A/TLE1/RABEP1/FEZ2/GRB2/KIFAP3/ERBB4/ESR1/RHEB/PDE9A/F2RL3/MAP2K5/HBS1L/NFAT5/TIE1/NR3C1/ANGPTL3/TRAT1/HTR3D/TNFRSF11A/STAT6/FAM3C/CRK/CEACAM20/IL27/IL1RL1/CHRNA7/MAPK10/HINT1/CMTM1/GABRG3/COPS3/SMAD5/CCR6/TRIP10/COPA/MAPK6/GABRA5/RSU1/ZP3/OMP/RAPGEF3/PSG3/FNBP1/FGF11/MICAL1/PTPRR/TAGAP/IL25/MAP2K1/CD34/LMBR1/PIP5K1A/SCGB1A1/PDE7B/ARHGAP27/NR1I3/IMPA1/MET/ARHGEF7/CHRNA2/DEK/LMBR1L/RYK/NDRG2/LALBA/GAB2/GRP/MST1R/CABP2/NR1I2/CLIC2/GMFB/OR2F1/PDE1B/CLEC1B/SNX27/IL15/CCL1/CREB1/ADORA1/LRPAP1/PENK/GABRG2/GNG5/GNA14/IQGAP1/ARL2BP/SNX17/SYDE1",3.55224285925019e-20,"signal transduction"
"GO:0000122",139,808,31072,2215,1.67531736211008e-22,"ZNF202/JUND/NR4A3/TSC22D4/SNAI1/WWTR1/ID3/CTR9/MAGEA6/TRO/DNAJB4/ATF3/KLF10/RELA/CREM/PURB/ELK4/PRRX1/AEBP2/HES1/MAF/FOXD3/GATA2/YWHAZ/CDK2/BMP2/MIER1/DNMT1/SAP30L/ZFP90/FST/APBB2/INSM1/SMAD3/DACH1/ARID4B/CC2D1B/SPEN/BMP6/HOXD8/PARP9/ATF4/PHF14/HMX1/NRIP1/IRF2BP2/TXN/MORC3/NOTCH2/TBL1X/FOXQ1/FOXJ1/KHDRBS1/PKIA/HAND1/MITF/UBE2D1/ZNF674/DUSP22/ZNF124/TFCP2L1/SDCBP/PCGF6/HIC1/DEAF1/NFKB1/PPM1A/MBD3L2/MXD4/TBL1XR1/WDR5/GATAD2B/ID1/UHRF1/WWC1/E2F1/ZBTB5/ATN1/CHD5/ESR1/YY1/MAP2K5/TWIST1/NR3C1/ISL1/DNMT3A/TNFSF11/ZGPAT/FHL2/MAGEA1/STAT6/HOXB4/TAF9B/UXT/RFC1/RUNX3/MCPH1/HIPK2/FBP1/SMAD5/MAGEB6/ZBTB16/TRAF6/FOXM1/MAZ/ZBTB20/FOXK2/ZNF281/BIN1/AURKB/TRPV4/DKK1/RTF1/HMBOX1/NODAL/FLYWCH1/SCGB1A1/KLF8/NR2C2/NR1I3/SOX13/CBX1/ETV5/IRF8/NR1I2/ZNF750/CGGBP1/HSF4/LYAR/ZNF141/THAP11/ZBTB37/JPH2/PHF12/MAGEC3/PRDM2/CDX2/DRAP1/MEF2C",2.18293852282943e-19,"negative regulation of transcription by RNA polymerase II"
"GO:0045893",98,579,31072,2215,9.63946636981437e-16,"PDLIM1/SNAI1/TGFBR1/RELA/ETS1/HIF1A/PYHIN1/CDK2/ATF5/BMP2/RORA/ZFP90/PBXIP1/BRD4/ACVRL1/BLM/SMAD3/QRICH1/PARP9/ATF4/TP53BP1/TAF9/CD86/PHIP/FBXW11/TBL1X/MITF/IL31RA/PSRC1/NEK4/DLX5/DEAF1/NFKB1/MORF4L1/PLCB1/PPM1A/TBL1XR1/WDR5/FUS/ELF2/GATAD2B/FUBP3/CNOT6/WWC1/E2F1/ATN1/ERBB4/ESR1/PSMC5/NCOA1/CAMKK2/YY1/PITX3/BRCA1/TFAP4/TGFB1/ELK1/TP73/TRIM38/RFC1/TRIM24/RUNX3/HIPK2/RERE/MAP3K12/SMAD5/ZBTB16/ZXDA/FOXM1/MAZ/FOXK2/ZNF281/ZP3/PAX2/SIX4/RUNX2/HMBOX1/MAP2K1/ARHGEF11/OTX2/NME2/TEAD2/GTF2H1/TAF15/RXRB/NR1I2/TACC1/ILK/TAF6L/TGFB1I1/NFIB/CREB1/PHF20/CDH1/ARL2BP/MCRS1/MEF2C/RNF10",1.00481797438945e-12,"positive regulation of DNA-templated transcription"
"GO:0043066",73,398,31072,2215,7.53612496676176e-14,"PTMA/PIK3R1/BAG3/CAMK1D/UFM1/AHI1/RIPK1/RELA/MCL1/CRYAB/MAP4K4/CBS/YWHAZ/ATF5/GRK5/SMAD3/PRR5/CSF1R/RPS6/TAF9/PHIP/NOTCH2/THOC6/BIRC6/AXL/HTATIP2/MITF/IL31RA/VDAC1/NFKB1/FXN/HIP1R/HIGD2A/CFL1/TCL1A/OPN3/ERBB4/ARAF/PIM3/TWIST1/TMEM14A/AQP1/MYO18A/FHL2/PAX7/FSTL1/TAF9B/TSC22D1/BCL2A1/SMAD5/PDCD10/HSP90B1/PRAMEF10/PA2G4/ZFAND6/PAX2/FLT4/SPRY2/SIX4/PRAME/NQO1/MICAL1/DKK1/AKR1B1/NME2/ASNS/EVI2B/CREB1/ADORA1/NOL3/CLN3/HCK/HSPD1",6.54638055446038e-11,"negative regulation of apoptotic process"
"GO:0008284",72,394,31072,2215,1.34961905955562e-13,"WWTR1/CSF3/TGFBR1/CCDC117/SLC25A5/ATF3/RELA/NTF3/MEIS1/ADRA1D/PTHLH/HES1/MAB21L1/CDK2/ITGAX/BMP2/GRK5/BMP6/TGFBR2/ITGAV/CSF1R/RPS6/CD86/PHIP/BIRC6/EMP2/IL31RA/SDCBP/FXN/SPHK2/INS/TCL1A/CNOT6/GHRH/ERBB4/ITGB1BP1/ISL1/LIF/TNFRSF11A/TGFB1/BRD9/TSC22D1/CHRNA7/HIPK2/FBXO5/PDCD10/FAM98A/E2F3/FOXM1/MAZ/PRAMEF10/FLT4/PRAME/CTF1/DLL1/S100A13/BMP5/RPS9/CR1/HTR2A/F2/GAB2/PTEN/MST1R/MCTS1/ILK/SPDYA/IL15/THPO/CDX2/HCK/DERL2",1.00488779120056e-10,"positive regulation of cell population proliferation"
"GO:0030154",77,441,31072,2215,2.26373815715293e-13,"RHOB/ID3/FSTL3/CPNE5/ZAP70/FOXL1/CREM/ETS1/SPAG8/ARHGAP24/TMEFF2/DLEC1/ELK4/COL15A1/BEX1/SMURF1/FOXD3/ARF6/UTP14C/TFF1/TXNDC2/SPATA9/SPOCD1/FST/GADD45G/SMAD3/FOXD4/EGFL6/SOX21/FOXQ1/FOXJ3/BLK/HTATIP2/DAZAP1/BMP8A/GLRX2/FKBP6/DLX5/FOXJ2/ELF2/SERPINE2/ID1/MEA1/DLL3/ITGB1BP1/FSTL1/USP42/ELK1/SYK/SMAD5/TSNAXIP1/NUDT21/CDC20/NEDD4L/PRAME/DLL1/NR2C2/NR1I3/COL13A1/NDRG2/ETV5/CHRDL1/ANAPC2/RXRB/ACVR1C/NR1I2/ZNF750/RAI14/INA/SLC25A31/ASZ1/EDA/CDX2/FOXA3/HCK/DHX36/MEF2C",1.47482540938513e-10,"cell differentiation"
"GO:0006915",77,445,31072,2215,3.65561115824647e-13,"RHOB/TGFBR1/PPP2R2B/RIPK1/NOX5/ELMO2/MAGI3/SLTM/CHIA/RNF34/MAPK1/LTBR/GRK5/BAX/GADD45G/MARCKS/TGFBR2/TNFSF14/IL2RA/TNFRSF21/NISCH/PTPRH/MAP2K6/RTN3/PDCD2/NOTCH2/THOC6/BIRC6/BEX2/PPP2CA/HTATIP2/EMP2/TAOK2/FAF1/VDAC1/GLRX2/RFK/NFKB1/BCAP29/AXIN1/KRT20/RABEP1/RFFL/PDCD7/BCL2L12/TRIM39/PIM3/IKBKG/TIAL1/NR3C1/TMEM14A/UXT/SIAH1/ZBTB16/ZFAND6/PPIA/PRAME/TNFRSF19/BCAP31/RTN4/BCL2L11/C6orf120/LALBA/ZFP36L1/PTEN/C19orf12/DIABLO/C3orf38/MAPK3/EI24/ALOX15B/NOL3/RNF183/PSME3/LGALS14/MEF2C/CASP8",2.11700503964229e-10,"apoptotic process"
"GO:0016477",47,205,31072,2215,6.10434268031677e-13,"ITGB4/HES1/BDKRB1/ZRANB1/VAV1/EFS/PTPRF/CEACAM1/ARPC5/PBXIP1/PIK3CA/INSM1/PARP9/ITGAV/ITGB5/CORO1B/IL12A/AXL/NDE1/EMP2/TAOK2/FMNL1/NOSTRIN/GPC3/APC/PPP1R9B/WWC1/ATN1/ERBB4/PDPK1/ITGB1BP1/MYO18A/RHOA/USP33/CRK/RHBDF1/PIP5K1A/CORO7/MET/PTEN/MST1R/ANG/ADAMTS12/SH3BP1/TMEM18/IQGAP1/SYDE1",3.1815834049811e-10,"cell migration"
