"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0051591",2,33,31072,15,0.000113860596959354,"AREG/THBD",0.0111965956344374,"response to cAMP"
"GO:0000122",4,808,31072,15,0.000492778569776894,"NFATC2/NR4A3/SNAI1/ATF3",0.0111965956344374,"negative regulation of transcription by RNA polymerase II"
"GO:0010628",3,372,31072,15,0.000695957782425366,"NFATC2/ATF3/LDLR",0.0111965956344374,"positive regulation of gene expression"
"GO:0050731",2,82,31072,15,0.000706439818344861,"CSF3/AREG",0.0111965956344374,"positive regulation of peptidyl-tyrosine phosphorylation"
"GO:0008284",3,394,31072,15,0.000821986649140768,"CSF3/AREG/ATF3",0.0111965956344374,"positive regulation of cell population proliferation"
"GO:0010899",1,2,31072,15,0.000965281967239773,"LDLR",0.0111965956344374,"regulation of phosphatidylcholine catabolic process"
"GO:0045601",1,2,31072,15,0.000965281967239773,"APOLD1",0.0111965956344374,"regulation of endothelial cell differentiation"
"GO:0061771",1,2,31072,15,0.000965281967239773,"LDLR",0.0111965956344374,"response to caloric restriction"
"GO:0072377",1,2,31072,15,0.000965281967239773,"THBD",0.0111965956344374,"blood coagulation, common pathway"
"GO:1901077",1,2,31072,15,0.000965281967239773,"SLN",0.0111965956344374,"regulation of relaxation of muscle"
"GO:1901877",1,2,31072,15,0.000965281967239773,"SLN",0.0111965956344374,"negative regulation of calcium ion binding"
"GO:1901894",1,2,31072,15,0.000965281967239773,"SLN",0.0111965956344374,"regulation of ATPase-coupled calcium transmembrane transporter activity"
"GO:2000522",1,2,31072,15,0.000965281967239773,"NEDD9",0.0111965956344374,"positive regulation of immunological synapse formation"
"GO:0045944",4,1005,31072,15,0.00111621651032361,"NFATC2/NR4A3/CSF3/ATF3",0.0111965956344374,"positive regulation of transcription by RNA polymerase II"
"GO:0060744",1,3,31072,15,0.00144759676513107,"AREG",0.0111965956344374,"mammary gland branching involved in thelarche"
"GO:0060750",1,3,31072,15,0.00144759676513107,"AREG",0.0111965956344374,"epithelial cell proliferation involved in mammary gland duct elongation"
"GO:0060972",1,3,31072,15,0.00144759676513107,"SNAI1",0.0111965956344374,"left/right pattern formation"
"GO:0061889",1,3,31072,15,0.00144759676513107,"LDLR",0.0111965956344374,"negative regulation of astrocyte activation"
"GO:0090118",1,3,31072,15,0.00144759676513107,"LDLR",0.0111965956344374,"receptor-mediated endocytosis involved in cholesterol transport"
"GO:1900625",1,3,31072,15,0.00144759676513107,"NR4A3",0.0111965956344374,"positive regulation of monocyte aggregation"
"GO:1901895",1,3,31072,15,0.00144759676513107,"SLN",0.0111965956344374,"negative regulation of ATPase-coupled calcium transmembrane transporter activity"
"GO:1902952",1,3,31072,15,0.00144759676513107,"NEDD9",0.0111965956344374,"positive regulation of dendritic spine maintenance"
"GO:1903984",1,3,31072,15,0.00144759676513107,"ATF3",0.0111965956344374,"positive regulation of TRAIL-activated apoptotic signaling pathway"
"GO:1905167",1,3,31072,15,0.00144759676513107,"LDLR",0.0111965956344374,"positive regulation of lysosomal protein catabolic process"
"GO:0001920",1,4,31072,15,0.00192969422718448,"LDLR",0.0111965956344374,"negative regulation of receptor recycling"
"GO:0010957",1,4,31072,15,0.00192969422718448,"SNAI1",0.0111965956344374,"negative regulation of vitamin D biosynthetic process"
"GO:0014904",1,4,31072,15,0.00192969422718448,"NFATC2",0.0111965956344374,"myotube cell development"
"GO:0032765",1,4,31072,15,0.00192969422718448,"NR4A3",0.0111965956344374,"positive regulation of mast cell cytokine production"
"GO:0034381",1,4,31072,15,0.00192969422718448,"LDLR",0.0111965956344374,"plasma lipoprotein particle clearance"
"GO:0043242",1,4,31072,15,0.00192969422718448,"SLN",0.0111965956344374,"negative regulation of protein-containing complex disassembly"
"GO:0045639",1,4,31072,15,0.00192969422718448,"CSF3",0.0111965956344374,"positive regulation of myeloid cell differentiation"
