"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust"
"05340",1,35,31072,15,0.0167674117164198,"IGLL1",0.0770260782862935
"05144",1,49,31072,15,0.0234006057941696,"CSF3",0.0770260782862935
"04370",1,68,31072,15,0.0323360095243835,"NFATC2",0.0770260782862935
"04520",1,68,31072,15,0.0323360095243835,"SNAI1",0.0770260782862935
"04610",1,68,31072,15,0.0323360095243835,"THBD",0.0770260782862935
"04976",1,68,31072,15,0.0323360095243835,"LDLR",0.0770260782862935
"04662",1,71,31072,15,0.0337398676973069,"NFATC2",0.0770260782862935
"04012",1,81,31072,15,0.0384056783335505,"AREG",0.0770260782862935
"04640",1,87,31072,15,0.0411950624026186,"CSF3",0.0770260782862935
"04660",1,104,31072,15,0.0490573608324125,"NFATC2",0.0770260782862935
"04110",1,114,31072,15,0.0536540906013963,"WEE1",0.0770260782862935
"04650",1,120,31072,15,0.0564021651289403,"NFATC2",0.0770260782862935
"05160",1,121,31072,15,0.0568594527847643,"LDLR",0.0770260782862935
"04380",1,123,31072,15,0.0577734076514349,"NFATC2",0.0770260782862935
"05145",1,123,31072,15,0.0577734076514349,"LDLR",0.0770260782862935
"04360",1,125,31072,15,0.058686535837176,"NFATC2",0.0770260782862935
"04630",1,141,31072,15,0.0659618840217161,"CSF3",0.07906791986315
"04310",1,145,31072,15,0.0677725027398428,"NFATC2",0.07906791986315
"04144",1,175,31072,15,0.0812480908087043,"LDLR",0.0898005214201469
"04060",1,238,31072,15,0.108957198252652,"CSF3",0.114405058165285
"04010",1,251,31072,15,0.114576991723269,"NFATC2",0.114576991723269
