"GeneSymbol","Direction","logFC","AveExpr","t","P.Value","adj.P.Val","Testado_no_POP","Direcao_POP","Concordante","DEG_POP_FDR05_logFC1"
"WEE1","down",1.02918274575,8.02977643645833,7.38457224439478,3.00958046219139e-06,0.0061015852234187,TRUE,"up",FALSE,TRUE
"MEN1","up",-0.229936976333333,7.76677725233333,-7.08903384390257,4.79883008470912e-06,0.00620907860133004,TRUE,"down",FALSE,FALSE
"NEURL","up",-0.926641773416666,8.724439240875,-6.89128902933787,6.59964721057712e-06,0.00640825744147039,TRUE,"down",FALSE,FALSE
"CHST12","up",-0.381175141333332,10.5463907468333,-6.82078606536008,7.40306049577794e-06,0.00652212208051461,TRUE,"down",FALSE,FALSE
"ABL2","down",0.861054810499999,7.66485509016667,6.15568097601371,2.26239308091954e-05,0.00832928205094626,TRUE,"up",FALSE,FALSE
"MCEE","up",-0.285571330666665,10.8390286713333,-6.13704909756327,2.33636180492767e-05,0.00832928205094626,TRUE,"down",FALSE,FALSE
"MGLL","up",0.418125286666667,12.4285025625,6.31786331907545,1.71328115788637e-05,0.00832928205094626,TRUE,"up",TRUE,FALSE
"PDLIM1","up",0.578184015750001,10.4354223787917,6.1314791733305,2.35896247580867e-05,0.00832928205094626,TRUE,"up",TRUE,FALSE
"PTMA","up",0.293775696666668,14.6353408808333,6.28877021358364,1.80040931402291e-05,0.00832928205094626,TRUE,"up",TRUE,FALSE
"SLN","up",1.38545946358334,7.14173252545833,6.19337609672172,2.12013899834133e-05,0.00832928205094626,TRUE,"up",TRUE,TRUE
"SLPI","up",-0.892652795333333,10.2776422990833,-6.26595202977954,1.87198776057646e-05,0.00832928205094626,TRUE,"down",FALSE,FALSE
"YPEL2","down",0.376732040333334,9.35092142508333,6.37048726727044,1.56671876094611e-05,0.00832928205094626,TRUE,"up",FALSE,FALSE
"ADAMTS4","down",1.88417706375,10.7974495690417,5.97460449643231,3.09914165052943e-05,0.00853743118443771,TRUE,"up",FALSE,TRUE
"ALDH9A1","up",-0.248585253333331,10.6689294483333,-5.94393065338507,3.27030824800766e-05,0.00853743118443771,TRUE,"down",FALSE,FALSE
"BET1","up",-0.30096156475,8.01811464229167,-5.80276771349397,4.19528872808443e-05,0.00853743118443771,TRUE,"down",FALSE,FALSE
"C14orf80","down",0.872539271916667,8.38024018720833,5.83462109015644,3.96504660159517e-05,0.00853743118443771,TRUE,"up",FALSE,FALSE
"CSNK1A1","down",0.330839120000002,10.6629142033333,6.06623262504241,2.64140959607983e-05,0.00853743118443771,TRUE,"up",FALSE,FALSE
"CYFIP2","down",0.673003893166669,9.79945383891667,5.90497109665034,3.50206358895396e-05,0.00853743118443771,TRUE,"up",FALSE,FALSE
"GSPT2","up",-0.262771962333333,9.06288313908333,-5.88592826714011,3.62152375841494e-05,0.00853743118443771,TRUE,"down",FALSE,FALSE
"HBEGF","down",0.957414441833334,8.52695668266667,6.01469392777475,2.88943375656706e-05,0.00853743118443771,TRUE,"up",FALSE,FALSE
"LPHN2","up",0.384705798583333,9.04937254854167,5.74764223709128,4.62730760535551e-05,0.00853743118443771,TRUE,"up",TRUE,FALSE
"NEDD9","down",1.01025259266667,8.03880180183333,5.79768922548459,4.23326779386597e-05,0.00853743118443771,TRUE,"up",FALSE,TRUE
"NFATC2","down",1.22975522075,6.616977865375,5.87767846312673,3.67459088814298e-05,0.00853743118443771,TRUE,"up",FALSE,TRUE
"OXSM","up",-0.350728363083332,9.01570503320833,-5.75200373542624,4.59149292426851e-05,0.00853743118443771,TRUE,"down",FALSE,FALSE
"PJA1","up",-0.259221399999999,10.9345841125,-5.76838383272009,4.45954887726084e-05,0.00853743118443771,TRUE,"down",FALSE,FALSE
"PTPN11","down",0.268429735000001,11.3737565266667,5.91404932969167,3.44656959746632e-05,0.00853743118443771,TRUE,"up",FALSE,FALSE
"RBM4B","up",-0.293453202583333,9.007619820375,-5.9806855171306,3.06633497522142e-05,0.00853743118443771,TRUE,"down",FALSE,FALSE
"ZNF202","down",-0.360168906499999,7.05500722075,-6.0025160851233,2.95152018120371e-05,0.00853743118443771,TRUE,"down",TRUE,FALSE
"ZNF276","down",-0.264105851749999,9.21886116595833,-5.70767247988362,4.96941696907047e-05,0.00867470359904256,TRUE,"down",TRUE,FALSE
"OGG1","up",-0.263797157833333,10.0030458991667,-5.6940106516132,5.09231610633852e-05,0.00874850137408104,TRUE,"down",FALSE,FALSE
"SNED1","up",-0.354247769916666,8.49349395729167,-5.66873635669757,5.32810659736463e-05,0.00874850137408104,TRUE,"down",FALSE,FALSE
"SORCS2","up",-0.646234718749998,8.81185488220833,-5.6881363232684,5.14613095286289e-05,0.00874850137408104,TRUE,"down",FALSE,FALSE
"ZNF419","up",-0.282524889249999,7.96749222820833,-5.68683009757357,5.15817770633516e-05,0.00874850137408104,TRUE,"down",FALSE,FALSE
"JUND","up",0.709909575833335,14.6592748845833,5.63982433713422,5.61185323946042e-05,0.00892718765833606,TRUE,"up",TRUE,FALSE
"NAT2","up",-0.287265033916666,6.37661780154167,-5.63993236221513,5.61076423715518e-05,0.00892718765833606,TRUE,"down",FALSE,FALSE
"PEX12","up",-0.494650860749999,8.75938405454167,-5.57662004494992,6.28838171418665e-05,0.00892718765833606,TRUE,"down",FALSE,FALSE
"PIK3R1","down",-0.421290010083331,10.8121120999583,-5.60429423445448,5.98226421254169e-05,0.00892718765833606,TRUE,"down",TRUE,FALSE
"SBDS","up",0.348810975000002,11.3404366783333,5.59066503868347,6.13103459938091e-05,0.00892718765833606,TRUE,"up",TRUE,FALSE
"TAF13","down",0.548535642416668,8.90910185729167,5.62726789740944,5.73994814799924e-05,0.00892718765833606,TRUE,"up",FALSE,FALSE
"PARS2","up",-0.55701995675,8.201904447375,-5.56987138220379,6.36547825645589e-05,0.00894968961016278,TRUE,"down",FALSE,FALSE
"PPP1R9A","down",0.427306997250002,8.72300265820833,5.55826714172061,6.50035531877579e-05,0.00905735607466373,TRUE,"up",FALSE,FALSE
"KBTBD7","up",-0.48488602475,8.383512406625,-5.52114434285186,6.95218513856857e-05,0.0094331133897643,TRUE,"down",FALSE,FALSE
"NR4A3","up",2.15914903191667,9.52049976079167,5.49677426911817,7.26647904417959e-05,0.00962013322340461,TRUE,"up",TRUE,TRUE
"KIAA0040","down",0.463317406166668,7.27048357208333,5.46202737570122,7.74040166870523e-05,0.00985695740368889,TRUE,"up",FALSE,FALSE
"LRRFIP1","down",0.330703725000001,10.9312719783333,5.46238268910459,7.735395985699e-05,0.00985695740368889,TRUE,"up",FALSE,FALSE
"EMID1","up",-0.374024966083333,7.11261137079167,-5.42066079033682,8.34684879386545e-05,0.0100793278189914,TRUE,"down",FALSE,FALSE
"HOXA9","up",-0.615342891249999,9.62644433479167,-5.41271082187954,8.46895289587176e-05,0.0101016125817843,TRUE,"down",FALSE,FALSE
"ZNF514","up",-0.329882063083332,8.050860333875,-5.40186264308127,8.63857560021541e-05,0.0101016125817843,TRUE,"down",FALSE,FALSE
"ZADH2","up",-0.377443532666665,10.2958217036667,-5.39076746565793,8.81571875215217e-05,0.0101063567043646,TRUE,"down",FALSE,FALSE
"KLHL13","up",-0.681094519416666,8.70568565370833,-5.37052728654938,9.14866665330157e-05,0.0101213797565435,TRUE,"down",FALSE,FALSE
"PRICKLE2","down",-0.328615054166665,10.70032738625,-5.36870082463388,9.17934795930307e-05,0.0101213797565435,TRUE,"down",TRUE,FALSE
"SIRT4","up",-0.420449061416666,7.07790550120833,-5.32002513650677,0.000100376745424135,0.0105368453845228,TRUE,"down",FALSE,FALSE
"CRIM1","down",0.495284462916669,8.66323313354167,5.30748448566436,0.000102720475788335,0.010689197775828,TRUE,"up",FALSE,FALSE
"NPL","up",-0.308266047083333,7.743717118125,-5.27117779129946,0.000109831860521779,0.0110086953875249,TRUE,"down",FALSE,FALSE
"BAG3","up",0.587736773333335,11.3628462016667,5.23297628742905,0.000117868620296468,0.0113354318529507,TRUE,"up",TRUE,FALSE
"SPHK1","down",0.530445914500001,9.53230485966667,5.19057868163043,0.000127506982699875,0.0116526381366191,TRUE,"up",FALSE,FALSE
"SYT3","down",0.308995350333333,7.40134907591667,5.19521323391664,0.000126414700005123,0.0116526381366191,TRUE,"up",FALSE,FALSE
"TMEM42","up",-0.325893840833333,11.7524962154167,-5.16873053062542,0.000132789683063145,0.0119068544284353,TRUE,"down",FALSE,FALSE
"ABHD10","up",-0.244824617666666,8.931441852,-5.13540537898796,0.00014128880353114,0.0119727756319591,TRUE,"down",FALSE,FALSE
"ANKAR","up",-0.422414316333333,8.25393582416667,-5.13005557259645,0.000142704893489623,0.0119727756319591,TRUE,"down",FALSE,FALSE
"ZNF526","up",-0.42224811325,9.61207922045833,-5.14775658823514,0.000138074831123293,0.0119727756319591,TRUE,"down",FALSE,FALSE
"TSC22D4","down",-0.215520671249999,8.842239672375,-5.12459165807258,0.000144166387075584,0.0119773742759694,TRUE,"down",TRUE,FALSE
"AKT3","down",0.316684434583334,9.71644991795833,5.10073583197825,0.000150731498978191,0.0121430747003742,TRUE,"up",FALSE,FALSE
"SCCPDH","up",0.274124193333335,12.0374900783333,5.09396413876252,0.000152650989085439,0.0122562571908599,TRUE,"up",TRUE,FALSE
"TAGLN2","up",0.496016461666668,13.01854592,5.08678781370314,0.000154712849736843,0.0123176390656091,TRUE,"up",TRUE,FALSE
"MLC1","up",0.812777899500001,10.9946624044167,5.08343583025361,0.000155685792433131,0.0123404819961282,TRUE,"up",TRUE,FALSE
"LMNA","down",0.612211170000002,13.5911141175,5.08065705707734,0.000156497162686745,0.0123463405747601,TRUE,"up",FALSE,FALSE
"BTN3A1","up",-0.261353953499999,8.36442097466667,-5.06603627595482,0.000160839044778028,0.0123702742557992,TRUE,"down",FALSE,FALSE
"FOSL2","down",0.735606808833335,9.95286454291667,5.0670417181021,0.000160536502820809,0.0123702742557992,TRUE,"up",FALSE,FALSE
"SNAI1","up",1.25652773141667,8.927800063625,5.05537896914547,0.000164082433556569,0.0124960033712493,TRUE,"up",TRUE,TRUE
"EPHB3","up",-0.592267327749999,8.82141912195833,-5.04952124433163,0.000165893931070284,0.0125167435787275,TRUE,"down",FALSE,FALSE
"IGJ","up",-1.40144884916667,8.13894148166667,-5.04743402583854,0.000166544398185415,0.0125167435787275,TRUE,"down",FALSE,TRUE
