"GeneSymbol","Direction","logFC","AveExpr","t","P.Value","adj.P.Val","Testado_no_POP","Direcao_POP","Concordante"
"TREM1","down",2.33684763913361,9.38504879376144,5.0284159892979,4.25998296051711e-05,0.356816172772913,TRUE,"up",FALSE
"CTHRC1","down",1.44187189614612,13.7594361025437,4.67767028151989,0.000102189512814433,0.365060309566783,TRUE,"up",FALSE
"RGS4","up",1.72091286582817,10.1719555467765,4.1003470411219,0.000433057665631905,0.594789093660656,TRUE,"up",TRUE
"THBS2","up",1.23424592370854,14.7252685805309,3.95486042796616,0.000622318620725922,0.594789093660656,TRUE,"up",TRUE
"CRYBB2","up",1.25669981967569,10.124150594694,3.94416469231217,0.000639100029005003,0.594789093660656,TRUE,"up",TRUE
"MAGEA10","down",1.17935248612592,8.47971997259408,3.9081717978274,0.000698928761415267,0.604851120772099,TRUE,"up",FALSE
"ZNF569","up",1.18923748231692,10.0137430537259,3.82312383753196,0.000863186241552009,0.657181039977301,TRUE,"up",TRUE
"MOG","up",1.13791784329067,9.29678789727788,3.79768291817075,0.000919344896387846,0.657181039977301,TRUE,"up",TRUE
"DYRK3","down",1.03061429849292,12.8379678870458,3.70464618922451,0.0011570971484516,0.657181039977301,TRUE,"up",FALSE
"GEM","down",1.24426378587348,15.1814246785292,3.66946302958762,0.0012619712678325,0.657181039977301,TRUE,"up",FALSE
"MED31","down",1.14353891262755,8.37343744923987,3.60811790803755,0.0014676033222169,0.657181039977301,TRUE,"up",FALSE
"SEMG2","down",1.08321298971889,8.13235891550505,3.5677994173367,0.00162029489105437,0.657181039977301,TRUE,"up",FALSE
"CD6","down",1.18287399181773,8.84504960525629,3.56037495800873,0.00165006197103075,0.657181039977301,TRUE,"up",FALSE
"PDE4B","down",1.59133819153086,9.78372688590732,3.55101969263955,0.00168833365211497,0.657181039977301,TRUE,"up",FALSE
"ERBB4","up",1.27557294240654,8.97295354052573,3.5237158918413,0.00180506797340707,0.657181039977301,TRUE,"up",TRUE
"ZNF331","down",1.71557279027431,14.8027882868437,3.45077857371712,0.00215696868869369,0.657181039977301,TRUE,"up",FALSE
"NR4A3","up",1.51512497094867,10.8940091415393,3.44285849871292,0.00219899184604705,0.657181039977301,TRUE,"up",TRUE
"THBS4","down",1.49663358477958,13.0926758602841,3.43033846209749,0.00226705604170717,0.657181039977301,TRUE,"up",FALSE
"TGM3","up",1.10823730683859,9.16868705017147,3.39686586249927,0.0024592702189067,0.657181039977301,TRUE,"up",TRUE
"SERPINA10","up",1.21932662553582,8.45259075573493,3.37966017159676,0.00256415898111352,0.657181039977301,TRUE,"up",TRUE
"DGKI","down",0.925017229841314,9.19409858667225,3.37617858827815,0.00258590689795546,0.657181039977301,TRUE,"up",FALSE
"PHF7","down",1.47119429090419,8.98159065600589,3.36646263569024,0.00264755193085616,0.657181039977301,TRUE,"up",FALSE
"SLC24A4","down",1.03189051272414,8.76444827665415,3.34164289161853,0.00281158768364003,0.657181039977301,TRUE,"up",FALSE
"AADAC","up",1.15361358254123,8.42749268928947,3.2940154976577,0.00315446328233187,0.657181039977301,TRUE,"up",TRUE
"ZBTB37","down",0.949600438899054,8.45656690424242,3.28726061063996,0.00320626606410056,0.657181039977301,TRUE,"up",FALSE
"CAB39L","up",0.868009786499482,13.136914666856,3.26115303660157,0.00341435054730957,0.657181039977301,TRUE,"up",TRUE
"FCAR","up",1.1601656870923,9.3299262806729,3.25627049082878,0.00345469258133528,0.657181039977301,TRUE,"up",TRUE
"LGALS14","down",0.994639805376314,9.30915695657614,3.22075985396689,0.00376230729044736,0.657181039977301,TRUE,"up",FALSE
"MTHFD1L","down",1.02800275177982,10.3498906767463,3.19192347948152,0.00403144970291374,0.657181039977301,TRUE,"up",FALSE
"SPATA13","down",0.816586418842495,8.3631239919168,3.162564105865,0.00432454961982354,0.657181039977301,TRUE,"up",FALSE
"IL4I1","down",1.07649146939254,8.79748276244838,3.14042449298358,0.00455906936783391,0.657181039977301,TRUE,"up",FALSE
"U2AF2","up",1.08106803297704,9.84500815280119,3.03135634981511,0.00590492992707022,0.695672224274735,TRUE,"up",TRUE
"INHBA","down",0.93674963048287,12.2180000646796,3.02221419585555,0.00603364473803949,0.695672224274735,TRUE,"up",FALSE
"SLC41A2","down",1.03759929961798,9.7864654519514,3.00421918669007,0.00629490506833868,0.700198817717551,TRUE,"up",FALSE
"HAND1","up",0.988325849875535,8.95760735565094,2.99469603800617,0.00643751926742613,0.700198817717551,TRUE,"up",TRUE
"PTGS2","down",1.44656627565487,13.3245820941469,2.94844045440363,0.00717535947659951,0.700198817717551,TRUE,"up",FALSE
"ANGPTL7","up",1.37958248831583,11.5127069723284,2.93833714266328,0.00734695171326783,0.700198817717551,TRUE,"up",TRUE
"LUM","up",0.792060990844051,19.1145156707551,2.91986338471576,0.0076708894653719,0.700198817717551,TRUE,"up",TRUE
"TGFBI","up",0.966006611728377,15.2030234480224,2.88438450196591,0.00833161343589812,0.700198817717551,TRUE,"up",TRUE
"CYFIP2","down",1.01667156152321,13.4245797926885,2.88299970409905,0.0083584717734194,0.700198817717551,TRUE,"up",FALSE
"CD86","up",0.983086064569437,10.3959495124346,2.87572746822861,0.00850087661372847,0.700198817717551,TRUE,"up",TRUE
