"Gene","logFC_GSE12852","P.Value_GSE12852","adj.P.Val_GSE12852","logFC_GSE53868","P.Value_GSE53868","adj.P.Val_GSE53868","Dir_12852","Dir_53868","Concordante"
"2'-PDE",0.609805682915743,0.0799556449166397,0.963518020108213,0.314528009,6.92424059912253e-05,0.0094331133897643,"up","up",TRUE
"76P",0.18014376440196,0.499152190832272,0.974763679508199,-0.034380563499999,0.476602376436216,0.715165642823322,"up","down",FALSE
"7A5",0.253420550014524,0.424441211895854,0.974763679508199,-0.0235639584166659,0.6633525534924,0.841248955439242,"up","down",FALSE
"A1BG",0.0809272457395377,0.817130281281137,0.986705577165833,0.139697845500002,0.284587419976867,0.54316340992145,"up","up",TRUE
"A2BP1",0.0202865726646756,0.935713024727306,0.995393294915256,-0.3148821525,0.0572224284592564,0.221201206405326,"up","down",FALSE
"A2M",0.282271164077069,0.350802525067194,0.974763679508199,0.278670329166669,0.0147829032594833,0.100717217920776,"up","up",TRUE
"A4GALT",-0.206355561316331,0.581295000816151,0.974763679508199,0.387438433583334,0.000196261059195744,0.0132255694020303,"down","up",FALSE
"A4GNT",0.710365256241127,0.182890531709518,0.974763679508199,-0.0198440003333325,0.665992936028991,0.842612993537718,"up","down",FALSE
"AAAS",0.0388643481719977,0.915860186343232,0.994173148974376,-0.146710307416665,0.0130507434667626,0.0937601620807506,"up","down",FALSE
"AACS",0.0188155822300808,0.950930846162302,0.997073172164036,-0.0791172733333322,0.163976623049669,0.39917593476961,"up","down",FALSE
"AADAC",1.15361358254123,0.00315446328233187,0.657181039977301,0.0754560328333334,0.173063093075965,0.411494982251023,"up","up",TRUE
"AADAT",-0.0324651492368041,0.912607935675296,0.993667661871804,-0.318157717,0.00013297111504464,0.0119068544284353,"down","down",TRUE
"AAMP",0.0779881254396627,0.801191001108305,0.984985678405527,-0.0405277849999996,0.422472659844698,0.673666760068483,"up","down",FALSE
"AANAT",0.155816722940356,0.674027258008108,0.975992849603754,0.0163704940833343,0.763696284210176,0.894117697145776,"up","up",TRUE
"AARS",0.0893566100277083,0.745289714492547,0.980145493576632,-0.0144370386666655,0.816131036573045,0.918664815548387,"up","down",FALSE
"AARSL",-0.0826480673317577,0.788088530799234,0.983408385787627,-0.278309370416666,0.000215955170287767,0.0135620572108562,"down","down",TRUE
"AASDH",0.0139899409337192,0.958496180925723,0.997367898449381,-0.0947763988333329,0.116672398172596,0.332255957842443,"up","down",FALSE
"AASDHPPT",0.120426089209035,0.664779928436083,0.974763679508199,-0.189605985,0.00944203913505403,0.0782563456933579,"up","down",FALSE
"AASS",0.166094756035567,0.608559048155876,0.974763679508199,0.0329489442500018,0.695222683548002,0.858956218227447,"up","up",TRUE
"AATF",0.229748132057998,0.465183505947354,0.974763679508199,0.0838655275000015,0.0680084222573143,0.244549531728561,"up","up",TRUE
"ABAT",0.454082816549264,0.207361803457576,0.974763679508199,-0.129915209583333,0.105983656256847,0.314169449266623,"up","down",FALSE
"ABC1",0.083552707378109,0.806764646323144,0.986096842216576,-0.0767450829166664,0.126311661518633,0.34680179788875,"up","down",FALSE
"ABCA1",0.330237336903606,0.40910945515763,0.974763679508199,-0.0239896718333324,0.861313148472853,0.939137073189652,"up","down",FALSE
"ABCA12",-0.629861817025764,0.208344877687671,0.974763679508199,0.0631048078333344,0.365808702212968,0.623910857128189,"down","up",FALSE
"ABCA13",0.247726927563918,0.48019774703975,0.974763679508199,-0.0706234342499995,0.311230288547709,0.57070212604039,"up","down",FALSE
"ABCA2",0.310102234853842,0.389467108473917,0.974763679508199,0.0354997919166671,0.564215533519662,0.778537117621146,"up","up",TRUE
"ABCA3",0.179038958467497,0.581490491837925,0.974763679508199,0.304679031416666,0.00149917660621284,0.0295633278324979,"up","up",TRUE
"ABCA4",0.351229152246392,0.213277151516094,0.974763679508199,-0.0191144873333335,0.747439822517004,0.885618142359989,"up","down",FALSE
"ABCA5",1.34795437324415,0.178703819635653,0.974763679508199,-0.0259316117499997,0.694504236819387,0.858754253907915,"up","down",FALSE
