"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust"
"04110",4,109,16752,40,0.000129401680024657,"TGFB3/CCNH/CDK4/SMAD2",0.0049942116452559
"05144",3,44,16752,40,0.000156069113914247,"TGFB3/MET/GYPC",0.0049942116452559
"05212",3,66,16752,40,0.000519988035486924,"TGFB3/CDK4/SMAD2",0.0110930780903877
"05200",5,301,16752,40,0.000711952316698226,"TGFB3/MET/CDK4/SMAD2/LAMA3",0.0113912370671716
"04350",3,81,16752,40,0.000945813032805071,"TGFB3/DCN/SMAD2",0.0121064068199049
"03013",3,107,16752,40,0.00210799669318632,"KPNB1/PABPC1/EIF2S3",0.0224852980606541
"05145",3,120,16752,40,0.00291949495042237,"TGFB3/LAMA3/PPIF",0.0266925252610045
"01100",7,905,16752,40,0.00512051838964857,"AGL/AGPAT1/FECH/ITPKB/ALOX12/COX4I1/NDUFA4",0.0355635702898485
"05016",3,147,16752,40,0.00515776273059419,"RCOR1/COX4I1/NDUFA4",0.0355635702898485
"04144",3,151,16752,40,0.00555680785778882,"TGFB3/MET/SMAD2",0.0355635702898485
"03018",2,55,16752,40,0.00762144140014466,"PABPC1/TOB2",0.0443429317826598
"05210",2,59,16752,40,0.00872875700107951,"TGFB3/SMAD2",0.0465533706724241
"05211",2,63,16752,40,0.0099037107289385,"TGFB3/MET",0.0471603079823261
"04520",2,67,16752,40,0.011144981110198,"MET/SMAD2",0.0471603079823261
"05220",2,68,16752,40,0.0114655075332263,"TGFB3/CDK4",0.0471603079823261
"05218",2,69,16752,40,0.0117900769955815,"MET/CDK4",0.0471603079823261
"04974",2,72,16752,40,0.0127878427143118,"CPA3/COL17A1",0.0481424666891738
"05410",2,78,16752,40,0.0148898409559277,"TGFB3/DMD",0.0529416567321873
"05222",2,83,16752,40,0.0167474231194457,"CDK4/LAMA3",0.0548168364246522
"05414",2,84,16752,40,0.0171302613827038,"TGFB3/DMD",0.0548168364246522
"05012",2,92,16752,40,0.0203256267023184,"COX4I1/NDUFA4",0.0612446519202446
"00190",2,94,16752,40,0.0211606284020008,"COX4I1/NDUFA4",0.0612446519202446
"05142",2,96,16752,40,0.0220097967838379,"TGFB3/SMAD2",0.0612446519202446
"05146",2,101,16752,40,0.0241937352148719,"TGFB3/LAMA3",0.0645166272396585
"04360",2,115,16752,40,0.030755777395685,"MET/DPYSL2",0.0787347901329535
"04614",1,16,16752,40,0.0375442942896855,"CPA3",0.0924167244053798
"05010",2,137,16752,40,0.0423048999714884,"COX4I1/NDUFA4",0.100278281413898
"04020",2,168,16752,40,0.060847534533868,"HTR2C/ITPKB",0.139080078934555
"04510",2,179,16752,40,0.0679904978460711,"MET/LAMA3",0.150047995246502
"00860",1,32,16752,40,0.0737129585924353,"FECH",0.157254311663862
"05020",1,34,16752,40,0.0781397848025333,"STIP1",0.158429865948822
"04975",1,36,16752,40,0.0825459811716642,"AGPAT1",0.158429865948822
"00500",1,37,16752,40,0.0847413724586432,"AGL",0.158429865948822
"00561",1,38,16752,40,0.0869316413848559,"AGPAT1",0.158429865948822
"05219",1,38,16752,40,0.0869316413848559,"CDK4",0.158429865948822
"03050",1,39,16752,40,0.0891167995962123,"PSMA5",0.158429865948822
"03420",1,42,16752,40,0.0956417260138185,"CCNH",0.163393716450611
"04060",2,225,16752,40,0.100530260759685,"TGFB3/MET",0.163393716450611
"00562",1,45,16752,40,0.102121072781632,"ITPKB",0.163393716450611
"00590",1,45,16752,40,0.102121072781632,"ALOX12",0.163393716450611
"05223",1,51,16752,40,0.114944266457643,"CDK4",0.179425196421686
"00564",1,57,16752,40,0.127588838312513,"AGPAT1",0.181512041141132
"04115",1,57,16752,40,0.127588838312513,"CDK4",0.181512041141132
"05214",1,59,16752,40,0.131764421957293,"CDK4",0.181512041141132
"05120",1,60,16752,40,0.13384490018899,"MET",0.181512041141132
"05140",1,60,16752,40,0.13384490018899,"TGFB3",0.181512041141132
"03015",1,62,16752,40,0.137991284927803,"PABPC1",0.181512041141132
"05416",1,63,16752,40,0.140057213543914,"DMD",0.181512041141132
"05100",1,64,16752,40,0.14211831435632,"MET",0.181512041141132
"04540",1,65,16752,40,0.144174598358342,"HTR2C",0.181512041141132
"04070",1,66,16752,40,0.146226076518926,"ITPKB",0.181512041141132
"04260",1,67,16752,40,0.148272759782695,"COX4I1",0.181512041141132
"04146",1,68,16752,40,0.15031465907,"ECH1",0.181512041141132
"05412",1,71,16752,40,0.156411761913705,"DMD",0.185376903008836
"04512",1,78,16752,40,0.170472918466305,"LAMA3",0.19836848694261
"04666",1,80,16752,40,0.174448242460624,"MARCKS",0.199369419954999
"05323",1,82,16752,40,0.178404989644168,"TGFB3",0.200314374337312
"04972",1,90,16752,40,0.194047896538315,"CPA3",0.214121816869865
"04660",1,99,16752,40,0.211299157354735,"CDK4",0.229205865605137
"04120",1,107,16752,40,0.226330973755945,"TRIP12",0.2394126650842
"04530",1,108,16752,40,0.228190196408378,"CDK4",0.2394126650842
"04310",1,142,16752,40,0.288875605876803,"SMAD2",0.298194173808313
"04080",1,230,16752,40,0.425147805143789,"HTR2C",0.431896183003214
"04010",1,243,16752,40,0.442986127780954,"TGFB3",0.442986127780954
