"GeneSymbol","Direction","logFC","AveExpr","t","P.Value","adj.P.Val","Testado_no_POP","Direcao_POP","Concordante","DEG_POP_FDR05_logFC1"
"ADORA3","up",-0.433863318760376,9.48503187762481,-1.26071966173379,0.219958200885021,0.974763679508199,TRUE,"down",FALSE,FALSE
"AGL","up",0.252925331774309,14.6623697651678,0.852269819071509,0.402788361496344,0.974763679508199,TRUE,"up",TRUE,FALSE
"AGPAT1","up",0.285557108557368,13.9466123073934,0.837287962593876,0.410984400681452,0.974763679508199,TRUE,"up",TRUE,FALSE
"ALOX12","down",-0.824470643293151,10.3693406054699,-0.635606634812213,0.531261169219833,0.974763679508199,TRUE,"down",TRUE,FALSE
"BMP4","up",-0.487180555517122,12.435001327699,-1.4143315236635,0.170562684643773,0.974763679508199,TRUE,"down",FALSE,FALSE
"CCNH","up",0.348462971003429,13.0110483696601,1.38409692996598,0.179517165820684,0.974763679508199,TRUE,"up",TRUE,FALSE
"CCT3","down",0.11418346381038,14.2254647073528,0.424160614637676,0.675361029520013,0.975992849603754,TRUE,"up",FALSE,FALSE
"CDK4","up",0.275903827423913,14.2668474294764,0.994926249851784,0.330049921528437,0.974763679508199,TRUE,"up",TRUE,FALSE
"CFD","down",NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
"COL17A1","down",-0.383436167828006,10.0071022564203,-0.664726332575037,0.512787908575274,0.974763679508199,TRUE,"down",TRUE,FALSE
"COX4I1","up",0.145543807534724,17.0828567683061,0.608623131112656,0.54869533634258,0.974763679508199,TRUE,"up",TRUE,FALSE
"CPA3","up",0.409754494198177,14.4114906275588,1.28750703708145,0.21063035035629,0.974763679508199,TRUE,"up",TRUE,FALSE
"CTNND1","down",0.18442729726416,12.2512076181145,0.650328344354912,0.521877072688626,0.974763679508199,TRUE,"up",FALSE,FALSE
"CYB5R3","up",NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE
"DCN","up",0.295918029754413,17.9154194478296,1.05543758904831,0.302107018580601,0.974763679508199,TRUE,"up",TRUE,FALSE
"DDB2","up",-0.00148629570868895,12.7666661937941,-0.0042959827836846,0.996609087222434,0.999748227003823,TRUE,"down",FALSE,FALSE
"DMD","up",0.0660352124360562,9.56836721189541,0.211980609212723,0.83397586834412,0.989112397484782,TRUE,"up",TRUE,FALSE
"DPYSL2","up",0.301683467100064,16.3452852257217,1.03031791493195,0.31349686227565,0.974763679508199,TRUE,"up",TRUE,FALSE
