"TERM_ID","Count","geneID","p.adjust","par"
"GO:0000122",4,"CDKN1C/UBE2I/DKK1/CHD3",0.0399799567121933,"Chen2006_x_GSE53868"
"GO:0000122",139,"ZNF202/JUND/NR4A3/TSC22D4/SNAI1/WWTR1/ID3/CTR9/MAGEA6/TRO/DNAJB4/ATF3/KLF10/RELA/CREM/PURB/ELK4/PRRX1/AEBP2/HES1/MAF/FOXD3/GATA2/YWHAZ/CDK2/BMP2/MIER1/DNMT1/SAP30L/ZFP90/FST/APBB2/INSM1/SMAD3/DACH1/ARID4B/CC2D1B/SPEN/BMP6/HOXD8/PARP9/ATF4/PHF14/HMX1/NRIP1/IRF2BP2/TXN/MORC3/NOTCH2/TBL1X/FOXQ1/FOXJ1/KHDRBS1/PKIA/HAND1/MITF/UBE2D1/ZNF674/DUSP22/ZNF124/TFCP2L1/SDCBP/PCGF6/HIC1/DEAF1/NFKB1/PPM1A/MBD3L2/MXD4/TBL1XR1/WDR5/GATAD2B/ID1/UHRF1/WWC1/E2F1/ZBTB5/ATN1/CHD5/ESR1/YY1/MAP2K5/TWIST1/NR3C1/ISL1/DNMT3A/TNFSF11/ZGPAT/FHL2/MAGEA1/STAT6/HOXB4/TAF9B/UXT/RFC1/RUNX3/MCPH1/HIPK2/FBP1/SMAD5/MAGEB6/ZBTB16/TRAF6/FOXM1/MAZ/ZBTB20/FOXK2/ZNF281/BIN1/AURKB/TRPV4/DKK1/RTF1/HMBOX1/NODAL/FLYWCH1/SCGB1A1/KLF8/NR2C2/NR1I3/SOX13/CBX1/ETV5/IRF8/NR1I2/ZNF750/CGGBP1/HSF4/LYAR/ZNF141/THAP11/ZBTB37/JPH2/PHF12/MAGEC3/PRDM2/CDX2/DRAP1/MEF2C",2.18293852282943e-19,"Wei2020_x_GSE53868"
"GO:0000122",134,"NR4A3/HAND1/CDX2/FST/CREM/MAGEA1/TNFSF11/ATF3/NR1I3/BMP6/MSC/HIC1/RELA/DNAJB4/LEF1/TRPV4/ZBTB16/PER2/OSR2/JUND/PPM1A/ZHX2/JPH2/TGIF2/MAP2K5/GLI3/UHRF1/SUPT4H1/CHD3/KLF10/SDCBP/PCBP3/WFS1/CDK2/MAGEC3/UBE2D1/SMAD5/RB1/PKIA/TFCP2L1/MXD4/ATF4/CNOT1/NR3C1/NR2C1/ATF2/MEN1/DKK1/FGFR2/POU5F1/WT1/RUNX3/FOXP3/SOX13/IRF2BP1/SLA2/UXT/ID3/HMGB2/MAGEL2/RBBP4/SCGB1A1/BCL6B/ZNF268/TRPS1/HES1/SNAI1/BMP2/HESX1/MAZ/MBIP/IRF2/DEAF1/YWHAZ/NFATC3/CTBP1/MTA1/MAGEF1/CTBP2/TRAF6/THAP1/ZNF431/IGBP1/TWIST1/RARB/TBL1X/PRRX1/FOXD3/FOXJ1/SAP30L/NOTCH4/MLX/E2F7/CD36/ZNF19/GTF2IRD1/GATA2/GATA1/SEMA4D/MAGEE1/FOXM1/AURKB/HSF4/NFIC/ZBTB1/NODAL/FOXK2/RARA/PRDM2/ZBTB5/NR2C2/HDGF/INSM1/SIRT2/NCOR2/PIAS3/CCND3/ZNF174/TAF7/LMO4/ISL1/WDR5/ESR1/MDFI/CHD5/PCGF1/DRAP1/WWTR1/HOXD8/FOXP2/ZNF3/ZNF124/ZNF554/PPARD",0.0295082476175238,"Wei2020_x_GSE12852"
"GO:0000302",1,"S100A7",0.0380191424109765,"Chen2006_x_GSE53868"
"GO:0000302",1,"S100A7",0.0281420594927996,"Chen2006_x_GSE12852"
"GO:0000727",1,"MCM4",0.0359123938760822,"Chen2006_x_GSE53868"
"GO:0000727",1,"MCM4",0.0247094694172135,"Chen2006_x_GSE12852"
"GO:0001701",2,"SMAD2/TGFB3",0.041133667952533,"Chen2003_x_GSE53868"
"GO:0001701",25,"TGFBR1/ARMC5/FOXD3/SEC24D/BMP2/AMOT/UPF3A/ACVR1B/ACVRL1/SMAD3/TGFBR2/SLC39A1/NOTCH2/ADCY9/AXIN1/TWIST1/TIE1/COPS3/TRAF6/PTPRR/BCL2L11/C1orf43/MYO18B/VPS54/MGAT1",0.00951082925864253,"Wei2020_x_GSE53868"
"GO:0001706",1,"DKK1",0.0408469375666092,"Chen2006_x_GSE53868"
"GO:0001706",1,"SMAD2",0.0394694151936715,"Chen2003_x_GSE53868"
"GO:0001706",1,"DKK1",0.0309671282052814,"Chen2006_x_GSE12852"
"GO:0001707",7,"SNAI1/ARMC5/SMAD3/HAND1/DKK1/PRKAR1A/NF2",0.0308932792692187,"Wei2020_x_GSE53868"
"GO:0001707",1,"DKK1",0.0413990367194041,"Chen2006_x_GSE12852"
"GO:0001942",10,"RELA/FZD6/ACVR1B/FUZ/SOX21/APCDD1/CD109/TNFRSF19/DKK1/DSG4",0.00584525168866366,"Wei2020_x_GSE53868"
"GO:0001942",1,"DKK1",0.0490935030592766,"Chen2006_x_GSE12852"
"GO:0002062",11,"HIF1A/BMP2/MUSTN1/TGFBI/TGFB1/SLC39A14/RUNX3/RUNX2/ADAMTS12/NFIB/MEF2C",0.0102338215340209,"Wei2020_x_GSE53868"
"GO:0002062",16,"TGFBI/OSR2/GLI3/SLC39A14/MAPK14/RB1/FGFR3/RUNX3/GDF5/HIF1A/BMP2/SOX5/AMELX/TGFB1/EXT2/RUNX2",0.0378669999906564,"Wei2020_x_GSE12852"
"GO:0002090",1,"DKK1",0.0311942170304204,"Chen2006_x_GSE53868"
"GO:0002090",1,"DKK1",0.0233548337231645,"Chen2006_x_GSE12852"
"GO:0002221",1,"CASP1",0.0311942170304204,"Chen2006_x_GSE53868"
"GO:0002221",1,"CASP1",0.0233548337231645,"Chen2006_x_GSE12852"
"GO:0002503",1,"HLA-DRB4",0.0442254569943575,"Chen2006_x_GSE53868"
"GO:0002503",10,"HLA-DQA1/HLA-DQA2/HLA-DRB1/HLA-DMA/HLA-DMB/HLA-DPA1/HLA-DRA/HLA-DQB1/B2M/HLA-DOA",0.000974607269345647,"Wei2020_x_GSE12852"
"GO:0003170",1,"DKK1",0.0345147178451146,"Chen2006_x_GSE53868"
"GO:0003170",1,"DKK1",0.0247094694172135,"Chen2006_x_GSE12852"
"GO:0003197",1,"DKK1",0.0359123938760822,"Chen2006_x_GSE53868"
"GO:0003197",1,"DKK1",0.0269061066983764,"Chen2006_x_GSE12852"
"GO:0006091",2,"COX4I1/FECH",0.0220388887888139,"Chen2003_x_GSE53868"
"GO:0006091",11,"PPP1R2/COX6C/GIPR/TREX1/COX4I2/GBE1/COX7C/COX6A1/PHKA1/CROT/GYS2",0.00525946102746548,"Wei2020_x_GSE53868"
"GO:0006123",2,"COX4I1/NDUFA4",0.00881707050901797,"Chen2003_x_GSE53868"
"GO:0006123",8,"COX6C/COX7A2/COX4I2/COX5B/COX6B1/COX7C/COX5A/COX6A1",0.000881851810436833,"Wei2020_x_GSE53868"
"GO:0006123",2,"COX4I1/NDUFA4",0.0443284327727178,"Chen2003_x_GSE12852"
"GO:0006183",1,"NME1",0.0359123938760822,"Chen2006_x_GSE53868"
"GO:0006183",1,"NME1",0.0255343429092793,"Chen2006_x_GSE12852"
"GO:0006228",1,"NME1",0.0355277306843053,"Chen2006_x_GSE53868"
"GO:0006228",1,"NME1",0.0247094694172135,"Chen2006_x_GSE12852"
"GO:0006241",1,"NME1",0.0355277306843053,"Chen2006_x_GSE53868"
"GO:0006241",1,"NME1",0.0247094694172135,"Chen2006_x_GSE12852"
"GO:0006259",1,"NME1",0.0495440035122963,"Chen2006_x_GSE53868"
"GO:0006259",1,"KPNA2",0.0460988907736987,"Chen2003_x_GSE53868"
"GO:0006259",6,"RECQL5/TREX1/DNASE2/TOPBP1/MYO18A/DNASE1L1",0.0347653791134086,"Wei2020_x_GSE53868"
"GO:0006259",1,"NME1",0.0317685759907208,"Chen2006_x_GSE12852"
"GO:0006268",1,"MCM4",0.0460465835049466,"Chen2006_x_GSE53868"
"GO:0006268",1,"MCM4",0.0317685759907208,"Chen2006_x_GSE12852"
"GO:0006271",1,"MCM4",0.0332903342694742,"Chen2006_x_GSE53868"
"GO:0006271",1,"MCM4",0.0233548337231645,"Chen2006_x_GSE12852"
"GO:0006281",2,"TRIP12/DDB2",0.0433424581023685,"Chen2003_x_GSE53868"
"GO:0006281",24,"RECQL5/ATR/CDK2/USP51/TREX1/BLM/PARP2/TOPBP1/TTC5/RTEL1/CHAF1B/MUTYH/UVRAG/BRCA1/POLQ/RFC1/RBBP8/FOXM1/RRM1/GTF2H1/RRM2B/ERCC1/SMG1/MCRS1",0.0351714865967182,"Wei2020_x_GSE53868"
"GO:0006355",73,"SNAI1/WWTR1/TGFBR1/ZNF519/RELA/BNC2/CREM/ZBTB11/HOXB7/HIF1A/GATAD1/ATF5/BMP2/MIER1/RORA/ZNF117/NFKB2/SAP30L/ZNF714/ABL1/ACVR1B/ATP1B4/APBB2/ACVRL1/SMAD3/ATF4/ZBTB38/SAP30BP/TAF9/SOX21/ZNF678/PPP2CA/FOXN4/MTF2/MITF/GLRX2/PML/HIC1/INS/WDR5/FUS/ZBED1/WWC1/E2F1/ESR1/PITX3/NR3C1/SSX3/LMX1B/HINT1/RUNX3/FOXK2/ZNF281/NEO1/IGSF1/PHF1/PFDN5/ACTR6/NR2C2/SOX13/NFIA/AFF3/TEAD2/NFXL1/MLF2/ZFPL1/NR1I2/ZNF141/TAF6L/PRDM2/ZNHIT1/EFEMP1/MEF2C",1.87696052420972e-09,"Wei2020_x_GSE53868"
"GO:0006355",80,"CREM/ATP1B4/MSC/HIC1/RELA/FZD7/ACVR1B/EFEMP1/ASCC1/ZNHIT1/FHL3/PHF1/FOXN4/TGIF2/ABL1/TAF9/TGFBR1/SOX21/SUPT4H1/CHD3/ASH1L/PPP2CA/ATF5/LPXN/ZBED1/RPS6KA5/NFIA/CHEK2/HOXB7/RB1/BRPF3/ATF4/NR3C1/ATF2/POU5F1/SUPT3H/WT1/RUNX3/FOXP3/SOX13/ZFPL1/HIF1A/HINT1/RBBP4/ACTL6A/ZNF268/SNAI1/BMP2/PFDN5/MBIP/IRF2/YY1AP1/NFYC/THAP1/ZNF431/SAP30L/BRPF1/ZNF430/ZNF576/MLX/ZNF117/DMTF1/GTF2IRD1/TULP3/NFKB2/FOXK2/PRDM2/NR2C2/RUVBL2/SSX3/APBB3/YAF2/WDR5/ESR1/SP1/LMX1B/PCGF1/TAF6L/ZNF519/WWTR1",0.00450339203857471,"Wei2020_x_GSE12852"
"GO:0006357",189,"PDLIM1/ZNF202/ZNF276/JUND/NR4A3/ZNF490/ZNF420/FSTL3/ZNF519/ATF3/KLF10/RELA/HOXB6/PKNOX1/FOXL1/LHX9/CREM/ZBTB11/ETS1/HOXB7/ZNF397/PURB/ZNF493/ELK4/PRRX1/AEBP2/HES1/HIF1A/MAF/ZNF624/FOXD3/SLTM/PBX2/ATF5/MAPK1/RORA/ZNF117/ZNF714/ZNF292/ZNF658/ZNF415/SMAD3/DACH1/ARID4B/CC2D1B/SPEN/HOXD8/ATF4/PHF14/ZNF467/ZNF311/HMX1/IRF2BP2/ZNF665/FOXD4/RFXAP/TAF9/ZKSCAN1/PHIP/SOX21/IRX5/MED6/CREB3/TBL1X/ZNF384/FOXQ1/FOXJ1/ZNF678/FOXJ3/HAND1/HTATIP2/SIX5/NFE2L1/MITF/ZNF621/BATF2/USF2/CAMTA2/TFCP2L1/ZNF347/PCGF6/DLX5/HIC1/DEAF1/NFKB1/SAP18/ZNF584/FOXJ2/ARID2/MBD3L2/MXD4/TBL1XR1/WDR5/FUS/ELF2/ZBED1/ZNF76/ZNF468/THAP10/LIME1/HOXC6/MEOX1/E2F1/ZBTB5/ZNF142/ZNF438/CHD5/ESR1/PSMC5/CKS2/ZNF317/YY1/ZNF649/TIAL1/MYNN/ZNF586/PITX3/NFAT5/TWIST1/NR3C1/STOX1/RHOA/BRCA1/PAX7/STAT6/TFAP4/CRK/HOXD11/ELK1/BRD9/TP73/LMX1B/TSC22D1/RUNX3/ZNF548/RBBP8/ZNF446/ZBTB40/NFE2L2/SMAD5/ZBTB16/ZXDA/E2F3/FOXM1/MAZ/FOXK2/POU2F1/BRWD1/PAX2/SIX4/HOXC12/RUNX2/BRD3/DMRTC2/KLF8/ZNF521/PFN1/SOX13/ELP3/ZNF383/NFIA/OTX2/DEK/TEAD2/NFXL1/ETV5/ZNF707/ELP4/IRF8/TEAD3/SP110/DPF3/ZNF609/HSF4/PAX1/THAP11/ZNF721/TAF6L/PRKAR1A/NFIB/CDK8/CREB1/PHF20/TBL1Y/TTC21B/PRDM2/CDX2/FOXA3/MEOX2",2.80657173161405e-25,"Wei2020_x_GSE53868"
"GO:0006357",192,"ZNF569/NR4A3/HAND1/LHX9/CDX2/TEF/CREM/ATOH7/ATF3/IRX6/E2F4/ELP4/PHF8/MAPK1/ZKSCAN1/MSC/ZNF547/HIC1/PURG/RELA/LEF1/TBL1Y/PDLIM1/ZBTB16/ZNF548/OSR2/JUND/ZSCAN2/MYNN/ZHX2/CDK8/TP73/FOXD4L1/GLI3/ETV2/TAF9/SOX21/KLF10/SAP18/DMRT2/CKS2/ELP3/HTATIP2/CREG1/SMARCAL1/ATF5/PSMC5/ZNF528/HMGB3/ZBED1/MAPK14/ZNF226/ZNF627/NFIA/ZNF644/ZNF571/CAMTA2/DYRK1A/SMAD5/HOXB7/ARID1A/CCNL2/HOXC12/TFCP2L1/MXD4/ZNF655/HAVCR2/SIX4/ZNF540/BRPF3/ATF4/NR3C1/ATF2/CREB3/MEN1/MED6/LMX1A/ZNF232/POU5F1/ZNF574/SUPT3H/WT1/RUNX3/ZNF142/SIX3/FOXP3/SOX13/ZFHX4/RHOA/IRF2BP1/TIAL1/SP110/REPIN1/HIF1A/DPF3/HMGB2/NFAT5/ZNF300/USF2/ACTL6A/ZNF268/TRPS1/HES1/ZNF443/HESX1/MAZ/ZNF419/TEAD3/PFN1/HOXA13/MBIP/IRF2/DEAF1/CCNT2/TAF1L/NFATC3/ELK1/ZNF467/CTBP1/ZNF514/NFYC/CTBP2/THAP1/ZBED3/TWIST1/BBS7/TBL1X/ZBTB3/PRRX1/FOXD3/SOX5/FOXJ1/BRPF1/CRK/SAFB2/HOXA1/ZNF430/ZFX/MLX/PHF20/ZNF117/DMTF1/FOXA3/ZBTB9/E2F7/BRCA1/PAX2/RFX2/FOXM1/FOXL1/HSF4/NFIC/RFXAP/HTATSF1/FOXD1/SMARCC2/ZNF521/FOXK2/PRDM2/ZBTB5/RUVBL2/EPAS1/NFE2L2/PITX2/FOSL1/PIAS3/IRX5/NFE2L1/BRD9/TCF12/ZNF174/ZNF658/ZNF639/RAI1/TAF7/WDR5/ESR1/PHF20L1/OTX2/SP1/LMX1B/CHD5/TAF6L/ZNF519/RUNX2/HOXD8/FOXP2/HSF2/ZNF473/ZNF415/PPARD/HOXD11",3.23884711453739e-05,"Wei2020_x_GSE12852"
"GO:0006412",22,"RPS6KB2/CPEB2/YARS2/MRPS18B/GSPT1/MRPS6/MRPL28/PABPC4/RPS6/MRPL32/HBS1L/GUF1/SRBD1/HARS2/RPS12/RPL39L/RPS9/MRPL37/RPS4Y1/RRBP1/MRPL52/MRPS16",0.0196542597885946,"Wei2020_x_GSE53868"
"GO:0006412",59,"COPS5/ASMT/MRPL32/HBS1L/MRPL18/CPEB2/MRPS12/RPL12/HARS2/RPL37A/MRPL43/MRPS6/RPL10A/RPL36/GSPT1/RPS24/ZAR1/RPS16/RPL39L/MRPL37/PABPC4/RPL15/RPLP1/RPL41/RPL28/RPL14/RPL7A/RPL8/RPS15A/RPS9/RPL26/RPL19/FAU/RPL27A/RPS8/MRPS33/RPL35/RPL39/RPL21/RPL22/RPS29/MRPS14/RPL9/RPS18/RPS7/RPS23/MRPL10/RPS20/EEF1A1/RRBP1/RPS5/MRPL52/PDF/MRPL28/RPL34/RPL13A/RPLP0/MRPS16/RPS27A",2.15108406949175e-12,"Wei2020_x_GSE12852"
"GO:0006457",28,"BAG3/CRYAB/CDC37L1/NKTR/TBCC/PPIC/FKBP6/FKBP5/ALG12/PDIA5/HSPBP1/CCT3/CCT7/CCT6A/HSP90B1/DNAJB6/PPIA/BAG2/MPDU1/PFDN5/SIL1/TBCA/DNAJC19/FKBP1A/VBP1/FKBP9/NUDCD3/HSPD1",3.76082240008434e-06,"Wei2020_x_GSE53868"
"GO:0006457",29,"BAG2/PPIC/CDC37L1/CCT6A/TXNDC5/PPIL2/TBCE/HSPD1/MPDU1/SIL1/CCT4/FKBP1A/VBP1/BAG3/PFDN5/HSPBP1/NFYC/FKBP5/CCT3/NGLY1/FKBP6/RUVBL2/LTBP4/TBCA/DNAJB6/CCT8/PPIH/MKKS/NKTR",0.0258070897909431,"Wei2020_x_GSE12852"
"GO:0006508",43,"VASH2/AFG3L2/JOSD1/CASP4/DPP9/SCRN1/FBXW2/XPNPEP2/TBL1X/BACE2/IDE/HGFAC/FAM111A/MMP7/ADAMTS2/ADAM12/LMLN/KLK11/SDCBP/PIGK/CAPN12/SCRN3/HTRA2/RELN/MMP23B/MMP10/COLEC10/KLK9/FBXO3/MMP16/PROZ/ADAM29/PHEX/F2/ADAMTS12/CAPN2/CAPN14/UBD/ADAM33/MBL2/FBXL6/CASP8/CFB",0.00661602892705044,"Wei2020_x_GSE53868"
"GO:0006508",2,"CASP1/DPP3",0.0458007564768948,"Chen2006_x_GSE12852"
"GO:0006629",2,"ALOX12/PLCL1",0.0354697652009958,"Chen2003_x_GSE53868"
"GO:0006629",25,"MGLL/ZNF202/FMO5/HSD17B13/AKR7A2/PITPNM1/UCP3/MGST3/LRP10/LRP1/ARSA/FABP6/AADAC/CHPT1/PLTP/SLC16A11/STARD3/CRK/TMEM43/HMGCS1/ABCA2/MGST2/BCAT2/GPR31/ALOX15B",0.0018291130844788,"Wei2020_x_GSE53868"
"GO:0006699",8,"OSBPL1A/CYP27A1/CYP7B1/OSBPL9/OSBPL7/CYP39A1/AKR1C4/ABCB11",0.00661602892705044,"Wei2020_x_GSE53868"
"GO:0006699",11,"AKR1C4/ABCB11/CYP27A1/SCP2/CYP39A1/OSBPL9/OSBPL3/SLC27A2/CYP7B1/OSBPL1A/AMACR",0.0231695080942684,"Wei2020_x_GSE12852"
"GO:0006809",1,"CYB5R3",0.0452560152553438,"Chen2003_x_GSE53868"
"GO:0006809",6,"RORA/GCH1/CYP1B1/CYB5B/NQO1/SPR",0.0227132465886821,"Wei2020_x_GSE53868"
"GO:0006954",46,"MGLL/CAMK1D/RIPK1/RELA/HRH1/PLAA/BDKRB1/PTGDR/BMP2/CCL5/TICAM2/NFKB2/CASP4/IL17RC/BMP6/PLP1/IL2RA/CCRL2/CSF1R/TNFRSF1A/CCL19/CD40/AXL/NFKB1/CCL18/FCGR2B/VCAM1/F11R/IKBKG/TSPAN2/IL17RE/IL27/IL1RL1/NFE2L2/ATRN/HYAL1/HK1/AGR2/LXN/CCL1/CHST1/PTGER3/ADORA1/CHST2/F2RL1/HCK",0.0012224661145955,"Wei2020_x_GSE53868"
"GO:0006954",71,"TLR6/CCL18/LY96/LXN/VCAM1/BDKRB1/CHI3L1/CCR2/BMP6/ADAM8/CCR7/NOX4/RELA/CCL21/TACR1/TNFSF4/RIPK1/MAP3K7/FUT7/FCGR2B/SCG2/LAT/TSPAN2/PLP1/ASH1L/SCYL1/POLB/TLR1/IKBKG/RPS6KA5/CASP4/F2RL1/CAMK1D/CXCL6/HAVCR2/AXL/CDO1/TBK1/PARP4/TIRAP/TCIRG1/IL17RC/PLAA/FOXP3/PTGFR/BMP2/PTGER3/HRH1/NFATC3/LYZ/CCL25/MGLL/CCL20/IL1RAP/CCL24/CD14/HYAL1/APOL3/CCRL2/CYBA/NFKB2/CD40/NFE2L2/FOSL1/CCL1/CCL13/CARD8/TNFRSF1A/IL1RL1/CALCA/HK1",0.00635739875154887,"Wei2020_x_GSE12852"
"GO:0006955",41,"PIK3R1/CSF3/GBP2/CYSLTR2/ZAP70/ETS1/CD209/VAV1/LTBR/CX3CR1/OPRD1/TNFSF9/SECTM1/SMAD3/BMP6/TNFSF14/IL2RA/CCRL2/FCAR/CCL19/CD86/IL32/IL12A/PXDN/CCL18/FCGR2B/IFITM3/PRG4/IKBKG/PRKRA/LIF/TNFSF11/IL1RL1/HLA-A/CCR6/MBP/IRF8/HLA-F/FCGR3A/IL15/EDA",0.000328218957056889,"Wei2020_x_GSE53868"
"GO:0006955",59,"FCAR/CD86/TLR6/PRG4/CCL18/TNFSF11/TNFSF9/CCR2/BMP6/CCR7/VPREB1/HLA-DQA1/CSF3/HLA-DQA2/CCL21/TNFSF4/MAP3K7/LCP2/FCGR2B/CBLB/MBP/LAT/CD164/TLR1/HLA-DRB1/CXCL12/IKBKG/SECTM1/GBP2/CD8A/HLA-DPA1/HLA-DRA/IL32/CD1E/LTBR/IFI44L/CRHR1/IGLL1/HLA-DQB1/IL12A/CCL25/CCL20/IL1RAP/CCL24/GZMA/CCL27/CD79B/CCRL2/PRKRA/SEMA4D/LST1/IL2RG/IL15/IFITM3/ZAP70/TCF12/GTPBP1/IL1RL1/HLA-F",0.00502894822089868,"Wei2020_x_GSE12852"
"GO:0006974",2,"TRIP12/DDB2",0.0460988907736987,"Chen2003_x_GSE53868"
"GO:0006974",37,"MCL1/CDK3/ATR/MAPK1/USP51/ABL1/BRD4/BLM/TANK/PARP2/ZBTB38/TOPBP1/TP53BP1/TTC5/TAF9/FAM111A/TAOK2/NEK4/DCUN1D5/APC/UHRF1/YY1/IKBKG/NFAT5/BRCA1/POLQ/TP73/ZBTB40/FBXO5/TRAF6/FLYWCH1/CBX1/SPATA18/SLFN11/MCTS1/SPDYA/SMG1",2.69475197292047e-05,"Wei2020_x_GSE53868"
"GO:0007010",2,"DPYSL2/DMD",0.0310295092518638,"Chen2003_x_GSE53868"
"GO:0007010",18,"ZRANB1/THY1/PRR5/PHIP/WASF3/MAST2/DMD/CFL1/ZMYM3/GPR35/ABLIM3/FGD2/BIN1/BRWD1/MICAL1/RANBP9/NCKIPSD/PLCE1",0.026719990415888,"Wei2020_x_GSE53868"
"GO:0007049",31,"SPAG8/PYHIN1/ARF6/MAPK1/CASP8AP2/INSM1/PRR5/CGRRF1/RB1CC1/BIRC6/BEX2/LMLN/CHAF1B/PPP1CA/PTP4A1/UHRF1/PIM3/ANAPC10/STOX1/TP73/SIAH1/MAPK6/RASSF1/CCNDBP1/CDC14A/ERH/MCTS1/MAPK3/CLTA/PSME3/GAK",0.00847467877677103,"Wei2020_x_GSE53868"
"GO:0007049",46,"MAPK1/CGRRF1/RPS6KA1/TRIM21/UHRF2/GAS1/TP73/ANAPC5/UHRF1/CCNDBP1/PIM3/RCBTB1/ANAPC10/CHAF1B/MAPK3/SIAH1/PTP4A1/BEX2/MCTS1/RBBP4/APEX2/ANAPC13/BANP/CCNT2/CDC14A/THAP1/ZC3HC1/KLHL13/RB1CC1/RASSF1/DMTF1/RNF8/ARF6/KIF13A/CDC16/MAPK6/INSM1/CASP8AP2/FSD1/TERF2/PPP1CA/PKN2/ERH/GAK/RABGAP1/PSME3",0.0295082476175238,"Wei2020_x_GSE12852"
"GO:0007127",1,"CKS2",0.0311942170304204,"Chen2006_x_GSE53868"
"GO:0007127",1,"CKS2",0.0233548337231645,"Chen2006_x_GSE12852"
"GO:0007165",4,"DPYSL2/FEZ2/MET/ITGB3BP",0.0477970413331672,"Chen2003_x_GSE53868"
