"TERM_ID","Count","geneID","p.adjust","par"
120,4,"CYP27A1/CYP7B1/CYP39A1/AKR1C4",0.0464502758609837,"Wei2020_x_GSE53868"
120,7,"AKR1C4/CYP27A1/SCP2/CYP39A1/HSD17B4/CYP7B1/AMACR",0.0201206202659734,"Wei2020_x_GSE12852"
190,2,"COX4I1/NDUFA4",0.0170677707925278,"Chen2003_x_GSE53868"
190,28,"COX6C/UQCRB/LHPP/COX7A2/COX4I2/UQCRFS1/NDUFV1/COX5B/COX6B1/NDUFA11/COX7C/COX5A/ATP6V0A1/COX6A1/NDUFB1/ATP6V1E1/NDUFB4/UQCRQ/ATP6V0B/SDHC/NDUFA5/ATP6V1G3/ATP6V0A4/NDUFAB1/NDUFA2/COX11/ATP6V1H/NDUFA9",5.26999156619435e-09,"Wei2020_x_GSE53868"
190,31,"NDUFB5/NDUFA11/COX5B/ATP6V1G2/ATP6V0B/ATP6V0D1/ATP6V1B1/TCIRG1/COX6B1/NDUFB1/COX15/COX7A2L/ATP6V0C/NDUFA9/NDUFB4/UQCRFS1/NDUFV1/SDHD/NDUFA5/ATP6V1H/COX5A/COX7C/COX4I2/NDUFA2/NDUFC1/LHPP/COX6A1/NDUFAB1/ATP6V0A4/ATP6V1E1/NDUFB3",7.95752548157964e-05,"Wei2020_x_GSE12852"
563,7,"PIGT/PIGZ/PIGK/PIGO/PGAP1/DPM2/PIGS",0.00415744486785034,"Wei2020_x_GSE53868"
563,8,"PGAP1/PIGK/PIGS/DPM2/PIGC/PIGV/PIGM/PIGT",0.0210744806186243,"Wei2020_x_GSE12852"
1100,145,"MGLL/A4GALT/IDS/GATM/C1GALT1/COX6C/B3GNT5/GK/DHRS3/CBS/ALDH3A2/PANK3/LDHA/GLUD2/EXT1/DNMT1/CYP51A1/UQCRB/GCH1/DPM3/SMPD4/QPRT/INPP4A/COX4I2/GAPDH/GALK2/GBE1/UQCRFS1/ITPKB/DHODH/AMY1C/NDUFV1/COX5B/COX6B1/PIGT/ADSL/MAN1B1/NDUFA11/CYP27A1/PIPOX/P4HA3/IDH3B/COX7C/GALNT5/COX5A/GAL3ST1/PGK1/PLA2G12A/GCLM/SMPD1/ST3GAL4/ATP6V0A1/COX6A1/GRHPR/RFK/PIGK/PLCB1/SPHK2/ALDOB/ALG12/ST8SIA1/SUCLG2/NDUFB1/ATP6V1E1/ALDH4A1/CDIPT/CYP21A2/PNPO/CHPT1/B3GNT6/PRDX6/GLUL/IDI1/NMNAT3/DNMT3A/GALNT14/NDUFB4/UQCRQ/TK1/ATP6V0B/PANK1/HYI/SDHC/AGPAT2/KHK/MDH1/NADK/PTDSS1/RPE/FBP1/CYP2C19/ACLY/UGDH/NDUFA5/RRM1/INPP5A/RPN2/HMGCS1/PIGO/ATP6V1G3/GMPPB/ATP6V0A4/MECR/ADH1A/PGAP1/AKR1C4/MTHFD2/COASY/PIP5K1A/ADH1C/IDI2/B4GALT3/AKR1B1/ALG14/MDH2/IMPA1/NME2/CYP2E1/TKTL1/NDUFAB1/LALBA/UXS1/BCAT2/DPM2/HYAL1/PDXP/ASNS/NDUFA2/HK1/RRM2B/COX11/GSS/PIGS/PLCE1/MGAT1/ATP6V1H/UROC1/ALOX15B/NDUFA9/ME1/NADSYN1/AGPAT4/GOT1/ST6GAL2/SPR",3.80253708558325e-15,"Wei2020_x_GSE53868"
1100,7,"AGL/AGPAT1/FECH/ITPKB/ALOX12/COX4I1/NDUFA4",0.0355635702898485,"Chen2003_x_GSE12852"
1100,199,"AKR1C4/GK/ALDH18A1/NAT1/GLUD2/PGAP1/GBE1/ST8SIA1/PLA2G7/IDS/RFK/CHPT1/GAL3ST1/CYP11A1/ASMT/PIGK/GATM/DCK/ALG9/ALDH1A3/ASAH1/RRM2B/FUT7/NDUFB5/LDHA/CYP51A1/TH/UGDH/CYP27A1/PLB1/ST3GAL5/KHK/HIBADH/IDI1/UROD/CTH/SCP2/AGPAT4/NDUFA11/B4GALT3/ST3GAL4/PSPH/HEXB/HMGCL/COX5B/GUSB/BTD/PON3/PANK2/ATP6V1G2/ATP6V0B/B3GALT6/ADSL/DAD1/HSD11B2/INPP4A/IDH3B/POLR3H/ATP6V0D1/ATIC/UXS1/MGAT1/DDOST/GRHPR/AGL/ATP6V1B1/CDO1/MCEE/AKR1A1/IMPDH1/INPP5A/B3GNT5/TCIRG1/PIGS/COX6B1/CYP2C8/GALNT14/MGAT2/PIP5K1A/GALK2/NDUFB1/OAT/PLD2/SPTLC1/NMNAT3/P4HA3/ETNK1/SUCLG2/HSD17B1/ALG6/PGM2/RPE/EXT1/COX15/GOT1/GCLM/GALNT10/NME2/UMPS/CRYL1/HADHB/AMT/GAMT/RRM1/HSD17B4/DPYD/PNLIPRP3/ATP6V0C/NDUFA9/NDUFB4/UQCRFS1/SRM/NDUFV1/PLA2G10/ALOX15B/SDHD/PGM1/AKR1B1/NDUFA5/ASNS/LALBA/C1GALT1/CYP2C19/MGLL/LIPT1/CYP17A1/HYAL1/FPGT/DGUOK/ATP6V1H/GALT/COX5A/ALDH5A1/ALDH3A2/B3GNT6/ALG10/COX7C/COX4I2/ADH1C/PGK1/TK1/SMPD1/PPT1/BCAT2/NDUFA2/DPM2/DPAGT1/AFMID/MAN1B1/PIPOX/NME3/GSS/GALNT5/MDH2/GAD1/EXT2/DGKZ/GNPDA2/CDIPT/CYP19A1/NDUFC1/ACADVL/PANK1/AOC2/AMACR/HIBCH/GLUL/PIGC/ACSL5/AMPD1/UROC1/GCH1/PI4K2B/PIGV/PIGM/TK2/ST3GAL3/COX6A1/POLE2/ALDOB/PIGT/CYP2E1/PTDSS1/SLC33A1/PAICS/DUT/NDUFAB1/ISYNA1/ATP6V0A4/ATP6V1E1/ADH7/THTPA/ALDH3B2/SPR/NDUFB3/IDUA/NAT2/HK1/DHCR7",1.20532275951345e-09,"Wei2020_x_GSE12852"
