"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0051591",2,10,4797,15,0.000404854621056827,"AREG/THBD",0.0393272332162197,"response to cAMP"
"GO:0050731",2,31,4797,15,0.00402774382413978,"CSF3/AREG",0.0393272332162197,"positive regulation of peptidyl-tyrosine phosphorylation"
"GO:0001920",1,2,4797,15,0.00624478080284752,"LDLR",0.0393272332162197,"negative regulation of receptor recycling"
"GO:0010828",1,2,4797,15,0.00624478080284752,"NR4A3",0.0393272332162197,"positive regulation of glucose transmembrane transport"
"GO:0010867",1,2,4797,15,0.00624478080284752,"LDLR",0.0393272332162197,"positive regulation of triglyceride biosynthetic process"
"GO:0010989",1,2,4797,15,0.00624478080284752,"LDLR",0.0393272332162197,"negative regulation of low-density lipoprotein particle clearance"
"GO:0032765",1,2,4797,15,0.00624478080284752,"NR4A3",0.0393272332162197,"positive regulation of mast cell cytokine production"
"GO:0034381",1,2,4797,15,0.00624478080284752,"LDLR",0.0393272332162197,"plasma lipoprotein particle clearance"
"GO:0043242",1,2,4797,15,0.00624478080284752,"SLN",0.0393272332162197,"negative regulation of protein-containing complex disassembly"
"GO:0044320",1,2,4797,15,0.00624478080284752,"NR4A3",0.0393272332162197,"cellular response to leptin stimulus"
"GO:0045601",1,2,4797,15,0.00624478080284752,"APOLD1",0.0393272332162197,"regulation of endothelial cell differentiation"
"GO:0045639",1,2,4797,15,0.00624478080284752,"CSF3",0.0393272332162197,"positive regulation of myeloid cell differentiation"
"GO:0046321",1,2,4797,15,0.00624478080284752,"NR4A3",0.0393272332162197,"positive regulation of fatty acid oxidation"
"GO:0051246",1,2,4797,15,0.00624478080284752,"LDLR",0.0393272332162197,"regulation of protein metabolic process"
"GO:0060744",1,2,4797,15,0.00624478080284752,"AREG",0.0393272332162197,"mammary gland branching involved in thelarche"
"GO:0061889",1,2,4797,15,0.00624478080284752,"LDLR",0.0393272332162197,"negative regulation of astrocyte activation"
"GO:0070508",1,2,4797,15,0.00624478080284752,"LDLR",0.0393272332162197,"cholesterol import"
"GO:0071376",1,2,4797,15,0.00624478080284752,"NR4A3",0.0393272332162197,"cellular response to corticotropin-releasing hormone stimulus"
"GO:0072377",1,2,4797,15,0.00624478080284752,"THBD",0.0393272332162197,"blood coagulation, common pathway"
"GO:0097021",1,2,4797,15,0.00624478080284752,"NEDD9",0.0393272332162197,"lymphocyte migration into lymphoid organs"
"GO:1900625",1,2,4797,15,0.00624478080284752,"NR4A3",0.0393272332162197,"positive regulation of monocyte aggregation"
"GO:1901877",1,2,4797,15,0.00624478080284752,"SLN",0.0393272332162197,"negative regulation of calcium ion binding"
"GO:1901894",1,2,4797,15,0.00624478080284752,"SLN",0.0393272332162197,"regulation of ATPase-coupled calcium transmembrane transporter activity"
"GO:1902952",1,2,4797,15,0.00624478080284752,"NEDD9",0.0393272332162197,"positive regulation of dendritic spine maintenance"
"GO:1903829",1,2,4797,15,0.00624478080284752,"NEDD9",0.0393272332162197,"positive regulation of protein localization"
"GO:1903979",1,2,4797,15,0.00624478080284752,"LDLR",0.0393272332162197,"negative regulation of microglial cell activation"
"GO:1905167",1,2,4797,15,0.00624478080284752,"LDLR",0.0393272332162197,"positive regulation of lysosomal protein catabolic process"
"GO:1990440",1,2,4797,15,0.00624478080284752,"ATF3",0.0393272332162197,"positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress"
"GO:2000522",1,2,4797,15,0.00624478080284752,"NEDD9",0.0393272332162197,"positive regulation of immunological synapse formation"
"GO:0010628",3,132,4797,15,0.0072717240472089,"NFATC2/ATF3/LDLR",0.0393272332162197,"positive regulation of gene expression"
"GO:0010957",1,3,4797,15,0.0093535041162901,"SNAI1",0.0393272332162197,"negative regulation of vitamin D biosynthetic process"
"GO:0014904",1,3,4797,15,0.0093535041162901,"NFATC2",0.0393272332162197,"myotube cell development"
"GO:0042157",1,3,4797,15,0.0093535041162901,"APOLD1",0.0393272332162197,"lipoprotein metabolic process"
"GO:0051248",1,3,4797,15,0.0093535041162901,"LDLR",0.0393272332162197,"negative regulation of protein metabolic process"
"GO:0051918",1,3,4797,15,0.0093535041162901,"THBD",0.0393272332162197,"negative regulation of fibrinolysis"
"GO:0060536",1,3,4797,15,0.0093535041162901,"SNAI1",0.0393272332162197,"cartilage morphogenesis"
"GO:0060750",1,3,4797,15,0.0093535041162901,"AREG",0.0393272332162197,"epithelial cell proliferation involved in mammary gland duct elongation"
"GO:0061523",1,3,4797,15,0.0093535041162901,"NEDD9",0.0393272332162197,"cilium disassembly"
"GO:0070828",1,3,4797,15,0.0093535041162901,"SNAI1",0.0393272332162197,"heterochromatin organization"
"GO:0097242",1,3,4797,15,0.0093535041162901,"LDLR",0.0393272332162197,"amyloid-beta clearance"
"GO:1901020",1,3,4797,15,0.0093535041162901,"SLN",0.0393272332162197,"negative regulation of calcium ion transmembrane transporter activity"
"GO:1901895",1,3,4797,15,0.0093535041162901,"SLN",0.0393272332162197,"negative regulation of ATPase-coupled calcium transmembrane transporter activity"
"GO:1903984",1,3,4797,15,0.0093535041162901,"ATF3",0.0393272332162197,"positive regulation of TRAIL-activated apoptotic signaling pathway"
"GO:1905064",1,3,4797,15,0.0093535041162901,"NFATC2",0.0393272332162197,"negative regulation of vascular associated smooth muscle cell differentiation"
"GO:0000122",4,288,4797,15,0.0102478057836418,"NFATC2/NR4A3/SNAI1/ATF3",0.0411398671396308,"negative regulation of transcription by RNA polymerase II"
"GO:0008284",3,151,4797,15,0.010532328324608,"CSF3/AREG/ATF3",0.0411398671396308,"positive regulation of cell population proliferation"
"GO:0030195",1,4,4797,15,0.0124531489719963,"THBD",0.0411398671396308,"negative regulation of blood coagulation"
"GO:0030299",1,4,4797,15,0.0124531489719963,"LDLR",0.0411398671396308,"intestinal cholesterol absorption"
"GO:0030851",1,4,4797,15,0.0124531489719963,"CSF3",0.0411398671396308,"granulocyte differentiation"
"GO:0031638",1,4,4797,15,0.0124531489719963,"THBD",0.0411398671396308,"zymogen activation"
"GO:0034383",1,4,4797,15,0.0124531489719963,"LDLR",0.0411398671396308,"low-density lipoprotein particle clearance"
"GO:0035726",1,4,4797,15,0.0124531489719963,"NR4A3",0.0411398671396308,"common myeloid progenitor cell proliferation"
"GO:0061314",1,4,4797,15,0.0124531489719963,"SNAI1",0.0411398671396308,"Notch signaling involved in heart development"
"GO:0070296",1,4,4797,15,0.0124531489719963,"SLN",0.0411398671396308,"sarcoplasmic reticulum calcium ion transport"
"GO:0090281",1,4,4797,15,0.0124531489719963,"SLN",0.0411398671396308,"negative regulation of calcium ion import"
"GO:0110053",1,4,4797,15,0.0124531489719963,"CSF3",0.0411398671396308,"regulation of actin filament organization"
"GO:0003198",1,5,4797,15,0.0155437399933644,"SNAI1",0.0429192820712302,"epithelial to mesenchymal transition involved in endocardial cushion formation"
"GO:0007369",1,5,4797,15,0.0155437399933644,"NR4A3",0.0429192820712302,"gastrulation"
"GO:0010165",1,5,4797,15,0.0155437399933644,"THBD",0.0429192820712302,"response to X-ray"
"GO:0010544",1,5,4797,15,0.0155437399933644,"THBD",0.0429192820712302,"negative regulation of platelet activation"
"GO:0010838",1,5,4797,15,0.0155437399933644,"AREG",0.0429192820712302,"positive regulation of keratinocyte proliferation"
