"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust"
"05340",1,11,4797,15,0.0338985267593165,"IGLL1",0.184030562345053
"04610",1,18,4797,15,0.0549086163854304,"THBD",0.184030562345053
"05144",1,19,4797,15,0.0578750049090168,"CSF3",0.184030562345053
"04976",1,24,4797,15,0.0725770426497262,"LDLR",0.184030562345053
"04370",1,25,4797,15,0.0754916339676086,"NFATC2",0.184030562345053
"04662",1,26,4797,15,0.0783976745146511,"NFATC2",0.184030562345053
"04640",1,27,4797,15,0.0812951875899557,"CSF3",0.184030562345053
"04520",1,30,4797,15,0.089936794098078,"SNAI1",0.184030562345053
"04012",1,32,4797,15,0.0956556522636067,"AREG",0.184030562345053
"04660",1,36,4797,15,0.106992884484373,"NFATC2",0.184030562345053
"04110",1,41,4797,15,0.120977894941104,"WEE1",0.184030562345053
"04650",1,41,4797,15,0.120977894941104,"NFATC2",0.184030562345053
"04630",1,42,4797,15,0.123750252295158,"CSF3",0.184030562345053
"05160",1,43,4797,15,0.126514447082871,"LDLR",0.184030562345053
"04360",1,48,4797,15,0.140213761786707,"NFATC2",0.184030562345053
"05145",1,48,4797,15,0.140213761786707,"LDLR",0.184030562345053
"04380",1,54,4797,15,0.156388204009074,"NFATC2",0.185565535170578
"04310",1,55,4797,15,0.159056173003353,"NFATC2",0.185565535170578
"04144",1,62,4797,15,0.177512612547829,"LDLR",0.196198150710758
"04060",1,81,4797,15,0.225720852045839,"CSF3",0.237006894648131
"04010",1,94,4797,15,0.257171573002522,"NFATC2",0.257171573002522
