"Gene","logFC","AveExpr","t","P.Value","adj.P.Val"
"GDF5",6.42780556666667,5.78980738333333,22.1081322382496,1.76391052889601e-09,4.48448633570781e-06
"KRTAP6-3",-6.9813575,12.1336780833333,-21.756076219058,2.04848261696118e-09,4.48448633570781e-06
"PEX26",-8.33687273333333,11.1588388,-21.5910793441384,2.19899624176585e-09,4.48448633570781e-06
"POM121L12",-7.78772983333333,11.1309830833333,-18.8434393236306,7.78421934914571e-09,8.1566205692734e-06
"PHYHD1",-5.50234866666667,12.426521,-18.6890813077751,8.40012033988173e-09,8.1566205692734e-06
"FKBP5",-5.58601636666667,7.81858115,-18.6398991770018,8.60750284460138e-09,8.1566205692734e-06
"RGR",-6.97041733333333,12.242482,-18.3010492599942,1.01995553847221e-08,8.1566205692734e-06
"HGD",-6.24892366666667,12.5803248333333,-18.2127936400439,1.06657346443588e-08,8.1566205692734e-06
"MTHFD1L",-6.20738316666667,12.3302264166667,-17.9008289549043,1.25118658304412e-08,8.505288350071e-06
"PHF7",-5.20961173333333,8.76279346666667,-17.3378254471304,1.68032025322321e-08,1.02801993092196e-05
"AANAT",-6.56072106666666,10.4454674666667,-16.8270454607384,2.21323095601714e-08,1.12935277319205e-05
"RPS15A",4.771863,13.6488281666667,16.8254683515745,2.21514110465914e-08,1.12935277319205e-05
"RPS23",4.54172483333334,10.62935425,16.0784562022905,3.36263784313996e-08,1.4231799099833e-05
"GAB3",4.99971566666667,8.19498233333333,15.9766040831895,3.56455819363989e-08,1.4231799099833e-05
"KDELR1",4.76972043333333,4.93595121666667,15.9171090127547,3.68866426669346e-08,1.4231799099833e-05
"LSM2",4.53178463333334,7.88094135,15.7989241028777,3.94956598004204e-08,1.4231799099833e-05
"KIAA1456",6.21885813333334,7.0279186,15.7335557039911,4.10255804748716e-08,1.4231799099833e-05
"RPL3",4.50059933333333,10.7584656666667,15.6985384511654,4.18719162793386e-08,1.4231799099833e-05
