"Gene","logFC_POP","adj.P.Val_POP","logFC_SUI","adj.P.Val_SUI","Direcao_POP","Direcao_SUI","Mesma_direcao"
"WEE1",1.02918274575,0.0061015852234187,-2.34340313333333,0.00136479383197012,"up","down",FALSE
"SLN",1.38545946358334,0.00832928205094626,1.55555863333333,0.004744328564089,"up","up",TRUE
"ADAMTS4",1.88417706375,0.00853743118443771,-3.27038246666667,0.00249121201496055,"up","down",FALSE
"NEDD9",1.01025259266667,0.00853743118443771,-1.60176486666667,0.00437699947348676,"up","down",FALSE
"NFATC2",1.22975522075,0.00853743118443771,-2.70062306666667,0.00093441641622275,"up","down",FALSE
"NR4A3",2.15914903191667,0.00962013322340461,1.80094043333334,0.00199208706517537,"up","up",TRUE
"SNAI1",1.25652773141667,0.0124960033712493,1.29171973333333,0.0115554438663468,"up","up",TRUE
"IGJ",-1.40144884916667,0.0125167435787275,4.33200853333334,0.00123796957856987,"down","up",FALSE
"CSF3",2.01840946658333,0.0135048263827796,1.38495036666667,0.00453835930625747,"up","up",TRUE
"AREG",1.67283713541667,0.0139673214458913,-2.16377566666666,0.000826790147557787,"up","down",FALSE
"APOLD1",1.564247208,0.0140592735363518,-2.45541286666667,0.00242670718987978,"up","down",FALSE
"THBD",1.0767332625,0.0179713795885741,-1.07994253333333,0.00547470364228522,"up","down",FALSE
"ATF3",2.33487925458333,0.0207883625301472,1.13866856666667,0.0088410775950011,"up","up",TRUE
"IGLL1",-1.08559347258333,0.0303265071203566,2.4444616,0.000335870186216471,"down","up",FALSE
"LDLR",1.131442625,0.0307260159554663,-2.8448922,0.00114202096772915,"up","down",FALSE
