"PATH","Nh_POP","NES_POP","p.adjust_POP","Nh_SUI","NES_SUI","p.adjust_SUI","Mesma_direcao"
"00260",32,NA,0.00659287485634791,10,-1,0.133333333333333,NA
"00310",35,-2.7572453023731,0.00659287485634791,9,NA,0.133333333333333,NA
"00380",35,-1.46755490555073,0.00659287485634791,12,-2.72324626654351,0.133333333333333,TRUE
"00592",17,-1.28482899137038,0.0183857636838998,7,NA,0.133333333333333,NA
"00650",25,-1.1446286919506,0.0127979335446754,8,1.0754759686232,0.240963855421687,FALSE
"00670",18,-2.39415069800817,0.00659287485634791,5,NA,0.133333333333333,NA
"00760",20,-2.35071816225763,0.00659287485634791,6,-1.20958377258676,0.133333333333333,TRUE
"00970",13,-1.88165075176452,0.00659287485634791,7,NA,0.133333333333333,NA
"03010",85,-2.40382225459045,0.00659287485634791,47,1.27502637735099,0.240963855421687,FALSE
"03022",32,NA,0.00659287485634791,16,NA,0.133333333333333,NA
"04350",80,1.45030575908102,0.0590916931568961,37,NA,0.133333333333333,NA
"04612",71,NA,0.00659287485634791,32,NA,0.133333333333333,NA
"04621",44,1.43788552351771,0.160808817148312,28,-1.60547354847722,0.133333333333333,FALSE
"04650",118,NA,0.00659287485634791,45,NA,0.133333333333333,NA
"04664",73,NA,0.00659287485634791,30,NA,0.133333333333333,NA
"04977",20,NA,0.00659287485634791,8,1.20534096925698,0.240963855421687,NA
"05140",63,-1.44744175365755,0.00659287485634791,36,NA,0.133333333333333,NA
"05144",48,1.48598014612788,0.0870259481037924,19,NA,0.133333333333333,NA
"05332",38,-2.49401086277495,0.00659287485634791,16,NA,0.133333333333333,NA
