"GeneSymbol","Direction","PValue","FDR","FoldChange","EntrezID","logFC"
"RPS23","up",2.001186e-07,0.003042524,23.29139,6228,4.54172483517755
"RPS15A","up",3.239818e-07,0.003042524,27.3195724,6210,4.77186299794336
"COMMD9","up",5.208201e-07,0.003042524,28.3426327,29099,4.82490186890989
"GDF5","up",7.901646e-07,0.003042524,86.0918979,8200,6.42780556701015
"TMEM115","up",9.107129e-07,0.003042524,17.2645381,11070,4.10973983135184
"PTCH2","up",1.1285294e-06,0.003042524,15.9924382,8643,3.99931800311716
"RPL3","up",1.3046293e-06,0.003042524,22.636819,6122,4.50059933506442
"LSM2","up",1.3252281e-06,0.003042524,23.1314634,57819,4.53178463510004
"ELK4","up",1.3660426e-06,0.003042524,3.9824166,2005,1.99364414906351
"PLA2G10","up",1.5600687e-06,0.003042524,9.5216104,8399,3.25120559870237
"FZD7","up",1.7894888e-06,0.003042524,11.9968397,8324,3.58458250491995
"RPS27A","up",1.9393065e-06,0.003042524,11.4116961,6233,3.51244132763636
"SKP1","up",1.9590317e-06,0.003042524,18.0901024,6500,4.17712866932269
"RPL15","up",2.0957116e-06,0.003042524,8.3960495,6138,3.06971067225108
"PHYHD1","down",2.6343923e-06,0.003550394,45.3285676,254295,5.50234866711881
"CLDN22","up",2.7948982e-06,0.003550394,14.709881,53842,3.87871367041251
"ALG8","up",3.2184338e-06,0.003680587,12.5859967,79053,3.65374756464091
"STOML1","up",3.4958243e-06,0.003680587,4.4255658,9399,2.14586191274868
"NPC2","up",3.5458922e-06,0.003680587,8.4007715,10577,3.07052182647634
"NKX2-5","down",3.621734e-06,0.003680587,91.4912689,1482,6.5155621670743
"HIST3H2A","up",3.8830613e-06,0.003758249,6.7836099,92815,2.76205320829774
"FKBP5","down",4.640838e-06,0.004287501,48.0350761,2289,5.58601636811688
"SDHC","down",5.0348177e-06,0.004449247,39.6236717,6391,5.30829066764242
"GPC4","up",6.2374485e-06,0.005282339,11.3342278,2239,3.50261419862069
"PHF7","down",6.6422755e-06,0.005357961,37.0040618,51533,5.2096117336585
"CYP11A1","up",6.8539726e-06,0.005357961,20.2468318,1583,4.33962426935266
"ERI3","up",7.7183403e-06,0.005810195,13.2846747,79033,3.7316909960735
"EP400","down",8.5906017e-06,0.005889457,2.8532681,57634,1.51261531241847
"KRTAP6-3","down",8.644268e-06,0.005889457,126.3566252,337968,6.98135750021967
"KDELR1","up",8.6929254e-06,0.005889457,27.2790299,10945,4.76972043487465
"FAM117A","down",9.3664609e-06,0.005950633,11.6024435,81558,3.53635676697265
"CIB2","up",9.4201981e-06,0.005950633,7.2630395,10518,2.86057342616831
"DAD1","up",9.6615445e-06,0.005950633,3.7990596,1603,1.92564234531432
"RPL7A","up",1.04478326e-05,0.006245653,17.1511808,6130,4.10023599931237
"IGIP","up",1.10334391e-05,0.006373321,2.7892592,492311,1.47988200721636
"IL18BP","up",1.14098166e-05,0.006373321,13.5228969,10068,3.75733233641712
"TMEM47","up",1.1602109e-05,0.006373321,5.6067085,83604,2.48715406417972
"ARPC3","up",1.2922464e-05,0.006646652,17.2123276,10094,4.10537029917523
"ERH","up",1.2987654e-05,0.006646652,11.5484794,2079,3.52963099791395
"RGPD8","up",1.32212355e-05,0.006646652,4.7627301,727851,2.25178879467625
"STEAP2","up",1.37179738e-05,0.006646652,5.7628222,261729,2.5267755090296
"UNG","up",1.37347785e-05,0.006646652,8.8564734,7374,3.14673233973225
"LEPREL1","up",1.4895484e-05,0.007040714,3.4243153,55214,1.77581554659996
"EIF1","up",1.53118164e-05,0.007059881,3.4707345,10209,1.79524100786795
"RBM12B","up",1.56307337e-05,0.007059881,10.5555145,389677,3.39992499555333
"METTL10","up",1.60435071e-05,0.007088789,3.9956069,399818,1.99841465337124
"PABPC4","up",1.72204692e-05,0.007093208,5.1939995,8761,2.37684587513539
"TMEM91","up",1.72559585e-05,0.007093208,2.3406326,641649,1.2268984979888
"EIF4E3","up",1.74992401e-05,0.007093208,4.1554933,317649,2.05501974997276
"MGST3","up",1.75802546e-05,0.007093208,10.019586,4259,3.32475099383104
"ZNF391","up",1.84340404e-05,0.007093208,2.4526473,346157,1.29433978378315
"C8orf58","up",1.85149135e-05,0.007093208,6.6799075,541565,2.73982812512219
"ACTR2","down",1.86899173e-05,0.007093208,6.8854705,10097,2.78355524039141
"LY96","up",1.91288386e-05,0.007093208,5.86743,23643,2.55272872511568
"GSG1L","down",1.91944134e-05,0.007093208,2.6159816,146395,1.387352393404
"GLI3","up",1.99560058e-05,0.007242961,7.862212,2737,2.97493526572399
"GAB3","up",2.07573987e-05,0.007401651,31.9936939,139716,4.99971566638297
"RPL39","up",2.22784956e-05,0.007570017,20.9872733,6170,4.39144283645314
"NT5DC2","up",2.24986933e-05,0.007570017,3.8508829,64943,1.94518925344966
"RPL9","up",2.25768956e-05,0.007570017,6.1984292,6133,2.63190265541996
"EXOSC2","up",2.27978962e-05,0.007570017,5.4654552,23404,2.45034165828218
"TOR1AIP1","up",2.32467528e-05,0.007570017,3.4927329,26092,1.80435631963537
"LIMS3L","up",2.34642597e-05,0.007570017,5.3339219,100288695,2.41519670090916
"CUTA","up",2.39664402e-05,0.007611217,5.5495766,51596,2.47237770652917
"AXL","up",2.47478949e-05,0.007616007,5.512382,558,2.46267586816006
"TMEM176B","up",2.48224978e-05,0.007616007,11.2410134,28959,3.49070019817308
"PHF5A","up",2.53408232e-05,0.007616007,6.7465031,84844,2.75413990697322
"NIPA1","up",2.5480367e-05,0.007616007,3.7065489,123606,1.89007654479461
"COPS4","up",2.64300459e-05,0.007667464,2.1261288,51138,1.088228997383
"ARL13B","down",2.71878549e-05,0.007667464,4.5910998,200894,2.1988397932788
"NRIP1","down",2.81826231e-05,0.007667464,4.9244058,8204,2.29994965327746
"CACNA1S","up",2.83404148e-05,0.007667464,5.692381,779,2.50903222694084
"SRSF7","up",2.88258538e-05,0.007667464,3.2013058,6432,1.67866049477524
"ATXN2L","up",2.91845566e-05,0.007667464,6.0362505,11273,2.59365267790052
"PTBP1","up",2.93312916e-05,0.007667464,8.1293246,5725,3.02313549538679
"RPS8","up",2.93729135e-05,0.007667464,8.2518218,6202,3.04471266622777
