"Gene","logFC","AveExpr","t","P.Value","adj.P.Val"
"MYH3",2.21444403519805,10.2072388167762,5.51247807129421,1.28773318050807e-05,0.215721062398711
"TREM1",2.33684763913361,9.38504879376144,5.0284159892979,4.25998296051711e-05,0.356816172772913
"CTHRC1",1.44187189614612,13.7594361025437,4.67767028151989,0.000102189512814433,0.365060309566783
"THBS1",2.02010881884656,14.0967130100094,4.64251737229476,0.000111579939059601,0.365060309566783
"FLJ20313",1.28256837280919,8.45178225043942,4.63186941358055,0.000114591676481388,0.365060309566783
"CORO2B",1.25180379104813,8.17848799163823,4.48519380238316,0.00016540824790547,0.365060309566783
"TAC1",2.00327490715915,9.82588788724968,4.46906263679045,0.00017222361352851,0.365060309566783
"ANGPTL5",1.8539404254084,10.2841372449714,4.46419151569599,0.000174336346497986,0.365060309566783
"GDAP1L1",1.11832399503385,8.84190684290392,4.34567947386233,0.000234535668014862,0.403322867744597
"SILV",1.93476273698921,9.12388913115695,4.33521047939311,0.00024076102420284,0.403322867744597
"H63",1.4202944778248,9.66629764237798,4.25866669103947,0.000291573299399973,0.444039628322577
"RGS4",1.72091286582817,10.1719555467765,4.1003470411219,0.000433057665631905,0.594789093660656
"TNFAIP6",1.84115906485361,11.4658595690552,4.03684124124107,0.000507387755294086,0.594789093660656
"CSPG2",1.22585252840772,13.0535547044847,3.9920453415076,0.000567300509877976,0.594789093660656
"THBS2",1.23424592370854,14.7252685805309,3.95486042796616,0.000622318620725922,0.594789093660656
"MYL2",1.09115445955337,8.67326793765186,3.95359639769188,0.000624278907420815,0.594789093660656
"PARP11",1.2832430636063,8.74730156499533,3.95224534065949,0.000626380915251353,0.594789093660656
"CRYBB2",1.25669981967569,10.124150594694,3.94416469231217,0.000639100029005003,0.594789093660656
"MAGEA10",1.17935248612592,8.47971997259408,3.9081717978274,0.000698928761415267,0.604851120772099
"GDF2",1.11738302762316,9.38964871161723,3.89503151609127,0.000722124069689708,0.604851120772099
"KRTAP8-1",1.06074242169961,8.90855195330675,3.86403316368197,0.000779899882079977,0.622137277362084
"ZNF569",1.18923748231692,10.0137430537259,3.82312383753196,0.000863186241552009,0.657181039977301
"MOG",1.13791784329067,9.29678789727788,3.79768291817075,0.000919344896387846,0.657181039977301
"MMP19",1.52599638754084,13.0197009392812,3.72471217812626,0.00110117302761737,0.657181039977301
"SLC2A12",1.51904939210655,9.39902337147261,3.70534565235125,0.00115510155709958,0.657181039977301
"DYRK3",1.03061429849292,12.8379678870458,3.70464618922451,0.0011570971484516,0.657181039977301
"GEM",1.24426378587348,15.1814246785292,3.66946302958762,0.0012619712678325,0.657181039977301
"RP1-223H12.3",1.00227224013368,8.73334246572627,3.64971307266292,0.00132487813494274,0.657181039977301
"SHD1",1.23220137168292,8.78222809308167,3.64903133598988,0.00132710368673332,0.657181039977301
"FLJ35867",1.01461852803052,9.26232352059572,3.631153872149,0.00138679325758177,0.657181039977301
"PPP1R15B",1.32633322492956,10.4229976951132,3.61490302348182,0.0014433329944688,0.657181039977301
