"Gene","logFC","AveExpr","t","P.Value","adj.P.Val"
"SLITRK6",1.03079730416667,8.84901753758333,9.4384704158703,1.58000541658073e-07,0.00379906582597302
"THC2296596",-1.51348293775,7.23647720629167,-9.04281785647129,2.68488890917613e-07,0.00379906582597302
"A_32_P171043",-1.34883325391667,9.14527946170833,-8.6099008541296,4.89066146494982e-07,0.00379906582597302
"H19",-1.97237220141667,10.2192343495417,-8.35905268950661,6.99050967516116e-07,0.00434418233253215
"MGC16121",-1.13615784975,11.7948260184583,-7.60594927097858,2.13773240947884e-06,0.00603851103884787
"WEE1",1.02918274575,8.02977643645833,7.38457224439478,3.00958046219139e-06,0.0061015852234187
"EMX2OS",-1.128178175,12.2306698283333,-7.13036227707842,4.49261316956671e-06,0.00620907860133004
"COLEC12",-1.39768744441667,10.9269562802917,-7.11292408821287,4.61923330960029e-06,0.00620907860133004
"A_23_P123234",1.50769114008333,7.92788125220833,7.0112497926908,5.4362467534598e-06,0.00640825744147039
"ENST00000381802",1.21732900625,7.75029291920833,6.99344833441161,5.59428035415582e-06,0.00640825744147039
"SERPINE1",1.06037041366667,7.18903120341667,6.75266016893182,8.27745922303847e-06,0.00652212208051461
"FMO1",-1.104431085,8.52448906116667,-6.69032093266966,9.1728457449239e-06,0.00681135733002023
"SILV",-1.541353085,9.63352425391667,-6.65062523253987,9.79553615647228e-06,0.00690115844509489
"ENST00000322032",-1.8226146665,8.84281748083333,-6.60591263856666,1.0550405808241e-05,0.00697494062284393
"ARID5A",1.41624426833333,12.0997723366667,6.23405281257453,1.97708593992349e-05,0.00832928205094626
"TNFRSF12A",1.6347403475,11.78102245875,6.2120739666947,2.05308133796741e-05,0.00832928205094626
"SLN",1.38545946358334,7.14173252545833,6.19337609672172,2.12013899834133e-05,0.00832928205094626
"BF475893",1.61807982341667,9.07157927020833,6.01823259455768,2.87164970500265e-05,0.00853743118443771
"ADAMTS4",1.88417706375,10.7974495690417,5.97460449643231,3.09914165052943e-05,0.00853743118443771
"ENST00000331696",-1.44331632858333,8.37588785404167,-5.93878073477436,3.30000096936681e-05,0.00853743118443771
