"PATH","Nh","ES","NES","pvalue","leadingEdge","p.adjust"
"00120",9,-0.281224422982485,NA,0.05,"CYP7B1/CYP27A1/AKR1C4/HSD17B4/SCP2/AMACR/CYP39A1/HSD3B7/AKR1D1",0.133333333333333
"00260",10,-0.204977079240341,-1,0.05,"CTH/SARDH/GATM/PIPOX/PSPH/AMT/GAMT/CBS/AOC2/ALAS1",0.133333333333333
"00310",9,-0.265509903421182,NA,0.05,"HADH/ALDH3A2/EHMT2/SETDB2/PIPOX/ALDH9A1/DLST/SETD2/ASH1L",0.133333333333333
"00380",12,-0.38578578784149,-2.72324626654351,0.05,"ASMT/HADH/ALDH3A2/CAT/ALDH9A1/WARS2/IDO2/AFMID/IL4I1/TPH1/CYP1B1/AANAT",0.133333333333333
"00512",10,-0.282859614052116,-1.19665406271541,0.05,"B3GNT6/GALNT10/C1GALT1/GALNT9/GALNT5/B4GALT5/ST3GAL1/GALNTL6/GALNT14/GCNT4",0.133333333333333
"00592",7,-0.271506626142978,NA,0.05,"PLA2G10/JMJD7-PLA2G4B/PLB1/PLA2G12A/PLA2G4B/PLA2G3/PLA2G4E",0.133333333333333
"00600",17,-0.248457535098481,NA,0.05,"NEU2/SMPD1/ACER1/KDSR/SGPP1/DEGS2/GAL3ST1/SGMS1/SPTLC1/ASAH1/ARSA/ENPP7/SPHK2/GLA/SMPD4/SPHK1/UGCG",0.133333333333333
"00670",5,-0.462137325197574,NA,0.05,"MTHFD2/ATIC/ALDH1L1/AMT/MTHFD1L",0.133333333333333
"00760",6,-0.466623036649215,-1.20958377258676,0.05,"PNP/NADSYN1/NMNAT3/NADK/QPRT/NMNAT2",0.133333333333333
"00910",8,-0.17333545266895,NA,0.05,"ASNS/CTH/CA5B/GLUD2/CA2/AMT/GLUL/CA13",0.133333333333333
"00970",7,-0.267037267178703,NA,0.05,"EARS2/IARS2/PARS2/HARS2/VARS2/WARS2/YARS2",0.133333333333333
