"","Rat_Urethra_Untreated_36hr_M3","Rat_Urethra_Treated_12hr_M3","Rat_Urethra_Treated_72hr_M2","Rat_Urethra_Untreated_24hr_M2","Rat_Urethra_Untreated_12hr_M1","Rat_Urethra_Treated_12hr_M2","Rat_Urethra_Treated_72hr_M3","MSC_24hr_M1","Rat_Urethra_Untreated_24hr_M1","MSC_72hr_M2","Rat_Urethra_Treated_12hr_M1","MSC_24hr_M2","Rat_Urethra_Treated_36hr_M1","Rat_Urethra_Untreated_24hr_M3","MSC_36hr_M2","Rat_Urethra_Untreated_12hr_M2","Rat_Urethra_Untreated_36hr_M2","MSC_12hr_M1","MSC_36hr_M3","MSC_72hr_M1","Rat_Urethra_Untreated_72hr_M3","Rat_Urethra_Treated_24hr_M2","Rat_Urethra_Treated_24hr_M1","Rat_Urethra_Treated_36hr_M3","MSC_12hr_M2","MSC_36hr_M1","Rat_Urethra_Treated_24hr_M3","Rat_Urethra_Untreated_36hr_M1","MSC_12hr_M3","Rat_Urethra_Untreated_72hr_M1","Rat_Urethra_Untreated_12hr_M3","Rat_Urethra_Treated_72hr_M1","MSC_24hr_M3","Rat_Urethra_Treated_36hr_M2","Rat_Urethra_Untreated_72hr_M2","MSC_72hr_M3"
"LOC103690911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC103690912",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC102556279",180,119,2,35,72,0,17,5,0,166,19,1,10,0,0,43,28,4,27,82,11,12,91,33,3,0,534,14,4,37,17,38,3,4,12,0
"LOC103690913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vom2r2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC103690914",9,20,10,28,25,0,15,14,2,14,29,0,14,39,1,26,39,0,35,9,4,0,25,37,0,0,10,9,11,22,18,16,0,14,10,1
"LOC102556463",2,0,2,37,2,0,0,3,0,1,7,0,3,2,0,3,5,0,4,0,0,0,2,7,0,0,1,6,1,0,1,1,0,3,0,0
"LOC100909608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vom2r4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vom2r6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vom2r5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raet1e",0,27,20,23,0,0,0,0,0,0,0,3,1,0,0,0,0,30,14,0,0,0,9,2,0,0,0,0,0,0,8,0,0,0,0,0
"LOC102547056",38,0,1,53,7,0,0,0,0,0,0,14,0,0,0,22,0,0,0,122,0,0,0,25,0,0,0,0,0,0,0,33,0,0,0,0
"LOC102548267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC102547284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100913013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC103690290",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
