GeneID	GSM6339911	GSM6339912	GSM6339913	GSM6339914	GSM6339915	GSM6339916	GSM6339917	GSM6339918	GSM6339919	GSM6339920	GSM6339921	GSM6339922	GSM6339923	GSM6339924	GSM6339925	GSM6339926	GSM6339927	GSM6339928	GSM6339929	GSM6339930	GSM6339931	GSM6339932	GSM6339933	GSM6339934
100287102	17	26	12	18	16	19	10	30	23	15	7	7	19	29	20	13	13	7	8	8	8	9	16	12
653635	643	366	410	541	275	439	666	642	496	533	535	510	270	151	453	454	272	164	528	683	296	407	386	334
102466751	40	16	20	25	13	20	41	39	25	27	19	19	18	6	22	16	8	1	25	37	9	11	11	7
107985730	2	5	0	1	3	0	2	0	2	1	4	1	7	8	1	0	0	1	0	0	3	1	0	3
100302278	0	1	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
645520	7	8	3	3	16	9	8	2	7	3	9	2	14	12	16	6	4	1	0	5	2	1	2	1
79501	2	15	0	7	16	3	2	0	1	4	7	1	21	25	4	1	2	0	1	1	2	0	0	0
100996442	137	191	150	161	151	164	151	95	261	146	189	96	137	98	93	105	80	94	160	92	120	129	149	213
729737	208	602	357	206	371	200	269	150	729	366	545	364	154	128	292	377	222	329	315	160	545	595	414	1068
102725121	28	24	16	23	31	13	8	28	43	10	15	7	18	22	17	10	14	8	9	5	6	10	13	31
102723897	581	366	440	497	262	423	656	658	534	508	484	442	256	140	581	507	325	226	568	666	351	432	401	415
102465909	40	14	13	15	10	14	34	15	18	13	14	16	14	3	15	14	6	1	13	22	6	9	7	3
107985721	11	15	4	6	18	4	8	5	9	9	4	3	21	19	17	5	13	3	1	2	2	2	1	0
112268260	47	40	33	19	48	27	35	13	37	19	24	18	60	72	40	8	20	8	10	10	25	20	19	15
729759	5	4	4	5	8	3	4	1	5	2	3	1	12	9	2	1	3	1	0	1	4	0	2	1
100132287	239	295	411	236	227	189	349	280	490	299	343	276	137	85	338	277	144	117	274	277	262	330	223	318
105378947	10	10	5	9	6	6	7	3	6	1	12	5	5	11	5	0	12	4	1	2	5	2	3	2
101928626	3	2	3	0	4	2	1	1	2	2	2	0	5	9	1	0	4	0	0	1	7	0	2	0
113219467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81399	39	44	30	35	52	22	23	20	55	17	39	10	76	85	31	12	20	7	6	12	22	7	10	5
100133331	250	300	415	324	256	234	310	250	484	307	421	232	135	125	321	252	304	279	245	266	228	286	382	379
107984841	87	69	139	75	53	48	170	51	165	106	120	53	32	20	128	110	29	24	64	67	68	106	65	73
107984847	145	96	241	110	100	94	273	99	264	170	156	96	28	21	263	193	43	35	64	104	144	143	76	145
107984849	51	15	37	20	18	29	68	33	61	30	28	38	15	7	39	40	7	1	29	21	17	30	24	19
100288069	266	148	289	183	192	198	297	173	275	187	251	167	66	63	255	177	73	53	161	203	87	219	157	118
105378580	177	81	157	131	98	107	128	158	193	56	69	66	124	74	117	122	45	18	69	61	58	136	64	76
400728	93	26	74	46	65	78	96	74	98	24	20	36	82	40	49	56	29	10	28	51	38	64	52	45
79854	142	58	72	61	61	62	116	57	143	42	56	54	46	30	56	66	49	16	46	41	36	62	52	45
643837	742	196	704	402	272	487	830	463	543	490	234	357	240	207	605	572	241	218	389	390	588	298	342	325
107984850	4	26	8	11	10	6	6	14	21	8	9	2	17	24	2	3	9	1	1	0	2	0	0	8
284593	4	6	2	4	9	5	4	1	1	7	5	24	5	9	0	2	2	0	4	2	7	4	1	3
284600	249	17	35	49	24	71	320	15	40	17	23	28	27	38	51	84	28	8	41	18	21	32	10	19
100130417	58	27	219	83	145	210	67	8	254	80	17	14	46	94	100	167	168	64	18	96	97	76	95	40
107985728	143	52	565	182	376	471	160	19	676	159	50	44	88	200	203	477	653	172	59	159	331	157	270	134
148398	407	65	675	332	350	1014	281	110	627	432	168	160	155	367	408	932	859	502	170	365	790	250	550	368
26155	949	324	1194	610	323	928	994	701	904	840	1198	1375	243	195	1007	1499	622	887	1847	1965	1968	1424	1499	2017
339451	219	165	154	159	112	178	273	245	192	174	202	273	83	34	177	184	110	132	420	300	175	390	283	295
84069	27	34	95	17	38	64	17	61	64	20	669	1061	27	35	68	33	51	52	1442	1247	729	1885	1481	1526
84808	22	18	129	6	28	22	21	23	62	18	163	328	13	8	61	10	29	31	553	389	150	401	484	610
57801	509	213	1328	195	316	523	466	514	1117	481	792	746	168	205	297	192	320	1606	508	305	809	347	686	721
