ProbeSet,GeneDescription,GeneSymbol,Direction,RMA_pvalue,RMA_FoldChange,MAS5_pvalue,MAS5_FoldChange
41469,"Protease inhibitor 3, skin-derived (SKALP)",PI3,up,0.0001,6.6,0.0001,11.3
200753,"Splicing factor, arginine/serine-rich 2",SFRS2,up,0.0172,1.6,0.0029,1.5
201577,"Non-metastatic cells 1, protein (NM23A) expressed in",NME1,up,0.0023,2,0.0001,1.8
202489,"FXYD domain containing ion transport regulator 3",FXYD3,up,0.0217,2.8,0.0168,8.7
202712,"Creatine kinase, mitochondrial 1 (ubiquitous)",CKMT1A,up,0.0098,2.4,0.0111,3
203362,"MAD2 mitotic arrest deficient-like 1 (yeast)",MAD2L1,up,0.0033,1.2,0.0001,2.6
203691,"Protease inhibitor 3, skin-derived (SKALP)",PI3,up,0.0000,10,0.0001,16.9
203699,"Deiodinase, iodothyronine, type II",DIO2,up,0.0041,1.6,0.0019,3.5
204170,"CDC28 protein kinase regulatory subunit 2",CKS2,up,0.0036,1.7,0.0091,3.2
204240,"SMC2 structural maintenance of chromosomes 2-like 1 (yeast)",SMC2,up,0.0028,1.4,0.0001,2.2
204268,"S100 calcium binding protein A2",S100A2,up,0.0007,5.9,0.0015,6.2
204602,"Dickkopf homolog 1 (Xenopus laevis)",DKK1,up,0.0000,2.9,0.0006,2.8
204636,"Collagen, type XVII, alpha 1",COL17A1,up,0.0089,2.5,0.0108,5.9
204661,"CDW52 antigen (CAMPATH-1 antigen)",CD52,up,0.0133,1.6,0.0066,4.1
205157,"Keratin 17",KRT17,up,0.0134,5.5,0.002,10.3
205403,"Interleukin 1 receptor, type II",IL1R2,up,0.0095,2.7,0.0163,5.4
205569,"Lysosomal-associated membrane protein 3",LAMP3,up,0.0002,1.5,0.0000,7.1
205724,"Plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)",PKP1,up,0.0044,1.9,0.0000,2.8
205891,"Adenosine A2b receptor",ADORA2B,up,0.0181,1.5,0.0005,2.1
205916,"S100 calcium binding protein A7 (psoriasin 1)",S100A7,up,0.0101,9.9,0.0051,10.7
206034,"Serpin peptidase inhibitor, clade B (ovalbumin), member 8",SERPINB8,up,0.0084,1.4,0.0003,2.4
206561,"Aldo-keto reductase family 1, member B10 (aldose reductase)",AKR1B10,up,0.0066,5.1,0.0082,8.1
208936,"Lectin, galactoside-binding, soluble, 8 (galectin 8)",LGALS8,up,0.0215,1.3,0.0086,1.5
