Gene,Penney_p,Cartwright_p,HUNT_p,UKBiobank_p
ABI2,5.59E-01,4.79E-01,1.55E-01,2.55E-04*
ACSL6,2.23E-01,6.88E-01,9.42E-04*,4.29E-02†
ACTN3,4.63E-02†,5.42E-01,7.25E-01,9.93E-04*
ADGRF2,7.84E-01,6.78E-01,8.08E-01,8.25E-04*
ADRA2C,8.19E-01,3.64E-02†,9.46E-01,8.31E-04*
AHNAK2,5.78E-02,6.47E-01,1.54E-02†,1.28E-04*
ANXA4,9.59E-04*,3.22E-01,9.13E-01,9.99E-03†
APOE1,2.95E-01,3.65E-01,2.32E-01,5.40E-04*
AQR,3.37E-04*,2.69E-01,6.92E-01,7.16E-01
ATXN3,6.50E-04*,3.02E-01,6.16E-01,3.63E-03†
AUP1,2.90E-05*,3.91E-01,1.55E-01,2.13E-02†
B4GALT4,2.31E-01,1.36E-04*,1.52E-01,7.89E-01
BBS1,2.09E-01,6.40E-01,7.95E-01,7.32E-04*
BCL22,2.17E-01,4.83E-04*,5.89E-01,7.39E-01
BCL9L,7.95E-04*,8.04E-01,7.94E-02,4.64E-02†
CALD1,1.16E-01,4.39E-01,2.94E-01,7.83E-04*
CARF,2.68E-01,9.21E-01,4.68E-01,1.12E-06*
CCDC102B,2.05E-01,5.99E-04*,5.01E-01,8.74E-01
CCDC142,3.22E-06*,3.51E-01,5.99E-01,6.39E-01
CCDC85A,9.59E-01,7.20E-02,8.87E-04*,3.36E-01
CCN4,3.58E-01,8.36E-01,5.78E-04*,9.10E-02
CCNYL1,4.14E-05*,5.62E-01,4.26E-01,5.11E-01
CDCA4,7.92E-02,6.71E-01,2.56E-02†,1.60E-04*
CDH7,7.92E-04*,9.20E-02,7.96E-01,5.40E-01
CDK8,3.52E-01,6.37E-01,1.58E-01,2.25E-04*
CELF6,3.61E-01,5.84E-01,6.37E-04*,1.74E-02†
CEP170B,2.98E-01,3.01E-01,7.44E-02,5.80E-04*
CFAP46,2.31E-01,6.50E-01,5.44E-01,3.30E-04*
CFAP58,5.85E-01,7.56E-01,5.62E-04*,4.13E-01
CHD8,3.36E-01,1.60E-03†,3.00E-04*,9.61E-01
CKAP2L,9.66E-04*,5.53E-01,2.94E-01,1.58E-01
CLEC4C,9.10E-01,2.35E-04*,1.28E-01,1.78E-01
CLEC4M,5.81E-01,5.27E-01,6.82E-01,7.55E-04*
CORO1C,5.73E-02,3.50E-04*,4.37E-01,5.39E-01
CPSF2,1.42E-04*,5.51E-02,8.58E-01,2.12E-02†
CSTF2T,6.43E-01,3.61E-01,8.59E-01,3.83E-04*
CYP20A1,6.90E-01,8.01E-01,3.36E-01,8.41E-05*
DCTN1,9.11E-06*,4.64E-01,6.42E-01,8.76E-01
DDX20,6.88E-01,8.90E-02,7.07E-04*,7.57E-01
DDX28,2.55E-01,1.05E-01,3.45E-01,5.96E-04*
DDX41,1.77E-01,2.93E-01,2.30E-01,3.61E-04*
DFFB,5.22E-01,1.77E-01,4.68E-04*,5.57E-01
DHX57,5.47E-04*,4.61E-01,6.69E-01,4.85E-01
DMRTA2,5.99E-05*,1.31E-01,6.97E-02,2.33E-01
DOK1,1.06E-04*,1.12E-01,6.03E-01,6.98E-01
DPEP2,2.94E-01,4.84E-01,2.39E-01,6.55E-04*
DPEP3,2.52E-01,4.58E-01,4.24E-01,8.01E-04*
