UniGeneID,GeneSymbol,Ratio,Direction,pvalue
Hs.647017,GTF2IRD2,5.932111,up,0.034239
Hs.235069,RECQL,3.395558,up,0.015258
Hs.356061,MAP1LC3B,3.208002,up,0.005348
Hs.473286,GMEB2,2.953468,up,0.009759
Hs.518545,RNASEL,2.380685,up,0.04623
Hs.480415,MANBA,2.221821,up,0.038349
Hs.444356,GRB2,2.183308,up,0.008162
Hs.655143,SORBS2,2.016173,up,0.046145
Hs.709235,KRT6B,1.987894,up,0.01177
Hs.169474,EIF2B4,1.960206,up,0.038371
Hs.709412,GOSR1,1.867409,up,0.022047
Hs.319171,NFKBIZ,1.804799,up,0.016133
Hs.404119,TSTA3,1.779045,up,0.010681
Hs.1584,COMP,1.758913,up,0.017372
Hs.656294,ZC3H12A,1.680915,up,0.010111
Hs.144949,ZNF313,1.656734,up,0.046411
Hs.654668,ARHGAP26,1.630512,up,0.036348
Hs.654439,APOE,1.628238,up,0.049226
Hs.525629,MTA1,1.555866,up,0.031844
Hs.474938,SLC25A17,1.542131,up,0.037696
Hs.333786,PSMA2,1.541149,up,0.036805
Hs.286233,SPA17,1.51312,up,0.020482
Hs.654961,FUT8,1.51132,up,0.022921
Hs.510375,NUP43,1.503153,up,0.002239
Hs.400740,PPP2R4,0.664608,down,0.049776
Hs.515242,MRPL34,0.660025,down,0.048626
Hs.655346,SEPX1,0.65432,down,0.000242
Hs.534345,RPS6KB2,0.651269,down,0.028548
Hs.140944,FAM50B,0.647378,down,0.021201
Hs.160953,P53AIP1,0.645626,down,0.003759
Hs.519035,LAD1,0.641617,down,0.015545
Hs.591087,POLR1E,0.639707,down,0.009144
Hs.185172,GNB2,0.638545,down,0.0212
Hs.272813,DUOX1,0.634432,down,0.040515
Hs.464336,P4HB,0.623668,down,0.018292
Hs.463059,STAT3,0.620193,down,0.0194
Hs.514132,SOCS7,0.617238,down,0.026342
Hs.6551,ATP6AP1,0.612655,down,0.023411
Hs.405046,CBX4,0.608477,down,0.033348
Hs.524219,TPI1,0.595657,down,0.023796
Hs.591987,TRIM44,0.577011,down,0.049709
Hs.504115,TRIM29,0.572592,down,0.026686
Hs.31130,TM7SF2,0.571697,down,0.048064
Hs.371001,EIF3B,0.551113,down,0.015918
Hs.322852,GAS2L1,0.550244,down,0.048332
Hs.435759,THAP4,0.544458,down,0.02146
Hs.520094,KIAA2013,0.529964,down,0.045973
Hs.43812,STX10,0.524453,down,0.009829
Hs.514220,GRN,0.520197,down,0.03302
Hs.190544,PXK,0.510247,down,0.02241
Hs.282997,GBA,0.504289,down,0.02774
Hs.534141,ADCK2,0.498504,down,0.010302
Hs.18788,HSD17B14,0.461084,down,0.043283
Hs.571177,SYNCRIP,0.452048,down,0.003851
Hs.233325,HFE,0.447993,down,0.006895
Hs.437043,NBEAL2,0.421126,down,0.010815
Hs.655020,MXD4,0.376179,down,0.041045
Hs.407926,RICTOR,0.356741,down,0.002755
Hs.658956,TMEM45A,0.353106,down,0.016515
Hs.436939,BICD2,0.338055,down,0.038393
Hs.515243,FAM125A,0.274239,down,0.027042
Hs.534314,EIF5A,0.244107,down,0.001174
Hs.515642,GPSN2,0.235511,down,0.035891
Hs.465985,ASNA1,0.207862,down,0.035716
Hs.522373,GSN,0.194893,down,0.018788
Hs.408241,NUPL2,0.173719,down,0.019314
