"GeneSymbol","Direction","AvgFoldChange","logFC","AveExpr","t","P.Value","adj.P.Val","B","Testado_no_GSE53868","Significativo_GSE53868_FDR05","Direcao_GSE53868","Concordante"
"FABP4","up",2.4,-0.442437057416667,6.64784424629167,-4.60393253436357,0.00038716135815863,0.0171541932315657,0.291913348479353,TRUE,FALSE,"down",FALSE
"CPA3","up",1.9,-0.601701181666666,11.5333458083333,-3.74760706173335,0.0020887248997808,0.0344850478671567,-1.30788741277776,TRUE,TRUE,"down",FALSE
"DPYSL2","up",1.3,0.247253800833334,11.7857641095833,3.5974942983996,0.00282132913867537,0.0402129995398721,-1.59252406570537,TRUE,FALSE,"up",TRUE
"LAMA3","down",-1.5,0.227728775333335,10.0260282335,3.36833892818566,0.00446998078842411,0.0513651046811812,-2.02701807748685,TRUE,FALSE,"up",FALSE
"SPTBN1","up",1.4,0.244857053083334,10.307991231375,3.1204483616656,0.00735359561824082,0.0678820329916752,-2.49478814125781,TRUE,FALSE,"up",TRUE
"YWHAZ","down",-1.6,0.202001438333334,11.7982177341667,2.99207555119357,0.00950904921190029,0.0784564865926835,-2.73510916907061,TRUE,FALSE,"up",FALSE
"CCNH","up",1.5,0.275990268333333,10.7326480633333,2.9748326916388,0.00984245163240178,0.0800386521474646,-2.76725151889153,TRUE,FALSE,"up",TRUE
"RCOR1","down",-1.6,-0.160251080833332,8.11305094483333,-2.94045266151393,0.0105419126823851,0.0832220985145062,-2.83122922073937,TRUE,FALSE,"down",TRUE
"CDK4","up",1.3,-0.163682297499998,12.27338599625,-2.916053647894,0.0110677208322204,0.0853340500493185,-2.87653983402822,TRUE,FALSE,"down",FALSE
"PDAP1","down",-1.8,0.116012526666667,10.8057652966667,2.90377617347851,0.0113419574062448,0.0863767893448133,-2.89930923359578,TRUE,FALSE,"up",FALSE
"ITGA2B","down",-1.4,-0.107576485583333,6.19537165754167,-2.43300428507949,0.028640123511696,0.146728098558189,-3.75157939110491,TRUE,FALSE,"down",TRUE
