"GeneSymbol","Direction","baseMean","log2FoldChange","padj","Testado_no_POP","Significativo_no_POP_FDR05","Direcao_POP","Concordante"
"PRKCB","down",507.900990970644,-1.35553470868952,0.0071880833257496,TRUE,TRUE,"down",TRUE
"SGCA","down",214.467526630457,-1.19896233137189,0.0285200756696005,TRUE,TRUE,"down",TRUE
"DPP3","up",409.215364302716,0.796137118904506,0.0412529005756057,TRUE,TRUE,"up",TRUE
"NME1","up",141.093320512988,1.02665182726285,0.0412906300040487,TRUE,TRUE,"up",TRUE
"MCM4","up",624.305412797749,0.992178980799551,0.0491367238570415,TRUE,TRUE,"up",TRUE
"SERPINB8","up",206.139639228812,0.904301784783465,0.0549670844980368,TRUE,FALSE,"up",TRUE
"ZNF148","down",759.895020906298,-0.313503500181367,0.10056728708472,TRUE,FALSE,"down",TRUE
"DKK1","up",130.942523863853,0.917248606280485,0.124961198131777,TRUE,FALSE,"up",TRUE
"ADGRE5","down",2427.45412547355,-0.636964901373135,0.14174134085894,TRUE,FALSE,"down",TRUE
"S100A7","up",284.499021956231,1.09601387411744,0.147365728795731,TRUE,FALSE,"up",TRUE
"AKR1B10","up",2000.76707992039,1.01889120264664,0.181848267600718,TRUE,FALSE,"up",TRUE
"ADORA2B","up",274.535061541629,0.749014365654178,0.212776323247475,TRUE,FALSE,"up",TRUE
"RHPN2","down",55.151007900727,0.512233496566642,0.223291503936192,TRUE,FALSE,"up",FALSE
"CKMT1A","up",197.247359520858,0.795119959470954,0.286760869499923,TRUE,FALSE,"up",TRUE
"THSD1","down",198.035898097555,-0.428421733083302,0.297400709553462,TRUE,FALSE,"down",TRUE
"CIRBP","down",3556.84216917057,-0.301405321158551,0.30623203499545,TRUE,FALSE,"down",TRUE
"PBK","up",33.439727207436,0.711706444718727,0.309077343837058,TRUE,FALSE,"up",TRUE
"CAPN6","down",116.577421988005,0.571889110162601,0.314342491270142,TRUE,FALSE,"up",FALSE
"S100A13","down",392.004729997427,0.346315750914314,0.315412791485872,TRUE,FALSE,"up",FALSE
"MAD2L1","up",63.2987466264028,0.546714730166708,0.353170936026617,TRUE,FALSE,"up",TRUE
"CKS2","up",55.5762610091217,0.5601785130696,0.364735009220294,TRUE,FALSE,"up",TRUE
"PKP1","up",11782.515084517,0.852684634390147,0.364735009220294,TRUE,FALSE,"up",TRUE
"SAE1","down",680.668899891571,0.289009298736811,0.378068602678416,TRUE,FALSE,"up",FALSE
"FXYD3","up",746.953784947732,0.689817315144995,0.382738366141358,TRUE,FALSE,"up",TRUE
"USP13","down",389.836190556455,-0.235309890689325,0.384779053745019,TRUE,FALSE,"down",TRUE
"KRT8","up",519.676445974223,0.640859923977278,0.385079522937894,TRUE,FALSE,"up",TRUE
"PTGER2","down",155.401901254003,-0.525356125702317,0.399559036653481,TRUE,FALSE,"down",TRUE
"COL17A1","up",5687.36977699022,0.620274643242646,0.43627514950633,TRUE,FALSE,"up",TRUE
"S100A2","up",1501.23036305829,0.725078266537039,0.439494014758274,TRUE,FALSE,"up",TRUE
"KRT16","up",6725.27887306393,0.819018552961211,0.452979457458318,TRUE,FALSE,"up",TRUE
"KRT17","up",2059.79507567811,0.877438743331443,0.457844811297675,TRUE,FALSE,"up",TRUE
"CDKN1C","down",939.566522927142,0.393538599479398,0.478437802876501,TRUE,FALSE,"up",FALSE
"KRT14","up",14754.7309489661,0.871617303511604,0.489613027995343,TRUE,FALSE,"up",TRUE
"FOXO3","down",3846.30900106133,-0.256694857830708,0.494994541719924,TRUE,FALSE,"down",TRUE
"PI3","up",688.703986008052,0.813236371044321,0.499096977215929,TRUE,FALSE,"up",TRUE
"NISCH","down",4096.19906920045,-0.152181595228801,0.539216256214932,TRUE,FALSE,"down",TRUE
"NPR1","down",1243.86523107322,-0.35709811905563,0.543383968033757,TRUE,FALSE,"down",TRUE
"KCNN3","down",1142.0669940662,-0.319429310072155,0.549596693644561,TRUE,FALSE,"down",TRUE
"LARGE1","down",1361.59751776623,-0.266956365223414,0.550521743141965,TRUE,FALSE,"down",TRUE
"LAMP3","up",46.3735827783746,0.4016399948853,0.554081036481024,TRUE,FALSE,"up",TRUE
"TP63","up",1689.85353935201,0.473684099351744,0.569500068345585,TRUE,FALSE,"up",TRUE
"CLDN1","up",646.456641840279,0.392408457431453,0.598791609804097,TRUE,FALSE,"up",TRUE
"IL1R2","up",388.864161460457,-0.215298017658488,0.730320831382515,TRUE,FALSE,"down",FALSE
