"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0007165",5,1160,191076,20,1.17519748111795e-07,"ECM1/NTF3/INPP4B/PYCARD/PAG1",2.56193050883714e-05,"signal transduction"
"GO:0010803",2,19,191076,20,1.77789465159298e-06,"SPHK1/PYCARD",0.000193790517023634,"regulation of tumor necrosis factor-mediated signaling pathway"
"GO:0035556",3,380,191076,20,8.6752635838903e-06,"SPHK1/PAG1/CCDC68",0.000563343857542751,"intracellular signal transduction"
"GO:0006954",3,403,191076,20,1.03365845420688e-05,"ECM1/SPHK1/PYCARD",0.000563343857542751,"inflammatory response"
"GO:0010506",2,69,191076,20,2.43150044280304e-05,"ULK3/PYCARD",0.000883445160885105,"regulation of autophagy"
"GO:1901224",2,69,191076,20,2.43150044280304e-05,"SPHK1/PYCARD",0.000883445160885105,"positive regulation of non-canonical NF-kappaB signal transduction"
"GO:0051260",2,121,191076,20,7.50006695320024e-05,"PYCARD/BEND3",0.00233573513685379,"protein homooligomerization"
"GO:0051092",2,150,191076,20,0.000115235281638327,"SPHK1/PYCARD",0.00275167962123153,"positive regulation of NF-kappaB transcription factor activity"
"GO:0016055",2,156,191076,20,0.000124623710861057,"GPC4/KREMEN1",0.00275167962123153,"Wnt signaling pathway"
"GO:0045766",2,157,191076,20,0.000126223835836309,"ECM1/SPHK1",0.00275167962123153,"positive regulation of angiogenesis"
"GO:0001773",1,2,191076,20,0.000209330377714312,"PYCARD",0.00285198459420617,"myeloid dendritic cell activation"
"GO:0002415",1,2,191076,20,0.000209330377714312,"PIGR",0.00285198459420617,"immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor"
"GO:0002588",1,2,191076,20,0.000209330377714312,"PYCARD",0.00285198459420617,"positive regulation of antigen processing and presentation of peptide antigen via MHC class II"
"GO:0032365",1,2,191076,20,0.000209330377714312,"FABP3",0.00285198459420617,"intracellular lipid transport"
"GO:0050653",1,2,191076,20,0.000209330377714312,"CSGALNACT1",0.00285198459420617,"chondroitin sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process"
"GO:0030335",2,247,191076,20,0.000311384000644797,"NTF3/SPHK1",0.00285198459420617,"positive regulation of cell migration"
"GO:0002277",1,3,191076,20,0.00031397995532545,"PYCARD",0.00285198459420617,"myeloid dendritic cell activation involved in immune response"
"GO:0019276",1,3,191076,20,0.00031397995532545,"CSGALNACT1",0.00285198459420617,"UDP-N-acetylgalactosamine metabolic process"
"GO:0038195",1,3,191076,20,0.00031397995532545,"SLURP1",0.00285198459420617,"urokinase plasminogen activator signaling pathway"
"GO:0046320",1,3,191076,20,0.00031397995532545,"FABP3",0.00285198459420617,"regulation of fatty acid oxidation"
"GO:0050651",1,3,191076,20,0.00031397995532545,"CSGALNACT1",0.00285198459420617,"dermatan sulfate proteoglycan biosynthetic process"
"GO:0071073",1,3,191076,20,0.00031397995532545,"FABP3",0.00285198459420617,"positive regulation of phospholipid biosynthetic process"
"GO:0090175",1,3,191076,20,0.00031397995532545,"SAPCD2",0.00285198459420617,"regulation of establishment of planar polarity"
"GO:1903978",1,3,191076,20,0.00031397995532545,"SPHK1",0.00285198459420617,"regulation of microglial cell activation"
"GO:0038093",1,4,191076,20,0.000418619126746456,"PIGR",0.00337996183817509,"Fc receptor signaling pathway"
"GO:1900060",1,4,191076,20,0.000418619126746456,"SPHK1",0.00337996183817509,"negative regulation of ceramide biosynthetic process"
"GO:1905686",1,4,191076,20,0.000418619126746456,"S100A10",0.00337996183817509,"positive regulation of plasma membrane repair"
"GO:0001765",1,5,191076,20,0.000523247892957102,"S100A10",0.00393338071257407,"membrane raft assembly"
"GO:0044546",1,5,191076,20,0.000523247892957102,"PYCARD",0.00393338071257407,"NLRP3 inflammasome complex assembly"
"GO:0007231",1,6,191076,20,0.00062786625493827,"PYCARD",0.0040251303081715,"osmosensory signaling pathway"
"GO:0044351",1,6,191076,20,0.00062786625493827,"PYCARD",0.0040251303081715,"macropinocytosis"
"GO:0072537",1,6,191076,20,0.00062786625493827,"ULK3",0.0040251303081715,"fibroblast activation"
"GO:1903575",1,6,191076,20,0.00062786625493827,"DMKN",0.0040251303081715,"cornified envelope assembly"
"GO:2001242",1,6,191076,20,0.00062786625493827,"PYCARD",0.0040251303081715,"regulation of intrinsic apoptotic signaling pathway"
"GO:0000183",1,7,191076,20,0.000732474213670509,"BEND3",0.0040251303081715,"rDNA heterochromatin formation"
"GO:2000404",1,7,191076,20,0.000732474213670509,"ECM1",0.0040251303081715,"regulation of T cell migration"
"GO:0002821",1,8,191076,20,0.000837071770133035,"PYCARD",0.0040251303081715,"positive regulation of adaptive immune response"
"GO:0010466",1,8,191076,20,0.000837071770133035,"ECM1",0.0040251303081715,"negative regulation of peptidase activity"
"GO:0010756",1,8,191076,20,0.000837071770133035,"S100A10",0.0040251303081715,"positive regulation of plasminogen activation"
"GO:0015014",1,8,191076,20,0.000837071770133035,"CSGALNACT1",0.0040251303081715,"heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process"
"GO:0016479",1,8,191076,20,0.000837071770133035,"BEND3",0.0040251303081715,"negative regulation of transcription by RNA polymerase I"
"GO:0044805",1,8,191076,20,0.000837071770133035,"ULK3",0.0040251303081715,"late nucleophagy"
"GO:2001056",1,8,191076,20,0.000837071770133035,"PYCARD",0.0040251303081715,"positive regulation of cysteine-type endopeptidase activity"
"GO:0008285",2,416,191076,20,0.000875390961331779,"FABP3/SLURP1",0.0040251303081715,"negative regulation of cell population proliferation"
"GO:0001775",1,9,191076,20,0.000941658925306177,"SLURP1",0.0040251303081715,"cell activation"
"GO:0003416",1,9,191076,20,0.000941658925306177,"ECM1",0.0040251303081715,"endochondral bone growth"
"GO:0006670",1,9,191076,20,0.000941658925306177,"SPHK1",0.0040251303081715,"sphingosine metabolic process"
"GO:0032651",1,9,191076,20,0.000941658925306177,"SPHK1",0.0040251303081715,"regulation of interleukin-1 beta production"
"GO:0046456",1,9,191076,20,0.000941658925306177,"PYCARD",0.0040251303081715,"icosanoid biosynthetic process"
"GO:0050650",1,9,191076,20,0.000941658925306177,"CSGALNACT1",0.0040251303081715,"chondroitin sulfate proteoglycan biosynthetic process"
"GO:0050863",1,9,191076,20,0.000941658925306177,"PAG1",0.0040251303081715,"regulation of T cell activation"
"GO:0034727",1,10,191076,20,0.00104623568016948,"ULK3",0.00414689778685359,"piecemeal microautophagy of the nucleus"
"GO:0048681",1,10,191076,20,0.00104623568016948,"KREMEN1",0.00414689778685359,"negative regulation of axon regeneration"
"GO:0050764",1,10,191076,20,0.00104623568016948,"SPHK1",0.00414689778685359,"regulation of phagocytosis"
"GO:0150077",1,10,191076,20,0.00104623568016948,"SPHK1",0.00414689778685359,"regulation of neuroinflammatory response"
"GO:0030210",1,11,191076,20,0.00115080203570328,"CSGALNACT1",0.00432542834109164,"heparin biosynthetic process"
"GO:0034454",1,11,191076,20,0.00115080203570328,"CCDC68",0.00432542834109164,"microtubule anchoring at centrosome"
"GO:0098696",1,11,191076,20,0.00115080203570328,"GPC4",0.00432542834109164,"regulation of neurotransmitter receptor localization to postsynaptic specialization membrane"
"GO:0008284",2,486,191076,20,0.00118996101950177,"NTF3/SAPCD2",0.00439680512290485,"positive regulation of cell population proliferation"
"GO:0001960",1,12,191076,20,0.00125535799288667,"ECM1",0.00456113404082158,"negative regulation of cytokine-mediated signaling pathway"
"GO:0038180",1,13,191076,20,0.00135990355269955,"NTF3",0.00478159636271777,"nerve growth factor signaling pathway"
"GO:0050732",1,13,191076,20,0.00135990355269955,"NTF3",0.00478159636271777,"negative regulation of peptidyl-tyrosine phosphorylation"
"GO:0006473",1,14,191076,20,0.00146443871612234,"SPHK1",0.00481738083860603,"protein acetylation"
"GO:0046512",1,14,191076,20,0.00146443871612234,"SPHK1",0.00481738083860603,"sphingosine biosynthetic process"
"GO:0050884",1,14,191076,20,0.00146443871612234,"SLURP1",0.00481738083860603,"neuromuscular process controlling posture"
"GO:0050930",1,14,191076,20,0.00146443871612234,"NTF3",0.00481738083860603,"induction of positive chemotaxis"
"GO:0006915",2,550,191076,20,0.0015182653899055,"PYCARD/KREMEN1",0.00481738083860603,"apoptotic process"
"GO:0002221",1,15,191076,20,0.00156896348413316,"PYCARD",0.00481738083860603,"pattern recognition receptor signaling pathway"
"GO:0003376",1,15,191076,20,0.00156896348413316,"SPHK1",0.00481738083860603,"sphingosine-1-phosphate receptor signaling pathway"
"GO:0006900",1,15,191076,20,0.00156896348413316,"S100A10",0.00481738083860603,"vesicle budding from membrane"
"GO:0032688",1,15,191076,20,0.00156896348413316,"PYCARD",0.00481738083860603,"negative regulation of interferon-beta production"
"GO:0015909",1,16,191076,20,0.00167347785771133,"FABP3",0.00486424230641425,"long-chain fatty acid transport"
"GO:0043647",1,16,191076,20,0.00167347785771133,"INPP4B",0.00486424230641425,"inositol phosphate metabolic process"
"GO:0055091",1,16,191076,20,0.00167347785771133,"FABP3",0.00486424230641425,"phospholipid homeostasis"
"GO:0071901",1,16,191076,20,0.00167347785771133,"PYCARD",0.00486424230641425,"negative regulation of protein serine/threonine kinase activity"
"GO:0002063",1,17,191076,20,0.00177798183783717,"ECM1",0.00496923129036543,"chondrocyte development"
"GO:0030502",1,17,191076,20,0.00177798183783717,"ECM1",0.00496923129036543,"negative regulation of bone mineralization"
"GO:0045987",1,17,191076,20,0.00177798183783717,"SPHK1",0.00496923129036543,"positive regulation of smooth muscle contraction"
"GO:0007154",1,18,191076,20,0.00188247542549003,"KREMEN1",0.00506641534267686,"cell communication"
