"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0019372",2,11,31072,35,6.73623631705982e-05,"HPGD/ALOX12",0.00860949947527583,"lipoxygenase pathway"
"GO:0006607",2,13,31072,35,9.53969210295339e-05,"KPNB1/KPNA2",0.00860949947527583,"NLS-bearing protein import into nucleus"
"GO:1902902",2,13,31072,35,9.53969210295339e-05,"FEZ1/FEZ2",0.00860949947527583,"negative regulation of autophagosome assembly"
"GO:0062009",2,14,31072,35,0.000111217657226483,"SMAD2/TGFB3",0.00860949947527583,"secondary palate development"
"GO:0007179",3,87,31072,35,0.000130052862164287,"HPGD/SMAD2/TGFB3",0.00860949947527583,"transforming growth factor beta receptor signaling pathway"
"GO:0031016",2,17,31072,35,0.000165862865057337,"SMAD2/MET",0.00881707050901797,"pancreas development"
"GO:0006123",2,18,31072,35,0.000186463726776815,"COX4I1/NDUFA4",0.00881707050901797,"mitochondrial electron transport, cytochrome c to oxygen"
"GO:0071549",2,20,31072,35,0.00023122880739947,"EIF4E/FECH",0.00956709190615309,"cellular response to dexamethasone stimulus"
"GO:0061436",2,26,31072,35,0.000393847783166966,"ALOX12/MET",0.0127902880009688,"establishment of skin barrier"
"GO:0007399",4,311,31072,35,0.000403539921755798,"DPYSL2/FEZ1/FEZ2/MET",0.0127902880009688,"nervous system development"
"GO:0001662",2,27,31072,35,0.000425054888249718,"EIF4E/HTR2C",0.0127902880009688,"behavioral fear response"
"GO:0045333",2,31,31072,35,0.000561516430198357,"COX4I1/NDUFA4",0.0154884948663047,"cellular respiration"
"GO:0006413",2,34,31072,35,0.000676007165909868,"EIF2S3/EIF4E",0.0172121824550897,"translational initiation"
"GO:0098609",3,162,31072,35,0.000805479730527162,"ITGA2B/LPP/CTNND1",0.0190438422003208,"cell-cell adhesion"
"GO:0030218",2,40,31072,35,0.000935925818565387,"RCOR1/FECH",0.0206527630630095,"erythrocyte differentiation"
"GO:0006091",2,43,31072,35,0.00108121992387369,"COX4I1/FECH",0.0220388887888139,"generation of precursor metabolites and energy"
"GO:0010718",2,44,31072,35,0.00113190667495419,"SMAD2/TGFB3",0.0220388887888139,"positive regulation of epithelial to mesenchymal transition"
"GO:0010999",1,2,31072,35,0.00225159953080423,"FECH",0.0223461522794647,"regulation of eIF2 alpha phosphorylation by heme"
"GO:0031291",1,2,31072,35,0.00225159953080423,"KPNB1",0.0223461522794647,"Ran protein signal transduction"
"GO:0042704",1,2,31072,35,0.00225159953080423,"TGFB3",0.0223461522794647,"uterine wall breakdown"
"GO:0046501",1,2,31072,35,0.00225159953080423,"FECH",0.0223461522794647,"protoporphyrinogen IX metabolic process"
"GO:0048340",1,2,31072,35,0.00225159953080423,"SMAD2",0.0223461522794647,"paraxial mesoderm morphogenesis"
"GO:0051654",1,2,31072,35,0.00225159953080423,"FEZ1",0.0223461522794647,"establishment of mitochondrion localization"
"GO:0075506",1,2,31072,35,0.00225159953080423,"KPNA2",0.0223461522794647,"entry of viral genome into host nucleus through nuclear pore complex via importin"
"GO:0086001",1,2,31072,35,0.00225159953080423,"DMD",0.0223461522794647,"cardiac muscle cell action potential"
"GO:0098739",1,2,31072,35,0.00225159953080423,"SLC6A6",0.0223461522794647,"import across plasma membrane"
"GO:0099180",1,2,31072,35,0.00225159953080423,"SLC30A3",0.0223461522794647,"zinc ion import into synaptic vesicle"
"GO:0099578",1,2,31072,35,0.00225159953080423,"EIF4E",0.0223461522794647,"regulation of translation at postsynapse, modulating synaptic transmission"
"GO:1900224",1,2,31072,35,0.00225159953080423,"SMAD2",0.0223461522794647,"positive regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry"
"GO:1902686",1,2,31072,35,0.00225159953080423,"PPIF",0.0223461522794647,"mitochondrial outer membrane permeabilization involved in programmed cell death"
"GO:1904960",1,2,31072,35,0.00225159953080423,"NDUFA4",0.0223461522794647,"positive regulation of cytochrome-c oxidase activity"
"GO:0007565",2,70,31072,35,0.00283704852742495,"HPGD/TGFB3",0.0223461522794647,"female pregnancy"
"GO:0006404",1,3,31072,35,0.00337555170384662,"KPNB1",0.0223461522794647,"RNA import into nucleus"
"GO:0006610",1,3,31072,35,0.00337555170384662,"KPNB1",0.0223461522794647,"ribosomal protein import into nucleus"
"GO:0007079",1,3,31072,35,0.00337555170384662,"KPNB1",0.0223461522794647,"mitotic chromosome movement towards spindle pole"
"GO:0007208",1,3,31072,35,0.00337555170384662,"HTR2C",0.0223461522794647,"phospholipase C-activating serotonin receptor signaling pathway"
"GO:0007352",1,3,31072,35,0.00337555170384662,"SMAD2",0.0223461522794647,"zygotic specification of dorsal/ventral axis"
"GO:0010513",1,3,31072,35,0.00337555170384662,"HTR2C",0.0223461522794647,"positive regulation of phosphatidylinositol biosynthetic process"
"GO:0014809",1,3,31072,35,0.00337555170384662,"DMD",0.0223461522794647,"regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion"
