"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0030216",4,65,191076,56,4.41830948403665e-09,"KRT14/KRT16/S100A7/TP63",1.71639696495096e-06,"keratinocyte differentiation"
"GO:0000122",7,969,191076,56,1.57748081936936e-08,"CDKN1C/CHD3/FOXO3/UBE2I/ZNF148/TP63/DKK1",1.71639696495096e-06,"negative regulation of transcription by RNA polymerase II"
"GO:0006915",6,550,191076,56,1.59057574182116e-08,"CASP1/FOXO3/PRKCB/TP63/TNFRSF25/NISCH",1.71639696495096e-06,"apoptotic process"
"GO:0045892",6,553,191076,56,1.64248513392437e-08,"CDKN1C/CHD3/TLE1/UBE2I/ZNF148/TP63",1.71639696495096e-06,"negative regulation of DNA-templated transcription"
"GO:0007165",7,1160,191076,56,5.34348339235563e-08,"CASP1/PKP1/PRKCB/TLE1/TNFRSF25/HBS1L/RHPN2",4.46715211600931e-06,"signal transduction"
"GO:0032496",4,134,191076,56,8.25486969905258e-08,"DIO2/PTGER2/S100A7/CLDN1",5.75089255700663e-06,"response to lipopolysaccharide"
"GO:0061436",3,33,191076,56,1.29269738406521e-07,"KRT16/TP63/CLDN1",7.71925009341799e-06,"establishment of skin barrier"
"GO:0043123",4,196,191076,56,3.78181048962511e-07,"CASP1/PRKCB/S100A13/UBE2I",1.97599598082912e-05,"positive regulation of canonical NF-kappaB signal transduction"
"GO:0033209",3,54,191076,56,5.85123372990206e-07,"FOXO3/KRT8/TNFRSF25",2.71757299899895e-05,"tumor necrosis factor-mediated signaling pathway"
"GO:0045109",3,68,191076,56,1.17879372904778e-06,"KRT14/KRT16/KRT17",4.40453110437297e-05,"intermediate filament organization"
"GO:0010753",2,6,191076,56,1.26445869025061e-06,"ADORA2B/NPR1",4.40453110437297e-05,"positive regulation of cGMP-mediated signaling"
"GO:0045110",2,6,191076,56,1.26445869025061e-06,"KRT14/PKP1",4.40453110437297e-05,"intermediate filament bundle assembly"
"GO:0045893",5,689,191076,56,1.97140498619287e-06,"CDKN1C/CHD3/FOXO3/PRKCB/TP63",5.97567079407726e-05,"positive regulation of DNA-templated transcription"
"GO:0008544",3,81,191076,56,2.00142084012157e-06,"COL17A1/KRT14/S100A7",5.97567079407726e-05,"epidermis development"
"GO:0030855",3,94,191076,56,3.1358931290058e-06,"KRT14/KRT16/KRT17",8.7386888528295e-05,"epithelial cell differentiation"
"GO:0051301",4,350,191076,56,3.76971095814593e-06,"CKS2/MAD2L1/UBE2I/SMC2",9.84836987815624e-05,"cell division"
"GO:0042633",2,13,191076,56,6.56651952609889e-06,"KRT14/KRT16",0.000161459127171137,"hair cycle"
