"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0030216",3,65,191076,35,2.43977645101148e-07,"KRT14/KRT16/S100A7",2.90767024414314e-05,"keratinocyte differentiation"
"GO:0045109",3,68,191076,35,2.79820925369576e-07,"KRT14/KRT16/KRT17",2.90767024414314e-05,"intermediate filament organization"
"GO:0008544",3,81,191076,35,4.7560416509355e-07,"COL17A1/KRT14/S100A7",2.90767024414314e-05,"epidermis development"
"GO:0045110",2,6,191076,35,4.88684074645906e-07,"KRT14/PKP1",2.90767024414314e-05,"intermediate filament bundle assembly"
"GO:0030855",3,94,191076,35,7.45990393902028e-07,"KRT14/KRT16/KRT17",3.55091427497366e-05,"epithelial cell differentiation"
"GO:0032496",3,134,191076,35,2.17112009286562e-06,"DIO2/PTGER2/S100A7",8.6121097017003e-05,"response to lipopolysaccharide"
"GO:0042633",2,13,191076,35,2.53910994785035e-06,"KRT14/KRT16",8.63297382269119e-05,"hair cycle"
"GO:0045892",4,553,191076,35,3.38398136709361e-06,"CDKN1C/CHD3/TLE1/UBE2I",0.000100673445671035,"negative regulation of DNA-templated transcription"
"GO:0043123",3,196,191076,35,6.78993894631407e-06,"CASP1/S100A13/UBE2I",0.000179556163246972,"positive regulation of canonical NF-kappaB signal transduction"
"GO:0043303",2,24,191076,35,8.97317219741273e-06,"ADORA2B/S100A13",0.000213561498298423,"mast cell degranulation"
"GO:0000122",4,969,191076,35,3.03683679330838e-05,"CDKN1C/CHD3/UBE2I/DKK1",0.000657061051643087,"negative regulation of transcription by RNA polymerase II"
"GO:0030178",2,47,191076,35,3.50520039320123e-05,"TLE1/DKK1",0.00069519807798491,"negative regulation of Wnt signaling pathway"
"GO:0016925",2,53,191076,35,4.46515442199092e-05,"UBE2I/SAE1",0.000817466732641415,"protein sumoylation"
"GO:0031424",2,75,191076,35,8.96914013387961e-05,"KRT16/KRT17",0.00146245907474922,"keratinization"
"GO:0045727",2,78,191076,35,9.70271443890491e-05,"CIRBP/KRT17",0.00146245907474922,"positive regulation of translation"
"GO:0010628",3,482,191076,35,9.83165764537289e-05,"PKP1/TLE1/DKK1",0.00146245907474922,"positive regulation of gene expression"
"GO:0007189",2,125,191076,35,0.000249052976240267,"ADORA2B/PTGER2",0.00348674166736374,"adenylate cyclase-activating G protein-coupled receptor signaling pathway"
"GO:0090090",2,137,191076,35,0.000298964925549919,"TLE1/DKK1",0.00395298068227116,"negative regulation of canonical Wnt signaling pathway"
"GO:0016488",1,2,191076,35,0.000366313781317351,"AKR1B10",0.0039628490887968,"farnesol catabolic process"
"GO:0071624",1,2,191076,35,0.000366313781317351,"S100A7",0.0039628490887968,"positive regulation of granulocyte chemotaxis"
"GO:0140970",1,2,191076,35,0.000366313781317351,"CASP1",0.0039628490887968,"AIM2 inflammasome complex assembly"
"GO:1902746",1,2,191076,35,0.000366313781317351,"CDKN1C",0.0039628490887968,"regulation of lens fiber cell differentiation"
"GO:0030336",2,178,191076,35,0.000503161136377327,"KRT16/NISCH",0.00450904776659034,"negative regulation of cell migration"
"GO:0042662",1,3,191076,35,0.000549421786685378,"DKK1",0.00450904776659034,"negative regulation of mesodermal cell fate specification"
"GO:0140448",1,3,191076,35,0.000549421786685378,"CASP1",0.00450904776659034,"signaling receptor ligand precursor processing"
"GO:1902373",1,3,191076,35,0.000549421786685378,"PKP1",0.00450904776659034,"negative regulation of mRNA catabolic process"
"GO:1904030",1,3,191076,35,0.000549421786685378,"CDKN1C",0.00450904776659034,"negative regulation of cyclin-dependent protein kinase activity"
"GO:1904338",1,3,191076,35,0.000549421786685378,"DKK1",0.00450904776659034,"regulation of dopaminergic neuron differentiation"
"GO:1904977",1,3,191076,35,0.000549421786685378,"LGALS8",0.00450904776659034,"lymphatic endothelial cell migration"
"GO:0042981",2,196,191076,35,0.000609124580908593,"CASP1/NME1",0.00483238834187484,"regulation of apoptotic process"
"GO:0090082",1,4,191076,35,0.000732497209363525,"DKK1",0.00528285866147027,"positive regulation of heart induction by negative regulation of canonical Wnt signaling pathway"
"GO:0090244",1,4,191076,35,0.000732497209363525,"DKK1",0.00528285866147027,"Wnt signaling pathway involved in somitogenesis"
"GO:0140447",1,4,191076,35,0.000732497209363525,"CASP1",0.00528285866147027,"cytokine precursor processing"
"GO:0002090",1,5,191076,35,0.000915540054980291,"DKK1",0.00575478628175001,"regulation of receptor internalization"
"GO:0032690",1,5,191076,35,0.000915540054980291,"IL1R2",0.00575478628175001,"negative regulation of interleukin-1 alpha production"
"GO:1902975",1,5,191076,35,0.000915540054980291,"MCM4",0.00575478628175001,"mitotic DNA replication initiation"
"GO:0007231",1,6,191076,35,0.00109855032916151,"CASP1",0.00575478628175001,"osmosensory signaling pathway"
"GO:0010753",1,6,191076,35,0.00109855032916151,"ADORA2B",0.00575478628175001,"positive regulation of cGMP-mediated signaling"
"GO:0031581",1,6,191076,35,0.00109855032916151,"COL17A1",0.00575478628175001,"hemidesmosome assembly"
"GO:0032730",1,6,191076,35,0.00109855032916151,"S100A13",0.00575478628175001,"positive regulation of interleukin-1 alpha production"
"GO:0051546",1,6,191076,35,0.00109855032916151,"KRT16",0.00575478628175001,"keratinocyte migration"
"GO:0055123",1,6,191076,35,0.00109855032916151,"CDKN1C",0.00575478628175001,"digestive system development"
"GO:0060087",1,6,191076,35,0.00109855032916151,"ADORA2B",0.00575478628175001,"relaxation of vascular associated smooth muscle"
"GO:0060669",1,6,191076,35,0.00109855032916151,"CDKN1C",0.00575478628175001,"embryonic placenta morphogenesis"
"GO:0110095",1,6,191076,35,0.00109855032916151,"AKR1B10",0.00575478628175001,"cellular detoxification of aldehyde"
"GO:0007165",3,1160,191076,35,0.00126353589610315,"CASP1/PKP1/TLE1",0.00575478628175001,"signal transduction"
"GO:0007127",1,7,191076,35,0.00128152803753256,"CKS2",0.00575478628175001,"meiosis I"
"GO:0009624",1,7,191076,35,0.00128152803753256,"PTGER2",0.00575478628175001,"response to nematode"
"GO:0043269",1,7,191076,35,0.00128152803753256,"FXYD3",0.00575478628175001,"regulation of monoatomic ion transport"
"GO:0051798",1,7,191076,35,0.00128152803753256,"KRT17",0.00575478628175001,"positive regulation of hair follicle development"
"GO:0061743",1,7,191076,35,0.00128152803753256,"DKK1",0.00575478628175001,"motor learning"
"GO:0098883",1,7,191076,35,0.00128152803753256,"DKK1",0.00575478628175001,"synapse pruning"
"GO:2000660",1,7,191076,35,0.00128152803753256,"IL1R2",0.00575478628175001,"negative regulation of interleukin-1-mediated signaling pathway"
"GO:0006271",1,8,191076,35,0.00146447318571796,"MCM4",0.00603196639205258,"DNA strand elongation involved in DNA replication"
"GO:0032741",1,8,191076,35,0.00146447318571796,"CASP1",0.00603196639205258,"positive regulation of interleukin-18 production"
"GO:0033673",1,8,191076,35,0.00146447318571796,"CDKN1C",0.00603196639205258,"negative regulation of kinase activity"
"GO:1902949",1,8,191076,35,0.00146447318571796,"DKK1",0.00603196639205258,"positive regulation of tau-protein kinase activity"
"GO:0001514",1,9,191076,35,0.00164738577934209,"DIO2",0.00603196639205258,"selenocysteine incorporation"
