"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0010273",6,13,31072,534,3.88098741009399e-08,"MT1A/MT1B/MT1G/MT1H/MT1X/MT2A",7.14101683457295e-05,"detoxification of copper ion"
"GO:0045444",10,67,31072,534,2.13079409069744e-07,"CEBPD/EGR2/FOSL2/GDF10/ID4/JDP2/KLF4/NR4A1/NR4A2/NR4A3",0.000161908703068396,"fat cell differentiation"
"GO:0045926",6,17,31072,534,2.63981581089777e-07,"MT1A/MT1B/MT1G/MT1H/MT1X/MT2A",0.000161908703068396,"negative regulation of growth"
"GO:0071280",6,22,31072,534,1.47931297222778e-06,"MT1A/MT1B/MT1G/MT1H/MT1X/MT2A",0.000518207316624515,"cellular response to copper ion"
"GO:0071294",6,22,31072,534,1.47931297222778e-06,"MT1A/MT1B/MT1G/MT1H/MT1X/MT2A",0.000518207316624515,"cellular response to zinc ion"
"GO:0010838",5,13,31072,534,1.68980646725385e-06,"AREG/CDH3/HAS2/LRG1/MDK",0.000518207316624515,"positive regulation of keratinocyte proliferation"
"GO:0045944",39,1005,31072,534,2.40481583928993e-06,"ARID5A/ATF3/BCL3/CDON/CEBPD/CREM/CSF3/EGR2/EGR3/ETS2/FOSL1/FOSL2/FOXC1/GLI1/HAND2/HOXA9/HOXB5/ID4/IGF2/IL6/INHBA/JUND/KLF10/KLF4/LMO3/MAFF/MYB/NANOG/NCOA7/NFATC2/NR4A1/NR4A2/NR4A3/PPARGC1A/RIPK1/SERTAD1/SIX1/WNT2/ZC3H12A",0.000632123020613353,"positive regulation of transcription by RNA polymerase II"
"GO:0035924",6,27,31072,534,5.45571004799007e-06,"EGR3/FLT1/GAS1/MT1G/NR4A1/SPHK1",0.0012488778853555,"cellular response to vascular endothelial growth factor stimulus"
"GO:0006357",41,1125,31072,534,6.10864183054322e-06,"ARID5A/ATF3/CEBPD/CREB5/CREM/EGR2/EGR3/EMX2/ETS2/FOSL1/FOSL2/FOXC1/GLI1/HAND2/HOXA9/HOXB5/INHBA/JDP2/JUND/KLF10/KLF4/KLF9/MAFF/MAFK/MSX2/NANOG/NCOA7/NFATC2/NFIL3/NR4A1/NR4A2/NR4A3/PDLIM1/SALL3/SIX1/SOD2/TOX/TSC22D2/ZNF30/ZNF331/ZNF540",0.0012488778853555,"regulation of transcription by RNA polymerase II"
"GO:0032496",11,122,31072,534,8.78278043608365e-06,"DUSP10/EPO/F2R/FMO1/FOSL2/PTGS2/SELE/SLPI/SOD2/THBD/TRIB1",0.00161603160023939,"response to lipopolysaccharide"
"GO:0071276",6,31,31072,534,1.28015444319824e-05,"MT1A/MT1B/MT1G/MT1H/MT1X/MT2A",0.00214134925044069,"cellular response to cadmium ion"
"GO:0001649",10,106,31072,534,1.50574139732431e-05,"FGF9/FOSL2/GDF10/GLI1/HAND2/ID4/IGF2/MSX2/SNAI1/SNAI2",0.00219779290500504,"osteoblast differentiation"
"GO:0006882",6,32,31072,534,1.55278846549269e-05,"MT1A/MT1B/MT1G/MT1H/MT1X/MT2A",0.00219779290500504,"intracellular zinc ion homeostasis"
"GO:0010628",19,372,31072,534,2.85312672030115e-05,"ACTA1/ANK3/ATF3/CDH3/FGF9/FOXC1/HAND2/ID4/IL6/INHBA/ITGB3/KLF4/LDLR/LMNA/NFATC2/NFIL3/PPARGC1A/RIPK1/ZC3H12A",0.00374982368953865,"positive regulation of gene expression"
"GO:0000122",31,808,31072,534,3.25367737876251e-05,"ARID5A/ATF3/CREM/DNAJB4/EPO/ETS2/FGF9/FOXC1/GADD45A/ID4/IGF2/JDP2/JUND/KLF10/KLF4/MAFF/MAFK/MSX2/MYB/NANOG/NFATC2/NFIL3/NR4A2/NR4A3/PLK3/SIX1/SKIL/SNAI1/SNAI2/ZNF177/ZNF550",0.00385947101677918,"negative regulation of transcription by RNA polymerase II"
"GO:0043065",15,251,31072,534,3.35606175372103e-05,"FOSL1/GADD45A/GADD45B/GZMA/IL6/MCL1/NR4A1/PHLDA1/PHLDA2/PTGS2/RHOB/RIPK1/RNF122/STK17B/TNFRSF12A",0.00385947101677918,"positive regulation of apoptotic process"
"GO:0060536",3,5,31072,534,4.91941413542157e-05,"HAND2/SNAI1/SNAI2",0.00502873444954205,"cartilage morphogenesis"
"GO:0071376",3,5,31072,534,4.91941413542157e-05,"NR4A1/NR4A2/NR4A3",0.00502873444954205,"cellular response to corticotropin-releasing hormone stimulus"
"GO:0030335",13,202,31072,534,5.21707960211736e-05,"F2R/FAM107A/FLT1/HAS2/HBEGF/KIT/MDK/NEDD9/NTF3/SNAI1/SNAI2/SOD2/SPHK1",0.00505232971994524,"positive regulation of cell migration"
"GO:0008285",17,325,31072,534,5.54261935672205e-05,"ADAMTS1/CDKN1A/CDKN2A/DLC1/F2R/FOSL1/IL6/INHBA/ITGA1/KLF10/KLF4/LMNA/MSX2/PTGS2/SOD2/SSTR2/TGFB2",0.00509920980818429,"negative regulation of cell population proliferation"
"GO:1900745",5,25,31072,534,5.88186714631719e-05,"GADD45A/GADD45B/HAND2/SPHK1/ZC3H12A",0.00515363597582077,"positive regulation of p38MAPK cascade"
"GO:0008284",19,394,31072,534,6.1736676185484e-05,"AREG/ATF3/CSF3/EPO/F2R/FGF9/FLT1/FOSL1/GLI1/GLP2R/HAS2/HBEGF/IGF2/IL6/NTF3/PTN/SERTAD1/TGFB2/WNT2",0.00516343109914957,"positive regulation of cell population proliferation"
"GO:0090399",4,14,31072,534,7.52986602764217e-05,"CDKN1A/CDKN2A/MME/SERPINE1",0.00602389282211374,"replicative senescence"
"GO:0006955",15,272,31072,534,8.3474943305039e-05,"CCR2/CCR5/CSF3/CTSG/GEM/GZMA/IGHA1/IGKC/IGKV1-5/IGLL1/IGLV2-14/IL1R1/MS4A2/NFIL3/SLPI",0.00621520157166749,"immune response"
"GO:0050731",8,82,31072,534,8.44456735280909e-05,"AREG/CSF3/HBEGF/IGF2/IL6/ITGB3/NTF3/THBS4",0.00621520157166749,"positive regulation of peptidyl-tyrosine phosphorylation"
"GO:0051781",6,43,31072,534,8.90236263074504e-05,"FGF9/IGF2/MDK/PTN/TGFB2/THBS4",0.00630013355406572,"positive regulation of cell division"
"GO:0010718",6,44,31072,534,0.000101594778486004,"FOXC1/IL6/LRG1/MDK/SNAI1/TGFB2",0.00692349601534249,"positive regulation of epithelial to mesenchymal transition"
"GO:2000379",5,29,31072,534,0.000124226382713248,"AKR1C1/CDKN1A/GADD45A/RIPK1/ZC3H12A",0.0081634480068706,"positive regulation of reactive oxygen species metabolic process"
"GO:0048661",6,47,31072,534,0.000147956601728424,"HBEGF/IL6/ITGB3/MYB/NR4A3/PTGS2",0.00938759128207931,"positive regulation of smooth muscle cell proliferation"
"GO:0016477",12,205,31072,534,0.0002434992141329,"EPHB3/FAM83D/FLT1/FOXC1/ITGB3/NEDD9/NFATC2/RND1/RND2/RND3/SDC2/TGFB2",0.0146608829289051,"cell migration"
"GO:0016525",7,73,31072,534,0.000260529775083627,"ADAMTS1/CCR2/FOXC1/GADD45A/KLF4/TGFB2/THBS4",0.0146608829289051,"negative regulation of angiogenesis"
"GO:0030154",19,441,31072,534,0.000263225223614305,"APOLD1/BMP8B/CPNE5/CREM/ETS2/FGF9/FLT1/FOXC1/GADD45B/ID4/INHBA/MDK/NANOG/RHOB/SLC2A14/SYT1/TNFRSF12A/TTLL7/ZC3H12A",0.0146608829289051,"cell differentiation"
"GO:0150077",3,8,31072,534,0.000265054726065432,"IL6/PTGS2/SPHK1",0.0146608829289051,"regulation of neuroinflammatory response"
"GO:0006915",19,445,31072,534,0.000294524675707751,"COMP/CYFIP2/DLC1/EMP1/GADD45A/GADD45B/GZMA/GZMH/NR4A1/PHLDA1/PHLDA2/PLK3/PPP1R15A/RHOB/RIPK1/SIX1/STK17B/TNFRSF12A/ZC3H12A",0.0146608829289051,"apoptotic process"
"GO:0060282",2,2,31072,534,0.000294811232809504,"PDE3A/PDE5A",0.0146608829289051,"positive regulation of oocyte development"
"GO:0061756",2,2,31072,534,0.000294811232809504,"CCR2/LRG1",0.0146608829289051,"leukocyte adhesion to vascular endothelial cell"
"GO:1905337",2,2,31072,534,0.000294811232809504,"BAG3/HSPB8",0.0146608829289051,"positive regulation of aggrephagy"
"GO:0001525",12,211,31072,534,0.000316899658213996,"APOLD1/EPHB3/FGF9/FLT1/FOXC1/HAND2/PTGS2/RAMP1/RHOB/SERPINE1/TNFRSF12A/ZC3H12A",0.0153446150293093,"angiogenesis"
"GO:0010863",3,9,31072,534,0.000392507321824876,"ABL2/FLT1/KIT",0.0180553368039443,"positive regulation of phospholipase C activity"
"GO:0070837",3,9,31072,534,0.000392507321824876,"SLC2A1/SLC2A14/SLC2A3",0.0180553368039443,"dehydroascorbic acid transport"
"GO:2000134",5,37,31072,534,0.000407233344263741,"CDKN1A/FAM107A/INHBA/KLF4/WEE1",0.0182758378889094,"negative regulation of G1/S transition of mitotic cell cycle"
"GO:0009611",6,57,31072,534,0.000432651596032929,"CCR2/F2R/FOSL1/GLI1/MDK/TGFB2",0.0189542603976331,"response to wounding"
"GO:0060038",4,22,31072,534,0.000493388511769613,"FGF9/FOXC1/TGFB2/WNT2",0.0211124386431648,"cardiac muscle cell proliferation"
"GO:0045599",5,39,31072,534,0.00052293699151009,"ID4/IL6/JDP2/MSX2/SOD2",0.0218682741904219,"negative regulation of fat cell differentiation"
