"GO_ID","TERM","GeneRatio","BgRatio","Count","pvalue","p.adjust","geneID"
"GO:0007186","G protein-coupled receptor signaling pathway","26/624","454/25792",26,5.19124567690734e-05,0.0819559494979613,"NMUR1/GIPC1/GPR182/ADRA1D/ADRA1A/ADRA2C/AGTR2/TAS2R31/TAS2R46/TAS2R19/TAS2R20/TAS2R50/CMKLR2/GPR171/RGS7BP/NPY5R/PDE3A/PGR/PLCB4/GPRC5D/PTGDR/RGS18/GPR157/RGS5/GPRC5A/RGS6"
"GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste","5/624","21/25792",5,0.000120343254963541,0.0819559494979613,"TAS2R31/TAS2R46/TAS2R20/TAS2R50/PIGR"
"GO:0032148","activation of protein kinase B activity","5/624","23/25792",5,0.000191190536139593,0.0819559494979613,"ADRA2C/MIR143/NTF3/NTRK3/TXN"
"GO:0006940","regulation of smooth muscle contraction","4/624","13/25792",4,0.000203870521139207,0.0819559494979613,"ADRA2C/MIR143/MIR145/ATP1A2"
"GO:0006665","sphingolipid metabolic process","4/624","15/25792",4,0.000374491134442994,0.120436348836867,"ACER1/ALOX12B/ALOXE3/PSAPL1"
"GO:0006396","RNA processing","19/624","332/25792",19,0.000516871649929448,0.121798087557972,"MIR6516/ADARB1/SNORA63B/RBPMS/SNORD139/SNORD83B/SNORA74A/SNORA63/SNORD10/SNORA8/SCARNA16/SNORA5C/SNORA12/SNORA16A/SNORD17/SNORD31/SNORD26/SNORD22/SNORD46"
"GO:0019229","regulation of vasoconstriction","4/624","18/25792",4,0.000792453089276904,0.121798087557972,"ADRA2C/KCNA5/ASIC2/ATP1A2"
"GO:0051145","smooth muscle cell differentiation","4/624","18/25792",4,0.000792453089276904,0.121798087557972,"HEY2/MEF2C/WNT4/ITGA8"
"GO:0033138","positive regulation of peptidyl-serine phosphorylation","8/624","82/25792",8,0.000830387548075863,0.121798087557972,"SH2D3C/ANGPT1/IL11/NTF3/NTRK3/TXN/VEGFA/TCL1A"
"GO:0007219","Notch signaling pathway","9/624","104/25792",9,0.000957934976768002,0.121798087557972,"HEY2/SUSD5/HOXD3/KCNA5/ANGPT4/PLN/NLE1/WDR12/SORBS2"
"GO:0030216","keratinocyte differentiation","7/624","65/25792",7,0.000969151338894834,0.121798087557972,"CDSN/TXNIP/ACER1/SLC39A2/POU3F1/SPRR2F/TGM3"
"GO:0150104","transport across blood-brain barrier","8/624","84/25792",8,0.000973883043211695,0.121798087557972,"SLC27A4/SLC7A8/ATP1A2/ATP1B2/ABCB1/SLC2A4/SLC6A1/ABCG2"
"GO:0006941","striated muscle contraction","4/624","19/25792",4,0.00098468603125226,0.121798087557972,"DTNA/RYR2/RYR3/CASQ2"
"GO:0006937","regulation of muscle contraction","3/624","9/25792",3,0.00106167462597921,0.121940914183898,"MYL9/ATP1A2/TPM1"
"GO:0010881","regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion","4/624","20/25792",4,0.00120747118577593,0.12657434035688,"ATP1A2/PLN/RYR2/CASQ2"
"GO:0045165","cell fate commitment","6/624","50/25792",6,0.00125944617270528,0.12657434035688,"GATA5/HEY2/WNT4/SOX5/TAL1/WNT9A"
"GO:0019934","cGMP-mediated signaling","4/624","21/25792",4,0.00146326599302591,0.13306069175381,"IRAG1/GUCY1A2/PDE3A/PRKG1"
"GO:0061049","cell growth involved in cardiac muscle cell development","3/624","10/25792",3,0.0014894853554531,0.13306069175381,"ADRA1A/PRKG1/SORBS2"
"GO:0035855","megakaryocyte development","4/624","22/25792",4,0.00175451368992041,0.140620868911861,"FLI1/ZNF385A/PIP4K2A/TAL1"
"GO:0015671","oxygen transport","3/624","11/25792",3,0.0020113681498587,0.140620868911861,"HBM/HBD/HBG1"
"GO:0030219","megakaryocyte differentiation","3/624","11/25792",3,0.0020113681498587,0.140620868911861,"IL11/TESC/TAL1"
"GO:0038166","angiotensin-activated signaling pathway","3/624","11/25792",3,0.0020113681498587,0.140620868911861,"AGTR2/MIR143/MIR145"
"GO:0071313","cellular response to caffeine","3/624","11/25792",3,0.0020113681498587,0.140620868911861,"RYR2/RYR3/CASQ2"
"GO:0009968","negative regulation of signal transduction","5/624","40/25792",5,0.00266578776780508,0.178607780442941,"RGS7BP/RGS18/PRR5L/RGS5/RGS6"
"GO:0071880","adenylate cyclase-activating adrenergic receptor signaling pathway","3/624","13/25792",3,0.00336285751981613,0.207979803533244,"ADRA1D/ADRA1A/ADRA2C"
"GO:0086064","cell communication by electrical coupling involved in cardiac conduction","3/624","13/25792",3,0.00336285751981613,0.207979803533244,"ATP1A2/ATP1B2/RYR2"
"GO:0008217","regulation of blood pressure","6/624","65/25792",6,0.00482983121431367,0.254109552688041,"AGTR2/ATP1A2/NPY1R/P2RX1/ACTA2/SCNN1A"
"GO:0071560","cellular response to transforming growth factor beta stimulus","6/624","65/25792",6,0.00482983121431367,0.254109552688041,"MIR27A/MEF2C/PDE3A/WNT4/ACTA2/SOX5"
"GO:0003151","outflow tract morphogenesis","5/624","46/25792",5,0.00493277652850789,0.254109552688041,"HEY2/MEF2C/NPY1R/NPY5R/VEGFA"
"GO:0006968","cellular defense response","5/624","47/25792",5,0.00541231558371011,0.254109552688041,"KLRG1/PRF1/IL1RL2/FCMR/NCR1"
"GO:0098914","membrane repolarization during atrial cardiac muscle cell action potential","2/624","5/25792",2,0.00556728685909809,0.254109552688041,"KCNA5/KCNJ3"
"GO:0150099","neuron-glial cell signaling","2/624","5/25792",2,0.00556728685909809,0.254109552688041,"ADRA1D/ADRA1A"
"GO:1905605","positive regulation of blood-brain barrier permeability","2/624","5/25792",2,0.00556728685909809,0.254109552688041,"OCLN/ANGPT1"
"GO:0033280","response to vitamin D","3/624","16/25792",3,0.00623888741660207,0.254109552688041,"PRKCB/STC2/KL"
"GO:0030511","positive regulation of transforming growth factor beta receptor signaling pathway","4/624","31/25792",4,0.00635693842235335,0.254109552688041,"GIPC1/FERMT1/ITGA8/ZEB2"
"GO:0007166","cell surface receptor signaling pathway","12/624","216/25792",12,0.00661088158749302,0.254109552688041,"KLRG1/GPR182/FCRL3/AGTR2/CLCF1/FCRL6/IL7R/KLRD1/GPR157/CD247/CD27/CDA"
"GO:0006816","calcium ion transport","6/624","70/25792",6,0.00693137396773237,0.254109552688041,"NMUR1/ATP2B2/BSPRY/PRKCB/RYR2/RYR3"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","3/624","17/25792",3,0.00744115390311597,0.254109552688041,"COX5B/COX8A/CYCS"
