"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0006941",3,20,191076,30,3.97363573738575e-09,"CASQ2/DTNA/RYR2",1.44640340840841e-06,"striated muscle contraction"
"GO:0086029",2,2,191076,30,2.38291879762946e-08,"CASQ2/RYR2",4.33691221168562e-06,"Purkinje myocyte to ventricular cardiac muscle cell signaling"
"GO:0060048",3,42,191076,30,3.99220218888752e-08,"CASQ2/RYR2/TPM1",4.84387198918352e-06,"cardiac muscle contraction"
"GO:0045893",5,689,191076,30,7.9469059995761e-08,"AGTR2/MRPL12/TAL1/TBX21/LEF1",7.23168445961425e-06,"positive regulation of DNA-templated transcription"
"GO:0032543",3,94,191076,30,4.63580275506595e-07,"MRPL12/MRPS12/MRPL17",3.37486440568801e-05,"mitochondrial translation"
"GO:0070233",2,10,191076,30,1.07147570624022e-06,"CD27/IL7R",6.50028595119066e-05,"negative regulation of T cell apoptotic process"
"GO:0071313",2,11,191076,30,1.30945348977486e-06,"CASQ2/RYR2",6.80915814682929e-05,"cellular response to caffeine"
"GO:0005513",2,13,191076,30,1.85668033557381e-06,"CASQ2/RYR2",7.88393227866922e-05,"detection of calcium ion"
"GO:0001913",2,14,191076,30,2.16591546117286e-06,"IL7R/PRF1",7.88393227866922e-05,"T cell mediated cytotoxicity"
"GO:0032516",2,14,191076,30,2.16591546117286e-06,"AGTR2/ITGA1",7.88393227866922e-05,"positive regulation of phosphoprotein phosphatase activity"
"GO:0043388",2,19,191076,30,4.06802951581095e-06,"NME1/TXN",0.000134614794886835,"positive regulation of DNA binding"
"GO:0010881",2,22,191076,30,5.49379809577419e-06,"CASQ2/RYR2",0.00016664520890515,"regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion"
"GO:1904753",2,26,191076,30,7.72635016293395e-06,"PRKG1/TPM1",0.000216337804562151,"negative regulation of vascular associated smooth muscle cell migration"
"GO:0002027",2,33,191076,30,1.25437678085693e-05,"CASQ2/RYR2",0.000303685006335042,"regulation of heart rate"
"GO:0042273",2,34,191076,30,1.33264515980006e-05,"MRTO4/WDR12",0.000303685006335042,"ribosomal large subunit biogenesis"
"GO:0007166",3,288,191076,30,1.33487914872546e-05,"AGTR2/CD27/IL7R",0.000303685006335042,"cell surface receptor signaling pathway"
"GO:0042311",2,37,191076,30,1.5816072231077e-05,"AGTR2/ITGA1",0.000327967404899521,"vasodilation"
"GO:0000122",4,969,191076,30,1.62181683741521e-05,"TAL1/TXN/TBX21/LEF1",0.000327967404899521,"negative regulation of transcription by RNA polymerase II"
"GO:0051480",2,39,191076,30,1.75937243739664e-05,"ATP2B2/RYR2",0.000337058719585461,"regulation of cytosolic calcium ion concentration"
"GO:1904706",2,42,191076,30,2.04369215694552e-05,"PRKG1/TPM1",0.000371951972564085,"negative regulation of vascular associated smooth muscle cell proliferation"
"GO:0042100",2,46,191076,30,2.45574357199638e-05,"IL7R/LEF1",0.000425662219146039,"B cell proliferation"
"GO:0007165",4,1160,191076,30,3.26553652586035e-05,"DTNA/IL7R/PRKACB/PRKG1",0.000540297861551439,"signal transduction"
"GO:0030097",2,60,191076,30,4.19393953304526e-05,"IL7R/TAL1",0.000663736517403684,"hemopoiesis"
"GO:0008217",2,72,191076,30,6.04924060857497e-05,"ACTA2/AGTR2",0.000894762593013988,"regulation of blood pressure"
"GO:0010628",3,482,191076,30,6.15623544757023e-05,"ACTA2/IL7R/LEF1",0.000894762593013988,"positive regulation of gene expression"
"GO:0006816",2,74,191076,30,6.39116137867134e-05,"ATP2B2/RYR2",0.000894762593013988,"calcium ion transport"
"GO:0032869",2,94,191076,30,0.000103225735277771,"SLC2A4/SORBS1",0.00139163583855958,"cellular response to insulin stimulus"
"GO:0045471",2,98,191076,30,0.000112203241998968,"CD27/SLC2A4",0.00145864214598659,"response to ethanol"
"GO:0007160",2,104,191076,30,0.000126364123519403,"ITGA1/SORBS1",0.00156283669166481,"cell-matrix adhesion"
"GO:0006874",2,105,191076,30,0.000128805221840506,"CASQ2/RYR2",0.00156283669166481,"intracellular calcium ion homeostasis"
"GO:0009615",2,107,191076,30,0.000133756743889657,"ACTA2/TBX21",0.00157056305728501,"response to virus"
"GO:0002035",1,2,191076,30,0.000313987349609746,"AGTR2",0.00265793942460343,"brain renin-angiotensin system"
"GO:0007199",1,2,191076,30,0.000313987349609746,"AGTR2",0.00265793942460343,"G protein-coupled receptor signaling pathway coupled to cGMP nucleotide second messenger"
"GO:0010920",1,2,191076,30,0.000313987349609746,"PRKG1",0.00265793942460343,"negative regulation of inositol phosphate biosynthetic process"
"GO:0021873",1,2,191076,30,0.000313987349609746,"LEF1",0.00265793942460343,"forebrain neuroblast division"
"GO:0030221",1,2,191076,30,0.000313987349609746,"TAL1",0.00265793942460343,"basophil differentiation"
"GO:0031550",1,2,191076,30,0.000313987349609746,"SLC2A4",0.00265793942460343,"positive regulation of brain-derived neurotrophic factor receptor signaling pathway"
"GO:0035566",1,2,191076,30,0.000313987349609746,"AGTR2",0.00265793942460343,"regulation of metanephros size"
"GO:0038111",1,2,191076,30,0.000313987349609746,"IL7R",0.00265793942460343,"interleukin-7-mediated signaling pathway"
"GO:0061153",1,2,191076,30,0.000313987349609746,"LEF1",0.00265793942460343,"trachea gland development"
"GO:0061692",1,2,191076,30,0.000313987349609746,"TXN",0.00265793942460343,"cellular detoxification of hydrogen peroxide"
"GO:0061870",1,2,191076,30,0.000313987349609746,"ACTA2",0.00265793942460343,"positive regulation of hepatic stellate cell migration"
"GO:0070343",1,2,191076,30,0.000313987349609746,"SLC2A4",0.00265793942460343,"white fat cell proliferation"
"GO:0006412",2,180,191076,30,0.000377274837800899,"MRPL12/MRPS12",0.00300744006002455,"translation"
"GO:0002418",1,3,191076,30,0.000470945284124724,"PRF1",0.00300744006002455,"immune response to tumor cell"
"GO:0045123",1,3,191076,30,0.000470945284124724,"ITGA1",0.00300744006002455,"cellular extravasation"
"GO:0051284",1,3,191076,30,0.000470945284124724,"RYR2",0.00300744006002455,"positive regulation of sequestering of calcium ion"
"GO:0071866",1,3,191076,30,0.000470945284124724,"LEF1",0.00300744006002455,"negative regulation of apoptotic process in bone marrow cell"
"GO:0072051",1,3,191076,30,0.000470945284124724,"ACTA2",0.00300744006002455,"juxtaglomerular apparatus development"
"GO:0072300",1,3,191076,30,0.000470945284124724,"AGTR2",0.00300744006002455,"positive regulation of metanephric glomerulus development"
"GO:0097050",1,3,191076,30,0.000470945284124724,"RYR2",0.00300744006002455,"type B pancreatic cell apoptotic process"
"GO:0098904",1,3,191076,30,0.000470945284124724,"RYR2",0.00300744006002455,"regulation of AV node cell action potential"
"GO:0098907",1,3,191076,30,0.000470945284124724,"RYR2",0.00300744006002455,"regulation of SA node cell action potential"
"GO:0098910",1,3,191076,30,0.000470945284124724,"RYR2",0.00300744006002455,"regulation of atrial cardiac muscle cell action potential"
"GO:1901896",1,3,191076,30,0.000470945284124724,"RYR2",0.00300744006002455,"positive regulation of ATPase-coupled calcium transmembrane transporter activity"
"GO:2000170",1,3,191076,30,0.000470945284124724,"TXN",0.00300744006002455,"positive regulation of peptidyl-cysteine S-nitrosylation"
"GO:2000329",1,3,191076,30,0.000470945284124724,"TBX21",0.00300744006002455,"negative regulation of T-helper 17 cell lineage commitment"
"GO:0006366",2,227,191076,30,0.000597964968492376,"TAL1/LEF1",0.00336074643731558,"transcription by RNA polymerase II"
"GO:0000466",1,4,191076,30,0.000627879396435382,"WDR12",0.00336074643731558,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0002296",1,4,191076,30,0.000627879396435382,"TBX21",0.00336074643731558,"T-helper 1 cell lineage commitment"
"GO:0003220",1,4,191076,30,0.000627879396435382,"RYR2",0.00336074643731558,"left ventricular cardiac muscle tissue morphogenesis"
"GO:0021943",1,4,191076,30,0.000627879396435382,"LEF1",0.00336074643731558,"formation of radial glial scaffolds"
"GO:0033153",1,4,191076,30,0.000627879396435382,"LEF1",0.00336074643731558,"T cell receptor V(D)J recombination"
"GO:0051387",1,4,191076,30,0.000627879396435382,"AGTR2",0.00336074643731558,"negative regulation of neurotrophin TRK receptor signaling pathway"
"GO:0060018",1,4,191076,30,0.000627879396435382,"TAL1",0.00336074643731558,"astrocyte fate commitment"
"GO:0060033",1,4,191076,30,0.000627879396435382,"LEF1",0.00336074643731558,"anatomical structure regression"
"GO:0072144",1,4,191076,30,0.000627879396435382,"ACTA2",0.00336074643731558,"glomerular mesangial cell development"
"GO:2000552",1,4,191076,30,0.000627879396435382,"TBX21",0.00336074643731558,"negative regulation of T-helper 2 cell cytokine production"
"GO:0009113",1,5,191076,30,0.000784789690032484,"PAICS",0.00336074643731558,"purine nucleobase biosynthetic process"
"GO:0014829",1,5,191076,30,0.000784789690032484,"ACTA2",0.00336074643731558,"vascular associated smooth muscle contraction"
"GO:0032263",1,5,191076,30,0.000784789690032484,"APRT",0.00336074643731558,"GMP salvage"
"GO:0032264",1,5,191076,30,0.000784789690032484,"APRT",0.00336074643731558,"IMP salvage"
"GO:0044209",1,5,191076,30,0.000784789690032484,"APRT",0.00336074643731558,"AMP salvage"
"GO:0048341",1,5,191076,30,0.000784789690032484,"LEF1",0.00336074643731558,"paraxial mesoderm formation"
"GO:0051208",1,5,191076,30,0.000784789690032484,"CASQ2",0.00336074643731558,"sequestering of calcium ion"
"GO:0070296",1,5,191076,30,0.000784789690032484,"RYR2",0.00336074643731558,"sarcoplasmic reticulum calcium ion transport"
"GO:0071731",1,5,191076,30,0.000784789690032484,"TXN",0.00336074643731558,"response to nitric oxide"
"GO:0071864",1,5,191076,30,0.000784789690032484,"LEF1",0.00336074643731558,"positive regulation of cell proliferation in bone marrow"
"GO:0072676",1,5,191076,30,0.000784789690032484,"TBX21",0.00336074643731558,"lymphocyte migration"
"GO:0090131",1,5,191076,30,0.000784789690032484,"ACTA2",0.00336074643731558,"mesenchyme migration"
"GO:0098735",1,5,191076,30,0.000784789690032484,"RYR2",0.00336074643731558,"positive regulation of the force of heart contraction"
"GO:1902262",1,5,191076,30,0.000784789690032484,"LEF1",0.00336074643731558,"apoptotic process involved in blood vessel morphogenesis"
"GO:1904672",1,5,191076,30,0.000784789690032484,"TAL1",0.00336074643731558,"regulation of somatic stem cell population maintenance"
"GO:2000224",1,5,191076,30,0.000784789690032484,"PRKG1",0.00336074643731558,"regulation of testosterone biosynthetic process"
"GO:2000491",1,5,191076,30,0.000784789690032484,"ACTA2",0.00336074643731558,"positive regulation of hepatic stellate cell activation"
"GO:0045944",3,1182,191076,30,0.000846235012241858,"TAL1/TBX21/LEF1",0.00342770125299506,"positive regulation of transcription by RNA polymerase II"
"GO:0000018",1,6,191076,30,0.000941676168405237,"IL7R",0.00342770125299506,"regulation of DNA recombination"
"GO:0006189",1,6,191076,30,0.000941676168405237,"PAICS",0.00342770125299506,"'de novo' IMP biosynthetic process"
"GO:0008635",1,6,191076,30,0.000941676168405237,"CYCS",0.00342770125299506,"activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c"
"GO:0009134",1,6,191076,30,0.000941676168405237,"ENTPD1",0.00342770125299506,"nucleoside diphosphate catabolic process"
"GO:0010649",1,6,191076,30,0.000941676168405237,"CASQ2",0.00342770125299506,"regulation of cell communication by electrical coupling"
"GO:0014050",1,6,191076,30,0.000941676168405237,"PRKG1",0.00342770125299506,"negative regulation of glutamate secretion"
"GO:0017038",1,6,191076,30,0.000941676168405237,"PRF1",0.00342770125299506,"protein import"
"GO:0031000",1,6,191076,30,0.000941676168405237,"RYR2",0.00342770125299506,"response to caffeine"
"GO:0044381",1,6,191076,30,0.000941676168405237,"SLC2A4",0.00342770125299506,"glucose import in response to insulin stimulus"
"GO:0045843",1,6,191076,30,0.000941676168405237,"LEF1",0.00342770125299506,"negative regulation of striated muscle tissue development"
"GO:0046826",1,6,191076,30,0.000941676168405237,"TXN",0.00342770125299506,"negative regulation of protein export from nucleus"
"GO:0051712",1,6,191076,30,0.000941676168405237,"PRF1",0.00342770125299506,"positive regulation of killing of cells of another organism"
"GO:0060087",1,6,191076,30,0.000941676168405237,"PRKG1",0.00342770125299506,"relaxation of vascular associated smooth muscle"
"GO:1904894",1,6,191076,30,0.000941676168405237,"IL7R",0.00342770125299506,"positive regulation of receptor signaling pathway via STAT"
"GO:0006166",1,7,191076,30,0.00109853883504574,"APRT",0.00357025121389865,"purine ribonucleoside salvage"
"GO:0010882",1,7,191076,30,0.00109853883504574,"RYR2",0.00357025121389865,"regulation of cardiac muscle contraction by calcium ion signaling"
"GO:0021861",1,7,191076,30,0.00109853883504574,"LEF1",0.00357025121389865,"forebrain radial glial cell differentiation"
"GO:0030854",1,7,191076,30,0.00109853883504574,"LEF1",0.00357025121389865,"positive regulation of granulocyte differentiation"
"GO:0032696",1,7,191076,30,0.00109853883504574,"LEF1",0.00357025121389865,"negative regulation of interleukin-13 production"
"GO:0045588",1,7,191076,30,0.00109853883504574,"LEF1",0.00357025121389865,"positive regulation of gamma-delta T cell differentiation"
"GO:0060710",1,7,191076,30,0.00109853883504574,"LEF1",0.00357025121389865,"chorio-allantoic fusion"
"GO:0097294",1,7,191076,30,0.00109853883504574,"PAICS",0.00357025121389865,"'de novo' XMP biosynthetic process"
"GO:0099536",1,7,191076,30,0.00109853883504574,"DTNA",0.00357025121389865,"synaptic signaling"
"GO:0140507",1,7,191076,30,0.00109853883504574,"PRF1",0.00357025121389865,"granzyme-mediated programmed cell death signaling pathway"
"GO:1901017",1,7,191076,30,0.00109853883504574,"CASQ2",0.00357025121389865,"negative regulation of potassium ion transmembrane transporter activity"
"GO:1901621",1,7,191076,30,0.00109853883504574,"PRKACB",0.00357025121389865,"negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning"
"GO:0001915",1,8,191076,30,0.00125537769344219,"IL7R",0.00383997882699965,"negative regulation of T cell mediated cytotoxicity"
"GO:0030223",1,8,191076,30,0.00125537769344219,"LEF1",0.00383997882699965,"neutrophil differentiation"
"GO:0032713",1,8,191076,30,0.00125537769344219,"LEF1",0.00383997882699965,"negative regulation of interleukin-4 production"
"GO:0032714",1,8,191076,30,0.00125537769344219,"LEF1",0.00383997882699965,"negative regulation of interleukin-5 production"
"GO:0044208",1,8,191076,30,0.00125537769344219,"PAICS",0.00383997882699965,"'de novo' AMP biosynthetic process"
"GO:1902732",1,8,191076,30,0.00125537769344219,"LEF1",0.00383997882699965,"positive regulation of chondrocyte proliferation"
"GO:2000556",1,8,191076,30,0.00125537769344219,"TBX21",0.00383997882699965,"positive regulation of T-helper 1 cell cytokine production"
"GO:0003143",1,9,191076,30,0.00141219274708348,"RYR2",0.00410570934167535,"embryonic heart tube morphogenesis"
"GO:0006177",1,9,191076,30,0.00141219274708348,"PAICS",0.00410570934167535,"GMP biosynthetic process"
"GO:0014808",1,9,191076,30,0.00141219274708348,"RYR2",0.00410570934167535,"release of sequestered calcium ion into cytosol by sarcoplasmic reticulum"
"GO:0043267",1,9,191076,30,0.00141219274708348,"CASQ2",0.00410570934167535,"negative regulation of potassium ion transport"
"GO:0043586",1,9,191076,30,0.00141219274708348,"LEF1",0.00410570934167535,"tongue development"
"GO:0070837",1,9,191076,30,0.00141219274708348,"SLC2A4",0.00410570934167535,"dehydroascorbic acid transport"
"GO:0006228",1,10,191076,30,0.00156898399945915,"NME1",0.00410570934167535,"UTP biosynthetic process"
"GO:0006937",1,10,191076,30,0.00156898399945915,"TPM1",0.00410570934167535,"regulation of muscle contraction"
"GO:0034380",1,10,191076,30,0.00156898399945915,"PRKACB",0.00410570934167535,"high-density lipoprotein particle assembly"
"GO:0045063",1,10,191076,30,0.00156898399945915,"LEF1",0.00410570934167535,"T-helper 1 cell differentiation"
"GO:0050909",1,10,191076,30,0.00156898399945915,"LEF1",0.00410570934167535,"sensory perception of taste"
"GO:0070613",1,10,191076,30,0.00156898399945915,"PRKACB",0.00410570934167535,"regulation of protein processing"
"GO:0090331",1,10,191076,30,0.00156898399945915,"PRKG1",0.00410570934167535,"negative regulation of platelet aggregation"
"GO:0099566",1,10,191076,30,0.00156898399945915,"ATP2B2",0.00410570934167535,"regulation of postsynaptic cytosolic calcium ion concentration"
"GO:2000320",1,10,191076,30,0.00156898399945915,"TBX21",0.00410570934167535,"negative regulation of T-helper 17 cell differentiation"
"GO:0006357",3,1483,191076,30,0.0016198982045407,"TAL1/TBX21/LEF1",0.00410570934167535,"regulation of transcription by RNA polymerase II"
"GO:0001771",1,11,191076,30,0.00172575145405585,"PRF1",0.00410570934167535,"immunological synapse formation"
"GO:0006183",1,11,191076,30,0.00172575145405585,"NME1",0.00410570934167535,"GTP biosynthetic process"
"GO:0006241",1,11,191076,30,0.00172575145405585,"NME1",0.00410570934167535,"CTP biosynthetic process"
"GO:0006390",1,11,191076,30,0.00172575145405585,"MRPL12",0.00410570934167535,"mitochondrial transcription"
"GO:0007614",1,11,191076,30,0.00172575145405585,"SLC2A4",0.00410570934167535,"short-term memory"
"GO:0010459",1,11,191076,30,0.00172575145405585,"AGTR2",0.00410570934167535,"negative regulation of heart rate"
"GO:0030049",1,11,191076,30,0.00172575145405585,"TPM1",0.00410570934167535,"muscle filament sliding"
"GO:0030219",1,11,191076,30,0.00172575145405585,"TAL1",0.00410570934167535,"megakaryocyte differentiation"
"GO:0033089",1,11,191076,30,0.00172575145405585,"IL7R",0.00410570934167535,"positive regulation of T cell differentiation in thymus"
"GO:0038166",1,11,191076,30,0.00172575145405585,"AGTR2",0.00410570934167535,"angiotensin-activated signaling pathway"
"GO:0042753",1,11,191076,30,0.00172575145405585,"PRKG1",0.00410570934167535,"positive regulation of circadian rhythm"
"GO:0048304",1,11,191076,30,0.00172575145405585,"TBX21",0.00410570934167535,"positive regulation of isotype switching to IgG isotypes"
"GO:0048668",1,11,191076,30,0.00172575145405585,"PRKG1",0.00410570934167535,"collateral sprouting"
"GO:0051775",1,11,191076,30,0.00172575145405585,"RYR2",0.00410570934167535,"response to redox state"
"GO:0060315",1,11,191076,30,0.00172575145405585,"CASQ2",0.00410570934167535,"negative regulation of ryanodine-sensitive calcium-release channel activity"
"GO:0061049",1,11,191076,30,0.00172575145405585,"PRKG1",0.00410570934167535,"cell growth involved in cardiac muscle cell development"
"GO:0071872",1,11,191076,30,0.00172575145405585,"RYR2",0.00410570934167535,"cellular response to epinephrine stimulus"
"GO:0098911",1,11,191076,30,0.00172575145405585,"RYR2",0.00410570934167535,"regulation of ventricular cardiac muscle cell action potential"
"GO:0021527",1,12,191076,30,0.00188249511436211,"TAL1",0.00442082723630845,"spinal cord association neuron differentiation"
"GO:0071806",1,12,191076,30,0.00188249511436211,"PRF1",0.00442082723630845,"protein transmembrane transport"
"GO:0008285",2,416,191076,30,0.00197553637578674,"ITGA1/NME1",0.00455382977991753,"negative regulation of cell population proliferation"
