"GO_ID","TERM","GeneRatio","BgRatio","Count","pvalue","p.adjust","geneID"
"GO:0032148","activation of protein kinase B activity","5/612","26/37734",5,5.47707079389628e-05,0.0236369083801891,"ADRA2C/MIR143/NTF3/NTRK3/TXN"
"GO:0009968","negative regulation of signal transduction","6/612","42/37734",6,5.67187889531039e-05,0.0236369083801891,"RGS7BP/RGS18/PRR5L/RGS5/RGS20/RGS6"
"GO:0150104","transport across blood-brain barrier","8/612","84/37734",8,6.75867085987307e-05,0.0236369083801891,"SLC27A4/SLC7A8/ATP1A2/ATP1B2/ABCB1/SLC2A4/SLC6A1/ABCG2"
"GO:0006940","regulation of smooth muscle contraction","4/612","15/37734",4,8.11311785614427e-05,0.0236369083801891,"ADRA2C/MIR143/MIR145/ATP1A2"
"GO:0007219","Notch signaling pathway","9/612","111/37734",9,8.53103233275916e-05,0.0236369083801891,"HEY2/SUSD5/HOXD3/KCNA5/ANGPT4/PLN/NLE1/WDR12/SORBS2"
"GO:0030216","keratinocyte differentiation","7/612","65/37734",7,8.79785671719199e-05,0.0236369083801891,"CDSN/TXNIP/ACER1/SLC39A2/POU3F1/SPRR2F/TGM3"
"GO:0006665","sphingolipid metabolic process","4/612","16/37734",4,0.000106788488696302,0.0245918633969198,"ACER1/ALOX12B/ALOXE3/PSAPL1"
"GO:0051145","smooth muscle cell differentiation","4/612","18/37734",4,0.000174976412155856,0.0352577470494051,"HEY2/MEF2C/WNT4/ITGA8"
"GO:0019229","regulation of vasoconstriction","4/612","19/37734",4,0.000218800835926488,0.0391896608348332,"ADRA2C/KCNA5/ASIC2/ATP1A2"
"GO:0045165","cell fate commitment","6/612","55/37734",6,0.000262319841651668,0.0395677684804041,"GATA5/HEY2/WNT4/SOX5/TAL1/WNT9A"
"GO:0006941","striated muscle contraction","4/612","20/37734",4,0.000270003382930797,0.0395677684804041,"DTNA/RYR2/RYR3/CASQ2"
"GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste","5/612","37/37734",5,0.000313326861865341,0.0420902417772441,"TAS2R31/TAS2R46/TAS2R20/TAS2R50/PIGR"
"GO:0010881","regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion","4/612","22/37734",4,0.000397300842672616,0.0450224756175467,"ATP1A2/PLN/RYR2/CASQ2"
"GO:0006937","regulation of muscle contraction","3/612","10/37734",3,0.000467954098364444,0.0450224756175467,"MYL9/ATP1A2/TPM1"
"GO:0033138","positive regulation of peptidyl-serine phosphorylation","7/612","85/37734",7,0.000472203253479137,0.0450224756175467,"SH2D3C/ANGPT1/IL11/NTF3/NTRK3/TXN/VEGFA"
"GO:0019934","cGMP-mediated signaling","4/612","23/37734",4,0.00047480278256718,0.0450224756175467,"IRAG1/GUCY1A2/PDE3A/PRKG1"
"GO:0035855","megakaryocyte development","4/612","23/37734",4,0.00047480278256718,0.0450224756175467,"FLI1/ZNF385A/PIP4K2A/TAL1"
"GO:0030219","megakaryocyte differentiation","3/612","11/37734",3,0.000635691570163255,0.0487968957668175,"IL11/TESC/TAL1"
"GO:0038166","angiotensin-activated signaling pathway","3/612","11/37734",3,0.000635691570163255,0.0487968957668175,"AGTR2/MIR143/MIR145"
"GO:0061049","cell growth involved in cardiac muscle cell development","3/612","11/37734",3,0.000635691570163255,0.0487968957668175,"ADRA1A/PRKG1/SORBS2"
"GO:0071313","cellular response to caffeine","3/612","11/37734",3,0.000635691570163255,0.0487968957668175,"RYR2/RYR3/CASQ2"
"GO:0071560","cellular response to transforming growth factor beta stimulus","6/612","66/37734",6,0.000707568524439598,0.0518454755180287,"MIR27A/MEF2C/PDE3A/WNT4/ACTA2/SOX5"
"GO:0032543","mitochondrial translation","7/612","94/37734",7,0.000864362799784681,0.0605805579675177,"MRPL15/MRPL30/MRPS17/MRPL12/MRPS12/MRPL17/MRPL57"
"GO:0010628","positive regulation of gene expression","18/612","482/37734",18,0.00102970454071085,0.069161821651079,"OCLN/GATA5/ALOX12B/ANGPT1/HOXD3/IL7R/MUSTN1/MIR27A/MEF2C/NTRK3/LEF1/PF4/PGR/POU3F1/TESC/ACTA2/VEGFA/MYOM1"
"GO:0086064","cell communication by electrical coupling involved in cardiac conduction","3/612","13/37734",3,0.00107552995913099,0.0693501717647661,"ATP1A2/ATP1B2/RYR2"
"GO:0008217","regulation of blood pressure","6/612","72/37734",6,0.00112132752467856,0.0695223065300709,"AGTR2/ATP1A2/NPY1R/P2RX1/ACTA2/SCNN1A"
"GO:0003151","outflow tract morphogenesis","5/612","49/37734",5,0.00116847737758097,0.069762427135575,"HEY2/MEF2C/NPY1R/NPY5R/VEGFA"
"GO:0006968","cellular defense response","5/612","50/37734",5,0.00128120042697955,0.0719227910618538,"KLRG1/PRF1/IL1RL2/FCMR/NCR1"
"GO:0006816","calcium ion transport","6/612","74/37734",6,0.00129389636525668,0.0719227910618538,"NMUR1/ATP2B2/BSPRY/PRKCB/RYR2/RYR3"
"GO:0015671","oxygen transport","3/612","15/37734",3,0.00167024132794858,0.0897476340217706,"HBM/HBD/HBG1"
"GO:0030511","positive regulation of transforming growth factor beta receptor signaling pathway","4/612","33/37734",4,0.00193031874268478,0.0972398066627458,"GIPC1/FERMT1/ITGA8/ZEB2"
