"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0035106",1,4,31072,5,0.000643542035477895,"PDE8B",0.00419776049857925,"operant conditioning"
"GO:0001714",1,5,31072,5,0.000804375764389409,"NANOG",0.00419776049857925,"endodermal cell fate specification"
"GO:0043462",1,5,31072,5,0.000804375764389409,"TNNT3",0.00419776049857925,"regulation of ATP-dependent activity"
"GO:0070782",1,6,31072,5,0.000965188785317705,"XKR4",0.00419776049857925,"phosphatidylserine exposure on apoptotic cell surface"
"GO:0006942",1,8,31072,5,0.00128675271122314,"TNNT3",0.00419776049857925,"regulation of striated muscle contraction"
"GO:0061179",1,8,31072,5,0.00128675271122314,"PDE8B",0.00419776049857925,"negative regulation of insulin secretion involved in cellular response to glucose stimulus"
"GO:1902742",1,8,31072,5,0.00128675271122314,"XKR4",0.00419776049857925,"apoptotic process involved in development"
"GO:0006198",1,9,31072,5,0.00144750362019974,"PDE8B",0.00419776049857925,"cAMP catabolic process"
"GO:0043652",1,9,31072,5,0.00144750362019974,"XKR4",0.00419776049857925,"engulfment of apoptotic cell"
"GO:0070837",1,9,31072,5,0.00144750362019974,"SLC2A14",0.00419776049857925,"dehydroascorbic acid transport"
"GO:0046323",1,11,31072,5,0.0017689433401965,"SLC2A14",0.00466357789688169,"glucose import"
"GO:0030154",2,441,31072,5,0.00195366668193202,"SLC2A14/NANOG",0.00472136114800237,"cell differentiation"
"GO:1904659",1,21,31072,5,0.00337490050076883,"SLC2A14",0.00752862419402277,"glucose transmembrane transport"
"GO:0003009",1,25,31072,5,0.00401670432502177,"TNNT3",0.0078616865257099,"skeletal muscle contraction"
"GO:2000648",1,26,31072,5,0.00417710360605938,"NANOG",0.0078616865257099,"positive regulation of stem cell proliferation"
"GO:0001662",1,27,31072,5,0.00433748222108132,"PDE8B",0.0078616865257099,"behavioral fear response"
"GO:0019827",1,32,31072,5,0.00513906537584663,"NANOG",0.00791635336601754,"stem cell population maintenance"
"GO:0045595",1,32,31072,5,0.00513906537584663,"NANOG",0.00791635336601754,"regulation of cell differentiation"
"GO:0045214",1,34,31072,5,0.00545955404552934,"TNNT3",0.00791635336601754,"sarcomere organization"
"GO:0050885",1,34,31072,5,0.00545955404552934,"PDE8B",0.00791635336601754,"neuromuscular process controlling balance"
"GO:0008542",1,42,31072,5,0.00674068288220253,"PDE8B",0.00930856207542254,"visual learning"
"GO:0035019",1,47,31072,5,0.0075407177327147,"NANOG",0.00994003701130574,"somatic stem cell population maintenance"
"GO:0010468",1,138,31072,5,0.022011515285465,"NANOG",0.0277536497077602,"regulation of gene expression"
"GO:0007283",1,304,31072,5,0.0479737741989303,"SLC2A14",0.0579683104903742,"spermatogenesis"
"GO:0006355",1,431,31072,5,0.0674617232478184,"NANOG",0.0782555989674694,"regulation of DNA-templated transcription"
"GO:0000122",1,808,31072,5,0.123439556699974,"NANOG",0.137682582473048,"negative regulation of transcription by RNA polymerase II"
"GO:0007165",1,996,31072,5,0.150331123006539,"PDE8B",0.157016077054509,"signal transduction"
"GO:0045944",1,1005,31072,5,0.151601729569871,"NANOG",0.157016077054509,"positive regulation of transcription by RNA polymerase II"
"GO:0006357",1,1125,31072,5,0.168398391551703,"NANOG",0.168398391551703,"regulation of transcription by RNA polymerase II"
