"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0006112",2,6,9810,87,0.0011396178878428,"GFPT2/PID1",0.156247705520105,"energy reserve metabolic process"
"GO:0010827",2,6,9810,87,0.0011396178878428,"EDNRA/FFAR4",0.156247705520105,"regulation of glucose transmembrane transport"
"GO:1990416",2,6,9810,87,0.0011396178878428,"SH3GL2/WASF1",0.156247705520105,"cellular response to brain-derived neurotrophic factor stimulus"
"GO:0045124",2,7,9810,87,0.00158627112203152,"PDK4/SIGLEC15",0.156247705520105,"regulation of bone resorption"
"GO:0048485",2,7,9810,87,0.00158627112203152,"EDNRA/GFRA3",0.156247705520105,"sympathetic nervous system development"
"GO:0097484",2,7,9810,87,0.00158627112203152,"SH3GL2/WASF1",0.156247705520105,"dendrite extension"
"GO:0010501",2,8,9810,87,0.00210284823973226,"AGO1/AGO4",0.176518733711716,"RNA secondary structure unwinding"
"GO:0055078",2,9,9810,87,0.00268810254383323,"EDNRA/SCN7A",0.176518733711716,"sodium ion homeostasis"
"GO:0060135",2,9,9810,87,0.00268810254383323,"DSG1/IHH",0.176518733711716,"maternal process involved in female pregnancy"
"GO:0031054",2,10,9810,87,0.00334080351016072,"AGO1/AGO4",0.179492261318635,"pre-miRNA processing"
"GO:0070922",2,10,9810,87,0.00334080351016072,"AGO1/AGO4",0.179492261318635,"RISC complex assembly"
"GO:0031214",2,11,9810,87,0.00405973660402371,"ECM1/TMEM119",0.18456187176754,"biomineral tissue development"
"GO:0090136",2,11,9810,87,0.00405973660402371,"DSP/IHH",0.18456187176754,"epithelial cell-cell adhesion"
"GO:0007051",2,13,9810,87,0.00569151989572363,"SPAG5/TTK",0.193498925609725,"spindle organization"
"GO:0007202",2,13,9810,87,0.00569151989572363,"EDNRA/LPAR2",0.193498925609725,"activation of phospholipase C activity"
"GO:0035196",2,13,9810,87,0.00569151989572363,"AGO1/AGO4",0.193498925609725,"miRNA processing"
"GO:0006954",6,184,9810,87,0.00577238080608503,"AFAP1L2/ECM1/FFAR4/FUT4/SPHK1/TLR4",0.193498925609725,"inflammatory response"
"GO:0070373",3,42,9810,87,0.00602691106287975,"SIRT3/TLR4/WNK2",0.193498925609725,"negative regulation of ERK1 and ERK2 cascade"
"GO:0018149",2,15,9810,87,0.00757404908034846,"DSP/KRT10",0.193498925609725,"peptide cross-linking"
"GO:0098703",2,15,9810,87,0.00757404908034846,"SCN5A/SCN7A",0.193498925609725,"calcium ion import across plasma membrane"
