"GO_ID","TERM","GeneRatio","BgRatio","Count","pvalue","p.adjust","geneID"
"GO:0032700","negative regulation of interleukin-17 production","3/181","13/14546",3,0.000494402472078014,0.344742484608053,"ARG2/IL12A/TLR4"
"GO:0045162","clustering of voltage-gated sodium channels","2/181","6/14546",2,0.00223508438175809,0.344742484608053,"AGRN/SPTBN4"
"GO:0060836","lymphatic endothelial cell differentiation","2/181","6/14546",2,0.00223508438175809,0.344742484608053,"PROX1/SOX18"
"GO:0032651","regulation of interleukin-1 beta production","2/181","7/14546",2,0.00310354498535473,0.344742484608053,"ARG2/SPHK1"
"GO:0045671","negative regulation of osteoclast differentiation","3/181","24/14546",3,0.00316409629108232,0.344742484608053,"LILRB4/LRRC17/TLR4"
"GO:0010827","regulation of glucose transmembrane transport","2/181","8/14546",2,0.00410427474523659,0.344742484608053,"EDNRA/FFAR4"
"GO:0097484","dendrite extension","2/181","8/14546",2,0.00410427474523659,0.344742484608053,"SH3GL2/WASF1"
"GO:1990416","cellular response to brain-derived neurotrophic factor stimulus","2/181","8/14546",2,0.00410427474523659,0.344742484608053,"SH3GL2/WASF1"
"GO:0010572","positive regulation of platelet activation","2/181","9/14546",2,0.00523388413321635,0.344742484608053,"SELP/TLR4"
"GO:0016239","positive regulation of macroautophagy","3/181","30/14546",3,0.00600984319066266,0.344742484608053,"GPSM1/HMOX1/WDR24"
"GO:0045124","regulation of bone resorption","2/181","10/14546",2,0.00648904668681683,0.344742484608053,"PDK4/SIGLEC15"
"GO:0090136","epithelial cell-cell adhesion","2/181","10/14546",2,0.00648904668681683,0.344742484608053,"DSP/IHH"
"GO:0150077","regulation of neuroinflammatory response","2/181","10/14546",2,0.00648904668681683,0.344742484608053,"SPHK1/TNFRSF1B"
"GO:0001946","lymphangiogenesis","2/181","11/14546",2,0.00786649797878483,0.344742484608053,"PROX1/SOX18"
"GO:0010631","epithelial cell migration","2/181","11/14546",2,0.00786649797878483,0.344742484608053,"CORO1A/PROX1"
"GO:0048712","negative regulation of astrocyte differentiation","2/181","11/14546",2,0.00786649797878483,0.344742484608053,"GPR37L1/KDM4A"
"GO:0006954","inflammatory response","10/181","335/14546",10,0.00926188373028682,0.344742484608053,"AFAP1L2/ECM1/FFAR4/FUT4/KRT16/MFHAS1/SELP/SPHK1/TLR4/TNFRSF1B"
"GO:1903238","positive regulation of leukocyte tethering or rolling","2/181","12/14546",2,0.00936303460226206,0.344742484608053,"FUT4/SELP"
"GO:0035556","intracellular signal transduction","10/181","341/14546",10,0.0104082442516444,0.344742484608053,"ARHGEF4/ASB7/HMOX1/MAPK12/PAG1/PLCL1/RALGPS1/SPHK1/SQSTM1/WNK2"
"GO:0010614","negative regulation of cardiac muscle hypertrophy","2/181","13/14546",2,0.0109755131713864,0.344742484608053,"MLIP/TNFRSF1B"
"GO:0038180","nerve growth factor signaling pathway","2/181","13/14546",2,0.0109755131713864,0.344742484608053,"CORO1A/NTF3"
"GO:0045348","positive regulation of MHC class II biosynthetic process","2/181","13/14546",2,0.0109755131713864,0.344742484608053,"TLR4/TMEM106A"
"GO:0014898","cardiac muscle hypertrophy in response to stress","2/181","14/14546",2,0.0127008493370998,0.344742484608053,"CAMTA2/KDM4A"
"GO:0048485","sympathetic nervous system development","2/181","14/14546",2,0.0127008493370998,0.344742484608053,"EDNRA/GFRA3"
"GO:0035050","embryonic heart tube development","2/181","15/14546",2,0.0145360168179419,0.344742484608053,"EDNRA/SOX18"
"GO:0051044","positive regulation of membrane protein ectodomain proteolysis","2/181","15/14546",2,0.0145360168179419,0.344742484608053,"SH3D19/TNFRSF1B"
"GO:0120163","negative regulation of cold-induced thermogenesis","3/181","43/14546",3,0.01624175015673,0.344742484608053,"PCTP/PLCL1/TLR4"
"GO:0042116","macrophage activation","2/181","17/14546",2,0.018524025225092,0.344742484608053,"TLR4/TMEM106A"
"GO:0055078","sodium ion homeostasis","2/181","17/14546",2,0.018524025225092,0.344742484608053,"EDNRA/SCN7A"
"GO:0060135","maternal process involved in female pregnancy","2/181","17/14546",2,0.018524025225092,0.344742484608053,"DSG1/IHH"
"GO:0006809","nitric oxide biosynthetic process","2/181","18/14546",2,0.020671095409094,0.344742484608053,"ARG2/TLR4"
"GO:0007051","spindle organization","2/181","18/14546",2,0.020671095409094,0.344742484608053,"SPAG5/TTK"
"GO:0031214","biomineral tissue development","2/181","19/14546",2,0.0229164535866675,0.344742484608053,"ECM1/TMEM119"
"GO:0060324","face development","2/181","19/14546",2,0.0229164535866675,0.344742484608053,"ALDH1A3/EDNRA"
"GO:0006939","smooth muscle contraction","2/181","20/14546",2,0.025257349785717,0.344742484608053,"CHRNB4/EDNRA"
"GO:0031016","pancreas development","2/181","20/14546",2,0.025257349785717,0.344742484608053,"IHH/PROX1"
"GO:0050905","neuromuscular process","2/181","20/14546",2,0.025257349785717,0.344742484608053,"EDNRA/SPTBN4"
"GO:1900181","negative regulation of protein localization to nucleus","2/181","20/14546",2,0.025257349785717,0.344742484608053,"LILRB4/MFHAS1"
