"GO_ID","TERM","GeneRatio","BgRatio","Count","pvalue","p.adjust","geneID"
"GO:0044772","mitotic cell cycle phase transition","2/47","12/9872",2,0.00142046660137259,0.17045599216471,"CCNB1/CCND2"
"GO:0045842","positive regulation of mitotic metaphase/anaphase transition","2/47","12/9872",2,0.00142046660137259,0.17045599216471,"DLGAP5/UBE2C"
"GO:0030574","collagen catabolic process","2/47","19/9872",2,0.00360301328112687,0.196307582189312,"MMP11/MMP7"
"GO:0035556","intracellular signal transduction","5/47","244/9872",5,0.00582723304153702,0.196307582189312,"ADCY5/HMOX1/PRKCI/RPS6KA2/SOCS4"
"GO:0022617","extracellular matrix disassembly","2/47","25/9872",2,0.00620735353902053,0.196307582189312,"MMP11/MMP7"
"GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","2/47","29/9872",2,0.00829971526794833,0.196307582189312,"CCNB1/CCND2"
"GO:0007080","mitotic metaphase chromosome alignment","2/47","31/9872",2,0.00944862420154429,0.196307582189312,"CCNB1/KIF18A"
"GO:0007052","mitotic spindle organization","2/47","37/9872",2,0.0132903149720732,0.196307582189312,"CCNB1/DLGAP5"
"GO:0006935","chemotaxis","2/47","48/9872",2,0.0217775710795285,0.196307582189312,"CXCL2/L1CAM"
"GO:0006071","glycerol metabolic process","1/47","5/9872",1,0.0235838441491313,0.196307582189312,"SHPK"
"GO:0007140","male meiotic nuclear division","1/47","5/9872",1,0.0235838441491313,0.196307582189312,"KIF18A"
"GO:0007191","adenylate cyclase-activating dopamine receptor signaling pathway","1/47","5/9872",1,0.0235838441491313,0.196307582189312,"ADCY5"
"GO:0009052","pentose-phosphate shunt, non-oxidative branch","1/47","5/9872",1,0.0235838441491313,0.196307582189312,"SHPK"
"GO:0010994","free ubiquitin chain polymerization","1/47","5/9872",1,0.0235838441491313,0.196307582189312,"UBE2C"
"GO:0021828","gonadotrophin-releasing hormone neuronal migration to the hypothalamus","1/47","5/9872",1,0.0235838441491313,0.196307582189312,"PLXNA3"
