"TERM_ID","Count","M","N","n","pvalue","geneID","p.adjust","TERM"
"GO:0010468",6,138,31072,31,4.62247959937387e-09,"ZC3H12A/COMP/NFKBIZ/FUT8/TRIM44/RICTOR",1.70107249256959e-06,"regulation of gene expression"
"GO:0007010",3,119,31072,31,0.000227643218564517,"SORBS2/APOE/RICTOR",0.0221305957345688,"cytoskeleton organization"
"GO:0006906",2,23,31072,31,0.000240549953636618,"GOSR1/STX10",0.0221305957345688,"vesicle fusion"
"GO:0048844",2,23,31072,31,0.000240549953636618,"COMP/APOE",0.0221305957345688,"artery morphogenesis"
"GO:0002230",2,26,31072,31,0.000308431059906932,"ZC3H12A/TRIM44",0.0227005260091502,"positive regulation of defense response to virus by host"
"GO:0010595",2,54,31072,31,0.00133462926042656,"ZC3H12A/GRN",0.0240403845108211,"positive regulation of endothelial cell migration"
"GO:0042147",2,58,31072,31,0.00153785609743524,"GOSR1/STX10",0.0240403845108211,"retrograde transport, endosome to Golgi"
"GO:0050727",2,64,31072,31,0.0018686009793234,"GRN/RICTOR",0.0240403845108211,"regulation of inflammatory response"
"GO:0014891",1,2,31072,31,0.00199440230923831,"GSN",0.0240403845108211,"striated muscle atrophy"
"GO:0032980",1,2,31072,31,0.00199440230923831,"NFKBIZ",0.0240403845108211,"keratinocyte activation"
"GO:0061771",1,2,31072,31,0.00199440230923831,"APOE",0.0240403845108211,"response to caloric restriction"
"GO:0061944",1,2,31072,31,0.00199440230923831,"TRIM44",0.0240403845108211,"negative regulation of protein K48-linked ubiquitination"
"GO:0071830",1,2,31072,31,0.00199440230923831,"APOE",0.0240403845108211,"triglyceride-rich lipoprotein particle clearance"
"GO:0072393",1,2,31072,31,0.00199440230923831,"BICD2",0.0240403845108211,"microtubule anchoring at microtubule organizing center"
"GO:0097017",1,2,31072,31,0.00199440230923831,"GSN",0.0240403845108211,"renal protein absorption"
"GO:0106016",1,2,31072,31,0.00199440230923831,"GRN",0.0240403845108211,"positive regulation of inflammatory response to wounding"
"GO:1902175",1,2,31072,31,0.00199440230923831,"P4HB",0.0240403845108211,"regulation of oxidative stress-induced intrinsic apoptotic signaling pathway"
"GO:1903334",1,2,31072,31,0.00199440230923831,"GRN",0.0240403845108211,"positive regulation of protein folding"
"GO:1903923",1,2,31072,31,0.00199440230923831,"GSN",0.0240403845108211,"positive regulation of protein processing in phagocytic vesicle"
"GO:1904434",1,2,31072,31,0.00199440230923831,"HFE",0.0240403845108211,"positive regulation of ferrous iron binding"
"GO:1904437",1,2,31072,31,0.00199440230923831,"HFE",0.0240403845108211,"positive regulation of transferrin receptor binding"
"GO:1905906",1,2,31072,31,0.00199440230923831,"APOE",0.0240403845108211,"regulation of amyloid fibril formation"
"GO:1990117",1,2,31072,31,0.00199440230923831,"NFKBIZ",0.0240403845108211,"B cell receptor apoptotic signaling pathway"
"GO:1990641",1,2,31072,31,0.00199440230923831,"HFE",0.0240403845108211,"response to iron ion starvation"
"GO:2000321",1,2,31072,31,0.00199440230923831,"NFKBIZ",0.0240403845108211,"positive regulation of T-helper 17 cell differentiation"
"GO:0030509",2,69,31072,31,0.00216773966904906,"COMP/HFE",0.0240403845108211,"BMP signaling pathway"
"GO:0032805",1,3,31072,31,0.00299015942312375,"APOE",0.0240403845108211,"positive regulation of low-density lipoprotein particle receptor catabolic process"
"GO:0034447",1,3,31072,31,0.00299015942312375,"APOE",0.0240403845108211,"very-low-density lipoprotein particle clearance"
"GO:0034756",1,3,31072,31,0.00299015942312375,"HFE",0.0240403845108211,"regulation of iron ion transport"
"GO:0035989",1,3,31072,31,0.00299015942312375,"COMP",0.0240403845108211,"tendon development"
"GO:0038155",1,3,31072,31,0.00299015942312375,"P4HB",0.0240403845108211,"interleukin-23-mediated signaling pathway"
"GO:0045541",1,3,31072,31,0.00299015942312375,"APOE",0.0240403845108211,"negative regulation of cholesterol biosynthetic process"
"GO:0070897",1,3,31072,31,0.00299015942312375,"NFKBIZ",0.0240403845108211,"transcription preinitiation complex assembly"
"GO:0071801",1,3,31072,31,0.00299015942312375,"GSN",0.0240403845108211,"regulation of podosome assembly"
"GO:0072385",1,3,31072,31,0.00299015942312375,"BICD2",0.0240403845108211,"minus-end-directed organelle transport along microtubule"
"GO:0097114",1,3,31072,31,0.00299015942312375,"APOE",0.0240403845108211,"NMDA glutamate receptor clustering"
"GO:1900221",1,3,31072,31,0.00299015942312375,"APOE",0.0240403845108211,"regulation of amyloid-beta clearance"
"GO:1902564",1,3,31072,31,0.00299015942312375,"GRN",0.0240403845108211,"negative regulation of neutrophil activation"
"GO:1902952",1,3,31072,31,0.00299015942312375,"APOE",0.0240403845108211,"positive regulation of dendritic spine maintenance"
"GO:1903003",1,3,31072,31,0.00299015942312375,"ZC3H12A",0.0240403845108211,"positive regulation of protein deubiquitination"
"GO:1904637",1,3,31072,31,0.00299015942312375,"ZC3H12A",0.0240403845108211,"cellular response to ionomycin"
"GO:1905673",1,3,31072,31,0.00299015942312375,"GRN",0.0240403845108211,"positive regulation of lysosome organization"
"GO:2000822",1,3,31072,31,0.00299015942312375,"APOE",0.0240403845108211,"regulation of behavioral fear response"
"GO:2001186",1,3,31072,31,0.00299015942312375,"HFE",0.0240403845108211,"negative regulation of CD8-positive, alpha-beta T cell activation"
"GO:0002265",1,4,31072,31,0.00398495504119589,"GRN",0.0240403845108211,"astrocyte activation involved in immune response"
"GO:0002282",1,4,31072,31,0.00398495504119589,"GRN",0.0240403845108211,"microglial cell activation involved in immune response"
"GO:0010587",1,4,31072,31,0.00398495504119589,"ZC3H12A",0.0240403845108211,"miRNA catabolic process"
"GO:0010656",1,4,31072,31,0.00398495504119589,"ZC3H12A",0.0240403845108211,"negative regulation of muscle cell apoptotic process"
"GO:0017038",1,4,31072,31,0.00398495504119589,"APOE",0.0240403845108211,"protein import"
"GO:0036071",1,4,31072,31,0.00398495504119589,"FUT8",0.0240403845108211,"N-glycan fucosylation"
"GO:0051127",1,4,31072,31,0.00398495504119589,"GSN",0.0240403845108211,"positive regulation of actin nucleation"
"GO:0051651",1,4,31072,31,0.00398495504119589,"APOE",0.0240403845108211,"maintenance of location in cell"
"GO:0055118",1,4,31072,31,0.00398495504119589,"ZC3H12A",0.0240403845108211,"negative regulation of cardiac muscle contraction"
"GO:0090209",1,4,31072,31,0.00398495504119589,"APOE",0.0240403845108211,"negative regulation of triglyceride metabolic process"
"GO:0097113",1,4,31072,31,0.00398495504119589,"APOE",0.0240403845108211,"AMPA glutamate receptor clustering"
"GO:1900122",1,4,31072,31,0.00398495504119589,"HFE",0.0240403845108211,"positive regulation of receptor binding"
"GO:1902174",1,4,31072,31,0.00398495504119589,"GSN",0.0240403845108211,"positive regulation of keratinocyte apoptotic process"
"GO:1902991",1,4,31072,31,0.00398495504119589,"APOE",0.0240403845108211,"regulation of amyloid precursor protein catabolic process"
"GO:1902995",1,4,31072,31,0.00398495504119589,"APOE",0.0240403845108211,"positive regulation of phospholipid efflux"
"GO:1903936",1,4,31072,31,0.00398495504119589,"ZC3H12A",0.0240403845108211,"cellular response to sodium arsenite"
"GO:1990079",1,4,31072,31,0.00398495504119589,"COMP",0.0240403845108211,"cartilage homeostasis"
